DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20060509,47.67,48.33,47.51,48.33,1971900,0
20060510,48.17,49.50,47.87,49.47,3699300,0
20060511,49.98,50.25,49.02,49.27,5460000,0
20060512,49.20,49.67,48.02,48.34,4914300,0
20060515,47.65,48.32,46.78,47.33,4132800,0
20060516,47.55,48.24,47.16,47.52,3683700,0
20060517,47.97,49.17,47.42,47.87,7609500,0
20060518,47.89,48.26,46.95,46.96,3972000,0
20060519,46.98,47.98,46.30,47.27,3027900,0
20060522,47.00,47.50,45.44,46.89,5435700,0
20060523,47.49,48.63,46.93,47.04,4550100,0
20060524,46.58,48.08,46.09,47.00,4746000,0
20060525,47.50,48.53,47.27,48.33,4117200,0
20060526,48.67,49.18,48.27,48.90,2224200,0
20060530,49.51,49.79,48.19,48.37,3140100,0
20060531,48.50,50.10,48.30,50.00,3471900,0
20060601,49.20,50.24,48.37,49.94,2352000,0
20060602,50.50,50.92,49.84,50.76,1833000,0
20060605,51.40,51.49,48.77,49.05,2466900,0
20060606,49.45,49.55,47.10,47.85,3511900,0
20060607,47.43,48.36,46.36,46.50,3501200,0
20060608,45.60,46.38,43.75,46.21,3914800,0
20060609,46.43,46.88,45.22,45.58,2100700,0
20060612,46.10,46.44,44.60,44.69,1982900,0
20060613,44.35,44.64,43.23,43.44,3006800,0
20060614,43.63,44.56,43.48,44.04,2911000,0
20060615,44.46,46.25,44.41,45.94,2636300,0
20060616,45.44,46.87,45.28,46.40,3452400,0
20060619,46.74,46.74,44.19,44.62,2822100,0
20060620,44.88,45.33,43.56,43.58,3202500,0
20060621,43.79,45.69,43.75,44.95,2638900,0
20060622,44.85,45.19,44.28,44.57,1459700,0
20060623,45.12,46.50,44.97,46.12,2138500,0
20060626,46.12,47.06,45.51,46.90,1595200,0
20060627,47.45,48.54,47.31,48.20,2654500,0
20060628,49.00,50.47,48.80,50.41,3753800,0
20060629,50.91,52.67,50.60,52.61,3499500,0
20060630,52.60,53.46,52.60,52.85,2928000,0
20060703,53.00,53.58,52.50,53.57,897500,0
20060705,53.17,54.57,52.07,54.34,2374700,0
20060706,54.60,56.45,54.50,55.20,4740800,0
20060707,55.20,55.75,52.92,53.35,3120900,0
20060710,53.00,53.86,52.55,53.32,2594800,0
20060711,53.07,55.16,53.00,54.78,2473300,0
20060712,55.02,55.72,54.30,55.04,2472200,0
20060713,55.29,55.59,54.02,54.14,2742300,0
20060714,54.75,56.14,53.24,56.02,3246700,0
20060717,55.09,55.49,51.82,53.20,3009900,0
20060718,53.72,54.37,52.31,53.13,2681500,0
20060719,53.69,54.43,52.80,54.00,2296600,0
