DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,70.81,70.88,66.38,67.19,149456,0
20010103,68.13,68.63,65.88,66.94,10660,0
20010104,67.00,67.38,62.06,63.56,25225,0
20010105,63.56,64.69,62.56,63.06,160020,0
20010108,63.00,63.13,61.19,61.88,31485,0
20010109,62.63,62.88,61.69,61.69,19329,0
20010110,61.56,63.06,61.19,62.13,25655,0
20010111,62.94,63.88,62.13,63.00,18164,0
20010112,62.31,62.31,59.75,60.44,231437,0
20010115,60.44,60.44,60.44,60.44,0,0
20010116,60.00,61.50,59.69,59.69,119616,0
20010117,60.00,60.75,58.00,58.00,17695,0
20010118,58.75,59.44,57.94,58.56,13212,0
20010119,57.88,59.25,57.69,59.00,10332,0
20010122,59.00,59.00,59.00,59.00,0,0
20010123,62.13,63.00,60.13,62.69,17848,0
20010124,61.81,64.88,61.81,64.25,0,0
20010125,64.25,65.13,63.44,63.63,28974,0
20010126,62.13,63.38,61.31,62.13,0,0
20010129,64.28,64.97,63.00,63.94,1259100,0
20010130,62.16,64.03,61.00,61.00,0,0
20010131,60.40,61.67,60.13,61.50,2474000,0
20010201,61.00,61.80,60.48,61.15,1032700,0
20010202,61.01,64.00,60.90,63.75,4913600,0
20010205,63.76,65.00,63.76,65.00,1109800,0
20010206,65.35,65.40,62.20,62.39,966200,0
20010207,62.73,66.00,62.73,65.55,1308600,0
20010208,65.50,66.46,65.45,65.76,9007400,0
20010209,65.00,65.60,64.08,65.23,1293000,0
20010212,65.23,65.99,64.25,65.37,1722000,0
20010213,64.50,65.00,63.95,64.00,7316500,0
20010214,64.00,64.09,62.95,63.24,1440600,0
20010215,62.80,63.60,62.78,63.40,1359100,0
20010216,63.01,64.20,63.01,63.75,1955000,0
20010219,63.75,63.75,63.75,63.75,0,0
20010220,64.00,64.25,62.40,63.12,1777700,0
20010221,63.15,63.65,61.50,62.07,1590200,0
20010222,62.16,63.90,61.60,63.10,1351300,0
20010223,63.10,64.38,62.20,63.75,1618500,0
20010226,63.50,64.25,63.01,64.25,1236400,0
20010227,63.36,65.65,63.36,65.60,1613900,0
20010228,64.60,65.45,63.50,63.85,1231600,0
20010301,63.55,65.07,63.20,65.00,1670400,0
20010302,64.75,66.99,64.46,65.40,4163000,0
20010305,64.50,65.60,63.67,65.31,1428600,0
20010306,65.21,66.15,64.00,64.60,9239900,0
20010307,64.50,65.99,64.27,65.98,519400,0
20010308,65.80,67.75,65.80,67.75,923300,0
20010309,66.85,66.86,65.55,66.20,1271800,0
20010312,67.00,67.20,64.31,64.35,13242200,0
20010313,64.32,64.73,63.00,63.84,12990400,0
20010314,63.05,63.35,62.25,62.41,18070000,0
20010315,62.42,62.94,61.96,62.00,27587800,0
20010316,62.00,62.38,60.80,61.17,26200000,0
