DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.88,39.88,36.88,37.63,27002,0
20010103,37.63,41.00,36.75,40.31,33698,0
20010104,39.88,40.25,38.06,38.56,17119,0
20010105,38.88,38.88,36.13,36.88,16180,0
20010108,36.75,36.88,34.25,35.19,23126,0
20010109,35.38,37.44,35.25,36.56,23519,0
20010110,36.00,38.19,35.88,37.25,18948,0
20010111,38.00,38.19,37.25,37.69,13778,0
20010112,37.63,37.88,36.81,37.56,48422,0
20010115,37.56,37.56,37.56,37.56,0,0
20010116,37.75,38.31,37.31,37.75,9946,0
20010117,38.00,39.19,38.00,38.69,12857,0
20010118,41.75,41.75,40.19,40.69,31743,0
20010119,40.63,40.94,40.06,40.63,17971,0
20010122,40.63,40.63,40.63,40.63,0,0
20010123,40.13,41.44,40.00,41.00,9417,0
20010124,41.13,43.88,41.13,42.50,22592,0
20010125,42.06,43.44,41.81,43.06,11203,0
20010126,42.50,42.94,42.19,42.75,8002,0
20010129,44.97,45.66,43.00,45.66,529700,0
20010130,45.56,49.09,44.00,47.00,2326400,0
20010131,46.25,46.50,44.50,45.61,2479200,0
20010201,45.00,45.50,44.14,45.32,703700,0
20010202,45.32,46.20,44.36,44.55,762800,0
20010205,44.55,46.04,44.55,45.51,703300,0
20010206,45.99,46.71,45.61,46.31,1741500,0
20010207,46.00,46.60,45.32,45.71,641100,0
20010208,45.71,45.72,43.00,43.48,1229400,0
20010209,42.80,42.80,41.01,42.45,2164700,0
20010212,41.75,42.50,41.46,42.05,1277300,0
20010213,42.06,44.35,41.80,44.19,1152400,0
20010214,44.19,46.00,43.92,45.77,1390700,0
20010215,47.00,47.39,46.50,46.90,2216800,0
20010216,46.31,46.35,45.01,45.50,1259700,0
20010219,45.50,45.50,45.50,45.50,0,0
20010220,45.60,45.85,44.81,45.63,1108800,0
20010221,45.01,45.40,42.51,43.50,2475000,0
20010222,43.25,43.25,41.12,42.25,2413900,0
20010223,42.48,42.50,40.61,42.50,2868900,0
20010226,43.25,44.90,43.10,44.30,2373100,0
20010227,44.25,45.49,44.00,44.95,2717800,0
20010228,44.35,44.35,42.83,43.35,2419300,0
20010301,42.90,43.90,41.52,43.80,2484400,0
20010302,43.77,44.98,43.00,44.26,1507800,0
20010305,44.70,45.50,44.31,45.50,763100,0
20010306,45.92,46.20,44.55,44.90,1386600,0
20010307,44.90,44.90,44.21,44.50,2285400,0
20010308,44.89,44.98,43.40,43.95,1467800,0
20010309,44.52,44.52,42.29,42.30,1603100,0
20010312,41.65,41.65,40.14,40.48,2432400,0
