DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.06,22.34,21.50,21.94,0,0
20010103,21.53,21.53,20.09,21.03,28580,0
20010104,21.03,21.03,19.75,20.41,0,0
20010105,20.44,20.94,20.25,20.38,0,0
20010108,20.38,21.06,20.38,20.59,0,0
20010109,20.84,21.41,20.53,20.81,0,0
20010110,21.00,21.88,21.00,21.56,10072,0
20010111,21.81,21.97,21.38,21.94,0,0
20010112,21.69,21.69,21.28,21.63,0,0
20010115,21.63,21.63,21.63,21.63,0,0
20010116,21.56,21.66,20.88,21.38,0,0
20010117,21.41,21.41,20.44,20.53,12314,0
20010118,20.53,20.53,19.03,19.81,0,0
20010119,19.56,20.22,19.16,19.88,0,0
20010122,19.88,19.88,19.88,19.88,0,0
20010123,20.38,21.28,20.38,21.25,0,0
20010124,21.25,21.97,21.03,21.81,7866,0
20010125,21.84,23.69,21.84,23.28,0,0
20010126,23.31,23.59,22.50,23.22,8694,0
20010129,24.22,25.20,24.00,24.88,0,0
20010130,24.89,25.05,23.89,23.97,0,0
20010131,23.65,23.99,23.65,23.88,0,0
20010201,24.00,24.00,23.25,23.27,2480800,0
20010202,23.32,24.10,23.32,24.00,957800,0
20010205,24.05,25.10,24.00,25.01,1732800,0
20010206,25.20,25.25,24.66,25.14,0,0
20010207,25.15,26.50,24.88,26.45,1458600,0
20010208,26.35,26.35,25.59,26.00,1931600,0
20010209,26.00,26.84,25.83,26.38,1218200,0
20010212,26.39,26.59,26.02,26.40,4805000,0
20010213,26.24,27.25,26.10,27.03,869000,0
20010214,27.03,27.45,26.88,27.00,475200,0
20010215,26.69,26.69,26.00,26.06,892600,0
20010216,26.27,26.90,26.17,26.45,1264600,0
20010219,26.45,26.45,26.45,26.45,0,0
20010220,26.18,27.10,26.18,27.02,1331400,0
20010221,27.13,27.30,26.21,26.91,1144400,0
20010222,26.38,26.41,24.88,25.44,1058800,0
20010223,25.36,25.91,24.92,25.67,876800,0
20010226,25.64,26.38,25.55,26.35,1470800,0
20010227,26.48,26.63,25.98,26.47,653200,0
20010228,26.47,26.47,25.75,25.91,582600,0
20010301,25.94,26.35,25.92,26.14,824200,0
20010302,26.18,27.25,26.18,27.21,938200,0
20010305,27.38,27.99,27.31,27.70,822600,0
20010306,28.50,28.60,28.06,28.34,1547800,0
20010307,28.52,29.35,28.45,29.25,1135800,0
20010308,29.25,29.36,28.45,29.00,1053800,0
20010309,29.15,29.35,28.50,28.75,596800,0
20010312,29.03,29.03,27.50,27.53,860400,0
20010313,27.53,27.53,26.06,26.18,607200,0
20010314,25.32,26.65,25.25,25.67,1212000,0
