DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,10.28,10.30,10.00,10.06,16800,0
20010103,10.06,10.16,9.97,10.05,52128,0
20010104,10.14,10.38,10.11,10.11,0,0
20010105,10.16,10.30,10.09,10.14,31964,0
20010108,9.69,9.69,9.23,9.38,0,0
20010109,9.28,9.66,9.16,9.45,113616,0
20010110,9.41,9.72,9.41,9.61,23776,0
20010111,9.55,9.73,9.52,9.53,12400,0
20010112,9.55,9.66,9.44,9.53,0,0
20010115,9.53,9.53,9.53,9.53,0,0
20010116,9.52,9.84,9.52,9.80,14668,0
20010117,9.86,9.97,9.72,9.73,0,0
20010118,9.75,10.08,9.75,10.02,146504,0
20010119,9.98,10.08,9.94,10.03,0,0
20010122,10.03,10.03,10.03,10.03,0,0
20010123,10.06,10.63,10.05,10.56,17512,0
20010124,10.50,10.50,10.27,10.30,0,0
20010125,10.30,10.48,10.28,10.34,0,0
20010126,10.36,10.38,10.30,10.31,12412,0
20010129,11.08,11.19,10.76,10.99,1161200,0
20010130,11.06,11.49,10.95,11.19,5460000,0
20010131,10.93,10.93,10.80,10.84,0,0
20010201,10.83,10.84,10.75,10.80,1564000,0
20010202,10.76,10.82,10.65,10.75,1275600,0
20010205,10.80,10.82,10.69,10.73,1002800,0
20010206,10.75,10.77,10.61,10.67,1379200,0
20010207,10.66,10.74,10.45,10.47,3061600,0
20010208,10.47,10.68,10.47,10.55,1082000,0
20010209,10.55,10.87,10.53,10.70,1470800,0
20010212,10.77,10.94,10.77,10.85,992800,0
20010213,10.91,10.98,10.80,10.81,848800,0
20010214,10.76,10.86,10.73,10.73,0,0
20010215,11.13,11.37,11.06,11.08,3852400,0
20010216,11.13,11.40,11.09,11.30,2023600,0
20010219,11.30,11.30,11.30,11.30,0,0
20010220,11.36,11.43,11.19,11.20,1745200,0
20010221,11.23,11.23,11.00,11.00,1792400,0
20010222,11.03,11.03,10.74,10.95,1577600,0
20010223,10.95,10.98,10.77,10.98,937200,0
20010226,11.10,11.18,10.93,11.17,1714400,0
20010227,11.18,11.43,11.10,11.36,1891200,0
20010228,11.73,12.38,11.69,12.32,5593600,0
20010301,12.29,12.68,12.00,12.48,5266000,0
20010302,12.46,12.72,12.38,12.65,3968400,0
20010305,12.63,12.91,12.63,12.73,2035600,0
20010306,12.79,12.98,12.68,12.76,5906800,0
20010307,12.76,13.07,12.75,13.06,2915600,0
20010308,13.06,13.10,12.80,13.06,2994800,0
20010309,13.07,13.08,12.69,12.74,2515600,0
20010312,12.70,12.70,12.11,12.13,2308400,0
20010313,12.13,12.63,12.07,12.57,2034000,0
20010314,12.35,12.56,12.31,12.50,2401200,0
20010315,12.50,12.61,12.17,12.49,22262000,0
20010316,12.50,12.61,12.38,12.49,1918000,0
20010319,12.49,12.52,12.29,12.49,1632400,0
20010320,12.49,12.49,12.19,12.19,1413200,0
20010321,12.19,12.23,11.99,12.00,2155200,0
20010322,12.00,12.02,11.60,11.88,2916400,0
20010323,11.93,12.42,10.96,12.14,2528000,0
20010326,12.20,12.68,12.18,12.56,770400,0
20010327,12.65,12.71,12.57,12.63,2257200,0
20010328,12.63,12.63,12.41,12.49,9328400,0
20010329,12.49,12.50,12.38,12.43,13446400,0
20010330,12.48,12.63,12.44,12.52,17374800,0
20010402,12.57,12.72,12.31,12.39,2276400,0
20010403,12.32,12.35,12.00,12.03,1268400,0
20010404,12.03,12.26,11.98,12.26,1052000,0
20010405,12.30,12.71,12.30,12.63,2557600,0
20010406,12.50,12.50,12.33,12.44,1292400,0
20010409,12.44,12.50,12.35,12.50,2032800,0
20010410,12.50,12.85,12.50,12.77,3696000,0
20010411,12.77,12.81,12.60,12.69,12644400,0
20010412,12.69,12.76,12.50,12.75,1066400,0
20010416,13.00,13.06,12.70,12.88,2534400,0
20010417,12.88,13.10,12.85,13.05,2176800,0
20010418,13.05,13.37,13.04,13.21,2996400,0
20010419,13.21,13.55,13.16,13.51,1793200,0
20010420,13.50,13.56,13.43,13.43,1967200,0
20010423,13.43,13.43,13.25,13.37,1964000,0
20010424,13.38,13.48,13.35,13.36,3482800,0
20010425,13.36,13.58,13.35,13.50,9208000,0
20010426,13.44,13.55,13.38,13.41,6045200,0
20010427,13.38,13.65,13.38,13.65,1778000,0
20010430,13.68,13.75,13.60,13.75,1998800,0
20010501,13.69,13.69,13.38,13.48,1416400,0
20010502,13.49,13.52,13.37,13.44,2206400,0
20010503,13.45,13.45,13.12,13.25,1768400,0
20010504,13.32,13.49,13.29,13.35,3537600,0
20010507,13.40,13.73,13.40,13.55,1468000,0
20010508,13.55,13.70,13.52,13.61,2142000,0
20010509,13.55,13.81,13.54,13.81,1624400,0
20010510,13.91,13.99,13.83,13.94,2070800,0
20010511,14.00,14.13,13.94,14.01,1925600,0
20010514,14.00,14.00,13.90,13.97,1090400,0
20010515,14.06,14.10,13.95,14.02,1198800,0
20010516,14.04,14.50,14.03,14.49,1566800,0
20010517,14.49,14.63,14.45,14.54,1065600,0
20010518,14.55,14.64,14.48,14.62,893600,0
20010521,14.62,15.44,14.60,15.43,3084000,0
20010522,15.43,15.43,15.06,15.09,3015200,0
20010523,15.05,15.13,14.84,14.99,3140000,0
20010524,14.96,15.07,14.89,14.98,2371600,0
20010525,14.95,15.00,14.85,14.93,1757200,0
20010528,14.93,14.93,14.93,14.93,0,0
20010529,15.11,15.15,14.85,15.04,7428000,0
20010530,15.04,15.25,14.84,14.84,2030400,0
20010531,14.82,14.98,14.79,14.91,650800,0
20010601,14.85,15.26,14.74,15.24,5231200,0
20010604,15.24,15.63,15.07,15.56,2790800,0
20010605,15.52,16.15,15.52,15.93,2327200,0
20010606,15.93,15.94,15.70,15.79,1692800,0
20010607,15.72,16.00,15.72,15.98,1800800,0
20010608,15.98,15.98,15.82,15.93,1318000,0
20010611,15.94,15.98,15.78,15.88,1051600,0
20010612,15.86,15.87,15.61,15.81,20822800,0
20010613,15.88,15.98,15.74,15.75,1269600,0
20010614,15.75,15.90,15.40,15.75,1826000,0
20010615,15.71,15.81,15.56,15.70,5042000,0
20010618,15.75,15.86,15.56,15.69,1181200,0
20010619,15.64,15.80,15.61,15.70,1419200,0
20010620,15.60,15.93,15.55,15.68,2020800,0
20010621,15.88,16.13,15.82,15.96,3036800,0
20010622,15.95,16.13,15.88,15.92,1638400,0
20010625,15.98,16.04,15.91,15.94,1219200,0
20010626,15.94,16.00,15.86,15.91,1608800,0
20010627,15.94,15.97,15.85,15.90,2750400,0
20010628,15.95,16.09,15.94,16.08,2546400,0
20010629,16.13,16.38,16.08,16.17,1914400,0
20010702,16.16,17.20,16.16,17.10,4871200,0
20010703,17.10,17.40,16.79,16.84,2797600,0
20010704,16.84,16.84,16.84,16.84,0,0
20010705,16.83,16.83,16.51,16.65,4148000,0
20010706,16.75,16.83,16.66,16.67,6433600,0
20010709,16.65,16.91,16.63,16.75,6359200,0
20010710,16.94,17.00,16.48,16.48,26181200,0
20010711,16.48,16.51,16.19,16.43,3283600,0
20010712,16.43,16.43,16.43,16.43,0,0
20010713,16.60,16.77,16.48,16.76,1642800,0
20010716,16.79,16.93,16.78,16.83,1468800,0
20010717,16.90,17.02,16.90,17.00,2416000,0
20010718,16.98,17.06,16.90,17.05,3422000,0
20010719,17.25,17.59,17.16,17.25,2811200,0
20010720,17.29,17.36,17.04,17.24,1948000,0
20010723,17.24,17.63,17.16,17.44,17918800,0
20010724,17.44,17.44,16.94,16.94,1990400,0
20010725,16.98,17.51,16.97,17.51,45774000,0
20010726,17.52,17.79,17.52,17.76,2149600,0
20010727,17.81,17.91,17.69,17.71,1604400,0
20010730,17.68,17.85,17.58,17.83,4996000,0
20010731,17.75,17.89,17.75,17.84,1104400,0
20010801,17.89,18.12,17.88,18.11,9898000,0
20010802,18.06,18.06,17.85,17.98,1053400,0
20010803,17.92,18.08,17.65,18.05,3071000,0
20010806,18.15,18.19,17.58,17.71,1048800,0
20010807,17.71,18.05,17.51,17.54,4439600,0
20010808,17.55,17.57,16.50,17.20,2972000,0
20010809,17.48,17.48,16.95,17.42,1293200,0
20010810,17.48,17.74,17.26,17.48,820600,0
20010813,17.48,18.17,17.45,18.15,1971000,0
20010814,18.17,18.39,17.98,18.17,1655400,0
20010815,18.20,18.38,18.15,18.17,8801800,0
20010816,18.13,18.40,18.10,18.38,878400,0
20010817,18.20,18.48,18.19,18.25,1263600,0
20010820,18.38,18.78,18.35,18.65,3355600,0
20010821,18.65,18.66,18.20,18.22,1499600,0
20010822,18.30,18.69,18.23,18.63,1103400,0
20010823,18.65,19.02,18.63,18.85,1632000,0
20010824,19.13,19.19,18.87,19.14,2095200,0
20010827,19.15,19.15,18.70,18.73,2217200,0
20010828,19.00,19.20,18.75,18.87,2500600,0
20010829,18.88,19.65,18.75,19.45,40600000,0
20010830,19.48,19.50,19.22,19.28,11183600,0
20010831,19.33,19.49,19.25,19.45,1834600,0
20010903,19.45,19.45,19.45,19.45,0,0
20010904,17.63,18.90,17.63,18.42,45477800,0
20010905,18.25,19.43,18.25,19.38,31038200,0
20010906,19.15,19.46,19.15,19.43,3927000,0
20010907,19.35,19.40,18.90,18.95,30863000,0
20010910,18.65,19.07,18.30,18.45,2288400,0
20010911,18.45,18.45,18.45,18.45,0,0
20010917,18.02,18.42,17.75,18.33,3213400,0
20010918,18.31,18.59,18.31,18.50,1678800,0
20010919,18.50,18.65,18.00,18.10,5082000,0
20010920,17.65,17.65,17.27,17.49,5077400,0
20010921,17.00,17.38,16.70,17.15,4069800,0
20010924,17.70,18.38,17.65,18.10,3863800,0
20010925,18.75,18.83,18.42,18.53,2603000,0
20010926,19.00,19.18,18.49,18.66,3563000,0
20010927,18.50,19.00,18.26,18.97,1800200,0
20010928,18.95,19.28,18.75,19.28,2345000,0
20011001,19.17,20.15,19.02,20.00,4013600,0
20011002,20.13,20.80,20.00,20.53,3921000,0
20011003,20.35,20.70,20.13,20.55,2197400,0
20011004,20.52,20.63,20.16,20.53,2172800,0
20011005,20.48,20.58,20.14,20.35,1126000,0
20011008,20.00,20.02,19.57,19.67,5708800,0
20011009,19.65,19.65,18.83,18.94,3487200,0
20011010,18.95,19.41,18.89,19.28,12430000,0
20011011,19.36,20.00,19.23,19.82,10541800,0
20011012,19.75,19.77,19.25,19.70,11806600,0
20011015,19.45,19.73,19.45,19.72,1044400,0
20011016,19.65,19.83,19.39,19.78,1313600,0
20011017,19.78,19.92,19.05,19.23,2529200,0
20011018,19.20,19.57,19.18,19.49,1367200,0
20011019,19.25,19.44,18.42,18.44,6168200,0
20011022,18.20,18.40,16.70,17.85,21991600,0
20011023,17.70,17.85,16.33,16.39,7881800,0
20011024,16.63,16.80,16.20,16.61,4079000,0
20011025,16.55,16.92,16.25,16.89,3680800,0
20011026,16.89,17.05,16.70,16.98,2384200,0
20011029,16.97,17.01,16.63,17.00,2335800,0
20011030,17.00,17.25,16.26,17.00,9053200,0
20011031,17.00,17.25,16.95,17.04,2572000,0
20011101,17.02,17.30,16.66,17.24,2575000,0
20011102,17.05,17.36,16.98,17.26,1536800,0
20011105,17.26,17.92,17.25,17.75,2491800,0
20011106,17.75,18.53,17.75,18.53,2653800,0
20011107,18.14,18.50,18.13,18.26,2158400,0
20011108,18.26,18.63,18.14,18.17,1301600,0
20011109,18.30,18.92,18.00,18.73,1790600,0
20011112,18.48,19.20,18.38,19.18,2266400,0
20011113,19.70,19.70,18.80,19.03,3022200,0
20011114,19.25,19.25,18.94,19.02,1298400,0
20011115,19.10,19.25,19.00,19.17,1705400,0
20011116,19.20,19.41,18.86,19.01,1022400,0
20011119,19.00,19.03,18.49,18.64,2029400,0
20011120,18.80,18.84,18.40,18.83,1405200,0
20011121,18.73,18.73,18.43,18.65,1373200,0
20011122,18.65,18.65,18.65,18.65,0,0
20011123,18.55,18.75,18.52,18.75,710000,0
20011126,18.67,18.77,18.27,18.60,1728800,0
20011127,18.55,18.61,18.39,18.40,1368800,0
20011128,18.27,18.35,17.63,18.00,26200000,0
20011129,18.95,20.22,18.82,20.17,7212800,0
20011130,19.92,20.13,19.64,19.92,3065400,0
20011203,19.92,20.17,19.73,20.17,2108000,0
20011204,20.20,20.51,20.07,20.20,2231200,0
20011205,20.58,20.71,20.39,20.50,4316400,0
20011206,20.56,20.83,20.38,20.63,1185200,0
20011207,20.67,20.69,20.38,20.63,967800,0
20011210,20.53,20.62,20.30,20.38,3036000,0
20011211,20.48,20.48,20.25,20.42,967800,0
20011212,20.48,20.54,20.21,20.45,1180000,0
20011213,20.38,20.50,20.23,20.32,759400,0
20011214,20.33,20.38,19.85,19.95,2189600,0
20011217,20.11,20.20,19.92,20.00,2075600,0
20011218,20.25,20.88,20.20,20.67,1758200,0
20011219,20.72,21.44,20.58,21.30,1984800,0
20011220,21.15,21.36,20.91,21.02,1044400,0
20011221,21.13,21.30,20.91,21.30,1539600,0
20011224,21.20,21.55,21.20,21.41,540200,0
20011226,21.40,21.77,21.40,21.50,1203000,0
20011227,21.50,22.42,21.50,22.31,3007000,0
20011228,22.31,23.18,22.28,22.52,3319000,0
20011231,22.50,22.67,22.33,22.35,1997800,0
20020102,22.45,22.60,21.62,21.84,1902000,0
20020103,21.84,21.90,21.30,21.49,2609200,0
20020104,21.67,21.69,21.39,21.44,3261600,0
20020107,21.49,21.52,21.30,21.38,2394800,0
20020108,21.38,22.10,21.36,21.95,3517000,0
20020109,21.88,22.33,21.52,21.55,2191800,0
20020110,21.55,21.81,20.88,21.10,3168000,0
20020111,21.20,21.33,20.95,21.17,1587400,0
20020114,21.05,21.17,20.82,20.92,1197600,0
20020115,20.90,21.55,20.70,21.36,2345200,0
20020116,21.23,21.52,21.07,21.07,913800,0
20020117,21.29,21.92,21.26,21.77,192000000,0
20020118,21.60,22.30,21.60,22.23,2078600,0
20020121,22.23,22.23,22.23,22.23,0,0
20020122,22.42,22.83,22.30,22.55,2888400,0
20020123,22.52,23.20,22.40,23.13,2545200,0
20020124,23.17,23.30,22.52,23.00,2720600,0
20020125,23.00,23.45,22.95,23.13,1689000,0
20020128,23.13,23.33,22.83,22.98,1447000,0
20020129,22.98,23.17,22.52,22.81,1741200,0
20020130,22.75,22.82,22.14,22.78,1861600,0
20020131,22.78,23.25,22.63,23.13,1625800,0
20020201,23.20,23.34,22.98,23.13,1765200,0
20020204,23.08,23.23,22.45,22.92,1416000,0
20020205,22.90,23.55,22.75,23.25,1703400,0
20020206,23.25,23.67,23.00,23.48,1559800,0
20020207,23.45,23.94,23.23,23.40,1448200,0
20020208,23.34,23.77,23.34,23.62,1347600,0
20020211,23.73,23.80,23.43,23.72,1025000,0
20020212,23.77,23.77,23.38,23.58,996200,0
20020213,23.63,23.78,23.48,23.65,1016200,0
20020214,23.70,23.85,23.33,23.36,1400400,0
20020215,23.30,23.40,23.09,23.26,1186200,0
20020218,23.26,23.26,23.26,23.26,0,0
20020219,23.33,23.75,23.33,23.49,2222200,0
20020220,23.52,24.55,23.48,24.55,10472800,0
20020221,24.50,24.86,24.34,24.50,2691800,0
20020222,24.46,24.77,24.13,24.36,1485200,0
20020225,24.38,25.63,24.38,25.39,2746800,0
20020226,25.45,25.73,24.95,25.03,3408400,0
20020227,25.40,25.44,24.65,25.09,2034000,0
20020228,25.50,25.70,24.97,25.23,3556600,0
20020301,25.25,25.50,24.93,25.00,2500600,0
20020304,25.13,25.34,25.00,25.16,2994400,0
20020305,25.20,25.27,24.79,24.81,1797600,0
20020306,24.81,24.92,24.61,24.73,2367600,0
20020307,24.75,24.75,23.61,23.70,4039800,0
20020308,23.83,24.12,22.58,23.27,5352200,0
20020311,22.93,23.37,22.93,23.27,2978200,0
20020312,23.23,23.44,22.92,23.26,1923600,0
20020313,23.26,23.60,23.14,23.48,2057800,0
20020314,23.50,23.67,23.33,23.52,1726400,0
20020315,23.52,23.73,22.60,22.66,4769000,0
20020318,22.80,22.85,21.48,22.20,6215600,0
20020319,22.02,22.25,22.00,22.24,4475800,0
20020320,22.17,22.33,22.03,22.17,3328200,0
20020321,22.08,22.38,21.65,22.35,2523200,0
20020322,22.30,22.71,22.10,22.61,2528800,0
20020325,22.55,22.56,22.00,22.00,1879800,0
20020326,22.00,22.51,21.91,22.00,1920800,0
20020327,22.00,22.17,21.84,22.13,1570200,0
20020328,22.25,22.47,22.05,22.23,1803600,0
20020401,22.10,22.10,21.45,21.53,2711400,0
20020402,21.30,21.55,21.13,21.42,2399800,0
20020403,21.80,22.11,21.67,21.75,3695000,0
20020404,21.75,22.15,21.75,21.81,2741000,0
20020405,22.00,22.50,22.00,22.39,1851600,0
20020408,22.30,22.59,22.27,22.34,2214600,0
20020409,22.40,22.72,22.13,22.59,1879600,0
20020410,22.59,23.04,22.59,22.88,1756000,0
20020411,22.83,22.95,22.45,22.45,1708000,0
20020412,22.49,22.65,22.30,22.45,1330200,0
20020415,22.44,22.58,22.13,22.24,928400,0
