DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.71,4.86,4.64,4.66,0,0
20010103,4.72,4.83,4.60,4.66,7772,0
20010104,4.64,4.67,4.50,4.50,0,0
20010105,4.47,4.51,4.44,4.49,4664,0
20010108,4.50,4.60,4.47,4.60,3972,0
20010109,4.53,4.61,4.47,4.49,0,0
20010110,4.57,4.61,4.44,4.50,5888,0
20010111,4.53,4.57,4.36,4.39,0,0
20010112,4.32,4.42,4.25,4.30,0,0
20010115,4.30,4.30,4.30,4.30,0,0
20010116,4.36,4.49,4.33,4.49,4180,0
20010117,4.50,4.50,4.36,4.36,6360,0
20010118,4.41,4.46,4.36,4.39,0,0
20010119,4.38,4.44,4.33,4.41,0,0
20010122,4.41,4.41,4.41,4.41,0,0
20010123,4.44,4.74,4.44,4.55,0,0
20010124,4.75,4.88,4.61,4.64,6920,0
20010125,4.69,4.78,4.63,4.74,10364,0
20010126,4.66,4.76,4.63,4.75,6388,0
20010129,5.01,5.28,4.75,4.92,1002800,0
20010130,4.89,5.21,4.80,4.87,704800,0
20010131,4.79,4.89,4.72,4.83,0,0
20010201,4.83,4.96,4.79,4.96,527600,0
20010202,4.93,4.99,4.89,4.93,394400,0
20010205,4.88,5.00,4.87,4.99,319200,0
20010206,5.00,5.09,4.93,4.97,1025600,0
20010207,4.95,5.17,4.95,5.10,577600,0
20010208,5.08,5.30,5.08,5.28,1421600,0
20010209,5.26,5.44,5.26,5.37,887200,0
20010212,5.38,5.43,5.35,5.37,0,0
20010213,5.38,5.38,5.31,5.35,907600,0
20010214,5.30,5.35,5.23,5.28,25450000,0
20010215,5.18,5.25,5.13,5.23,1116400,0
20010216,5.25,5.38,5.24,5.38,88000000,0
20010219,5.38,5.38,5.38,5.38,0,0
20010220,5.32,5.40,5.32,5.38,26311200,0
20010221,5.38,5.38,5.21,5.24,891200,0
20010222,5.18,5.35,5.14,5.34,823600,0
20010223,5.30,5.35,5.25,5.32,897200,0
