DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.22,15.22,14.19,14.31,43952,0
20010103,14.19,15.38,14.19,15.38,3870,0
20010104,15.53,15.75,15.34,15.69,0,0
20010105,15.50,15.50,14.78,14.84,0,0
20010108,14.84,14.84,14.47,14.72,5322,0
20010109,14.72,14.72,13.63,13.91,0,0
20010110,13.25,14.19,13.19,14.03,21644,0
20010111,14.16,14.72,14.09,14.44,9624,0
20010112,14.44,14.44,14.06,14.13,0,0
20010115,14.13,14.13,14.13,14.13,0,0
20010116,14.13,14.25,13.75,13.91,0,0
20010117,13.88,14.22,13.59,13.81,12198,0
20010118,14.00,14.16,13.84,14.13,0,0
20010119,14.13,14.13,13.13,13.13,0,0
20010122,13.13,13.13,13.13,13.13,0,0
20010123,13.50,13.97,13.47,13.97,9292,0
20010124,13.94,14.44,13.50,13.91,0,0
20010125,13.97,13.97,13.59,13.97,26546,0
20010126,13.81,13.97,13.53,13.84,0,0
20010129,15.05,15.05,14.00,14.78,0,0
20010130,14.78,15.97,14.23,15.06,10825600,0
20010131,14.81,15.25,14.81,15.10,0,0
20010201,14.98,14.99,14.48,14.70,17105200,0
20010202,14.82,14.91,14.10,14.18,0,0
20010205,14.31,14.55,14.20,14.27,267600,0
20010206,14.45,14.57,14.32,14.57,976600,0
20010207,14.45,14.60,14.06,14.20,0,0
20010208,14.33,14.41,14.11,14.26,557400,0
20010209,14.26,14.45,13.75,13.75,732000,0
20010212,13.80,14.10,13.63,13.77,0,0
20010213,14.00,14.50,13.95,14.26,6387400,0
20010214,14.26,14.59,14.07,14.25,0,0
20010215,14.84,15.07,14.55,14.56,12572200,0
20010216,14.56,14.65,13.94,14.06,1349200,0
20010219,14.06,14.06,14.06,14.06,0,0
20010220,14.06,14.35,13.45,13.45,38849800,0
20010221,13.45,13.54,13.04,13.04,2741200,0
20010222,13.16,13.38,12.70,12.85,908000,0
20010223,12.93,12.93,12.35,12.68,677600,0
20010226,12.80,13.06,12.63,13.02,930400,0
20010227,11.75,12.45,11.19,12.40,3671800,0
20010228,12.40,12.69,12.27,12.56,1260800,0
20010301,12.45,12.45,12.00,12.34,821200,0
20010302,12.21,12.38,11.85,12.03,1258000,0
20010305,12.30,12.30,11.90,11.90,1077200,0
20010306,12.10,12.13,11.85,11.98,885600,0
20010307,11.98,12.28,11.61,12.19,987400,0
20010308,12.19,12.43,12.05,12.24,2525200,0
20010309,12.00,12.19,11.90,12.09,1846400,0
20010312,11.75,12.15,11.65,11.91,1899000,0
20010313,12.00,12.02,11.40,11.56,1366800,0
20010314,11.43,11.87,11.32,11.65,901000,0
20010315,11.90,11.98,11.65,11.74,2802200,0
20010316,11.77,11.90,11.47,11.84,1885800,0
20010319,11.85,11.85,11.50,11.85,12909800,0
20010320,11.90,12.13,11.65,11.69,550400,0
20010321,11.95,12.03,11.63,11.93,1449200,0
20010322,11.88,11.99,11.45,11.93,1284800,0
20010323,11.91,12.44,11.91,12.32,1322200,0
20010326,12.41,12.52,12.00,12.04,10520000,0
20010327,12.00,12.30,11.88,12.24,494600,0
20010328,11.95,11.95,11.43,11.57,996000,0
20010329,11.57,11.89,11.50,11.52,6555000,0
20010330,11.57,12.32,11.54,12.28,6478800,0
20010402,12.20,12.20,11.31,11.38,834200,0
20010403,11.19,11.19,10.40,10.60,1529400,0
20010404,10.60,10.98,10.54,10.62,1101000,0
20010405,10.75,11.36,10.71,11.19,2472400,0
20010406,11.00,11.13,10.65,10.80,694000,0
20010409,10.95,11.52,10.95,11.30,648000,0
20010410,11.38,11.95,11.38,11.76,381400,0
20010411,11.82,12.00,11.48,11.65,353200,0
20010412,11.67,12.20,11.40,12.20,732400,0
20010416,12.15,12.15,11.80,12.02,535800,0
20010417,12.00,12.31,11.97,12.10,494000,0
20010418,12.38,13.45,12.38,12.99,1432200,0
20010419,12.95,13.52,12.90,13.49,628200,0
20010420,13.49,13.60,13.00,13.30,651000,0
20010423,13.30,13.30,12.99,13.03,929800,0
20010424,13.05,13.51,13.03,13.15,603000,0
20010425,13.13,13.39,13.12,13.38,437600,0
20010426,13.40,13.74,13.27,13.60,538400,0
20010427,13.68,13.77,13.51,13.77,710000,0
20010430,13.86,14.38,13.86,14.38,4516800,0
20010501,14.30,14.30,13.98,14.19,947400,0
20010502,14.40,14.60,14.27,14.43,710000,0
20010503,14.32,14.50,14.06,14.50,703800,0
20010504,14.44,15.15,14.44,15.15,2806400,0
20010507,15.08,15.35,15.08,15.27,1256000,0
20010508,15.45,15.63,15.43,15.50,1118000,0
20010509,15.23,15.23,14.67,14.71,1247800,0
20010510,15.13,15.50,15.02,15.31,1309800,0
20010511,15.44,15.47,14.97,15.24,514400,0
20010514,15.23,15.23,14.83,14.88,263600,0
20010515,14.82,15.03,14.73,14.99,644000,0
20010516,14.94,14.94,14.61,14.90,621600,0
20010517,15.00,15.25,15.00,15.25,2621800,0
20010518,15.25,15.31,15.02,15.16,484000,0
20010521,15.23,15.91,15.19,15.91,612800,0
20010522,16.05,16.05,15.72,15.78,1347000,0
20010523,15.76,15.76,15.20,15.30,462600,0
20010524,15.30,15.37,14.94,15.01,10371200,0
20010525,15.00,15.05,14.82,15.02,8274000,0
20010528,15.02,15.02,15.02,15.02,0,0
20010529,14.98,14.98,14.52,14.54,316000,0
20010530,14.45,14.45,13.91,13.91,451400,0
20010531,14.05,14.40,14.01,14.21,4483000,0
20010601,14.26,14.58,14.23,14.56,214400,0
20010604,14.56,14.63,14.48,14.61,202000,0
20010605,14.61,15.18,14.60,15.13,308000,0
20010606,15.01,15.21,14.89,15.01,26351000,0
20010607,15.01,15.04,14.75,14.76,321400,0
20010608,14.76,14.76,14.40,14.48,321200,0
20010611,14.48,14.49,14.09,14.32,552600,0
20010612,14.09,14.50,13.77,14.45,6318600,0
20010613,14.55,15.43,14.51,14.96,1332000,0
20010614,14.91,14.91,14.26,14.26,299600,0
20010615,14.07,14.16,13.88,14.02,258800,0
20010618,14.05,14.05,13.40,13.47,303600,0
20010619,13.54,13.68,13.15,13.15,4526000,0
20010620,13.20,13.42,12.95,13.36,2288200,0
20010621,13.36,13.73,13.30,13.52,288000,0
20010622,13.60,13.95,12.84,12.86,6695200,0
20010625,12.93,13.19,12.86,12.90,14171400,0
20010626,12.90,13.03,12.70,12.98,301000,0
20010627,12.84,13.05,12.74,12.93,566800,0
20010628,13.00,13.45,13.00,13.27,349000,0
20010629,13.32,13.70,13.25,13.60,416200,0
20010702,13.55,13.80,13.45,13.76,10276800,0
20010703,13.70,13.89,13.57,13.86,557200,0
20010704,13.86,13.86,13.86,13.86,0,0
20010705,13.75,13.75,13.38,13.45,2374800,0
20010706,13.45,13.45,12.96,12.98,233200,0
