DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20060418,20.03,20.45,19.94,20.31,6418400,0
20060419,20.32,20.76,20.25,20.65,5130200,0
20060420,20.55,20.79,20.48,20.73,3016100,0
20060421,20.70,20.80,20.45,20.52,3113900,0
20060424,20.44,20.55,20.32,20.36,2153700,0
20060425,20.27,20.32,19.95,20.08,2838600,0
20060426,20.08,20.50,20.01,20.40,8299300,0
20060427,20.38,20.89,20.31,20.85,3051900,0
20060428,20.95,21.39,20.82,21.02,3796200,0
20060501,21.26,21.26,20.74,20.91,3649400,0
20060502,20.83,20.89,20.48,20.81,4186700,0
20060503,21.04,21.10,20.72,21.03,2876300,0
20060504,21.14,21.29,20.94,21.15,2479000,0
20060505,21.25,21.50,21.19,21.39,1734300,0
20060508,21.20,21.47,21.20,21.35,1726800,0
20060509,21.34,21.51,21.25,21.41,2688500,0
20060510,21.33,21.39,21.13,21.23,2716300,0
20060511,21.40,21.40,20.68,20.84,2685600,0
20060512,20.60,20.75,20.24,20.50,2000500,0
20060515,20.35,20.72,20.21,20.47,2550000,0
20060516,20.60,20.63,20.37,20.54,3370400,0
20060517,20.42,20.57,20.17,20.18,2918400,0
20060518,20.28,20.37,20.10,20.20,2639900,0
20060519,20.30,20.30,19.75,20.07,2832900,0
20060522,19.98,20.20,19.65,19.79,3892900,0
20060523,19.94,20.12,19.70,19.70,2603600,0
20060524,19.61,20.05,19.45,19.62,1954800,0
20060525,19.76,20.25,19.76,20.02,3394400,0
20060526,20.00,20.25,19.99,20.21,2195600,0
20060530,20.10,20.27,20.00,20.00,1606600,0
20060531,20.12,20.20,20.00,20.07,3022800,0
20060601,20.33,20.68,20.20,20.61,2481600,0
20060602,20.61,20.90,20.46,20.71,1997400,0
20060605,20.71,21.28,20.59,21.06,3757500,0
20060606,21.06,21.07,20.41,20.54,1771800,0
20060607,20.54,20.82,20.40,20.64,1711700,0
20060608,20.64,20.66,20.10,20.44,3308700,0
20060609,20.55,20.97,20.41,20.90,1813400,0
20060612,20.93,20.99,20.61,20.66,2238100,0
20060613,20.66,20.86,20.20,20.28,1436600,0
20060614,20.32,20.50,20.04,20.21,1546500,0
20060615,20.10,20.93,20.10,20.86,1612300,0
20060616,21.10,21.30,20.92,21.27,3029100,0
20060619,21.27,21.50,21.02,21.11,2046400,0
20060620,20.76,21.08,20.76,20.91,1900800,0
20060621,20.94,21.25,20.86,21.08,2022300,0
20060622,21.08,21.11,20.92,21.06,1230500,0
20060623,20.95,21.16,20.82,21.08,1443400,0
20060626,21.04,21.23,20.91,21.10,1627800,0
20060627,21.11,21.45,21.03,21.29,1833100,0
20060628,21.12,21.38,21.03,21.38,1273700,0
20060629,21.25,21.76,21.23,21.46,4032200,0
20060630,21.40,21.87,21.36,21.87,2797400,0
20060703,21.96,22.25,21.88,22.07,935100,0
20060705,22.06,22.36,21.72,22.29,2857000,0
20060706,22.29,22.48,22.19,22.48,2433300,0
20060707,22.30,22.59,22.25,22.32,1744100,0
20060710,22.29,22.66,22.29,22.41,1150100,0
20060711,22.35,22.36,22.09,22.30,1381600,0
20060712,22.39,22.60,22.26,22.54,3510900,0
20060713,22.54,22.65,22.19,22.25,3160800,0
20060714,22.20,22.26,21.65,21.89,2704500,0
20060717,21.71,22.01,21.69,22.01,1763600,0
20060718,22.20,22.50,21.97,22.47,2777700,0
20060719,22.61,22.80,22.47,22.61,4705300,0
20060720,22.86,22.87,22.29,22.29,2533700,0
20060721,22.27,22.29,21.66,21.82,2361300,0
20060724,21.85,22.44,21.85,22.40,2696500,0
20060725,22.25,22.53,22.19,22.53,3987400,0
20060726,22.50,22.55,22.12,22.34,3234400,0
20060727,22.47,22.56,21.48,21.53,3980700,0
20060728,21.64,21.86,21.53,21.56,3161700,0
20060731,21.56,21.58,21.12,21.22,2879100,0
20060801,21.42,21.52,20.82,21.52,3322900,0
20060802,21.90,21.94,21.61,21.82,2562900,0
20060803,21.66,22.28,21.55,22.23,3027700,0
20060804,22.38,22.65,22.29,22.41,2061000,0
20060807,22.35,22.72,22.16,22.27,1556500,0
20060808,22.42,22.48,21.73,21.75,1368300,0
20060809,21.83,21.91,21.40,21.45,1898600,0
20060810,21.33,21.34,20.80,21.18,2711400,0
20060811,21.20,21.24,20.68,20.69,2466500,0
20060814,20.72,21.14,20.72,21.01,1973900,0
20060815,21.09,21.29,21.09,21.25,5761800,0
20060816,21.35,21.54,21.29,21.39,2119800,0
20060817,21.42,21.86,21.39,21.78,3152500,0
20060818,21.79,21.80,21.44,21.75,2072900,0
20060821,21.75,21.85,21.66,21.85,1187100,0
20060822,21.88,22.11,21.77,22.01,2243900,0
20060823,21.94,22.08,21.68,21.72,2314500,0
20060824,21.73,21.94,21.70,21.89,1355700,0
20060825,21.86,21.92,21.58,21.72,1520000,0
20060828,21.80,22.12,21.70,22.04,2605200,0
20060829,22.05,22.20,21.97,22.08,2049600,0
20060830,22.10,22.34,22.02,22.31,1730300,0
20060831,22.46,22.58,22.26,22.54,2912300,0
20060901,22.55,22.67,22.30,22.31,1461600,0
20060905,22.30,22.45,22.24,22.34,2739100,0
20060906,22.35,22.35,22.11,22.14,2367300,0
20060907,22.19,22.30,22.04,22.26,1669000,0
20060908,22.45,22.66,22.21,22.66,2226800,0
20060911,22.44,22.60,22.35,22.47,1763300,0
20060912,22.56,22.92,22.33,22.83,2638700,0
20060913,22.80,22.95,22.72,22.74,2413000,0
20060914,22.74,22.85,22.30,22.53,4078500,0
20060915,22.75,22.77,22.67,22.73,2214300,0
20060918,22.86,22.86,22.54,22.72,3520700,0
20060919,22.65,22.90,22.55,22.90,2524500,0
20060920,22.98,23.20,22.90,23.06,2593500,0
20060921,23.20,23.22,22.75,22.81,2079200,0
20060922,22.94,22.97,22.48,22.83,1885500,0
20060925,23.08,23.08,22.76,23.06,3241500,0
20060926,23.10,23.13,22.78,23.10,2505900,0
20060927,22.91,23.01,22.74,22.80,2985500,0
20060928,22.80,23.04,22.71,22.96,4729000,0
20060929,23.00,23.20,22.90,22.93,2528600,0
20061002,22.94,23.13,22.78,23.05,2076500,0
