DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,32.09,33.06,32.09,32.53,9810,0
20010103,32.53,32.56,30.53,30.63,9260,0
20010104,30.59,30.66,27.56,28.50,0,0
20010105,28.69,29.22,28.31,28.88,12446,0
20010108,29.00,29.72,28.75,29.59,9562,0
20010109,29.50,29.72,29.22,29.63,26786,0
20010110,29.56,29.63,29.00,29.25,9644,0
20010111,29.19,29.25,28.66,28.66,7760,0
20010112,28.66,28.72,27.94,28.59,0,0
20010115,28.59,28.59,28.59,28.59,0,0
20010116,28.78,29.47,28.78,29.44,8962,0
20010117,29.50,29.50,28.84,28.94,7416,0
20010118,29.00,29.41,28.97,29.13,7114,0
20010119,29.00,29.00,28.38,28.63,6746,0
20010122,28.63,28.63,28.63,28.63,0,0
20010123,28.41,29.22,28.38,28.69,8608,0
20010124,28.75,29.31,28.66,29.22,8114,0
20010125,29.28,29.38,29.00,29.19,24072,0
20010126,29.28,29.69,28.97,29.25,11242,0
20010129,29.58,30.67,29.50,29.98,0,0
20010130,30.50,31.53,29.50,29.52,1158000,0
20010131,29.63,29.88,29.35,29.75,728600,0
20010201,29.77,30.07,29.39,29.90,663600,0
20010202,29.90,30.13,29.70,29.91,634600,0
20010205,30.00,30.91,29.94,30.34,831000,0
20010206,30.27,30.60,30.17,30.52,0,0
20010207,30.63,31.00,30.45,31.00,1006200,0
20010208,30.98,31.95,30.98,31.82,1243200,0
20010209,31.85,32.13,31.85,32.02,1029800,0
20010212,32.01,32.33,31.90,32.33,0,0
20010213,32.33,32.53,31.90,32.46,1261800,0
20010214,32.38,32.38,31.27,31.75,3159400,0
20010215,31.43,31.73,31.35,31.61,658000,0
20010216,31.70,32.25,31.70,32.19,753400,0
20010219,32.19,32.19,32.19,32.19,0,0
20010220,32.00,32.75,31.79,32.47,675000,0
20010221,32.26,32.27,31.73,31.98,768800,0
20010222,31.98,32.17,31.30,31.50,1116800,0
20010223,31.59,31.67,31.16,31.41,877200,0
20010226,31.60,31.90,31.36,31.89,961200,0
20010227,31.74,32.00,31.66,31.95,733200,0
20010228,31.88,32.05,31.80,32.04,923000,0
20010301,32.05,32.58,32.04,32.45,719200,0
20010302,32.46,32.50,31.00,31.75,1552800,0
20010305,31.90,32.00,31.38,32.00,692600,0
20010306,31.73,31.77,31.30,31.75,341000,0
20010307,31.75,31.86,31.55,31.86,533400,0
20010308,31.88,32.25,31.66,32.25,683000,0
20010309,32.35,32.47,32.19,32.33,352000,0
20010312,32.45,32.76,32.28,32.60,2202000,0
20010313,32.60,32.60,32.14,32.38,1416600,0
20010314,32.28,32.47,32.15,32.26,1086000,0
20010315,32.35,32.63,32.08,32.60,381000,0
20010316,33.25,33.25,32.76,33.05,1671400,0
20010319,33.06,33.65,33.06,33.21,3193400,0
20010320,33.20,33.45,33.03,33.22,1096200,0
20010321,33.10,33.24,32.60,32.91,1367400,0
20010322,32.81,32.81,31.90,32.48,1295200,0
20010323,32.48,32.48,31.82,32.35,1181400,0
20010326,32.30,32.50,32.08,32.28,751400,0
20010327,32.75,33.43,32.75,33.24,1064800,0
20010328,33.50,34.00,33.45,33.95,11211200,0
20010329,34.13,34.50,33.83,34.49,5274800,0
20010330,34.59,35.08,34.50,34.66,1939800,0
20010402,34.72,34.79,34.26,34.38,1249000,0
20010403,34.33,34.40,33.45,33.74,2292200,0
20010404,33.45,33.67,33.21,33.67,1511000,0
20010405,33.97,33.97,33.13,33.40,3207800,0
20010406,33.28,33.61,33.00,33.17,8773000,0
20010409,33.28,33.74,33.28,33.53,2884200,0
20010410,33.53,33.55,33.11,33.47,1390600,0
20010411,33.38,33.38,32.76,33.22,493800,0
20010412,33.25,33.47,32.90,32.94,859000,0
20010416,32.95,33.21,32.42,32.76,1528800,0
20010417,32.76,32.81,32.45,32.45,1772600,0
20010418,32.50,32.53,31.27,31.48,2470000,0
20010419,31.23,32.05,31.11,31.76,1348200,0
20010420,32.05,32.05,30.80,31.00,5367600,0
20010423,31.00,31.00,30.25,30.37,2202400,0
20010424,30.39,30.60,30.19,30.42,1335400,0
20010425,30.48,31.25,30.41,31.17,2843800,0
20010426,30.88,31.38,30.77,31.10,1250000,0
20010427,30.95,31.50,30.83,31.33,862600,0
20010430,31.38,31.38,30.02,30.20,9446600,0
20010501,30.30,30.33,29.55,29.89,2832800,0
20010502,29.80,30.87,29.77,30.10,3084000,0
20010503,29.95,30.15,29.75,29.94,1243600,0
