DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,14.50,15.25,14.31,14.94,27913,0
20010103,14.69,15.63,14.25,14.38,10216,0
20010104,14.38,14.44,12.25,13.19,11977,0
20010105,13.00,14.25,12.75,13.63,16099,0
20010108,13.63,14.50,13.38,13.56,0,0
20010109,13.56,14.19,13.06,13.94,20017,0
20010110,13.88,14.75,13.75,14.38,8286,0
20010111,14.81,14.81,14.00,14.13,34285,0
20010112,13.94,14.00,13.50,13.63,0,0
20010115,13.63,13.63,13.63,13.63,0,0
20010116,13.31,13.44,12.81,13.25,106458,0
20010117,13.13,13.19,12.25,12.56,8782,0
20010118,12.75,12.75,11.94,12.19,7933,0
20010119,11.81,12.00,10.88,11.00,116157,0
20010122,11.00,11.00,11.00,11.00,0,0
20010123,11.75,12.94,11.69,12.69,8410,0
20010124,12.69,12.94,12.38,12.38,6529,0
20010125,12.75,12.88,12.25,12.63,0,0
20010126,12.63,12.75,12.31,12.63,5730,0
20010129,14.03,14.47,13.41,13.50,0,0
20010130,13.25,14.13,13.09,13.66,0,0
20010131,12.51,12.81,11.89,11.99,784400,0
20010201,11.95,12.44,11.95,11.99,0,0
20010202,11.99,12.62,11.99,12.30,717300,0
20010205,12.60,13.12,12.31,12.79,774900,0
20010206,12.30,12.70,12.06,12.25,1041500,0
20010207,12.75,13.25,12.35,12.58,2915600,0
20010208,13.00,13.12,12.71,12.80,1270700,0
20010209,12.80,12.95,12.27,12.38,547400,0
20010212,12.36,13.45,12.36,13.45,1211400,0
20010213,13.18,13.50,13.00,13.00,770900,0
20010214,13.45,13.99,12.40,13.63,807400,0
20010215,13.70,13.75,13.42,13.60,511700,0
20010216,13.70,13.74,13.30,13.31,553000,0
20010219,13.31,13.31,13.31,13.31,0,0
20010220,13.30,13.60,13.10,13.19,724800,0
20010221,13.25,13.55,13.00,13.12,2338400,0
20010222,13.50,13.50,12.80,13.10,739300,0
20010223,13.00,13.00,12.50,12.50,1767000,0
20010226,12.65,13.00,12.50,12.85,910300,0
20010227,12.55,13.60,12.50,13.25,855500,0
20010228,13.65,13.80,13.15,13.50,727800,0
20010301,13.50,13.90,12.92,13.75,889700,0
20010302,13.50,13.97,13.41,13.63,4532800,0
20010305,13.65,13.99,13.43,13.80,522600,0
20010306,13.40,14.00,13.40,13.61,237600,0
20010307,13.85,13.98,13.77,13.96,428900,0
20010308,14.00,14.00,13.71,13.85,210800,0
20010309,13.85,13.95,12.90,13.10,933500,0
20010312,12.65,13.25,12.59,12.59,1147600,0
20010313,12.50,13.05,12.45,13.00,472700,0
20010314,12.75,13.03,12.26,12.81,5315200,0
20010315,12.71,12.98,12.47,12.89,4388500,0
20010316,12.70,12.80,12.37,12.50,5384700,0
