DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20051116,7.80,8.84,7.71,7.85,97786500,0
20051117,8.06,8.35,6.91,7.05,34319500,0
20051118,7.19,7.40,6.90,7.00,12810000,0
20051121,7.05,7.19,6.96,7.18,6404000,0
20051122,7.09,7.09,6.86,6.99,6534500,0
20051123,6.94,6.99,6.31,6.79,12421000,0
20051125,6.75,6.89,6.73,6.83,1316000,0
20051128,6.78,6.78,6.51,6.66,3155000,0
20051129,6.66,6.70,6.25,6.39,4477500,0
20051130,6.42,6.48,6.32,6.46,3894500,0
20051201,6.46,7.04,6.43,7.00,5688500,0
20051202,7.00,7.26,6.98,7.22,5120000,0
20051205,7.24,7.49,7.24,7.36,4593000,0
20051206,7.36,7.52,7.29,7.32,3202500,0
20051207,7.33,7.33,6.90,7.09,2462000,0
20051208,7.14,7.27,7.11,7.20,1823500,0
20051209,7.20,7.29,7.16,7.24,808000,0
20051212,7.29,7.30,7.21,7.29,953500,0
20051213,7.29,7.29,7.10,7.12,1843000,0
20051214,7.10,7.14,6.96,7.00,1446000,0
20051215,6.99,6.99,6.73,6.80,3273000,0
20051216,6.77,6.90,6.70,6.84,8170500,0
20051219,6.80,6.88,6.77,6.87,2242000,0
20051220,6.92,7.08,6.88,6.99,2423500,0
20051221,6.98,7.00,6.91,6.96,916500,0
20051222,6.96,6.96,6.86,6.94,1171000,0
20051223,6.89,6.94,6.81,6.85,985000,0
20051227,6.90,7.09,6.90,7.05,1214000,0
20051228,7.05,7.09,7.01,7.02,581000,0
20051229,6.98,7.24,6.98,7.23,1076500,0
20051230,7.25,7.27,7.09,7.27,923500,0
20060103,7.30,7.65,7.20,7.57,2993000,0
20060104,7.58,7.58,7.27,7.38,1196500,0
20060105,7.64,7.95,7.64,7.86,3481000,0
20060106,7.85,8.08,7.82,8.06,2306500,0
20060109,8.20,8.86,8.18,8.72,8727000,0
20060110,8.67,9.36,8.67,9.20,8667500,0
20060111,9.30,9.64,9.07,9.38,7560000,0
20060112,9.47,9.57,8.65,8.79,4841500,0
20060113,8.74,8.92,8.60,8.91,2013000,0
20060117,9.10,9.40,9.00,9.28,2610000,0
20060118,9.27,9.27,9.00,9.16,1397500,0
