DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,20.25,20.31,20.00,20.25,0,0
20010103,20.38,21.31,20.25,20.81,23411,0
20010104,20.56,21.19,20.31,20.75,4392,0
20010105,20.63,21.25,20.50,21.06,2418,0
20010108,21.00,21.69,21.00,21.50,4256,0
20010109,21.56,21.63,21.31,21.38,6010,0
20010110,21.25,21.56,21.19,21.44,41866,0
20010111,21.63,21.63,21.19,21.50,0,0
20010112,21.44,21.94,21.19,21.75,0,0
20010115,21.75,21.75,21.75,21.75,0,0
20010116,21.56,22.19,21.56,22.06,0,0
20010117,22.31,22.56,21.94,22.00,2657,0
20010118,22.25,22.31,21.88,22.06,23023,0
20010119,22.13,22.19,21.75,22.06,0,0
20010122,22.06,22.06,22.06,22.06,0,0
20010123,22.00,22.00,21.88,22.00,0,0
20010124,21.88,21.94,21.63,21.81,3648,0
20010125,21.81,21.81,21.50,21.50,21753,0
20010126,21.25,21.50,21.13,21.25,0,0
20010129,22.72,23.03,21.25,21.91,0,0
20010130,21.78,22.75,21.44,22.75,0,0
20010131,21.31,22.10,21.30,22.07,0,0
20010201,22.09,22.40,22.00,22.26,241100,0
20010202,22.49,22.49,21.95,22.01,307800,0
20010205,21.95,22.18,21.89,22.00,442500,0
20010206,22.05,22.39,21.99,22.23,194600,0
20010207,22.00,22.45,22.00,22.25,164700,0
20010208,22.40,22.49,22.24,22.35,0,0
20010209,22.40,22.45,21.71,21.85,1135900,0
20010212,21.55,22.00,21.55,21.86,625300,0
20010213,21.90,22.36,21.80,22.20,444900,0
20010214,22.20,22.42,21.60,21.60,0,0
20010215,21.25,21.59,21.20,21.58,445900,0
20010216,22.00,22.00,21.68,21.70,0,0
20010219,21.70,21.70,21.70,21.70,0,0
20010220,22.40,22.75,22.30,22.58,531100,0
20010221,22.50,22.53,22.04,22.11,1272000,0
20010222,22.05,22.40,21.55,21.60,385800,0
20010223,21.45,21.70,21.10,21.23,3201200,0
20010226,21.48,21.58,21.18,21.44,211100,0
20010227,21.39,21.75,21.33,21.35,231200,0
20010228,21.50,21.73,19.75,20.21,5783500,0
20010301,20.25,20.87,20.20,20.73,527600,0
20010302,20.74,20.95,20.60,20.76,3359200,0
20010305,20.52,21.09,20.45,21.07,3260700,0
20010306,21.00,21.21,20.90,21.15,2252300,0
20010307,21.25,21.45,21.21,21.34,328100,0
20010308,21.30,22.17,21.30,22.00,515800,0
20010309,21.90,22.10,21.82,21.95,1265700,0
20010312,21.95,22.08,21.52,21.52,244200,0
20010313,21.40,21.40,20.87,21.02,178000,0
20010314,20.25,20.85,20.25,20.75,259700,0
20010315,20.75,21.05,20.00,20.49,1792800,0
20010316,20.25,20.75,19.87,20.54,3382200,0
20010319,20.70,21.81,20.70,21.48,629600,0
20010320,21.24,22.10,21.01,21.80,2413300,0
20010321,21.80,21.80,21.45,21.50,6327900,0
20010322,21.25,21.71,20.70,21.00,998600,0
20010323,20.80,21.32,20.76,21.31,442900,0
20010326,21.31,21.63,21.23,21.49,192800,0
20010327,21.35,21.45,21.00,21.30,2334300,0
20010328,21.30,21.30,20.76,20.80,914800,0
20010329,20.76,21.60,20.75,21.56,6327300,0
20010330,21.39,22.25,21.02,22.06,340900,0
20010402,22.36,22.46,21.72,21.84,511000,0
20010403,21.55,21.90,21.25,21.30,365000,0
20010404,21.50,22.24,21.48,22.04,256000,0
20010405,22.06,22.56,22.06,22.53,532200,0
20010406,22.50,22.73,21.51,22.28,620700,0
20010409,22.05,22.73,22.05,22.39,1301200,0
20010410,22.50,23.22,22.50,23.16,606400,0
20010411,23.16,23.16,22.50,22.62,353900,0
20010412,22.74,22.90,22.40,22.60,305100,0
20010416,22.10,22.80,22.10,22.44,1519600,0
20010417,22.69,22.89,22.36,22.49,656200,0
20010418,22.55,23.26,22.40,23.19,308900,0
20010419,23.19,23.19,22.53,23.01,2348000,0
20010420,22.80,23.00,22.43,22.45,427700,0
20010423,22.50,22.59,21.88,21.90,273500,0
20010424,22.00,22.00,21.38,21.65,516900,0
20010425,21.60,21.87,21.52,21.87,258100,0
20010426,22.00,22.85,21.74,22.71,238500,0
20010427,23.60,23.60,22.81,23.53,1318300,0
20010430,23.25,25.03,23.23,24.72,3031600,0
20010501,24.80,24.80,24.58,24.61,604700,0
20010502,24.60,24.90,24.55,24.80,733000,0
20010503,24.65,24.65,24.15,24.50,26680100,0
20010504,24.35,24.99,24.15,24.98,185400,0
20010507,24.99,25.29,24.95,25.00,1239500,0
20010508,24.90,25.25,24.45,25.20,576000,0
20010509,25.25,25.56,25.24,25.56,2226300,0
20010510,26.50,27.05,26.35,27.00,1136700,0
20010511,26.90,27.12,26.33,26.47,338200,0
20010514,26.45,27.00,26.00,26.18,323400,0
20010515,26.20,26.20,25.80,25.87,493000,0
20010516,25.80,27.15,25.80,27.10,5334700,0
20010517,27.35,27.75,27.15,27.72,470600,0
20010518,27.72,27.87,27.39,27.45,226200,0
20010521,27.44,28.20,27.44,28.09,356500,0
20010522,28.05,28.05,27.41,27.54,1173500,0
20010523,27.37,27.50,27.13,27.33,303200,0
20010524,27.30,27.39,26.40,26.76,434300,0
20010525,27.05,27.07,26.54,26.61,7258800,0
20010528,26.61,26.61,26.61,26.61,0,0
20010529,26.74,26.84,26.49,26.64,7365200,0
20010530,26.60,26.90,26.58,26.58,172300,0
20010531,26.45,26.61,26.17,26.24,5469800,0
20010601,26.40,26.40,25.98,26.08,2295600,0
20010604,26.08,26.20,25.90,26.10,366700,0
20010605,26.25,26.70,25.90,26.54,1192400,0
20010606,27.25,27.25,26.45,26.51,615800,0
20010607,26.85,27.00,26.52,26.75,1123800,0
20010608,26.90,26.95,26.62,26.84,162100,0
20010611,26.51,26.65,26.39,26.50,134200,0
20010612,26.25,26.53,26.25,26.46,216600,0
20010613,26.47,26.70,26.44,26.53,96500,0
20010614,26.52,26.52,25.62,25.82,180900,0
20010615,26.20,26.20,25.75,25.85,467700,0
20010618,25.85,25.98,25.50,25.54,159200,0
20010619,25.50,25.55,25.28,25.35,256000,0
20010620,25.53,25.71,25.40,25.50,167100,0
20010621,25.50,25.65,25.20,25.49,463800,0
20010622,25.35,25.39,25.00,25.15,1171500,0
20010625,25.15,25.16,24.39,24.42,1348300,0
20010626,24.45,24.86,24.35,24.63,2339600,0
20010627,24.75,25.00,24.75,24.96,1146400,0
20010628,24.90,25.31,24.90,25.00,4167500,0
20010629,25.20,25.85,25.09,25.13,515800,0
20010702,25.45,26.02,25.45,25.91,317600,0
20010703,25.90,26.05,25.52,25.97,264700,0
20010704,25.97,25.97,25.97,25.97,0,0
20010705,25.96,25.96,25.53,25.54,236000,0
20010706,25.30,25.74,24.97,25.05,2282100,0
20010709,25.20,25.75,25.11,25.57,1205300,0
20010710,25.45,25.73,25.42,25.45,124300,0
20010711,25.40,26.06,25.40,25.80,152400,0
20010712,26.49,26.50,25.76,26.00,3309500,0
20010713,25.97,26.06,25.80,26.02,306800,0
20010716,26.10,26.25,25.91,26.04,303000,0
20010717,26.05,26.50,26.05,26.10,168900,0
20010718,26.11,27.24,26.11,27.24,1321700,0
20010719,27.45,28.35,27.40,28.00,1410900,0
20010720,28.00,28.16,27.72,28.00,194800,0
20010723,28.15,28.20,27.50,28.12,4280200,0
20010724,28.00,28.55,27.72,28.14,4480300,0
20010725,28.10,28.20,27.92,27.99,254200,0
20010726,27.75,28.35,26.98,27.93,6274700,0
20010727,28.00,28.20,27.74,27.84,178500,0
20010730,27.56,28.61,27.56,28.53,145700,0
20010731,28.60,29.43,28.60,29.13,1074600,0
20010801,29.13,29.34,28.84,29.12,13259200,0
20010802,29.13,29.99,29.12,29.91,3346500,0
20010803,29.91,29.93,28.80,29.36,1275100,0
20010806,29.60,29.60,29.41,29.51,6173800,0
20010807,29.51,30.00,29.51,29.98,2268100,0
20010808,29.98,30.10,29.46,29.47,307700,0
20010809,29.47,29.48,28.93,29.06,170400,0
20010810,29.05,29.19,28.45,28.88,375700,0
20010813,28.95,29.20,28.77,29.15,292700,0
20010814,29.10,29.26,28.99,29.16,396800,0
20010815,29.25,29.60,29.05,29.58,143600,0
20010816,29.75,31.42,29.51,31.26,1063100,0
20010817,30.90,31.55,30.80,31.10,1282400,0
20010820,31.10,31.15,30.71,31.12,1248200,0
20010821,31.23,31.23,30.99,31.15,172200,0
20010822,31.16,31.60,30.81,31.33,2219600,0
20010823,31.33,31.60,31.06,31.10,254700,0
20010824,31.07,31.11,30.76,30.85,485300,0
20010827,30.86,31.02,30.66,30.70,343500,0
20010828,30.71,30.71,30.30,30.49,230700,0
20010829,30.50,30.50,29.92,30.25,201500,0
20010830,30.40,30.50,30.07,30.23,318300,0
20010831,30.10,30.30,30.00,30.15,1200800,0
20010903,30.15,30.15,30.15,30.15,0,0
20010904,30.25,30.48,30.15,30.15,1257200,0
20010905,29.90,30.14,29.01,30.11,699500,0
20010906,29.71,30.00,29.68,29.96,1201900,0
20010907,29.70,29.70,29.41,29.50,340300,0
20010910,29.25,29.51,29.03,29.13,244800,0
20010911,29.13,29.13,29.13,29.13,0,0
20010917,27.10,28.62,27.05,28.62,283100,0
20010918,28.20,28.20,27.42,28.16,513900,0
20010919,28.16,28.20,26.60,27.20,668100,0
20010920,27.20,27.20,26.75,27.01,399600,0
20010921,26.01,26.30,25.30,25.52,632900,0
20010924,25.50,26.05,25.50,25.81,633900,0
20010925,27.35,27.35,26.10,27.21,732300,0
20010926,27.50,27.90,26.80,27.10,524400,0
20010927,26.86,27.28,26.57,27.21,502800,0
20010928,27.35,27.78,27.34,27.69,559500,0
20011001,27.55,27.68,27.20,27.53,414900,0
20011002,27.50,27.99,27.21,27.93,335700,0
20011003,26.46,26.75,24.66,25.62,3014600,0
20011004,25.63,25.63,24.25,25.44,1655600,0
20011005,25.45,26.83,25.39,26.80,694800,0
20011008,26.55,26.70,26.13,26.30,299800,0
20011009,26.30,26.96,26.28,26.64,441700,0
20011010,26.45,27.40,26.45,27.15,224200,0
20011011,27.05,27.69,27.05,27.30,371100,0
20011012,27.15,27.15,26.50,27.02,292700,0
20011015,27.15,27.15,26.50,26.80,325400,0
20011016,27.05,27.15,26.59,26.93,311300,0
20011017,27.00,27.25,26.75,26.92,434000,0
20011018,26.92,27.26,26.80,27.16,170500,0
20011019,27.17,27.95,27.10,27.91,606200,0
20011022,27.75,28.10,27.70,28.03,565500,0
20011023,28.35,28.45,27.40,27.87,455600,0
