DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,19.3125,19.4844,17.5000,18.1250,5615800,0
20010103,18.1563,21.5625,17.8125,19.5313,10095800,0
20010104,19.6563,21.0313,19.6563,20.2188,7418800,0
20010105,20.9063,20.9063,17.7188,18.1250,9326200,0
20010108,18.2813,18.2813,15.5313,16.4688,13831200,0
20010109,16.9375,17.8125,16.3750,17.0313,9962400,0
20010110,17.0625,17.9375,16.5000,17.6250,7307200,0
20010111,17.5625,17.8438,16.9063,17.5000,8346000,0
20010112,17.4688,17.8438,16.8438,17.0313,5019000,0
20010115,17.0313,17.0313,17.0313,17.0313,0,0
20010116,17.2813,17.5313,16.4688,17.0313,5736600,0
20010117,17.3438,17.8438,17.2813,17.5000,7436400,0
20010118,17.5938,18.3750,17.1250,18.2188,7388400,0
20010119,18.9688,19.1250,17.6563,18.0000,6608800,0
20010122,18.1875,18.2813,17.1250,17.5625,5952200,0
20010123,17.9688,17.9688,16.8750,17.7500,9433000,0
20010124,18.0625,19.2813,17.6563,18.7500,10658600,0
20010125,18.6250,19.5938,18.4375,19.2500,8561400,0
20010126,19.2188,19.3750,17.9688,18.0625,8073000,0
20010129,17.6563,18.4063,17.5000,18.0000,7752600,0
20010130,18.9688,20.2500,17.8750,18.9063,16916000,0
20010131,19.0000,20.2500,18.9063,19.7500,14103000,0
20010201,19.6250,20.4375,19.4688,19.9375,4238800,0
20010202,19.9063,20.6875,19.8438,19.9375,6658000,0
20010205,19.6563,20.4063,19.6563,20.0313,5780600,0
20010206,19.9688,22.0938,19.9375,21.8438,7822600,0
20010207,21.1563,21.1563,18.6250,19.2500,17206000,0
20010208,19.4063,19.4375,18.3125,18.4688,10474000,0
20010209,18.4375,18.5000,16.6875,17.0313,11715000,0
20010212,17.1250,18.6875,17.1250,18.0938,7372000,0
20010213,18.1250,18.8906,17.2500,17.2500,6129600,0
20010214,17.0313,17.8750,16.9063,17.8438,5589000,0
20010215,18.0781,19.1250,18.0000,18.2813,4237200,0
20010216,17.9688,18.1719,17.3438,17.4063,3235600,0
20010219,17.4063,17.4063,17.4063,17.4063,0,0
20010220,17.7500,18.1250,16.2813,16.3438,6763800,0
20010221,17.8125,19.8750,17.8125,19.0000,12914400,0
20010222,18.8750,19.7188,18.1563,19.1563,7168200,0
20010223,18.8594,20.0000,18.5938,19.9375,5176600,0
20010226,20.2188,22.6875,20.1250,22.5000,12449600,0
20010227,21.8750,21.9531,20.3125,21.7188,10689600,0
20010228,21.6250,22.0625,20.0313,20.5625,7108800,0
20010301,20.1875,22.4063,19.7344,22.1563,6230400,0
20010302,21.3125,22.1563,20.5000,20.6875,70400000,0
20010305,20.9375,21.6563,20.4375,21.0625,2800400,0
20010306,21.8125,23.0938,21.3438,21.4063,8345800,0
20010307,22.0000,23.5000,22.0000,23.2188,10568600,0
20010308,23.4375,23.6250,22.0000,22.2188,5669400,0
20010309,21.9063,21.9375,20.2500,21.0313,7305800,0
20010312,20.4531,22.0938,20.0313,20.0781,8228800,0
20010313,20.6563,22.1719,20.2813,21.9063,8703000,0
20010314,20.7656,22.0000,20.3125,21.1250,6504000,0
20010315,21.7188,21.9688,14.6875,14.9063,88386400,0
20010316,14.5313,15.2813,13.4063,15.0000,26351600,0
20010319,15.1563,15.7188,14.2813,15.5938,9253400,0
20010320,15.7813,16.0000,14.5000,14.5313,7932800,0
20010321,14.6250,15.1250,14.0938,14.4688,10129400,0
20010322,14.6563,15.3438,14.2188,15.2500,8509800,0
20010323,15.5938,16.2500,15.1250,15.2188,4554600,0
20010326,15.8125,16.1875,14.9375,15.1406,4985000,0
20010327,15.2500,16.4400,15.2500,16.0650,7764400,0
20010328,15.9050,15.9550,14.0950,14.3450,6499400,0
20010329,14.0150,14.6250,13.7200,14.0000,6897800,0
20010330,13.9700,14.0300,13.5000,13.8750,7421800,0
20010402,13.7500,13.7800,11.4400,12.4400,19588800,0
20010403,12.2350,12.3150,11.3150,11.7200,13066800,0
20010404,11.7500,12.9050,11.7500,12.4400,13353400,0
20010405,13.1250,14.8750,13.1250,14.7950,13434600,0
20010406,14.0000,15.3150,13.9200,14.7500,8163200,0
20010409,14.7150,15.7100,14.5500,14.8700,5646800,0
20010410,15.1200,16.0000,15.0850,15.6000,7310800,0
20010411,16.0450,16.0550,14.2000,14.5400,10782800,0
20010412,14.4850,15.0450,14.0200,14.5850,8386600,0
20010416,14.5800,14.5800,13.5500,13.6150,4327800,0
20010417,13.5100,14.6100,13.3100,14.2600,6688000,0
20010418,14.8250,15.7500,14.3750,15.2550,11647800,0
20010419,15.2200,15.8750,14.6850,15.8600,5617200,0
20010420,15.3600,15.7650,15.0000,15.4950,6738600,0
20010423,15.4950,15.5000,14.6050,14.7050,4419600,0
20010424,14.8100,15.4750,14.0000,14.6900,5884800,0
20010425,14.6300,15.5000,14.3900,15.4400,2885200,0
20010426,15.6700,16.2500,14.4000,14.6950,5815400,0
20010427,15.1950,15.8250,15.0350,15.2250,4082000,0
20010430,15.5500,16.6700,15.3750,16.0200,7984600,0
20010501,15.8600,16.3750,15.3600,16.0600,5858400,0
20010502,16.2600,16.7500,16.1700,16.4850,6681400,0
20010503,16.2400,16.2500,15.4200,15.4500,3742000,0
20010504,15.2400,17.3750,14.9450,17.3700,7309600,0
20010507,17.1800,17.5050,16.4000,16.5050,7187600,0
20010508,17.0100,17.5000,16.0250,17.4450,7061000,0
20010509,17.1750,17.1750,16.4750,17.0200,8761200,0
20010510,17.1400,17.6250,16.9750,17.0150,6777600,0
20010511,17.0450,17.3700,16.6200,16.7600,3409600,0
20010514,16.7250,16.7450,16.4300,16.6550,2598800,0
20010515,16.6550,17.1000,16.1400,16.4700,4223000,0
20010516,16.1200,17.4750,16.1200,17.3050,5263400,0
20010517,17.3400,17.9450,16.8800,17.6150,4022600,0
20010518,16.5300,16.6000,15.6300,16.1100,7617800,0
20010521,16.3500,16.3700,15.3250,15.8100,9967600,0
20010522,16.0950,16.1500,15.1950,15.5750,12128200,0
20010523,16.9500,17.2250,16.4450,16.6750,15484400,0
20010524,16.4950,17.7250,16.3000,17.6650,6919600,0
20010525,17.6700,18.2200,17.2250,17.8800,6961400,0
20010528,17.8800,17.8800,17.8800,17.8800,0,0
20010529,17.7650,17.8000,15.9250,16.2050,7250200,0
20010530,15.8550,16.1500,15.0000,15.1800,5943200,0
20010531,15.2950,16.4500,15.2800,16.0300,4251400,0
20010601,16.3050,16.5000,15.2500,16.1950,3875600,0
20010604,16.2550,16.4000,15.5150,15.9350,2458600,0
20010605,15.9850,16.9250,15.9800,16.8050,3848400,0
20010606,16.8900,17.6000,16.3250,17.2400,4776000,0
20010607,17.1450,17.8150,16.7900,17.8100,4959000,0
20010608,17.7000,18.6950,17.6750,17.7950,7141600,0
20010611,17.6500,18.5000,17.6250,17.9700,6807200,0
20010612,17.5100,18.4250,17.4550,18.3750,6723800,0
20010613,18.4550,18.7000,18.1900,18.3700,5928400,0
