DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,40.00,41.13,39.00,39.44,92222,0
20010103,39.44,42.00,39.25,41.06,58460,0
20010104,41.00,43.25,40.44,42.63,50424,0
20010105,42.69,42.69,40.25,41.56,249000,0
20010108,41.56,41.69,39.25,40.00,33338,0
20010109,39.94,39.94,37.94,38.31,28670,0
20010110,38.56,38.63,37.06,38.13,30313,0
20010111,38.00,38.06,36.56,37.69,39170,0
20010112,36.88,37.00,35.75,36.94,36547,0
20010115,36.94,36.94,36.94,36.94,0,0
20010116,36.69,38.06,36.13,37.63,31847,0
20010117,37.88,37.88,36.25,36.56,26672,0
20010118,36.25,36.75,35.56,35.81,32733,0
20010119,35.88,36.00,34.25,34.69,29543,0
20010122,34.69,34.69,34.69,34.69,0,0
20010123,35.81,36.75,35.75,36.56,130724,0
20010124,35.31,37.25,35.31,36.25,28969,0
20010125,36.50,38.19,36.44,37.63,34892,0
20010126,37.06,37.38,36.06,36.75,0,0
20010129,38.66,38.66,37.03,38.03,2824100,0
20010130,38.56,40.97,37.00,39.59,2770400,0
20010131,38.99,39.20,37.77,38.65,2801700,0
20010201,38.65,39.55,38.15,38.85,11998600,0
20010202,38.95,39.09,38.35,38.52,1646200,0
20010205,38.69,39.15,38.41,39.00,1673500,0
20010206,38.85,38.89,37.90,38.24,1679900,0
20010207,38.00,38.18,37.38,37.89,3446900,0
20010208,38.14,38.29,36.45,36.91,8167400,0
20010209,36.90,37.01,35.83,36.60,2121400,0
20010212,37.00,37.49,36.01,37.20,1933200,0
20010213,37.45,38.24,36.80,37.11,1875400,0
20010214,37.11,37.11,35.30,36.10,26981900,0
20010215,36.87,38.17,36.87,37.90,24009100,0
20010216,37.57,37.88,36.65,36.76,15947900,0
20010219,36.76,36.76,36.76,36.76,0,0
20010220,37.24,37.74,36.82,36.96,2220200,0
20010221,36.90,37.26,35.80,35.80,2312300,0
20010222,36.30,36.83,35.75,36.13,1848100,0
20010223,36.25,36.82,35.42,35.75,1879600,0
20010226,36.08,37.20,36.08,37.20,16078700,0
20010227,37.50,37.72,36.94,37.48,1532200,0
20010228,37.73,38.22,37.14,37.66,2044700,0
20010301,37.60,37.99,37.11,37.62,2915600,0
20010302,37.60,39.20,37.50,39.00,3767500,0
20010305,39.15,40.31,39.02,40.17,2338400,0
20010306,40.25,40.35,39.36,39.59,2365800,0
20010307,40.10,40.89,39.89,40.57,2102300,0
20010308,40.57,41.30,39.57,40.90,2374700,0
20010309,41.34,41.34,39.80,39.95,2689500,0
20010312,39.97,39.97,37.53,37.89,2546700,0
20010313,37.90,37.91,36.20,37.34,3003200,0
20010314,36.00,36.59,35.01,35.45,6402700,0
20010315,35.65,35.85,34.56,34.91,20611500,0
20010316,35.25,36.25,34.79,35.82,3902700,0
20010319,36.20,36.79,36.08,36.26,2088600,0
20010320,36.27,38.40,36.05,37.36,4618200,0
20010321,36.55,36.70,35.31,35.53,3889000,0
20010322,35.00,35.00,32.90,34.16,4023800,0
20010323,34.00,34.60,33.07,34.06,3541500,0
20010326,34.00,35.75,33.41,35.60,10366400,0
20010327,35.60,36.65,35.28,36.48,2764000,0
20010328,36.04,36.31,34.95,36.22,2650500,0
20010329,36.01,36.15,34.05,36.15,2815400,0
20010330,34.80,36.30,34.51,36.05,3147900,0
20010402,36.19,36.52,34.51,34.88,2367200,0
20010403,34.43,34.43,33.36,33.99,2290700,0
20010404,33.84,35.18,33.62,34.42,2168400,0
20010405,35.30,35.59,34.75,35.55,1659100,0
20010406,35.03,35.03,34.00,34.50,1655000,0
20010409,34.70,35.59,34.40,35.00,1914400,0
20010410,35.20,37.60,35.10,37.01,4173900,0
20010411,37.01,37.60,36.25,36.59,3448800,0
20010412,36.20,36.85,35.70,36.43,2702100,0
20010416,36.47,37.20,36.30,37.05,1913500,0
20010417,36.90,37.20,36.25,37.01,1607400,0
20010418,37.00,39.50,36.45,38.81,3668000,0
20010419,38.81,38.81,38.01,38.49,1959900,0
20010420,37.60,38.78,37.60,37.68,2036600,0
20010423,37.68,38.80,37.50,38.04,2392900,0
20010424,38.05,38.48,36.85,37.38,1864900,0
20010425,37.60,37.82,36.63,37.74,1114600,0
20010426,37.73,38.88,37.26,38.40,2143100,0
20010427,39.35,39.35,38.30,38.74,2141200,0
20010430,38.74,39.72,38.52,39.18,2314800,0
20010501,39.18,39.65,38.71,39.51,2565300,0
20010502,39.50,39.50,38.39,38.97,2708800,0
20010503,38.85,38.85,37.60,38.00,2312600,0
20010504,37.58,38.57,37.41,38.55,3093100,0
20010507,38.50,38.80,37.75,37.90,2032900,0
20010508,37.85,38.35,37.62,37.66,1979400,0
20010509,37.67,38.14,37.67,38.03,1931700,0
20010510,38.54,38.54,38.07,38.43,2050600,0
20010511,38.45,38.49,36.76,37.35,2818300,0
20010514,37.39,37.50,36.85,37.40,1881700,0
20010515,37.15,38.35,37.10,37.70,4008500,0
20010516,37.57,40.00,37.27,39.85,4377100,0
20010517,39.84,41.00,39.75,40.85,4889600,0
