DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,42.50,42.94,38.00,38.63,205505,0
20010103,38.38,42.31,38.38,42.31,173345,0
20010104,42.38,46.38,42.13,44.81,172635,0
20010105,44.81,44.94,43.31,43.69,38393,0
20010108,43.75,43.75,42.25,43.44,8251,0
20010109,43.50,43.50,42.44,42.75,0,0
20010110,42.63,43.94,42.56,43.88,8496,0
20010111,43.00,45.19,42.81,45.06,16282,0
20010112,44.63,45.38,44.06,45.38,14873,0
20010115,45.38,45.38,45.38,45.38,0,0
20010116,45.44,46.00,45.25,45.88,17045,0
20010117,46.00,47.31,45.88,46.94,12777,0
20010118,47.44,47.44,44.50,44.94,50705,0
20010119,45.00,45.94,44.25,44.50,13684,0
20010122,44.50,44.50,44.50,44.50,0,0
20010123,44.31,44.38,40.13,43.25,42451,0
20010124,43.25,44.19,42.81,44.00,11613,0
20010125,43.13,43.75,42.88,42.94,12319,0
20010126,43.06,43.06,40.94,41.56,16507,0
20010129,43.56,44.97,42.00,44.06,600100,0
20010130,43.44,43.97,41.00,42.56,1261300,0
20010131,41.50,41.60,40.30,41.20,1088600,0
20010201,41.20,42.29,41.20,42.15,11160200,0
20010202,42.27,42.40,41.50,42.31,1268100,0
20010205,41.50,41.99,41.50,41.62,804100,0
20010206,41.75,42.31,41.01,41.12,789100,0
20010207,41.15,41.40,40.10,40.66,734100,0
20010208,40.85,42.51,40.40,41.86,0,0
20010209,41.87,41.87,40.88,40.89,865100,0
20010212,41.00,41.10,40.25,40.68,796800,0
20010213,40.90,41.44,40.50,40.65,908700,0
20010214,40.89,41.09,40.18,40.52,3633100,0
20010215,41.25,41.84,40.85,41.84,743500,0
20010216,41.84,41.97,40.80,41.43,601500,0
20010219,41.43,41.43,41.43,41.43,0,0
20010220,41.65,42.45,41.25,41.73,1275300,0
20010221,41.80,42.45,41.77,42.25,954600,0
20010222,42.25,42.46,41.40,42.10,904400,0
20010223,41.40,41.74,39.79,41.60,1504700,0
20010226,41.50,41.50,38.99,38.99,5746700,0
20010227,38.99,40.15,38.68,40.05,1401300,0
20010228,39.00,39.21,37.36,37.60,11810800,0
20010301,37.80,37.90,36.40,36.99,2280800,0
20010302,36.25,36.62,35.81,36.22,3035300,0
