DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,17.40,17.74,17.21,17.59,2251200,0
20030501,17.46,17.46,17.05,17.28,1740200,0
20030502,17.15,17.51,17.15,17.42,1882800,0
20030505,17.56,17.82,17.35,17.49,1263600,0
20030506,17.49,17.80,17.44,17.69,1745000,0
20030507,17.62,17.62,17.36,17.48,1429600,0
20030508,17.44,17.46,17.04,17.22,1459000,0
20030509,17.22,17.47,17.15,17.40,1951200,0
20030512,17.39,17.75,17.23,17.74,1746400,0
20030513,17.70,17.70,17.23,17.42,2090400,0
20030514,17.45,17.50,17.01,17.19,1373200,0
20030515,17.29,17.47,17.15,17.47,2731200,0
20030516,17.30,17.48,17.09,17.35,1226800,0
20030519,17.31,17.35,16.84,16.89,1284000,0
20030520,16.95,17.03,16.76,16.99,2724000,0
20030521,16.87,16.88,16.47,16.47,3012600,0
20030522,16.60,17.07,16.58,16.98,2176200,0
20030523,17.00,17.03,16.74,16.99,1898600,0
20030527,16.98,17.45,16.76,17.42,1994400,0
20030528,17.42,17.64,17.28,17.35,1598400,0
20030529,17.36,17.53,16.78,16.92,2665600,0
20030530,16.96,17.50,16.96,17.48,3414800,0
20030602,17.78,18.18,17.66,17.91,2752600,0
20030603,17.97,18.06,17.75,17.90,2623400,0
20030604,17.94,18.51,17.88,18.46,2652400,0
20030605,18.41,19.04,18.32,18.98,3944200,0
20030606,19.12,19.26,18.49,18.52,3729200,0
20030609,18.22,18.40,17.92,17.98,2559600,0
20030610,18.04,18.16,17.86,18.01,2614200,0
20030611,18.04,18.50,18.01,18.43,2015200,0
20030612,18.49,18.63,18.33,18.58,2430600,0
20030613,18.64,18.64,18.22,18.33,2158600,0
20030616,18.61,19.40,18.58,19.33,3350600,0
20030617,19.56,19.66,19.32,19.59,2937600,0
20030618,19.52,19.52,19.13,19.26,1819400,0
20030619,19.20,19.30,18.62,18.69,3044600,0
20030620,18.88,19.30,18.75,19.13,3359600,0
20030623,19.13,19.20,18.90,19.20,2834000,0
20030624,19.16,19.30,18.90,19.10,2338400,0
20030625,19.17,19.21,18.82,18.89,2901400,0
20030626,18.89,19.11,18.73,19.11,1499800,0
20030627,19.17,19.17,18.64,18.74,1418400,0
20030630,18.85,19.00,18.66,18.89,1856200,0
20030701,18.81,18.89,18.36,18.86,3022600,0
20030702,18.86,19.13,18.84,19.08,1404200,0
20030703,18.96,19.18,18.90,19.01,961200,0
20030707,19.13,19.44,19.10,19.31,1907000,0
20030708,19.24,19.54,19.20,19.49,1299600,0
20030709,19.49,19.68,19.36,19.41,1485800,0
20030710,19.24,19.51,19.12,19.21,1954400,0
20030711,19.38,19.79,19.32,19.72,2067600,0
20030714,19.88,20.00,19.52,19.59,1980000,0
20030715,19.72,19.85,19.44,19.53,1430400,0
20030716,19.66,19.72,19.26,19.38,1256800,0
20030717,20.04,21.23,20.00,20.91,7351200,0
20030718,20.66,21.05,20.61,21.05,6439000,0
20030721,20.83,22.07,20.83,21.67,7242600,0
