DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,10.59,10.59,9.37,9.78,11123,0
20010103,9.85,10.43,9.85,10.20,39533,0
20010104,10.22,10.24,10.04,10.06,0,0
20010105,10.09,10.52,10.09,10.39,0,0
20010108,10.33,10.35,10.28,10.33,37436,0
20010109,10.30,10.35,10.19,10.20,0,0
20010110,10.22,10.30,10.04,10.19,2199,0
20010111,10.19,10.33,10.11,10.24,3657,0
20010112,10.22,10.35,10.07,10.33,2498,0
20010115,10.33,10.33,10.33,10.33,0,0
20010116,10.28,10.44,10.22,10.37,11874,0
20010117,10.41,10.70,10.41,10.67,0,0
20010118,10.67,10.93,10.63,10.70,0,0
20010119,10.70,10.72,10.57,10.57,0,0
20010122,10.57,10.57,10.57,10.57,0,0
20010123,10.56,10.74,10.54,10.72,3410,0
20010124,10.70,10.87,10.67,10.85,0,0
20010125,10.81,10.83,10.76,10.81,0,0
20010126,10.77,10.91,10.77,10.89,0,0
20010129,11.55,11.58,10.96,11.19,0,0
20010130,11.19,11.88,11.19,11.28,0,0
20010131,11.06,11.19,11.02,11.02,154238,0
20010201,11.10,11.10,10.74,10.96,0,0
20010202,10.96,11.04,10.79,11.02,13759538,0
20010205,11.03,11.04,10.96,11.03,0,0
20010206,11.04,11.32,11.04,11.30,0,0
20010207,11.30,11.30,11.14,11.25,0,0
20010208,11.25,11.60,11.19,11.19,595688,0
20010209,11.23,11.47,11.23,11.33,606488,0
20010212,11.33,11.33,11.23,11.27,0,0
20010213,11.30,11.35,11.30,11.32,10364288,0
20010214,11.33,11.36,11.30,11.34,0,0
20010215,11.27,11.30,11.23,11.29,58050,0
20010216,11.26,11.29,11.17,11.27,81675,0
20010219,11.27,11.27,11.27,11.27,0,0
20010220,11.23,11.32,11.17,11.23,650363,0
20010221,11.23,11.40,11.23,11.36,310163,0
20010222,11.35,11.37,11.25,11.33,185963,0
20010223,11.33,11.44,11.20,11.38,3480638,0
20010226,11.38,11.38,11.26,11.33,178200,0
20010227,11.29,11.33,11.26,11.31,555188,0
20010228,11.31,11.59,11.31,11.56,11113200,0
20010301,11.50,11.73,11.48,11.72,453263,0
20010302,11.72,12.01,11.72,11.99,477563,0
20010305,11.99,12.16,11.99,12.12,273038,0
20010306,12.09,12.64,12.09,12.36,968625,0
20010307,12.33,12.34,12.24,12.30,205538,0
20010308,12.31,12.33,12.12,12.12,709088,0
20010309,12.13,12.15,11.87,11.89,224100,0
20010312,11.87,11.87,11.73,11.74,364163,0
20010313,11.68,11.68,11.50,11.55,202163,0
20010314,11.54,11.54,11.20,11.23,874800,0
20010315,11.23,11.23,10.87,10.92,3706088,0
20010316,10.95,10.96,10.55,10.92,436388,0
20010319,10.90,10.94,10.83,10.94,595013,0
20010320,10.94,10.94,10.71,10.76,494100,0
20010321,10.79,10.92,10.67,10.68,553500,0
20010322,10.68,10.68,10.30,10.52,301050,0
20010323,10.52,10.96,10.52,10.81,3830625,0
20010326,10.79,10.81,10.73,10.81,3759413,0
20010327,10.92,11.02,10.92,11.02,530213,0
20010328,11.02,11.08,10.95,11.05,257513,0
20010329,11.01,11.05,10.92,11.03,250088,0
20010330,11.04,11.36,10.98,11.35,7002113,0
20010402,11.31,11.31,10.96,11.11,456638,0
20010403,11.14,11.14,10.64,10.66,3843788,0
20010404,10.66,10.79,10.46,10.59,257175,0
20010405,10.59,10.83,10.52,10.81,87075,0
20010406,10.67,10.67,10.40,10.41,357075,0
20010409,10.47,10.93,10.47,10.93,195075,0
20010410,10.90,11.16,10.89,10.90,236925,0
20010411,10.86,10.86,10.47,10.77,3613275,0
20010412,10.80,10.83,10.62,10.80,205538,0
20010416,10.76,10.77,10.52,10.53,393525,0
20010417,10.53,10.53,10.12,10.47,919013,0
20010418,10.54,10.82,10.47,10.67,7498238,0
20010419,10.67,10.68,10.60,10.65,365850,0
20010420,10.61,10.70,10.56,10.56,800550,0
20010423,10.55,10.67,10.22,10.33,10591088,0
20010424,10.32,10.52,10.32,10.49,366188,0
20010425,10.46,10.68,10.41,10.52,69863,0
20010426,10.59,10.67,10.57,10.59,266288,0
20010427,10.53,10.58,10.46,10.56,180225,0
20010430,10.56,10.81,10.49,10.71,861300,0
20010501,10.74,11.20,10.74,11.17,2088113,0
20010502,11.29,11.78,11.24,11.56,4125600,0
20010503,11.56,11.56,11.41,11.41,475538,0
20010504,11.41,11.51,11.38,11.51,3539025,0
20010507,11.56,11.70,11.44,11.53,17772075,0
20010508,11.53,11.59,11.53,11.54,1199138,0
20010509,11.54,11.84,11.54,11.82,7316325,0
20010510,11.84,12.13,11.82,11.91,3755363,0
20010511,11.94,12.04,11.79,11.87,461363,0
20010514,11.87,11.91,11.61,11.72,194738,0
20010515,11.85,11.94,11.81,11.91,200138,0
20010516,11.99,11.99,11.78,11.84,680063,0
20010517,11.85,12.15,11.85,12.03,2407725,0
20010518,12.06,12.30,12.04,12.22,210938,0
20010521,12.22,12.23,12.00,12.10,493763,0
20010522,12.12,12.21,11.94,12.08,1869075,0
20010523,12.06,12.06,11.85,11.88,206213,0
20010524,11.88,11.99,11.87,11.89,360113,0
20010525,11.89,12.00,11.76,11.95,11452725,0
20010528,11.95,11.95,11.95,11.95,0,0
20010529,11.97,11.97,11.76,11.85,140400,0
20010530,11.85,12.07,11.75,12.01,473175,0
20010531,12.15,12.30,12.12,12.18,413438,0
20010601,12.18,12.22,12.15,12.20,269663,0
20010604,12.19,12.27,12.19,12.25,90113,0
20010605,12.25,12.29,12.19,12.19,229163,0
20010606,12.19,12.20,12.15,12.20,839700,0
20010607,12.20,12.36,12.20,12.36,718875,0
20010608,12.36,12.40,12.30,12.37,190688,0
20010611,12.44,12.44,12.25,12.25,221400,0
20010612,12.16,12.34,12.16,12.29,726300,0
20010613,12.33,12.34,12.19,12.20,3532950,0
20010614,12.21,12.37,12.21,12.36,317588,0
20010615,12.34,12.34,12.16,12.30,1434713,0
20010618,12.31,12.33,12.15,12.16,3471188,0
20010619,12.18,12.19,12.15,12.18,3864375,0
20010620,12.16,12.22,12.15,12.18,440775,0
