DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.4167,5.7292,5.3750,5.4375,78150,0
20010103,5.6875,5.8333,5.3750,5.8333,179850,0
20010104,5.7083,5.7083,4.9375,5.2917,123750,0
20010105,5.2917,5.2917,5.0833,5.1667,67800,0
20010108,5.2708,5.2917,4.9167,5.0000,284250,0
20010109,5.0000,5.2083,4.9167,5.2083,174750,0
20010110,5.0833,5.1250,4.0833,4.5000,580050,0
20010111,4.5000,5.5000,4.5000,5.4167,672600,0
20010112,5.4167,5.4167,4.9167,5.3333,219000,0
20010115,5.3333,5.3333,5.3333,5.3333,0,0
20010116,4.9583,5.3750,4.9583,5.3333,75450,0
20010117,5.3750,5.4167,5.2500,5.2500,544800,0
20010118,5.3333,5.7500,5.2500,5.3333,601650,0
20010119,5.4583,5.6667,5.3333,5.3750,112800,0
20010122,5.4167,5.4167,4.7500,4.8333,666300,0
20010123,5.1458,5.2500,4.6667,5.2500,562350,0
20010124,5.2083,5.4167,5.1667,5.3750,687450,0
20010125,5.3333,5.4583,5.2500,5.3333,69450,0
20010126,5.3750,5.4167,5.1667,5.2917,111150,0
20010129,5.3750,5.3750,5.0000,5.3333,269850,0
20010130,5.3542,5.6250,5.0833,5.2083,479850,0
20010131,5.2083,5.8333,5.1667,5.5833,675900,0
20010201,5.4792,5.7917,5.1667,5.7292,495300,0
20010202,5.6667,5.7500,5.1667,5.5833,317400,0
20010205,5.4167,5.7500,5.3333,5.5833,248700,0
20010206,5.7292,5.8333,5.3333,5.7500,186000,0
20010207,5.5000,5.8333,5.5000,5.6250,114150,0
20010208,5.5833,6.0833,5.5833,6.0417,364800,0
20010209,5.7917,5.9167,4.9167,4.9167,1207500,0
20010212,5.1458,5.2500,4.7500,4.9167,48000000,0
20010213,4.8750,4.9792,4.5833,4.7292,542700,0
20010214,4.7917,5.3333,4.7500,5.3333,10763850,0
20010215,5.2500,5.6667,5.1667,5.4167,51600,0
20010216,5.1250,5.3333,5.0833,5.3333,62100,0
20010219,5.3333,5.3333,5.3333,5.3333,0,0
20010220,5.3333,5.7500,5.2500,5.6667,739350,0
