DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,29.81,29.94,29.16,29.53,112370,0
20010103,29.50,30.56,29.06,30.31,12242,0
20010104,30.06,31.94,30.06,31.50,23016,0
20010105,31.63,31.69,30.72,31.63,25512,0
20010108,31.50,32.28,31.16,31.56,30478,0
20010109,31.44,31.97,30.94,31.09,85808,0
20010110,30.66,30.84,29.84,30.81,16972,0
20010111,30.94,31.03,30.13,30.47,15530,0
20010112,30.38,30.44,29.78,30.13,27310,0
20010115,30.13,30.13,30.13,30.13,0,0
20010116,30.25,31.25,30.00,31.25,32340,0
20010117,31.50,31.94,30.81,31.66,36206,0
20010118,31.53,31.53,30.75,30.97,180436,0
20010119,31.03,31.13,30.47,30.94,17424,0
20010122,30.94,30.94,30.94,30.94,0,0
20010123,30.97,31.97,30.91,31.81,15604,0
20010124,31.84,31.84,30.81,31.38,11040,0
20010125,31.50,32.34,31.28,32.16,0,0
20010126,32.16,32.50,31.66,32.38,0,0
20010129,32.77,33.55,32.00,32.88,4686760,0
20010130,31.25,33.55,30.50,33.30,8630600,0
20010131,32.42,33.08,31.99,32.80,2505600,0
20010201,32.76,33.51,32.40,33.50,4410800,0
20010202,33.40,33.40,32.10,32.48,1772600,0
20010205,32.38,32.72,32.28,32.57,5986200,0
20010206,32.50,32.50,32.00,32.35,1945400,0
20010207,32.35,32.55,31.88,32.31,1268000,0
20010208,32.31,32.50,32.20,32.37,2992400,0
20010209,32.37,32.37,31.88,31.92,1347200,0
20010212,31.80,32.67,31.70,32.42,2059000,0
20010213,32.47,32.97,32.15,32.60,3176200,0
20010214,32.69,32.69,32.15,32.15,1566000,0
20010215,32.44,32.90,32.40,32.68,2068600,0
20010216,32.67,32.72,31.75,31.96,5597800,0
20010219,31.96,31.96,31.96,31.96,0,0
20010220,31.90,32.06,31.68,31.91,3829400,0
20010221,31.80,31.92,31.38,31.51,1123000,0
20010222,31.75,31.94,30.90,31.43,1299000,0
20010223,31.43,31.43,30.81,31.16,1077200,0
20010226,31.05,31.20,30.80,31.11,2002200,0
20010227,31.05,31.17,30.17,30.50,14475600,0
20010228,30.45,30.74,29.99,30.28,2136200,0
20010301,30.00,30.55,29.93,30.25,2186000,0
20010302,30.75,31.19,30.65,30.82,1738600,0
20010305,30.92,32.60,30.75,32.40,5905200,0
20010306,33.20,33.60,32.58,32.74,2454800,0
20010307,33.10,33.47,32.92,33.22,2103600,0
20010308,33.22,33.83,33.01,33.74,1645600,0
20010309,33.70,33.75,32.15,32.29,2005800,0
20010312,32.40,32.49,31.64,31.75,2210800,0
20010313,31.80,31.85,30.75,31.20,2617400,0
20010314,31.20,31.25,30.38,31.02,1554200,0
20010315,31.02,31.50,30.78,31.03,1702800,0
20010316,30.93,31.00,29.15,29.90,2862200,0
20010319,28.90,29.65,28.75,29.58,10309800,0
20010320,29.53,29.84,28.90,29.13,2770600,0
20010321,29.13,29.13,28.15,28.36,2401000,0
20010322,28.40,28.94,27.75,28.85,2833200,0
20010323,28.61,29.01,27.83,28.72,2104400,0
20010326,28.75,29.38,28.55,29.32,878600,0
20010327,29.35,30.00,28.90,29.33,2637000,0
20010328,29.13,29.25,28.45,28.90,1346200,0
20010329,28.40,28.64,28.12,28.33,1591800,0
20010330,28.30,28.50,27.31,28.42,3629000,0
20010402,28.46,29.28,28.10,28.32,1685200,0
20010403,28.23,28.23,27.25,27.56,2852600,0
20010404,28.05,28.39,27.75,28.20,1148200,0
20010405,28.50,30.03,28.38,29.88,8077800,0
20010406,29.50,30.00,28.66,29.46,2542800,0
20010409,29.73,30.10,29.42,29.80,1796600,0
20010410,29.85,30.36,29.77,30.12,150351400,0
20010411,30.30,30.30,29.02,29.65,1506400,0
20010412,29.70,30.13,29.38,30.10,2085400,0
20010416,30.40,30.42,29.91,30.36,921200,0
20010417,30.20,30.73,30.00,30.55,1347800,0
20010418,30.35,32.56,30.30,31.80,3414800,0
20010419,31.90,31.92,30.75,31.43,2924200,0
20010420,31.31,31.50,30.88,31.09,1273200,0
20010423,31.00,31.19,30.80,31.00,446400,0
20010424,30.92,31.01,30.64,30.68,1260400,0
20010425,30.45,31.13,30.17,30.97,1054400,0
20010426,30.85,31.84,30.70,31.51,1510000,0
20010427,31.23,32.12,31.15,31.89,981400,0
20010430,31.95,32.17,31.58,31.69,812000,0
20010501,31.82,31.88,31.33,31.75,637600,0
20010502,31.80,31.80,31.15,31.57,883400,0
20010503,31.50,31.63,30.89,31.47,1104600,0
20010504,31.13,32.08,30.94,32.05,938600,0
20010507,31.95,32.19,31.50,32.01,680000,0
20010508,31.90,32.36,31.80,32.15,1561600,0
20010509,32.08,32.20,31.90,32.13,1518200,0
20010510,32.35,32.80,32.25,32.60,5594600,0
20010511,32.90,32.90,32.30,32.58,1605600,0
