DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20070614,23.17,23.98,23.17,23.90,593915,0
20070615,23.92,25.02,23.90,24.33,2016101,0
20070618,24.38,25.03,24.33,25.02,591718,0
20070619,25.02,25.03,24.26,24.57,999981,0
20070620,24.72,25.22,23.73,24.12,1572694,0
20070621,24.10,24.93,23.63,24.75,707464,0
20070622,24.75,25.42,24.38,24.86,332436,0
20070625,24.86,25.68,24.61,24.70,144396,0
20070626,24.71,24.99,24.10,24.35,112308,0
20070627,24.47,24.91,24.10,24.44,331672,0
20070628,24.44,24.68,24.26,24.56,119375,0
20070629,24.59,25.04,24.00,24.88,804492,0
20070702,24.52,24.81,24.28,24.73,5717994,0
20070703,24.72,25.10,24.55,24.62,2469857,0
20070705,24.17,24.83,24.17,24.64,3366764,0
20070706,24.65,24.79,24.51,24.64,4657991,0
20070709,24.14,24.32,23.61,23.73,2894701,0
20070710,23.47,23.80,23.29,23.62,7363412,0
20070711,23.42,23.80,23.40,23.63,4617603,0
20070712,23.57,23.72,23.35,23.65,5229013,0
20070713,23.51,23.93,23.32,23.79,3743561,0
20070716,24.04,24.05,23.31,23.37,5272555,0
20070717,23.43,23.52,22.97,23.06,7580850,0
20070718,22.70,23.04,22.38,23.01,7617367,0
20070719,23.17,23.23,22.90,23.12,6222685,0
20070720,23.12,23.30,22.90,22.92,4676349,0
20070723,22.84,23.09,22.84,22.87,3621742,0
20070724,22.80,22.98,22.55,22.61,4671383,0
20070725,22.67,23.02,22.48,22.71,4414010,0
20070726,22.53,22.71,22.34,22.48,8013405,0
20070727,22.38,22.45,22.09,22.13,5294807,0
20070730,22.07,22.20,21.77,22.12,4379248,0
20070731,22.22,22.45,21.87,21.91,3088566,0
20070801,21.86,22.23,21.62,22.22,4773233,0
20070802,22.23,22.47,21.97,22.44,4344879,0
20070803,22.45,22.87,22.03,22.07,5618647,0
20070806,22.19,22.40,21.94,22.24,3354915,0
20070807,22.24,22.42,21.55,21.98,4979084,0
20070808,21.64,22.01,20.43,21.09,6399264,0
20070809,20.57,20.86,19.59,20.39,9277348,0
20070810,20.33,20.45,19.50,20.20,6583197,0
20070813,20.33,20.57,20.09,20.33,5375409,0
20070814,20.31,20.41,19.97,20.18,4022842,0
20070815,20.29,20.39,19.38,19.43,3761289,0
20070816,19.29,19.35,18.43,18.81,8268104,0
20070817,19.22,19.62,18.99,19.31,5523816,0
20070820,19.25,19.94,19.15,19.83,4369221,0
20070821,19.67,19.94,19.51,19.78,2954770,0
20070822,19.97,20.16,19.72,20.12,3233917,0
20070823,20.26,20.36,19.88,20.07,2434582,0
20070824,20.07,20.56,20.07,20.51,2066334,0
20070827,20.47,20.60,20.18,20.38,2549850,0
20070828,20.19,20.31,19.78,19.78,2268794,0
20070829,19.87,20.15,19.70,20.15,2708858,0
20070830,19.94,20.42,19.81,20.28,1959183,0
20070831,20.48,20.57,20.23,20.46,1909809,0
20070904,20.62,20.90,20.57,20.69,3077488,0
20070905,20.56,20.56,20.06,20.21,2711818,0
20070906,20.30,20.68,20.21,20.64,2362594,0
20070907,20.35,20.49,20.11,20.19,2133375,0
20070910,20.23,20.23,19.31,19.50,2852490,0
20070911,19.57,19.71,19.39,19.58,2686797,0
20070912,19.57,19.87,19.53,19.81,3410592,0
20070913,19.98,20.30,19.60,20.20,5274179,0
20070914,20.09,20.49,20.01,20.25,2203090,0
20070917,20.16,20.20,19.58,19.91,2634463,0
20070918,20.01,20.63,19.75,20.62,3229237,0
20070919,20.72,21.24,20.58,20.99,2687848,0
20070920,20.95,20.97,20.57,20.69,1715085,0
20070921,20.85,20.85,20.50,20.62,3002998,0
20070924,20.58,20.73,20.51,20.58,1900641,0
20070925,20.61,20.61,20.03,20.52,2979982,0
20070926,20.64,20.84,20.49,20.78,1698086,0
20070927,20.36,20.60,20.26,20.45,2432576,0
20070928,20.43,20.58,20.33,20.55,3274122,0
20071001,20.57,21.13,20.54,20.95,2468198,0
20071002,20.95,21.07,20.61,20.77,2153430,0
20071003,20.76,21.03,20.66,20.77,2881426,0
20071004,20.85,21.18,20.81,21.00,1450454,0
20071005,21.21,21.76,21.21,21.62,1935021,0
20071008,21.57,21.68,21.26,21.39,1156452,0
20071009,21.37,21.42,20.88,21.12,1730460,0
20071010,21.07,21.56,21.07,21.41,1861200,0
20071011,21.60,21.73,20.82,20.97,2548011,0
20071012,21.06,21.08,20.63,20.99,1574604,0
20071015,20.95,21.06,20.18,20.30,2366204,0
20071016,20.28,20.45,20.04,20.20,2147700,0
20071017,20.39,20.52,20.07,20.26,2560260,0
20071018,20.22,20.41,19.99,20.18,2402112,0
20071019,19.97,20.15,19.32,19.39,3869897,0
20071022,19.23,19.71,19.10,19.25,2816964,0
20071023,19.39,19.46,19.02,19.32,2355126,0
20071024,19.26,19.80,19.21,19.69,2616032,0
20071025,19.82,19.87,19.19,19.47,2226010,0
20071026,19.60,19.67,19.39,19.63,1784517,0
20071029,19.64,19.86,19.45,19.60,2011994,0
20071030,19.48,19.69,19.28,19.31,2408415,0
20071031,19.37,19.38,18.77,19.08,3625085,0
20071101,19.05,19.50,18.71,18.75,698296,0
20071102,18.77,19.25,18.35,19.16,3390919,0
20071105,18.88,19.23,18.88,19.10,2397400,0
20071106,19.09,19.23,19.06,19.23,2540554,0
20071107,19.05,19.20,18.87,19.02,3011888,0
20071108,19.11,19.18,18.84,18.99,3763113,0
20071109,18.70,19.17,18.60,18.60,2524985,0
20071112,18.53,18.73,18.13,18.14,3239349,0
20071113,18.26,18.60,18.16,18.57,2911314,0
20071114,18.79,18.84,18.20,18.22,3053899,0
20071115,18.17,18.17,17.36,17.55,5898767,0
20071116,17.71,17.98,17.48,17.95,5157183,0
20071119,17.80,18.65,17.60,18.42,5969989,0
20071120,18.44,18.64,18.14,18.37,3527609,0
20071121,18.18,18.41,18.12,18.18,2808287,0
20071123,18.27,18.46,18.15,18.46,787486,0
20071126,18.42,18.48,17.73,17.76,3580158,0
20071127,17.82,18.39,17.75,18.25,4152742,0
20071128,18.36,18.37,17.92,18.35,4083600,0
20071129,18.25,18.54,18.17,18.49,2674426,0
20071130,18.68,18.93,18.31,18.60,3223820,0
20071203,18.40,18.57,18.23,18.45,2480153,0
20071204,18.32,18.76,18.32,18.53,2899911,0
20071205,18.67,18.74,18.50,18.54,4596664,0
20071206,18.53,18.91,18.42,18.88,2875792,0
