DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,11.56,11.67,11.20,11.48,4364,0
20010103,11.55,11.75,11.53,11.73,3188,0
20010104,11.67,11.91,11.67,11.83,0,0
20010105,11.70,11.70,11.19,11.23,0,0
20010108,11.25,11.33,11.03,11.17,1892,0
20010109,11.14,11.14,10.92,10.94,3388,0
20010110,11.00,11.00,10.83,10.91,44336,0
20010111,10.91,11.08,10.88,11.00,0,0
20010112,11.00,11.00,10.91,10.95,3332,0
20010115,10.95,10.95,10.95,10.95,0,0
20010116,10.95,11.03,10.78,10.78,0,0
20010117,10.78,10.95,10.56,10.59,4344,0
20010118,10.69,10.89,10.63,10.89,0,0
20010119,10.88,10.88,10.63,10.78,0,0
20010122,10.78,10.78,10.78,10.78,0,0
20010123,10.67,11.03,10.67,11.03,0,0
20010124,11.06,11.23,11.05,11.16,4364,0
20010125,11.16,11.47,11.13,11.38,0,0
20010126,11.34,11.41,11.27,11.31,0,0
20010129,11.83,12.10,11.60,12.01,0,0
20010130,11.97,12.24,11.60,11.75,0,0
20010131,11.69,11.99,11.69,11.94,0,0
20010201,11.94,12.32,11.85,12.19,0,0
20010202,12.41,12.89,12.41,12.69,960800,0
20010205,12.69,12.78,12.54,12.60,0,0
20010206,12.64,12.73,12.61,12.67,609200,0
20010207,12.73,12.73,12.63,12.73,375200,0
20010208,12.77,12.86,12.68,12.79,0,0
20010209,12.79,13.06,12.79,13.05,940000,0
20010212,13.11,13.50,13.08,13.45,616800,0
20010213,13.45,13.80,13.45,13.70,1181200,0
20010214,13.82,14.06,13.63,13.98,850000,0
20010215,13.98,13.99,13.82,13.84,550400,0
20010216,13.82,13.82,13.51,13.53,382400,0
20010219,13.53,13.53,13.53,13.53,0,0
20010220,13.57,13.80,13.57,13.70,196400,0
20010221,13.70,13.70,13.29,13.30,567200,0
20010222,13.27,13.50,13.18,13.50,1058800,0
20010223,13.48,13.88,13.43,13.88,104000000,0
20010226,13.94,14.64,13.94,14.40,1429600,0
20010227,14.40,14.40,14.00,14.23,1252000,0
20010228,14.23,14.30,13.75,14.07,4788000,0
20010301,14.06,14.06,13.85,14.02,827200,0
20010302,14.03,14.29,14.03,14.26,1282800,0
20010305,14.27,14.52,14.27,14.34,585600,0
20010306,14.31,14.50,14.19,14.26,24625200,0
20010307,14.25,14.39,14.18,14.28,631600,0
20010308,14.32,14.46,14.32,14.35,1052000,0
20010309,14.35,14.38,14.16,14.18,256800,0
20010312,14.13,14.13,13.77,13.78,36000000,0
20010313,13.70,13.70,13.15,13.43,827200,0
20010314,13.38,13.40,12.88,13.00,1105200,0
20010315,13.00,13.49,13.00,13.41,8855600,0
20010316,13.13,13.18,12.96,13.02,1008800,0
20010319,13.02,13.16,12.91,13.10,1126800,0
20010320,13.16,13.68,13.16,13.44,1189200,0
20010321,13.44,13.44,13.25,13.31,4506400,0
20010322,13.29,13.30,12.43,12.68,1066400,0
20010323,12.69,13.00,12.69,12.99,764000,0
20010326,13.09,13.57,13.07,13.54,443200,0
20010327,13.54,14.09,13.52,14.03,1223200,0
20010328,14.00,14.00,13.70,13.90,568000,0
20010329,13.90,14.55,13.89,14.32,1015600,0
20010330,14.39,14.75,14.27,14.50,2051600,0
20010402,14.57,14.80,14.55,14.60,662400,0
20010403,14.63,14.63,14.10,14.35,620800,0
20010404,14.23,14.52,14.23,14.43,431200,0
20010405,14.48,14.81,14.48,14.64,622800,0
20010406,14.60,14.60,14.10,14.17,356800,0
20010409,14.23,14.55,14.23,14.41,299600,0
20010410,14.44,14.60,14.35,14.58,4428000,0
20010411,14.64,14.71,14.52,14.60,392800,0
20010412,14.56,14.95,14.51,14.93,270000,0
20010416,14.93,15.13,14.70,14.81,674400,0
20010417,14.80,15.00,14.73,14.81,441200,0
20010418,14.75,15.25,14.73,14.89,817600,0
20010419,14.85,15.07,14.70,15.00,712000,0
20010420,14.95,15.00,14.75,14.88,830000,0
20010423,14.88,15.00,14.82,14.95,428400,0
20010424,14.98,15.55,14.90,15.50,912400,0
20010425,15.59,16.16,15.57,16.08,2598800,0
20010426,16.15,16.69,16.13,16.50,65709600,0
20010427,16.50,16.74,16.10,16.57,9362800,0
20010430,16.63,16.74,16.48,16.48,505600,0
20010501,16.45,16.67,16.27,16.63,954400,0
20010502,16.73,16.73,16.38,16.45,729600,0
20010503,16.48,16.48,16.06,16.19,679600,0
20010504,16.01,16.61,15.94,16.58,609200,0
20010507,16.72,16.88,16.63,16.66,1189600,0
20010508,16.70,17.05,16.52,17.05,731600,0
20010509,16.94,16.94,16.62,16.86,629600,0
20010510,17.00,17.72,16.93,17.63,1194000,0
20010511,17.50,17.50,17.17,17.48,368800,0
20010514,17.48,17.50,17.27,17.49,353200,0
20010515,17.52,17.53,17.41,17.53,586000,0
20010516,17.50,17.88,17.35,17.75,1617200,0
20010517,17.83,18.50,17.83,18.36,1340000,0
20010518,18.52,18.92,18.20,18.71,1372400,0
20010521,18.76,18.76,18.43,18.63,1246400,0
20010522,18.59,18.62,18.38,18.54,923600,0
20010523,18.54,18.68,18.00,18.00,975200,0
20010524,18.00,18.31,17.75,18.30,1150000,0
20010525,18.30,18.44,18.05,18.38,466800,0
20010528,18.38,18.38,18.38,18.38,0,0
20010529,18.50,18.81,18.45,18.60,446800,0
20010530,18.55,18.61,18.36,18.48,663600,0
20010531,18.50,18.73,18.50,18.64,620000,0
20010601,18.65,18.85,18.40,18.81,413600,0
20010604,18.81,18.85,18.77,18.83,604000,0
20010605,18.86,18.86,17.37,17.48,2898800,0
20010606,17.47,17.47,16.50,16.87,5305200,0
20010607,16.87,17.10,16.35,16.44,1265200,0
20010608,16.44,16.83,16.44,16.72,8528400,0
