DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,123.75,123.75,98.63,102.56,22066300,0
20010103,98.06,135.31,97.50,132.00,36543200,0
20010104,129.25,132.75,122.13,125.31,16183100,0
20010105,124.25,124.25,109.72,109.81,16404200,0
20010108,108.19,115.75,102.88,115.47,20304000,0
20010109,118.63,122.69,113.50,117.19,22068800,0
20010110,110.69,125.25,106.63,119.31,37529500,0
20010111,117.63,134.06,117.56,132.31,24730700,0
20010112,129.69,137.31,127.63,131.50,21194400,0
20010115,131.50,131.50,131.50,131.50,0,0
20010116,132.81,135.69,124.31,128.00,20683700,0
20010117,144.44,144.56,135.75,136.38,26187000,0
20010118,134.25,138.31,130.31,136.63,19169000,0
20010119,140.44,140.50,133.56,134.31,15484800,0
20010122,132.75,132.81,126.13,127.56,12364500,0
20010123,126.50,137.50,122.00,135.66,21357000,0
20010124,134.81,140.13,132.50,134.00,17243300,0
20010125,131.78,138.00,126.13,126.44,14483700,0
20010126,121.00,123.94,109.50,118.75,26686600,0
20010129,115.50,119.44,110.63,116.09,24145800,0
20010130,117.94,118.00,111.31,112.44,19203800,0
20010131,114.94,117.63,105.50,106.69,24865200,0
20010201,108.06,111.50,106.50,108.31,18736500,0
20010202,110.22,115.00,100.63,100.69,17521100,0
20010205,100.06,107.50,99.19,104.75,19595900,0
20010206,103.88,106.50,101.00,102.19,15419500,0
20010207,98.94,100.13,92.00,94.38,26747900,0
20010208,96.88,98.88,92.81,93.06,17010600,0
20010209,92.28,94.03,83.44,83.88,21848600,0
20010212,81.50,82.69,75.50,79.88,21152700,0
20010213,83.69,86.88,78.38,78.88,16823000,0
20010214,81.25,89.50,80.38,89.38,20532600,0
20010215,94.13,98.25,91.13,92.19,24125800,0
20010216,82.94,84.88,80.00,80.00,26949300,0
20010219,80.00,80.00,80.00,80.00,0,0
20010220,82.13,82.19,74.19,74.75,25168200,0
20010221,72.25,80.38,72.25,74.88,25809800,0
20010222,76.13,86.75,61.50,69.25,36481800,0
20010223,68.75,75.19,66.69,74.25,30591700,0
20010226,76.63,78.50,69.63,72.00,27663000,0
20010227,70.94,72.19,62.19,62.75,34200200,0
20010228,63.50,65.00,57.56,64.56,40727000,0
20010301,62.75,65.00,58.50,61.81,32204000,0
20010302,59.75,60.50,53.25,53.59,27546200,0
20010305,56.25,59.31,55.81,58.63,20631900,0
20010306,63.09,67.38,62.81,64.06,22589300,0
20010307,66.44,67.31,60.25,60.94,22477400,0
20010308,60.69,64.13,57.84,61.75,24403800,0
20010309,59.88,60.13,53.75,55.09,20279400,0
20010312,49.53,52.75,48.63,49.69,26855300,0
20010313,51.25,58.88,50.00,58.63,28783400,0
20010314,54.94,62.44,54.31,57.25,45612200,0
20010315,61.38,61.88,55.25,55.50,26288300,0
20010316,55.25,57.50,51.50,53.06,23408100,0
