DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,9.09,9.53,9.06,9.16,0,0
20010103,9.19,9.88,9.06,9.88,410018,0
20010104,9.69,10.44,9.47,10.19,12304,0
20010105,9.75,9.75,9.00,9.44,17436,0
20010108,9.38,9.38,9.00,9.28,33472,0
20010109,9.41,9.41,9.25,9.31,2922,0
20010110,9.31,9.41,9.06,9.25,2544,0
20010111,9.25,9.44,9.09,9.19,6722,0
20010112,9.25,9.44,9.09,9.44,3920,0
20010115,9.44,9.44,9.44,9.44,0,0
20010116,9.34,9.44,9.09,9.38,9348,0
20010117,9.41,9.44,9.22,9.41,3420,0
20010118,9.22,9.31,9.03,9.03,6500,0
20010119,8.94,8.97,8.59,8.75,6912,0
20010122,8.75,8.75,8.75,8.75,0,0
20010123,9.22,9.25,9.13,9.22,5356,0
20010124,9.09,9.31,9.06,9.25,5426,0
20010125,9.25,9.81,9.13,9.50,0,0
20010126,9.50,9.69,9.44,9.53,2908,0
20010129,9.89,10.52,9.77,10.44,0,0
20010130,10.44,10.91,9.73,10.34,603200,0
20010131,9.67,10.50,9.65,10.27,1534200,0
20010201,10.19,10.25,10.01,10.18,0,0
20010202,10.18,10.19,9.95,9.98,0,0
20010205,10.00,10.13,9.68,9.68,809800,0
20010206,9.95,10.02,9.69,9.74,0,0
20010207,9.74,10.22,9.74,10.09,500600,0
20010208,10.05,10.11,9.30,9.49,3176800,0
20010209,9.49,9.73,9.13,9.17,720800,0
20010212,9.31,9.68,9.26,9.60,1330000,0
20010213,9.63,9.75,9.51,9.67,258600,0
20010214,9.63,9.81,9.53,9.75,0,0
20010215,9.77,10.08,9.60,10.06,789000,0
20010216,10.06,10.38,10.01,10.26,1298800,0
20010219,10.26,10.26,10.26,10.26,0,0
20010220,10.26,10.57,10.13,10.53,4964200,0
20010221,10.43,10.43,9.72,9.73,1756400,0
20010222,9.73,9.73,9.03,9.45,2288200,0
20010223,9.21,9.65,9.20,9.45,1186000,0
20010226,9.57,9.68,9.45,9.58,8656200,0
20010227,9.58,9.59,9.38,9.50,986600,0
20010228,9.50,9.55,8.99,9.23,1646400,0
20010301,9.23,9.23,8.88,8.97,44907200,0
20010302,8.88,8.88,8.63,8.88,754600,0
20010305,8.88,9.05,8.80,8.87,701400,0
20010306,8.90,9.00,8.82,8.97,1433400,0
20010307,8.97,9.13,8.91,9.10,1375800,0
20010308,9.09,9.19,9.06,9.18,1017600,0
20010309,9.15,9.19,9.05,9.15,668800,0
20010312,9.15,9.15,8.83,8.83,619400,0
20010313,8.75,8.77,8.52,8.65,821200,0
20010314,8.58,8.63,8.38,8.57,2590000,0
20010315,8.38,9.00,8.38,8.87,2744600,0
20010316,8.75,8.88,8.48,8.49,1653200,0
20010319,8.65,8.78,8.63,8.70,648000,0
20010320,8.82,9.02,8.77,8.86,1077400,0
20010321,8.86,8.86,8.63,8.63,189200,0
20010322,8.50,8.50,8.05,8.15,1377800,0
20010323,8.15,8.40,8.07,8.20,1265000,0
20010326,8.37,8.37,8.07,8.27,10639400,0
20010327,8.22,8.22,7.90,8.13,2073600,0
20010328,8.13,8.13,7.80,8.03,830800,0
20010329,8.01,8.23,7.88,8.18,606200,0
20010330,8.15,8.22,8.00,8.14,837800,0
20010402,8.21,8.34,8.13,8.23,842000,0
20010403,8.15,8.38,7.88,7.93,834800,0
20010404,7.95,8.15,7.95,8.01,284200,0
20010405,8.13,8.42,8.00,8.40,961600,0
20010406,8.30,8.43,8.06,8.31,869600,0
20010409,8.48,8.55,8.39,8.44,1122400,0
20010410,8.40,8.73,8.40,8.63,487000,0
20010411,8.63,8.68,8.35,8.45,4766200,0
20010412,8.44,8.44,8.13,8.31,749600,0
20010416,8.30,8.36,8.07,8.20,618800,0
20010417,8.20,8.39,8.19,8.27,500800,0
20010418,8.38,8.99,8.38,8.85,1140600,0
20010419,8.88,8.97,8.81,8.96,559200,0
20010420,8.91,8.93,8.60,8.73,923200,0
20010423,8.63,9.02,8.63,8.91,615000,0
20010424,8.90,8.90,8.29,8.59,21800000,0
20010425,8.60,8.60,8.45,8.51,489200,0
20010426,8.52,8.79,8.45,8.77,760200,0
20010427,8.88,9.14,8.88,9.07,10874800,0
20010430,9.05,9.23,8.95,9.19,686600,0
20010501,9.15,9.23,9.11,9.23,372800,0
20010502,9.25,9.32,9.18,9.30,576800,0
20010503,9.27,9.32,9.18,9.23,677800,0
20010504,9.07,9.42,9.01,9.40,2514800,0
20010507,9.27,9.27,9.00,9.13,917000,0
20010508,9.22,9.22,8.93,9.00,626400,0
20010509,9.05,9.05,8.85,8.96,355000,0
20010510,9.03,9.35,9.02,9.15,4520800,0
20010511,9.25,9.25,9.07,9.15,527200,0
20010514,8.98,9.10,8.92,9.00,456800,0
20010515,9.00,9.03,8.93,8.98,749000,0
20010516,8.98,9.12,8.89,9.10,12568600,0
20010517,9.07,9.28,9.05,9.27,843200,0
20010518,9.28,9.34,9.08,9.31,620200,0
20010521,9.18,9.49,9.18,9.48,1263200,0
20010522,9.50,9.60,9.48,9.53,20635800,0
20010523,9.54,9.54,9.05,9.19,870000,0
20010524,9.22,9.32,9.22,9.28,1049400,0
20010525,9.10,9.31,9.05,9.28,689200,0
20010528,9.28,9.28,9.28,9.28,0,0
20010529,9.30,9.36,9.26,9.32,6675800,0
20010530,9.27,9.30,9.18,9.20,746800,0
20010531,9.20,9.30,9.15,9.26,396000,0
20010601,9.25,9.27,9.02,9.05,2410200,0
20010604,8.96,9.05,8.85,8.97,425600,0
20010605,8.98,9.23,8.91,9.23,534200,0
20010606,9.15,9.25,9.10,9.18,274200,0
20010607,9.09,9.18,8.95,9.03,474600,0
20010608,9.03,9.23,9.03,9.19,172600,0
20010611,9.08,9.23,9.08,9.23,2417800,0
20010612,9.15,9.25,9.06,9.19,419000,0
20010613,9.20,9.25,9.18,9.20,2306600,0
20010614,9.15,9.23,9.01,9.02,200600,0
20010615,8.78,8.99,8.78,8.97,2454400,0
20010618,8.90,9.12,8.85,9.00,456400,0
20010619,9.05,9.18,8.93,8.98,357200,0
20010620,9.00,9.07,8.98,9.03,450000,0
20010621,8.93,9.18,8.93,9.15,592200,0
20010622,9.15,9.15,8.94,9.06,396600,0
20010625,9.01,9.05,8.90,9.00,781600,0
20010626,8.95,9.05,8.90,8.99,718400,0
20010627,9.04,9.04,8.82,8.86,313000,0
20010628,8.85,9.07,8.85,9.07,549000,0
20010629,9.00,9.41,9.00,9.27,752200,0
20010702,9.28,9.32,9.03,9.03,464200,0
20010703,9.15,9.15,9.00,9.03,267200,0
20010704,9.03,9.03,9.03,9.03,0,0
20010705,8.80,8.95,8.80,8.85,16823600,0
20010706,8.84,8.84,8.50,8.51,14748600,0
20010709,8.55,8.63,8.50,8.60,12547200,0
20010710,8.80,8.97,8.70,8.88,2869600,0
