DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,26.06,26.94,26.06,26.31,2233,0
20010103,26.44,27.06,26.06,26.31,150280,0
20010104,26.00,26.00,24.25,25.00,20941,0
20010105,25.00,25.81,24.75,25.44,36313,0
20010108,25.63,25.69,25.19,25.69,104389,0
20010109,25.50,26.63,25.44,26.44,4859,0
20010110,26.38,26.88,26.13,26.50,8470,0
20010111,26.25,26.25,25.63,25.75,9136,0
20010112,25.75,25.75,25.44,25.56,6884,0
20010115,25.56,25.56,25.56,25.56,0,0
20010116,25.75,26.56,25.69,26.25,6607,0
20010117,27.00,27.00,26.25,26.44,0,0
20010118,26.50,26.69,26.00,26.31,10702,0
20010119,26.38,26.38,25.38,25.50,12636,0
20010122,25.50,25.50,25.50,25.50,0,0
20010123,25.06,25.75,25.06,25.56,6434,0
20010124,26.19,26.25,25.88,26.13,7729,0
20010125,26.06,26.06,25.00,25.94,0,0
20010126,26.50,26.88,26.38,26.75,7440,0
20010129,26.31,27.41,26.13,26.75,462700,0
20010130,26.41,27.94,26.00,27.50,1049400,0
20010131,26.50,26.50,26.10,26.21,1394500,0
20010201,26.21,26.98,26.21,26.90,1539500,0
20010202,27.00,27.47,26.90,26.99,1067800,0
20010205,27.05,27.67,27.05,27.51,9634200,0
20010206,27.58,27.58,27.15,27.28,643600,0
20010207,27.60,27.74,27.47,27.60,824800,0
20010208,27.80,27.97,27.65,27.73,555400,0
20010209,27.75,28.00,27.61,27.89,631000,0
20010212,27.98,28.10,27.86,28.05,744600,0
20010213,28.00,28.23,27.60,28.10,726900,0
20010214,28.00,28.00,26.90,27.02,2592900,0
20010215,27.00,27.12,26.80,27.12,715400,0
20010216,27.15,27.70,27.15,27.62,748700,0
20010219,27.62,27.62,27.62,27.62,0,0
20010220,27.12,27.99,27.12,27.35,1449400,0
20010221,27.35,27.50,26.87,27.06,437100,0
20010222,27.10,27.48,26.99,27.04,798900,0
20010223,27.05,27.21,26.72,27.05,898100,0
