DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.56,27.56,26.94,27.19,85394,0
20010103,27.13,28.19,26.31,28.19,19388,0
20010104,28.19,29.25,28.00,28.44,73932,0
20010105,28.44,28.44,27.13,27.50,13086,0
20010108,27.38,27.38,26.63,26.81,34768,0
20010109,27.00,27.06,26.44,26.88,10095,0
20010110,27.25,28.13,27.13,27.63,28640,0
20010111,27.81,28.44,27.75,28.00,14987,0
20010112,27.88,27.94,27.06,27.44,9594,0
20010115,27.44,27.44,27.44,27.44,0,0
20010116,27.44,28.69,27.31,28.25,117372,0
20010117,28.44,28.44,28.13,28.25,0,0
20010118,28.25,28.38,27.13,27.13,57333,0
20010119,26.88,27.13,26.56,26.94,248734,0
20010122,26.94,26.94,26.94,26.94,0,0
20010123,26.88,27.25,26.88,26.94,13389,0
20010124,26.94,27.00,26.69,26.94,0,0
20010125,26.94,27.06,26.50,26.94,0,0
20010126,27.00,27.56,26.88,27.44,0,0
20010129,28.34,28.56,27.63,28.31,3494770,0
20010130,27.00,29.06,27.00,28.00,2830800,0
20010131,27.32,27.32,26.66,26.66,11193500,0
20010201,26.70,26.99,26.55,26.82,1422100,0
20010202,26.87,27.30,26.80,27.00,2715000,0
20010205,27.00,27.09,26.90,27.03,0,0
20010206,27.02,27.02,26.10,26.35,953800,0
20010207,26.38,27.00,26.29,26.62,1621800,0
20010208,26.30,26.80,26.30,26.62,1119800,0
20010209,26.60,26.78,26.50,26.74,0,0
20010212,26.74,27.00,26.73,26.85,0,0
20010213,27.00,27.06,26.80,26.91,1287300,0
20010214,26.91,27.29,26.84,26.91,1105500,0
20010215,26.85,27.15,26.76,27.05,0,0
20010216,27.10,27.93,27.10,27.53,1491400,0
20010219,27.53,27.53,27.53,27.53,0,0
20010220,27.73,27.73,26.50,26.63,2863200,0
20010221,26.40,26.85,26.22,26.23,531000,0
20010222,26.15,26.19,24.75,25.62,1828400,0
20010223,25.45,25.52,24.65,25.35,10872000,0
20010226,25.80,26.10,25.07,26.10,499000,0
20010227,25.85,26.40,25.76,26.13,714700,0
20010228,26.50,26.50,25.50,26.00,1829400,0
20010301,26.19,26.70,25.85,26.57,1646500,0
20010302,26.70,27.44,26.65,27.10,1368200,0
20010305,27.15,27.24,26.51,26.90,895100,0
20010306,27.55,27.55,26.95,27.08,1007200,0
20010307,27.04,27.49,26.92,27.49,864400,0
20010308,27.31,27.54,26.97,27.44,1347200,0
20010309,27.20,27.20,26.67,26.83,795000,0
20010312,26.83,26.83,25.63,25.75,1542300,0
20010313,25.75,26.58,25.45,26.53,4567100,0
20010314,25.25,25.55,24.40,24.90,1900800,0
20010315,25.26,26.03,25.04,26.00,5767400,0
20010316,25.25,25.77,25.25,25.53,1615900,0
20010319,25.60,25.80,24.75,25.25,1428700,0
20010320,25.50,25.60,24.91,25.01,1547100,0
20010321,24.75,25.07,24.18,24.25,4208200,0
20010322,24.10,24.10,22.65,23.80,1742800,0
20010323,23.95,24.70,23.67,24.61,1311600,0
20010326,24.80,25.20,24.61,24.85,680900,0
20010327,24.94,25.52,24.55,25.46,992300,0
20010328,24.80,25.47,24.76,25.41,1028000,0
20010329,25.10,25.73,25.00,25.30,951400,0
20010330,25.32,25.90,25.32,25.80,1178400,0
20010402,25.79,26.43,25.51,25.83,691000,0
20010403,25.65,25.90,24.80,25.06,949200,0
20010404,24.91,25.20,24.20,24.60,969100,0
20010405,24.95,25.34,24.70,25.18,1039900,0
20010406,24.95,25.34,24.27,24.70,1133100,0
20010409,25.10,25.36,24.93,25.24,818200,0
20010410,25.35,25.92,25.35,25.65,734700,0
20010411,25.85,25.95,25.29,25.30,7588300,0
20010412,25.50,25.85,25.33,25.53,632200,0
20010416,25.70,25.95,24.98,25.28,811200,0
20010417,25.30,25.30,24.85,25.12,753700,0
20010418,22.76,25.03,22.10,23.45,5455400,0
20010419,23.48,23.50,22.67,22.70,2453700,0
20010420,22.65,23.01,22.55,23.00,2814200,0
20010423,23.00,23.00,22.56,22.86,1196100,0
20010424,22.90,23.10,22.76,22.98,855000,0
20010425,22.85,23.09,22.69,23.02,1027200,0
20010426,22.83,22.99,22.50,22.52,1354200,0
20010427,23.00,23.25,22.70,23.22,8142600,0
20010430,23.75,23.75,22.96,23.18,1012200,0
20010501,23.18,23.38,22.90,23.30,1006300,0
20010502,23.20,23.51,23.06,23.42,1295600,0
20010503,23.25,23.49,23.00,23.48,662300,0
20010504,23.11,24.10,23.00,24.10,3905900,0
