DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,14.71,14.79,14.48,14.65,0,0
20010103,14.58,15.04,14.58,14.75,4884,0
20010104,14.81,14.83,14.67,14.71,0,0
20010105,14.67,14.71,14.46,14.48,0,0
20010108,14.40,14.50,14.31,14.38,4128,0
20010109,14.42,14.65,14.33,14.50,0,0
20010110,14.58,14.67,14.29,14.42,3090,0
20010111,14.44,14.54,14.13,14.38,1360,0
20010112,14.38,14.48,14.29,14.35,0,0
20010115,14.35,14.35,14.35,14.35,0,0
20010116,14.33,14.42,14.27,14.42,1128,0
20010117,14.42,14.42,14.27,14.33,0,0
20010118,14.25,14.40,14.25,14.40,33894,0
20010119,14.40,14.52,14.27,14.46,1642,0
20010122,14.46,14.46,14.46,14.46,0,0
20010123,14.50,14.63,14.44,14.54,1614,0
20010124,14.38,14.58,14.27,14.40,0,0
20010125,14.38,14.50,14.38,14.44,0,0
20010126,14.44,14.48,14.33,14.44,61036,0
20010129,15.10,15.10,14.85,14.86,273900,0
20010130,14.91,15.26,14.65,14.88,0,0
20010131,14.80,14.80,14.57,14.65,0,0
20010201,14.65,14.65,14.50,14.53,9188100,0
20010202,14.53,14.53,14.42,14.43,0,0
20010205,14.43,14.50,14.43,14.44,0,0
20010206,14.42,14.43,14.34,14.35,213300,0
20010207,14.34,14.47,14.30,14.30,860100,0
20010208,14.37,14.38,14.17,14.19,1667400,0
20010209,14.17,14.25,14.01,14.06,202800,0
20010212,14.08,14.08,13.83,13.98,292500,0
20010213,13.90,13.95,13.72,13.75,321900,0
20010214,13.73,13.91,13.72,13.80,0,0
20010215,13.82,13.92,13.77,13.83,425100,0
20010216,13.85,13.94,13.70,13.84,143400,0
20010219,13.84,13.84,13.84,13.84,0,0
20010220,13.93,14.03,13.82,14.00,377700,0
20010221,14.02,14.03,13.78,13.83,201000,0
20010222,13.80,13.85,13.67,13.69,186600,0
20010223,13.65,13.83,13.62,13.63,335700,0
20010226,13.58,13.80,13.58,13.80,380400,0
20010227,13.82,13.93,13.80,13.92,221700,0
20010228,13.93,13.95,13.70,13.95,450000,0
20010301,14.00,14.17,14.00,14.12,679800,0
20010302,14.21,14.50,14.21,14.36,570300,0
20010305,14.34,14.40,14.33,14.35,6203400,0
20010306,14.47,14.50,14.27,14.33,737400,0
20010307,14.33,14.43,14.30,14.36,792600,0
20010308,14.37,14.45,14.34,14.42,254400,0
20010309,14.42,14.45,14.33,14.37,271500,0
20010312,14.37,14.43,14.10,14.29,401400,0
20010313,14.32,14.33,14.25,14.27,3115800,0
20010314,14.27,14.30,14.18,14.22,456300,0
20010315,14.27,14.27,14.17,14.17,103500,0
20010316,14.17,14.25,13.92,14.10,256500,0
20010319,14.10,14.20,14.00,14.19,252600,0
20010320,14.19,14.42,14.10,14.22,251700,0
20010321,14.07,14.30,14.05,14.15,167400,0
20010322,14.15,14.19,13.80,14.07,378900,0
20010323,14.04,14.16,13.87,14.01,1039500,0
20010326,13.97,14.13,13.97,14.13,333600,0
20010327,14.16,14.16,14.00,14.10,351600,0
20010328,14.33,14.33,14.05,14.11,1210500,0
20010329,14.11,14.23,14.11,14.20,147300,0
20010330,14.17,14.47,14.15,14.33,356400,0
20010402,14.17,14.17,14.02,14.17,801600,0
20010403,14.25,14.25,13.94,13.98,174300,0
20010404,13.98,14.10,13.87,13.92,189600,0
20010405,13.99,14.03,13.92,13.99,333300,0
20010406,14.07,14.07,13.90,13.93,123300,0
20010409,13.97,14.03,13.93,14.00,162300,0
20010410,13.92,14.28,13.92,13.99,326400,0
20010411,13.99,13.99,13.87,13.95,479100,0
20010412,13.97,13.97,13.82,13.93,6147000,0
20010416,13.87,13.99,13.67,13.67,497400,0
20010417,13.83,14.00,13.83,13.99,196800,0
20010418,14.00,14.17,13.93,14.16,205500,0
