DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,33.5625,36.3750,33.5000,34.1250,5282300,0
20010103,34.0625,42.7188,34.0625,42.6875,9693200,0
20010104,40.3750,42.2500,38.5000,39.8125,7711400,0
20010105,40.2500,40.8125,36.5000,37.1875,7396100,0
20010108,37.0000,40.7500,35.5000,40.3750,7529700,0
20010109,40.9375,42.1250,39.8750,41.5000,7909800,0
20010110,39.3750,42.6250,38.4375,40.0000,10023100,0
20010111,38.7500,43.6250,38.5000,42.8125,7706200,0
20010112,42.5625,42.7500,39.5625,39.9375,7788100,0
20010115,39.9375,39.9375,39.9375,39.9375,0,0
20010116,39.6875,39.7500,36.2500,37.1875,6064100,0
20010117,41.8750,44.9375,40.0625,40.3750,20195600,0
20010118,42.3125,46.5000,41.4375,46.0625,11040100,0
20010119,45.1875,46.8438,44.1250,44.9375,7917900,0
20010122,44.3750,44.5937,42.5000,42.6250,4431300,0
20010123,42.3750,44.6250,41.5000,44.0625,4618100,0
20010124,43.8125,45.9375,43.6875,44.6875,6498900,0
20010125,44.1250,45.0000,42.8125,43.7500,10163100,0
20010126,42.5000,43.6250,41.6250,43.0625,7602900,0
20010129,42.7500,44.3750,40.8125,43.9375,4303300,0
20010130,44.0000,47.2500,43.3750,45.9375,7552300,0
20010131,45.5000,48.5625,45.1875,46.0000,70700000,0
20010201,45.1250,47.4375,44.1250,45.7500,5160400,0
20010202,45.5000,46.5000,42.0000,42.0625,4475300,0
20010205,41.8750,41.8750,37.8125,40.5625,7919400,0
20010206,40.3438,42.0000,39.5625,39.8125,4947200,0
20010207,39.5000,39.8750,37.6250,38.3750,7996900,0
20010208,38.3750,39.6250,36.3750,36.5000,7178500,0
20010209,36.9375,38.4375,35.8125,35.8750,6077700,0
20010212,36.1875,39.5625,36.1875,38.8750,6234400,0
20010213,39.2188,41.5625,37.0625,37.1250,7779000,0
20010214,39.7500,44.5000,39.7500,43.1250,13427000,0
20010215,43.6250,46.6250,43.6250,44.3125,8972100,0
20010216,42.3125,43.9375,41.1250,41.6875,7857800,0
20010219,41.6875,41.6875,41.6875,41.6875,0,0
20010220,42.4375,42.8125,40.0625,40.3125,5140100,0
20010221,39.4375,44.3125,39.4375,39.9375,10751800,0
20010222,40.4688,43.9375,38.8125,41.0000,10913700,0
20010223,41.0000,43.5000,38.7500,43.5000,10363700,0
20010226,43.4375,43.4688,40.4375,42.3125,7116100,0
20010227,41.5000,42.6250,39.0625,40.0000,6313300,0
20010228,40.1250,40.1250,34.8750,35.7500,11473800,0
20010301,33.1562,39.5625,32.0000,39.4375,12114300,0
20010302,38.3750,43.1250,37.1875,39.8750,96400000,0
20010305,41.2188,42.9688,40.4375,41.7500,5198600,0
20010306,43.5625,45.9375,43.5000,45.0000,9004500,0
20010307,44.8750,46.2500,43.6250,45.5000,7747700,0
20010308,45.0312,46.0000,43.2500,45.3750,90400000,0
20010309,44.0000,44.8750,41.1875,41.6875,8225200,0
20010312,40.4375,44.3750,40.3750,41.4375,10197800,0
20010313,42.2188,43.8125,41.6875,43.8125,8339800,0
20010314,42.7500,45.3750,42.3125,45.0000,11856100,0
20010315,46.3750,46.5000,41.0625,41.1875,11210700,0
20010316,39.4375,40.2500,37.8750,38.5625,9889900,0
20010319,39.0625,42.0625,37.8750,41.7500,7658900,0
20010320,41.1250,42.8125,38.2500,38.3750,12632900,0
20010321,38.7500,41.7500,38.3750,39.9375,9441300,0
20010322,40.9375,45.8750,40.9375,45.6250,14648500,0
20010323,47.1250,47.7500,43.9375,44.9375,18091900,0
20010326,44.8125,46.0000,44.0000,44.9375,9975600,0
20010327,44.1900,47.6300,44.1900,45.4700,12552900,0
20010328,44.9400,47.2200,42.3100,42.5000,12184400,0
20010329,42.6300,44.8100,40.0000,41.6900,11820900,0
20010330,41.0000,41.0000,38.7500,39.3100,12623900,0
20010402,38.8800,39.0000,33.6900,34.8100,12104600,0
20010403,35.0000,37.3800,34.7500,35.4400,12580200,0
20010404,35.3100,35.5600,31.7500,32.7500,12312800,0
20010405,34.3100,38.0600,34.3100,37.1900,9784000,0
20010406,36.4400,37.6300,35.0600,36.0000,9288700,0
20010409,35.7500,36.2400,31.7500,34.0000,8593500,0
20010410,34.4600,38.0000,33.2400,36.8400,11328100,0
20010411,41.9500,43.1400,40.3500,41.0400,16060200,0
20010412,40.6500,44.9000,40.1200,44.0400,8552600,0
20010416,43.0000,45.0000,41.4200,43.4600,8234300,0
20010417,42.7200,44.6000,41.5000,42.7100,9593900,0
20010418,46.0600,52.0400,45.9900,47.0800,16749700,0
20010419,48.4900,52.8600,47.4500,52.8000,13795900,0
20010420,53.1500,53.4500,51.0600,52.1100,10377500,0
20010423,50.5300,50.9900,49.5000,50.6000,8678800,0
20010424,51.2900,54.0000,48.7600,50.2300,10952200,0
20010425,49.9000,53.4000,47.7500,52.5000,10307100,0
20010426,54.0000,54.0000,49.0000,50.3500,8685200,0
20010427,51.6400,53.8000,51.4000,52.6400,6093900,0
20010430,52.9900,56.9200,52.0000,54.9600,9343000,0
20010501,54.7100,55.4400,52.1700,55.3500,7885200,0
20010502,56.1700,56.6000,53.1500,53.9900,7545800,0
20010503,53.0000,53.0100,49.5900,51.0600,8114500,0
20010504,49.3200,51.4500,48.5100,50.8200,7875400,0
20010507,51.1400,52.1500,49.0200,49.2800,5385900,0
20010508,50.2600,51.8100,49.5200,51.7900,4509300,0
20010509,50.2600,50.6300,48.5500,49.5300,7482300,0
20010510,52.8900,53.4000,50.1000,50.1200,10703900,0
20010511,50.2400,52.2500,49.7600,51.0000,5413700,0
20010514,50.5800,50.7500,48.5000,49.7300,4175000,0
20010515,49.7400,51.6300,48.9600,49.1300,5672500,0
20010516,48.8900,54.9000,48.2500,54.8400,8671200,0
20010517,54.1500,55.9000,53.5700,54.7300,7878300,0
20010518,53.6600,55.6500,53.5600,55.4600,5202800,0
20010521,55.4700,60.5900,55.2700,60.5900,8447800,0
20010522,60.2500,60.9600,59.0500,59.0800,7173300,0
20010523,58.0900,58.0900,54.5000,55.5200,6670300,0
20010524,55.0900,57.0900,53.9200,57.0700,7146500,0
20010525,58.0600,58.4200,56.5200,56.6100,5450900,0
20010528,56.6100,56.6100,56.6100,56.6100,0,0
20010529,56.3000,56.3000,52.9200,53.8000,4256600,0
20010530,52.0100,52.5000,49.4400,49.5800,7510900,0
20010531,48.5000,54.2100,48.5000,51.6200,8359800,0
20010601,53.0500,54.0000,51.0000,52.7300,5528400,0
20010604,53.0000,53.5000,51.0300,52.2000,4000600,0
20010605,52.3300,58.1200,52.2600,55.9700,8665200,0
20010606,55.7600,57.8700,54.6700,57.0000,7304000,0
20010607,56.6400,60.6800,56.5400,60.6500,8208000,0
20010608,60.5000,60.6800,58.1500,58.7500,4879400,0
20010611,58.1600,58.2100,56.7500,56.8600,5374600,0
20010612,54.5200,59.2500,54.0100,57.8100,8068800,0
20010613,58.0000,59.9800,56.6500,57.0800,7534900,0
20010614,55.8900,56.6900,53.5900,53.8700,8010600,0
20010615,52.3900,57.0000,52.0600,54.6700,6283400,0
20010618,55.6000,57.2000,55.1800,55.5000,7019800,0
20010619,57.8800,58.1600,53.1400,54.4900,7448300,0
20010620,52.7500,54.9900,51.0000,54.9400,10240100,0
20010621,53.7000,55.0000,51.5500,54.0500,9921600,0
20010622,53.4200,56.6800,52.8100,54.6000,7611500,0
20010625,55.1900,56.7000,54.1500,56.6700,4532500,0
20010626,55.2900,56.7100,54.4200,56.1200,5090900,0
20010627,55.7600,55.7700,54.1100,54.8800,5008200,0
20010628,55.7600,58.9200,55.5900,57.4700,6794200,0
20010629,57.4800,59.8800,57.4800,58.8400,6345500,0
20010702,58.3000,59.1000,57.3500,58.4600,5203800,0
20010703,58.3000,59.1000,57.7100,59.0300,2373600,0
20010704,59.0300,59.0300,59.0300,59.0300,0,0
20010705,57.7400,57.9000,56.6000,57.3100,5112900,0
20010706,56.1500,56.3700,51.5500,51.6600,8506000,0
20010709,51.8600,51.8700,50.0000,50.3100,8183000,0
20010710,51.1000,51.3400,46.4000,46.6400,10117600,0
20010711,46.6800,47.9900,45.4600,47.9600,10304000,0
20010712,49.8700,51.8000,49.3800,51.7000,8059800,0
20010713,51.3500,52.6200,49.7100,50.7000,5849900,0
20010716,50.0600,51.2100,45.9500,46.6600,9839200,0
20010717,45.1500,49.7000,45.0100,49.2000,16831100,0
20010718,48.2000,49.7300,47.2900,48.8400,7948600,0
20010719,49.5900,53.0000,49.5900,51.0900,7446000,0
20010720,49.8100,51.4900,49.3800,51.1700,5087500,0
20010723,51.3500,51.3500,48.7000,49.2100,4605400,0
20010724,49.2400,50.3600,47.5200,48.5600,4616300,0
20010725,48.6300,50.0300,46.8200,49.7900,5886900,0
20010726,49.6700,52.0000,48.4000,51.0000,6647700,0
20010727,51.2300,54.0900,50.9500,53.9100,7353700,0
20010730,54.9600,57.2000,54.3000,55.2400,9018400,0
20010731,55.2400,56.0700,54.1600,54.3900,9154600,0
20010801,55.9500,59.0000,55.1900,57.1000,14797900,0
20010802,57.6400,59.7000,56.6300,59.4500,11063400,0
20010803,58.7500,59.0300,57.5400,58.4600,5955000,0
20010806,57.2500,58.9000,57.0600,57.9500,6354100,0
20010807,55.8300,55.8400,54.0200,54.5700,9667600,0
20010808,53.9700,55.1400,50.1000,50.2700,11343400,0
20010809,50.2000,50.9500,48.9200,50.2400,10302700,0
20010810,50.3100,52.6100,49.6100,52.5300,11088400,0
20010813,52.8000,53.9200,51.4500,53.7800,6998100,0
20010814,53.9400,54.2800,52.1000,52.2700,4853500,0
20010815,52.4100,53.2500,50.6000,50.7500,6770500,0
20010816,50.0600,50.2200,48.4000,49.6600,8187800,0
20010817,47.6000,49.6500,47.4000,47.9800,5349300,0
20010820,47.9400,49.4300,47.7900,48.7100,5343000,0
20010821,48.7400,49.2800,46.1300,46.1400,4917000,0
20010822,47.2900,49.4200,45.7600,48.7900,8710300,0
20010823,48.9500,49.9100,48.0600,48.5500,5231800,0
20010824,49.2000,51.7500,49.2000,51.5700,6795800,0
20010827,51.1500,53.1500,50.9400,52.2600,4312700,0
20010828,52.3900,52.7000,50.5400,51.3900,5604000,0
20010829,51.8000,52.1400,49.0100,49.7500,5370900,0
20010830,49.2500,50.2500,48.1500,49.1400,5138500,0
20010831,47.3000,49.2000,47.2900,49.1400,4186600,0
20010903,49.1400,49.1400,49.1400,49.1400,0,0
20010904,49.0000,50.4500,46.2200,46.3800,7019900,0
20010905,46.6000,47.5200,44.0500,45.1900,13617300,0
20010906,44.2500,45.2500,42.5410,44.2400,13041600,0
20010907,44.3010,46.0110,43.6800,44.3200,9986000,0
20010910,44.2700,45.0100,42.3600,44.2000,10350700,0
20010911,44.2000,44.2000,44.2000,44.2000,0,0
20010917,42.1900,43.5600,40.6900,41.3400,9125100,0
20010918,41.9800,42.0300,37.3600,37.6300,10033300,0
20010919,37.9400,38.7000,32.7300,35.1100,14254000,0
20010920,34.4000,36.0000,33.4000,33.7800,12503800,0
20010921,30.5000,34.7300,30.5000,33.9100,12208200,0
20010924,34.9700,35.4500,33.4100,34.3900,11605100,0
20010925,34.4900,36.2400,33.5500,35.6500,10296800,0
20010926,35.8500,36.0400,32.3100,32.6800,8855500,0
20010927,32.6600,32.9800,29.9100,31.5700,10992500,0
20010928,31.6600,33.0800,30.6900,31.5800,10363500,0
20011001,31.4200,32.4500,30.1300,30.9000,8795500,0
20011002,31.0000,31.6010,29.2500,29.3100,8752700,0
20011003,28.9600,32.8200,28.6400,32.2400,14839600,0
20011004,32.9800,34.9200,31.7890,33.5500,10782100,0
20011005,33.2700,34.9000,31.5000,33.4100,7564100,0
20011008,32.9600,36.8500,32.8500,36.3600,10286300,0
20011009,36.1600,36.1700,32.6000,32.9000,9821800,0
20011010,32.4800,33.7300,31.7500,33.6600,10528500,0
20011011,34.1600,39.1700,34.1400,38.8600,16839100,0
20011012,37.8900,39.1800,36.6500,39.1700,9472500,0
20011015,37.5900,38.0000,35.8900,36.6300,10451500,0
20011016,36.2900,38.5900,36.0000,38.5200,9033500,0
20011017,39.7100,39.7900,35.1800,35.2100,11825300,0
20011018,35.0800,36.6600,34.3500,34.8800,7029200,0
20011019,34.4500,37.1900,33.9600,36.5100,12068100,0
20011022,35.8950,39.2600,35.3100,39.2500,11473300,0
20011023,39.2200,40.3700,38.6400,39.2000,12953800,0
