DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,69.99,71.06,69.20,69.25,2078700,0
20010103,69.45,70.10,66.11,66.11,2747600,0
20010104,65.60,66.00,60.50,62.93,31274100,0
20010105,63.35,66.65,62.28,65.72,4323100,0
20010108,65.95,67.65,65.95,67.10,7363800,0
20010109,67.35,67.90,65.85,66.89,9650200,0
20010110,66.31,67.37,65.40,66.90,1471300,0
20010111,66.70,67.90,66.01,66.40,4644200,0
20010112,66.40,66.62,64.46,65.51,1590500,0
20010115,65.51,65.51,65.51,65.51,0,0
20010116,65.52,66.89,65.52,66.22,1307400,0
20010117,65.70,65.70,63.20,63.99,2596800,0
20010118,64.75,65.45,63.75,64.19,1753400,0
20010119,63.75,64.11,62.13,63.81,2200200,0
20010122,63.81,63.81,63.81,63.81,0,0
20010123,63.42,63.53,61.51,62.38,2066400,0
20010124,62.80,64.84,61.80,64.26,3382300,0
20010125,64.01,66.00,63.75,65.00,8689700,0
20010126,66.15,66.20,63.92,64.10,1261100,0
20010129,64.16,65.09,63.00,64.19,1446200,0
20010130,63.00,66.16,63.00,66.13,1907900,0
20010131,64.20,65.68,64.20,64.75,3322600,0
20010201,64.75,66.89,64.75,66.89,1644700,0
20010202,66.64,66.96,65.51,66.64,6276000,0
20010205,65.64,67.23,65.64,66.00,6093700,0
20010206,66.50,67.06,65.70,66.54,1046400,0
20010207,66.54,67.60,66.03,67.50,1686900,0
20010208,67.00,67.55,66.71,67.24,1407500,0
20010209,66.95,68.05,66.50,67.64,1716300,0
20010212,67.65,68.26,66.91,67.72,987300,0
20010213,67.74,68.98,67.41,68.80,1614600,0
20010214,68.12,68.12,66.85,66.97,3402300,0
20010215,66.95,69.15,66.70,68.69,2327500,0
20010216,68.94,70.07,68.94,69.87,1911400,0
20010219,69.87,69.87,69.87,69.87,0,0
20010220,69.90,72.82,69.63,71.71,2492700,0
20010221,70.90,70.91,68.79,69.55,1520300,0
20010222,69.55,70.67,69.25,69.75,1578800,0
20010223,70.00,70.10,68.80,69.85,1711400,0
20010226,69.40,70.36,68.34,70.07,1724200,0
20010227,70.45,71.23,69.85,71.01,9809400,0
20010228,71.00,71.72,70.31,71.50,1632300,0
20010301,71.05,71.05,68.70,70.01,1773300,0
20010302,70.46,71.85,70.27,71.46,3791400,0
20010305,71.99,71.99,71.02,71.74,1783300,0
20010306,70.80,70.90,69.83,70.30,1285500,0
20010307,70.02,71.26,70.02,70.74,1949000,0
20010308,71.00,72.17,70.64,71.79,2463200,0
20010309,71.00,71.55,69.79,71.15,1588200,0
20010312,71.00,71.41,70.50,70.53,1442100,0
20010313,70.65,70.65,68.57,69.19,2150800,0
20010314,68.19,69.56,67.75,68.24,1846200,0
20010315,68.49,68.70,66.87,67.80,1152100,0
20010316,66.50,68.23,66.50,67.60,1859800,0
20010319,67.61,67.95,66.96,67.10,1287800,0
20010320,67.70,70.00,67.13,69.20,2483500,0
20010321,69.40,69.40,66.60,67.00,3930300,0
20010322,66.83,66.83,64.02,66.65,3287500,0
20010323,67.50,67.60,65.73,67.13,3104200,0
20010326,67.35,67.53,66.32,66.35,1723700,0
20010327,66.75,67.12,65.94,66.65,2928900,0
20010328,66.60,68.96,66.17,68.68,2643400,0
20010329,67.38,67.45,65.30,66.60,3237800,0
20010330,67.10,68.00,66.35,67.83,2666700,0
20010402,68.17,68.66,66.45,66.84,1685600,0
20010403,66.94,66.94,65.50,65.85,1492200,0
20010404,65.71,66.85,64.80,66.85,2547700,0
20010405,68.30,68.30,66.00,66.99,1507500,0
