DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20110214,31.05,31.30,30.70,30.70,6276284,0
20110215,30.90,31.15,30.73,30.94,4337802,0
20110216,31.05,31.44,30.66,30.72,4627489,0
20110217,30.68,31.09,30.51,30.55,3290633,0
20110218,30.65,31.39,30.40,31.37,6936545,0
20110222,31.14,31.43,30.71,30.72,2454261,0
20110223,30.76,30.90,30.25,30.42,2671118,0
20110224,30.55,30.65,30.30,30.46,1697998,0
20110225,30.53,30.75,30.30,30.50,2225823,0
20110228,30.57,30.79,30.42,30.50,2380311,0
20110301,30.65,30.78,30.23,30.45,1907921,0
20110302,30.57,30.69,30.26,30.57,2196962,0
20110303,30.68,30.77,30.53,30.77,1901777,0
20110304,30.80,30.94,30.66,30.85,892281,0
20110307,30.94,31.04,30.70,30.90,1049574,0
20110308,30.80,31.04,30.80,30.97,827311,0
20110309,30.90,30.98,30.74,30.75,294086,0
20110310,30.71,30.71,29.75,30.10,2715286,0
20110311,30.10,30.48,29.97,30.10,1896844,0
20110314,30.00,30.22,29.80,29.99,1967678,0
20110315,29.81,30.20,29.60,29.88,1968393,0
20110316,29.89,30.16,29.76,30.05,2062105,0
20110317,30.20,30.41,30.06,30.15,1511338,0
20110318,30.21,30.50,30.08,30.50,1906733,0
20110321,30.53,31.00,30.40,30.82,1252929,0
20110322,30.90,30.98,30.57,30.70,1014614,0
20110323,30.53,30.67,29.95,30.02,2570690,0
20110324,30.10,30.25,29.90,30.05,1411599,0
20110325,30.01,30.09,29.50,29.52,2687019,0
20110328,29.74,29.93,29.56,29.62,1552829,0
20110329,29.75,29.88,29.54,29.79,1313702,0
20110330,29.87,29.89,29.58,29.69,770023,0
20110331,29.80,29.87,29.51,29.64,884315,0
20110401,29.79,29.85,29.49,29.50,1869198,0
20110404,29.44,29.70,29.25,29.44,1177852,0
20110405,29.49,29.64,29.00,29.44,1021281,0
20110406,29.46,29.49,29.21,29.46,725080,0
20110407,29.52,29.56,29.13,29.22,1226045,0
20110408,29.22,29.42,29.12,29.33,934705,0
20110411,29.30,29.41,29.07,29.25,1160858,0
20110412,29.10,29.24,28.27,28.73,1278060,0
20110413,28.74,29.02,28.66,28.83,2766808,0
20110414,28.79,29.16,28.57,29.12,785748,0
20110415,29.11,29.15,28.69,28.88,863864,0
20110418,28.79,28.84,28.23,28.52,882325,0
20110419,28.59,28.86,28.53,28.78,1122101,0
20110420,28.98,29.60,28.79,29.45,2053961,0
20110421,29.32,29.93,29.07,29.63,1516820,0
20110425,29.81,29.81,29.07,29.36,604089,0
20110426,29.54,29.59,29.05,29.12,1115700,0
20110427,29.30,29.49,28.75,28.86,1479585,0
20110428,28.84,28.95,28.69,28.83,1040923,0
20110429,29.04,29.29,28.35,28.58,1843316,0
20110502,28.73,28.99,28.38,28.82,1036693,0
20110503,28.84,28.89,28.05,28.19,1158636,0
20110504,28.20,28.36,27.31,27.96,2537787,0
20110505,28.02,28.26,27.41,27.98,1618240,0
20110506,28.08,28.41,27.85,28.00,653517,0
20110509,28.11,28.45,28.01,28.29,752064,0
20110510,28.27,28.69,28.08,28.52,778065,0
20110511,28.53,28.63,28.01,28.31,1400358,0
20110512,28.20,28.45,27.82,28.45,1792301,0
20110513,28.37,28.37,27.75,27.93,1344050,0
20110516,28.06,28.48,27.40,27.54,1737540,0
20110517,27.60,27.71,26.87,27.50,2309905,0
20110518,27.77,27.88,27.42,27.56,895108,0
20110519,27.68,28.34,27.53,28.29,1096432,0
20110520,28.25,28.90,27.97,28.50,1535380,0
20110523,28.41,28.57,28.19,28.33,2927589,0
20110524,28.53,29.06,28.47,29.06,2587624,0
20110525,28.98,29.28,28.80,29.02,3304604,0
20110526,29.10,29.22,28.61,28.69,1507097,0
20110527,28.90,29.18,28.50,29.18,1896541,0
20110531,29.53,29.76,29.00,29.29,5489827,0
20110601,29.40,29.47,28.85,29.00,1042794,0
20110602,29.15,29.38,28.44,29.38,978328,0
20110603,29.06,29.76,28.73,29.75,1566348,0
20110606,29.60,29.77,29.25,29.52,1402015,0
20110607,29.58,29.97,29.42,29.79,1980996,0
20110608,29.58,29.86,29.46,29.73,766729,0
20110609,29.72,29.89,29.64,29.69,1215835,0
20110610,29.74,29.85,29.43,29.53,895776,0
20110613,29.62,29.93,29.20,29.45,901813,0
20110614,29.41,29.86,29.06,29.50,760136,0
20110615,29.42,29.65,28.89,29.36,1148797,0
20110616,29.40,29.44,29.07,29.21,792038,0
20110617,29.36,29.74,29.15,29.70,2448122,0
20110620,29.61,29.67,29.40,29.61,866623,0
20110621,29.70,29.70,29.34,29.62,631275,0
20110622,29.62,29.97,29.44,29.62,1587992,0
20110623,29.59,29.59,28.91,29.10,1963068,0
20110624,29.19,29.30,28.59,28.60,11554729,0
20110627,28.68,28.79,28.22,28.26,1888999,0
20110628,28.39,28.67,28.10,28.30,2235377,0
20110629,28.48,28.80,28.32,28.40,1592032,0
20110630,28.43,28.78,28.31,28.73,809450,0
20110701,28.67,29.28,28.37,29.27,846515,0
20110705,29.22,29.39,29.04,29.26,505758,0
20110706,29.17,29.24,28.92,29.11,1237464,0
20110707,29.26,29.45,28.86,28.98,876276,0
20110708,28.80,29.33,28.68,28.92,757413,0
20110711,28.70,28.74,28.16,28.36,725372,0
20110712,28.25,28.37,28.10,28.17,665821,0
20110713,28.34,28.48,28.06,28.19,556716,0
20110714,28.30,28.41,28.02,28.03,799588,0
20110715,28.24,28.63,28.00,28.59,785054,0
20110718,28.40,28.41,27.98,28.19,695160,0
20110719,28.41,28.49,28.24,28.35,390086,0
20110720,28.57,28.93,28.25,28.50,578915,0
20110721,28.68,28.87,28.22,28.51,1277293,0
20110722,28.55,28.63,28.24,28.36,1017603,0
20110725,28.30,28.39,27.48,27.50,2752956,0
20110726,27.61,27.74,27.36,27.57,2921290,0
20110727,27.27,28.40,27.10,28.18,3648010,0
20110728,27.90,28.24,27.64,28.16,985124,0
20110729,27.96,28.30,27.80,28.23,999251,0
20110801,28.42,28.50,28.12,28.23,612267,0
20110802,28.06,28.17,27.64,27.85,893471,0
20110803,27.82,27.87,27.25,27.72,1392590,0
20110804,27.60,27.60,26.33,26.47,1813751,0
20110805,26.47,26.79,24.96,25.92,3006544,0
20110808,25.21,25.59,23.66,23.66,2019525,0
20110809,24.05,25.96,24.00,25.92,1689217,0
20110810,25.58,27.08,25.24,26.05,1909695,0
20110811,26.20,27.81,26.18,27.45,1372393,0
20110812,27.83,27.99,26.53,26.77,1136158,0
20110815,27.19,27.30,26.86,27.08,676879,0
20110816,26.89,26.90,26.38,26.50,645937,0
20110817,26.66,26.66,26.22,26.28,671954,0
20110818,25.99,25.99,24.63,24.82,3587822,0
20110819,24.66,25.07,23.78,23.82,1913856,0
20110822,24.35,25.31,23.59,23.76,1543598,0
20110823,23.93,24.54,23.51,24.54,1152944,0
20110824,24.42,24.72,24.07,24.45,686581,0
20110825,24.60,24.97,24.45,24.45,570143,0
20110826,24.48,24.93,24.01,24.78,570798,0
20110829,24.96,25.61,24.70,25.31,530511,0
20110830,25.22,25.51,24.92,25.37,437418,0
20110831,25.61,26.34,25.44,25.85,1786009,0
20110901,25.98,26.06,25.61,25.72,553690,0
20110902,25.43,25.47,25.06,25.19,567042,0
20110906,24.75,25.44,24.61,25.37,700921,0
20110907,25.72,25.89,25.23,25.44,895645,0
20110908,25.37,25.73,25.19,25.40,982548,0
20110909,25.14,25.36,24.75,24.85,1141628,0
20110912,24.64,24.97,24.30,24.96,945421,0
20110913,25.09,25.23,24.62,24.97,1050967,0
20110914,25.20,25.29,24.76,25.25,834546,0
20110915,25.46,25.83,25.34,25.54,472211,0
20110916,25.72,25.79,25.22,25.50,1884720,0
20110919,25.22,27.31,25.16,26.68,3781522,0
20110920,26.89,26.89,26.52,26.70,849690,0
20110921,26.84,27.20,26.47,26.55,1400834,0
20110922,26.06,26.40,25.34,25.69,1731740,0
20110923,25.71,25.85,25.18,25.52,699679,0
20110926,25.60,26.35,25.20,26.34,1366075,0
20110927,26.88,27.36,26.82,27.03,1765989,0
