DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,10.47,10.63,10.38,10.57,1662200,0
20030501,10.57,10.57,10.21,10.52,2246400,0
20030502,10.52,10.97,10.40,10.95,1982600,0
20030505,10.95,11.50,10.95,11.30,3938600,0
20030506,11.24,11.26,10.88,10.99,2770200,0
20030507,10.99,11.00,10.66,10.70,1443400,0
20030508,10.57,11.20,10.51,10.80,2280000,0
20030509,10.86,10.93,10.76,10.82,928600,0
20030512,10.84,11.49,10.75,11.38,2026800,0
20030513,11.18,11.51,11.13,11.45,1539400,0
20030514,11.43,11.44,11.21,11.24,2121600,0
20030515,11.30,11.40,10.97,11.02,1177200,0
20030516,11.02,11.02,10.52,10.75,2089400,0
20030519,10.60,10.80,10.46,10.59,1008000,0
20030520,10.83,10.83,10.26,10.40,1560000,0
20030521,10.38,10.59,10.38,10.50,1354800,0
20030522,10.51,10.87,10.32,10.76,2850600,0
20030523,10.76,11.20,10.76,11.15,1590400,0
20030527,11.13,11.55,11.10,11.52,1672400,0
20030528,11.52,12.00,11.51,11.97,3242400,0
20030529,12.00,12.05,11.84,11.84,2173200,0
20030530,11.86,11.93,11.51,11.63,2357200,0
20030602,11.65,11.77,11.54,11.72,3155000,0
20030603,11.72,11.88,11.60,11.82,2748000,0
20030604,11.82,12.38,11.77,12.36,4458200,0
20030605,13.10,14.75,13.10,14.70,9862800,0
20030606,14.63,15.43,14.57,14.70,4874800,0
20030609,14.57,14.57,13.55,13.68,3745200,0
20030610,13.97,14.87,13.95,14.71,3483000,0
20030611,14.71,15.05,14.60,14.90,1761600,0
20030612,15.00,15.50,15.00,15.50,2494200,0
20030613,15.47,15.48,14.91,15.10,1642200,0
20030616,15.05,15.80,15.00,15.80,1434400,0
20030617,16.00,16.00,15.20,15.26,1886200,0
20030618,15.13,15.45,15.02,15.38,1783400,0
20030619,15.36,15.50,14.80,14.85,1589600,0
20030620,14.90,15.22,14.59,14.75,3001200,0
20030623,14.75,14.88,14.25,14.38,1700000,0
20030624,14.25,14.45,13.92,13.97,2296200,0
20030625,13.97,14.72,13.92,14.68,1949800,0
20030626,14.68,14.89,14.51,14.88,1264000,0
20030627,14.89,15.50,14.85,15.32,2737800,0
20030630,15.38,15.42,14.91,15.07,2133200,0
20030701,15.07,15.07,14.58,15.03,799600,0
20030702,15.03,15.27,14.94,15.13,854400,0
20030703,15.14,15.45,15.10,15.23,504400,0
20030707,15.35,15.65,15.35,15.50,1852400,0
20030708,15.50,16.08,15.47,16.07,1847600,0
20030709,16.07,16.36,16.05,16.24,1965600,0
20030710,16.15,16.23,15.77,15.84,1751800,0
20030711,15.84,17.75,15.68,17.23,8351600,0
20030714,17.70,19.00,17.45,17.75,6308200,0
20030715,17.75,18.23,17.42,17.75,4171000,0
20030716,17.77,17.88,16.80,17.48,3552800,0
20030717,17.38,17.47,17.13,17.32,1830600,0
20030718,17.32,17.60,17.15,17.50,1945000,0
20030721,17.48,17.55,17.05,17.31,2292600,0
20030722,17.32,17.75,17.14,17.53,1484000,0
20030723,17.66,17.67,17.14,17.55,1581800,0
20030724,17.80,18.65,17.80,18.17,2559000,0
20030725,18.17,18.27,17.81,18.25,1096600,0
20030728,18.25,18.27,17.96,18.02,967000,0
20030729,18.13,18.21,17.92,18.01,1470200,0
20030730,18.01,18.01,17.21,17.23,2317600,0
20030731,17.28,18.00,17.25,17.75,2162800,0
20030801,17.55,17.58,17.13,17.45,1540400,0
20030804,17.50,17.55,17.30,17.38,1011400,0
20030805,17.28,17.37,16.98,16.98,1041200,0
20030806,16.86,17.19,16.67,16.89,1639800,0
20030807,16.89,16.89,16.45,16.68,998800,0
20030808,16.67,16.90,16.53,16.90,2110000,0
20030811,16.88,17.09,16.83,17.05,2043400,0
20030812,17.05,17.48,17.00,17.38,1709600,0
20030813,17.50,17.53,17.40,17.48,1662200,0
20030814,17.52,17.61,17.45,17.55,1186400,0
20030815,17.65,17.87,17.57,17.70,296200,0
20030818,17.73,18.37,17.73,18.00,1370000,0
20030819,18.13,18.19,17.85,18.07,1994400,0
20030820,18.02,18.28,17.86,18.22,1262800,0
20030821,18.22,18.40,18.05,18.35,906200,0
20030822,18.48,18.63,17.95,18.10,1485000,0
20030825,18.25,18.47,18.02,18.44,986200,0
20030826,18.25,18.49,17.95,18.49,1223200,0
20030827,18.55,18.59,18.22,18.50,1019200,0
20030828,18.62,19.29,18.56,19.14,2284400,0
20030829,19.05,19.36,18.95,19.27,886400,0
20030902,19.27,19.65,19.23,19.56,2410800,0
20030903,19.25,19.31,18.64,18.75,3131800,0
20030904,18.76,18.90,18.38,18.87,1957200,0
20030905,17.70,18.50,17.50,17.72,7327200,0
20030908,17.70,17.77,16.91,17.40,6267400,0
20030909,17.40,17.48,17.09,17.24,3381600,0
20030910,17.20,17.20,16.50,16.50,2642800,0
20030911,16.60,17.17,16.60,17.00,1627200,0
20030912,16.98,17.35,16.85,17.28,1514800,0
20030915,17.23,17.50,17.07,17.48,1714600,0
20030916,17.45,18.02,17.40,18.01,1841200,0
20030917,17.98,18.00,17.68,17.83,1346000,0
20030918,17.83,18.48,17.60,18.47,3399600,0
20030919,18.42,18.42,17.81,17.97,2776800,0
20030922,16.70,17.67,16.70,17.63,6498600,0
20030923,17.52,17.98,17.35,17.97,1903200,0
20030924,17.84,17.87,17.08,17.15,2568200,0
20030925,17.25,17.30,16.74,16.98,2103200,0
20030926,16.92,16.97,16.42,16.45,2123400,0
20030929,16.52,17.05,16.52,16.81,2650200,0
20030930,16.81,16.81,16.26,16.33,3374800,0
20031001,16.38,17.11,16.09,17.09,2643000,0
20031002,17.09,17.43,16.98,17.25,1921800,0
20031003,17.50,18.08,17.36,17.69,2503800,0
20031006,17.90,18.35,17.81,18.33,2025000,0
20031007,18.33,18.50,18.00,18.47,2046600,0
20031008,18.49,18.69,18.40,18.45,1344600,0
20031009,18.45,19.45,18.45,19.01,3445200,0
20031010,19.07,19.07,18.74,18.98,1458600,0
20031013,19.17,19.38,19.06,19.28,1056800,0
20031014,19.41,19.63,19.30,19.63,2630000,0
20031015,17.00,17.13,15.88,16.15,23095000,0
20031016,16.25,16.84,16.13,16.73,6089200,0
20031017,16.74,16.82,16.25,16.38,2719600,0
20031020,16.55,16.62,16.00,16.18,2532400,0
20031021,16.18,16.23,15.47,15.52,5918400,0
20031022,15.40,15.45,15.04,15.27,5157400,0
20031023,15.17,15.74,15.16,15.65,3949800,0
20031024,15.50,15.60,15.34,15.46,2044800,0
20031027,15.63,15.91,15.61,15.89,1660400,0
20031028,15.89,15.99,15.72,15.96,2217000,0
20031029,15.96,15.96,15.15,15.37,3961600,0
20031030,15.47,15.65,15.30,15.56,3686400,0
20031031,15.70,15.86,15.66,15.75,1625200,0
20031103,15.80,16.17,15.80,15.93,1701124,0
20031104,15.97,16.07,15.85,15.99,1723464,0
20031105,16.05,16.25,15.86,16.00,1420800,0
20031106,16.00,16.07,15.75,16.06,1067600,0
20031107,16.35,16.42,16.15,16.35,1215400,0
20031110,16.32,16.41,15.68,15.88,3045200,0
20031111,15.97,16.11,15.85,16.06,1531200,0
20031112,16.15,16.57,16.05,16.55,1690000,0
20031113,16.55,17.15,16.50,17.01,3146000,0
20031114,17.00,17.01,16.52,16.63,1519200,0
20031117,16.63,16.63,16.35,16.49,2329400,0
20031118,16.50,16.50,15.72,15.78,3892800,0
20031119,15.88,16.05,15.38,15.80,3912200,0
20031120,15.80,15.94,15.65,15.76,1974600,0
20031121,15.92,16.12,15.82,16.00,1070800,0
20031124,16.10,16.75,16.06,16.72,2854800,0
20031125,16.72,16.82,16.61,16.79,3079400,0
20031126,16.85,17.05,16.50,16.57,1482400,0
20031128,16.60,16.69,16.47,16.47,550800,0
20031201,16.69,16.95,16.65,16.86,1821000,0
20031202,16.82,16.82,16.69,16.73,1391600,0
20031203,16.92,17.00,16.55,16.56,2221200,0
20031204,16.75,16.80,15.41,15.57,4146400,0
20031205,15.58,15.60,15.24,15.40,2973800,0
20031208,15.40,15.65,15.31,15.46,1078400,0
20031209,15.95,15.99,15.34,15.47,1960800,0
20031210,15.44,15.44,14.79,14.90,2108800,0
20031211,15.05,15.17,14.82,14.90,3746800,0
20031212,14.91,14.96,14.40,14.57,4123200,0
20031215,14.89,14.99,14.74,14.82,2624800,0
20031216,14.80,14.89,14.61,14.85,2406600,0
20031217,14.75,15.50,14.35,14.98,4450200,0
20031218,15.35,15.73,15.31,15.69,4072000,0
20031219,15.77,15.86,15.52,15.80,2624000,0
20031222,15.70,16.05,15.47,15.67,934000,0
20031223,15.68,15.88,15.55,15.74,627200,0
20031224,15.62,15.68,15.44,15.60,393400,0
20031226,15.57,15.84,15.54,15.63,284600,0
20031229,15.63,15.88,15.57,15.78,706000,0
20031230,15.47,15.80,15.32,15.40,1917000,0
20031231,15.50,15.50,15.30,15.46,1823600,0
20040102,15.41,15.53,15.20,15.24,2135800,0
20040105,15.50,15.61,15.38,15.50,1686800,0
20040106,15.50,15.90,15.35,15.85,1449400,0
20040107,15.80,16.13,15.60,16.13,1768200,0
20040108,16.13,16.15,15.51,15.58,1795800,0
20040109,15.53,15.56,15.02,15.15,2366400,0
20040112,15.10,15.10,14.78,14.88,3278400,0
20040113,14.85,14.94,14.52,14.57,4309800,0
20040114,14.57,14.87,14.56,14.75,2783000,0
20040115,14.77,14.80,14.56,14.68,1135200,0
20040116,15.25,17.07,15.18,16.54,9666800,0
20040120,16.65,16.70,16.38,16.67,2955200,0
20040121,16.67,17.65,16.63,17.55,5446600,0
20040122,17.85,18.55,17.56,17.69,4670800,0
20040123,17.51,17.57,17.09,17.29,2366600,0
20040126,17.16,17.35,16.95,17.28,1459000,0
20040127,17.03,17.07,16.75,16.82,2326800,0
20040128,16.85,17.17,16.40,16.50,2345000,0
20040129,16.63,16.63,16.10,16.30,1245400,0
20040130,16.38,16.81,16.30,16.67,1344600,0
20040202,16.73,17.02,16.45,16.62,1345400,0
20040203,16.55,16.65,16.40,16.45,860000,0
20040204,16.33,16.74,16.20,16.41,2312000,0
20040205,16.50,16.81,16.50,16.61,1311600,0
20040206,16.72,17.20,16.70,17.02,1648600,0
20040209,17.30,17.50,17.00,17.00,992400,0
20040210,17.00,17.12,16.88,16.99,603200,0
20040211,16.99,17.20,16.79,17.00,1730600,0
20040212,17.00,17.12,16.81,16.99,2228800,0
20040213,16.99,17.15,16.99,17.10,2060400,0
20040217,17.20,17.60,17.08,17.49,2030600,0
20040218,17.61,17.93,17.42,17.53,2085000,0
20040219,17.82,17.85,17.47,17.55,1922600,0
20040220,17.53,17.54,17.18,17.35,1712800,0
20040223,17.48,17.49,16.75,16.98,2116600,0
20040224,16.98,16.98,16.50,16.60,2649200,0
20040225,16.65,16.77,16.50,16.70,1200200,0
20040226,16.70,16.83,16.56,16.59,1536600,0
20040227,16.67,17.23,16.64,17.00,4385400,0
20040301,17.10,18.10,17.10,17.69,4446800,0
20040302,17.55,17.70,17.33,17.39,1520600,0
20040303,17.35,17.35,16.87,17.04,2841000,0
20040304,16.25,17.04,15.50,16.50,13947800,0
20040305,16.50,17.10,16.43,16.89,2155800,0
20040308,17.14,17.30,16.75,16.77,2142400,0
20040309,16.80,16.88,16.44,16.57,1262400,0
20040310,16.74,16.74,16.00,16.06,3244000,0
20040311,16.01,16.15,15.84,15.85,2276400,0
20040312,15.98,16.22,15.34,15.42,4396400,0
20040315,15.45,15.45,14.67,14.68,5977800,0
20040316,14.80,14.80,14.25,14.56,5261400,0
20040317,14.77,14.77,14.22,14.39,6262800,0
20040318,14.63,14.63,14.17,14.26,3287400,0
20040319,14.35,14.38,14.04,14.14,1900400,0
20040322,14.00,14.02,13.73,13.92,3436200,0
20040323,14.02,14.07,13.40,13.60,6336400,0
20040324,13.63,13.85,13.34,13.67,6379600,0
20040325,13.88,14.53,13.80,14.22,5039000,0
20040326,14.45,14.72,14.29,14.29,3832000,0
20040329,14.60,14.63,14.06,14.35,4678000,0
20040330,14.13,14.48,13.64,14.25,12683200,0
