DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20111215,25.00,25.23,23.51,24.20,42261341,0
20111216,24.45,24.80,23.51,24.10,3998809,0
20111219,24.50,25.09,24.31,24.88,3246130,0
20111220,25.02,25.76,25.02,25.45,1710133,0
20111221,25.64,26.78,25.46,26.55,2501413,0
20111222,26.45,27.49,26.45,27.27,1145376,0
20111223,27.52,27.52,26.84,27.00,979762,0
20111227,27.15,27.33,26.88,27.20,535096,0
20111228,27.58,27.58,27.09,27.41,595256,0
20111229,27.50,27.50,27.22,27.22,260313,0
20111230,27.31,27.35,27.11,27.25,307616,0
20120103,27.25,27.53,27.00,27.15,726445,0
20120104,27.19,27.26,26.36,26.40,726898,0
20120105,26.07,27.06,25.50,26.45,785014,0
20120106,26.45,26.72,25.95,26.00,1680709,0
20120109,25.87,26.27,25.87,26.20,635076,0
20120110,26.47,26.63,26.24,26.42,926734,0
20120111,26.29,26.60,26.13,26.14,759666,0
20120112,26.47,26.47,25.75,26.10,599668,0
20120113,25.93,26.56,25.93,26.56,613290,0
20120117,26.78,28.55,26.75,28.05,2405402,0
20120118,28.11,28.85,27.95,28.40,902788,0
20120119,28.69,28.80,28.50,28.68,699088,0
20120120,28.75,29.61,28.72,29.35,1809668,0
20120123,29.71,29.88,28.75,29.76,831609,0
20120124,30.22,30.25,29.21,29.50,1218553,0
20120125,29.76,30.50,29.65,30.50,919832,0
20120126,30.58,30.65,29.28,29.78,688585,0
20120127,29.74,30.13,29.40,29.85,890023,0
20120130,29.86,29.95,29.32,29.84,307145,0
20120131,29.95,31.37,29.45,30.95,1919803,0
20120201,31.00,31.74,30.76,31.30,745010,0
20120202,31.57,32.00,31.38,31.67,1047175,0
20120203,31.81,32.82,31.81,32.51,936880,0
20120206,32.64,33.81,32.39,33.13,1030657,0
20120207,33.31,33.78,32.65,32.66,1001930,0
20120208,32.98,33.33,31.75,33.21,1187443,0
20120209,33.71,34.24,33.13,33.97,1025385,0
20120210,33.51,33.82,33.38,33.47,896075,0
20120213,34.20,34.87,33.02,33.61,2769898,0
20120214,39.49,43.00,39.25,42.85,11285469,0
20120215,43.47,44.97,41.88,42.85,5557120,0
20120216,42.75,43.81,41.51,42.25,1622370,0
20120217,42.35,42.70,41.75,41.82,752030,0
20120221,42.07,42.11,40.17,41.10,1417293,0
20120222,40.66,42.05,39.62,41.05,1773206,0
20120223,40.76,42.80,40.67,40.76,1174984,0
20120224,41.07,42.20,40.61,41.51,685110,0
20120227,41.82,44.02,41.57,43.66,1631959,0
20120228,43.90,43.90,42.26,42.69,1029485,0
20120229,42.72,44.15,42.24,43.25,1182984,0
20120301,43.69,46.50,43.60,45.73,2651447,0
20120302,46.40,48.83,45.34,47.95,2689786,0
20120305,48.31,49.75,46.34,48.63,3750912,0
20120306,47.10,47.80,46.36,46.81,2034349,0
20120307,47.26,47.50,45.44,46.10,1725553,0
20120308,46.87,47.64,46.29,47.08,1137019,0
20120309,47.70,50.69,47.49,49.59,3940372,0
20120312,46.94,48.60,46.30,48.57,3083495,0
20120313,48.52,49.93,48.13,48.75,2468011,0
20120314,48.90,48.90,47.17,47.57,1576577,0
20120315,48.03,48.17,46.70,47.65,1219676,0
20120316,47.72,47.97,45.72,46.28,1299941,0
20120319,46.51,47.41,44.59,45.32,2708597,0
20120320,47.02,48.33,44.31,48.09,5488217,0
20120321,48.87,49.25,47.97,48.63,2443900,0
20120322,48.20,50.48,47.97,48.72,3702393,0
20120323,46.78,47.83,46.62,47.00,18077276,0
20120326,47.63,47.75,46.94,47.08,3688629,0
20120327,47.27,47.35,46.35,46.53,2376753,0
20120328,46.07,46.42,44.95,45.02,3190177,0
20120329,44.50,45.98,44.46,45.69,2602261,0
20120330,46.24,46.75,45.00,46.59,4633751,0
20120402,46.80,47.00,45.92,46.15,1475358,0
20120403,46.22,47.49,46.22,47.01,1619482,0
20120404,46.45,47.94,46.30,47.45,1964395,0
20120405,47.27,48.00,46.96,47.53,3722565,0
20120409,46.59,47.27,46.40,46.80,1495553,0
20120410,46.51,46.71,42.30,43.17,5875949,0
20120411,43.74,44.20,41.39,42.90,4165763,0
20120412,42.90,44.07,42.79,43.98,1526852,0
20120413,44.00,44.74,43.03,43.62,1304053,0
20120416,44.32,44.60,41.08,42.10,3018766,0
20120417,42.30,43.20,41.91,42.92,1175226,0
20120418,42.60,43.29,42.25,42.98,1003754,0
20120419,43.38,44.65,41.61,41.90,2162536,0
20120420,41.90,42.25,41.20,41.28,1356296,0
20120423,40.82,43.66,39.73,43.39,3497821,0
20120424,43.55,44.39,40.95,41.32,2826252,0
20120425,42.38,42.69,41.01,42.56,1291513,0
20120426,42.62,44.78,42.60,44.36,1981343,0
20120427,44.36,46.50,43.20,45.90,2343907,0
20120430,45.92,46.39,44.82,45.67,2035591,0
20120501,45.69,48.60,45.40,48.11,4134895,0
20120502,48.19,49.50,47.51,48.62,2057668,0
20120503,48.91,48.91,45.64,45.96,2367093,0
20120504,45.97,46.31,43.42,43.80,2191240,0
20120507,43.57,45.46,43.25,44.10,2093073,0
20120508,41.96,42.90,39.50,41.75,5772636,0
20120509,40.75,42.59,40.60,41.50,2164093,0
20120510,41.97,42.14,38.85,40.18,4624938,0
20120511,39.81,41.39,39.64,40.62,1929797,0
20120514,40.00,40.62,39.53,40.20,2388099,0
20120515,40.36,41.59,40.12,40.75,2581260,0
20120516,40.71,40.83,39.10,40.14,4754240,0
20120517,40.27,40.79,37.60,37.79,4408055,0
20120518,37.85,38.39,37.07,37.55,2199080,0
20120521,37.55,40.96,37.00,40.71,2625803,0
20120522,40.90,42.51,40.80,41.78,2557523,0
