DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.38,13.41,13.19,13.35,62702,0
20010103,13.35,13.38,12.07,12.38,126052,0
20010104,12.32,12.35,11.19,11.57,143524,0
20010105,11.53,12.07,11.53,11.60,117770,0
20010108,11.69,12.22,11.66,12.00,61784,0
20010109,12.00,12.19,11.91,11.94,62716,0
20010110,11.91,12.00,11.47,11.60,89992,0
20010111,11.72,11.88,11.57,11.63,86610,0
20010112,11.63,11.63,11.10,11.22,78636,0
20010115,11.22,11.22,11.22,11.22,0,0
20010116,11.16,11.78,11.16,11.72,62290,0
20010117,12.13,12.13,11.75,12.07,65586,0
20010118,12.00,12.32,12.00,12.13,92376,0
20010119,12.10,12.16,11.75,12.07,45040,0
20010122,12.07,12.07,12.07,12.07,0,0
20010123,12.38,12.41,11.91,12.00,79090,0
20010124,11.91,12.16,11.91,12.00,95706,0
20010125,11.97,11.97,11.03,11.82,144984,0
20010126,11.88,12.00,11.82,11.97,27400,0
20010129,12.82,13.05,12.00,12.24,78169000,0
20010130,12.86,13.05,12.00,12.99,3234200,0
20010131,12.02,12.39,12.01,12.28,3247200,0
20010201,12.30,12.60,12.26,12.45,45900000,0
20010202,12.53,12.62,12.25,12.31,2507200,0
20010205,12.26,12.37,12.00,12.00,4921000,0
20010206,12.01,12.30,11.99,12.18,4875400,0
20010207,12.28,12.58,12.23,12.56,4173200,0
20010208,12.56,12.67,12.50,12.58,3042000,0
20010209,12.50,12.60,12.40,12.55,3205000,0
20010212,12.56,12.60,12.31,12.42,2858800,0
20010213,12.33,12.33,11.88,12.00,6327600,0
20010214,12.00,12.02,11.75,11.79,4580600,0
20010215,12.00,12.35,11.99,12.26,7090600,0
20010216,12.25,12.29,12.15,12.18,18908400,0
20010219,12.18,12.18,12.18,12.18,0,0
20010220,12.25,12.51,12.20,12.33,76160200,0
20010221,12.35,12.42,12.00,12.12,6248400,0
20010222,12.12,12.39,11.91,12.28,18045400,0
20010223,12.43,12.44,11.95,12.00,3491800,0
20010226,12.12,12.20,12.06,12.11,2593600,0
20010227,12.13,12.46,12.12,12.45,27960600,0
20010228,12.48,12.49,12.04,12.12,50393200,0
20010301,12.05,12.28,12.00,12.19,5688800,0
20010302,12.06,12.28,12.05,12.16,3798400,0
20010305,12.20,12.20,11.65,11.85,92364000,0
20010306,11.88,11.89,11.38,11.50,11094600,0
20010307,11.73,12.00,11.45,11.95,9762200,0
20010308,11.88,12.50,11.88,12.45,8266000,0
20010309,12.45,12.63,12.40,12.48,7914200,0
20010312,12.50,12.81,12.34,12.37,6493800,0
20010313,12.50,12.50,11.83,12.01,4453800,0
20010314,12.01,12.03,11.45,11.52,5605200,0
20010315,11.54,11.54,11.20,11.30,23767000,0
20010316,11.55,11.92,11.51,11.76,8178600,0
20010319,11.80,11.90,11.69,11.79,3905600,0
20010320,11.90,12.12,11.86,11.96,5830000,0
20010321,12.00,12.10,11.69,11.69,7256200,0
20010322,11.63,11.63,11.39,11.52,10742400,0
20010323,11.49,11.78,11.40,11.78,8390000,0
20010326,11.59,11.98,11.26,11.98,35430800,0
20010327,11.98,12.60,11.98,12.48,8426200,0
20010328,12.38,12.66,12.31,12.50,7460600,0
20010329,12.50,12.88,12.50,12.79,136990800,0
20010330,12.79,12.93,12.77,12.88,7336400,0
20010402,12.93,12.93,12.53,12.62,5447600,0
20010403,12.70,12.71,12.39,12.45,60988400,0
20010404,12.35,12.47,12.17,12.28,5526800,0
20010405,12.18,12.18,10.71,11.50,41126400,0
20010406,11.50,11.58,10.88,11.06,13524000,0
20010409,11.23,11.45,11.11,11.38,24929800,0
20010410,11.25,11.36,11.03,11.25,10293800,0
20010411,11.23,11.24,10.84,11.06,6896400,0
20010412,10.95,11.13,10.92,10.94,68786600,0
20010416,10.89,10.98,10.58,10.72,25238200,0
20010417,10.65,11.18,10.65,11.17,11803800,0
20010418,11.20,11.45,10.95,11.09,9757000,0
20010419,11.09,11.50,11.08,11.22,5545800,0
20010420,11.28,11.39,11.00,11.10,7693600,0
20010423,11.15,11.15,10.94,11.03,4861800,0
20010424,11.00,11.10,10.97,11.05,5071200,0
20010425,11.00,11.18,11.00,11.13,4944600,0
20010426,11.14,11.22,11.09,11.15,141076200,0
20010427,11.19,11.44,11.11,11.16,21870800,0
20010430,11.20,11.45,11.18,11.30,7675000,0
20010501,11.55,11.90,11.48,11.87,17750600,0
20010502,12.00,12.53,11.96,12.53,15137000,0
20010503,12.45,12.60,12.38,12.51,9424000,0
20010504,12.41,12.65,12.39,12.65,10285600,0
20010507,12.50,12.54,12.30,12.37,6077400,0
20010508,12.40,12.44,11.88,12.00,14079400,0
20010509,12.00,12.25,11.89,12.18,3825200,0
20010510,12.23,12.44,11.99,12.38,4855600,0
20010511,12.38,12.38,11.99,12.10,2788200,0
20010514,12.10,12.19,11.91,12.03,3719400,0
20010515,12.00,12.05,11.69,11.80,4963200,0
20010516,11.77,12.08,11.77,12.00,4773800,0
20010517,12.01,12.10,11.73,11.89,5744200,0
20010518,12.00,12.03,11.87,11.95,4899400,0
20010521,12.00,12.03,11.76,12.00,7492000,0
20010522,11.96,12.25,11.85,12.01,59772400,0
20010523,12.01,12.01,11.80,11.96,5001400,0
20010524,11.96,12.26,11.96,12.25,3999400,0
20010525,12.25,12.26,12.03,12.06,10224600,0
20010528,12.06,12.06,12.06,12.06,0,0
20010529,12.03,12.40,12.03,12.39,2869400,0
20010530,12.28,12.49,12.24,12.38,4607800,0
20010531,12.38,12.60,12.33,12.47,15288200,0
20010601,12.38,12.62,12.28,12.50,4406400,0
20010604,12.23,12.63,12.18,12.50,3965800,0
20010605,12.28,12.47,12.28,12.39,3503400,0
20010606,12.23,12.45,12.20,12.37,3141400,0
20010607,12.25,12.60,12.25,12.52,27027000,0
20010608,12.50,12.60,12.46,12.55,1928800,0
20010611,12.50,12.62,12.50,12.52,19836600,0
20010612,12.42,12.83,12.39,12.73,3885400,0
20010613,12.73,12.85,12.64,12.78,2912600,0
20010614,12.73,12.75,12.40,12.43,19512800,0
20010615,12.43,12.82,12.38,12.64,7329000,0
20010618,12.73,12.74,12.47,12.56,4241800,0
20010619,12.70,12.70,12.43,12.50,76767400,0
20010620,12.25,12.38,12.00,12.18,9398400,0
20010621,12.05,12.50,12.05,12.46,5370200,0
20010622,12.45,12.49,12.26,12.44,4495000,0
20010625,12.20,12.58,12.09,12.46,6911800,0
20010626,12.25,12.73,12.25,12.35,7188000,0
20010627,12.30,12.75,12.30,12.75,7049200,0
20010628,12.85,13.06,12.79,12.91,3865800,0
20010629,12.71,13.00,12.16,12.50,46388000,0
20010702,12.65,12.83,12.58,12.69,6425000,0
20010703,12.95,12.96,12.62,12.68,4933800,0
20010704,12.68,12.68,12.68,12.68,0,0
20010705,12.78,12.95,12.70,12.82,5442800,0
20010706,12.83,12.90,12.73,12.79,12908200,0
20010709,12.75,12.75,12.28,12.48,5907800,0
20010710,12.60,12.60,12.18,12.18,5121200,0
20010711,12.25,12.28,11.95,12.00,5733800,0
20010712,12.00,12.00,11.63,11.70,8229200,0
20010713,11.73,11.93,11.55,11.89,111291600,0
20010716,11.97,12.03,11.86,11.90,17862400,0
20010717,11.93,12.26,11.93,12.25,155817800,0
20010718,12.25,12.51,12.21,12.50,7135400,0
20010719,12.60,12.63,12.48,12.57,5787800,0
20010720,12.68,12.88,12.64,12.83,4535000,0
20010723,12.71,12.81,12.51,12.52,4148800,0
20010724,12.52,12.75,12.42,12.63,6149400,0
20010725,12.76,12.76,12.60,12.74,5309400,0
20010726,12.62,12.73,12.56,12.70,12952000,0
20010727,12.80,12.95,12.63,12.82,4264600,0
20010730,12.85,13.04,12.68,13.02,3224200,0
20010731,13.00,13.33,12.98,13.18,28260200,0
20010801,13.10,13.20,12.90,13.09,3864000,0
20010802,13.07,13.41,13.06,13.40,7187200,0
20010803,13.40,13.45,13.14,13.25,5275600,0
20010806,13.14,13.25,13.00,13.08,29119800,0
20010807,13.09,13.10,12.90,12.94,52607400,0
20010808,12.88,12.89,12.65,12.74,118251000,0
20010809,12.74,12.74,12.44,12.61,5806600,0
20010810,12.73,13.14,12.72,13.03,16445400,0
20010813,13.05,13.10,12.90,13.06,20027600,0
20010814,13.13,13.51,12.63,13.44,43445000,0
20010815,13.32,13.50,12.96,13.00,17300200,0
20010816,13.00,13.19,12.77,12.85,26874600,0
20010817,12.80,12.85,12.64,12.75,59785400,0
20010820,12.68,12.85,11.76,12.79,4210400,0
20010821,12.90,13.18,12.83,12.91,5064600,0
20010822,13.10,13.23,12.88,13.15,14185000,0
20010823,13.06,13.38,13.06,13.24,14088400,0
20010824,13.12,13.50,13.10,13.50,4394200,0
20010827,13.25,13.56,13.16,13.24,12590400,0
20010828,13.10,13.49,13.10,13.33,11376000,0
20010829,13.28,13.32,13.05,13.18,2897800,0
20010830,13.03,13.32,13.03,13.23,5496200,0
20010831,13.25,13.45,13.17,13.31,4213000,0
20010903,13.31,13.31,13.31,13.31,0,0
20010904,13.44,13.83,13.43,13.68,41411800,0
20010905,13.46,13.50,13.15,13.30,6419400,0
20010906,13.11,13.39,13.11,13.30,14145800,0
20010907,13.42,13.43,13.22,13.32,6837200,0
20010910,13.31,13.55,13.21,13.53,6913200,0
20010911,13.53,13.53,13.53,13.53,0,0
20010917,13.43,13.55,13.18,13.21,7565800,0
20010918,13.65,13.65,12.72,13.02,11113400,0
20010919,13.02,13.45,11.99,12.27,21807400,0
20010920,12.35,12.39,11.88,11.89,14013400,0
20010921,11.63,11.70,11.35,11.65,10829200,0
20010924,11.88,12.19,11.68,12.00,6195000,0
20010925,12.05,12.65,12.03,12.65,8929800,0
20010926,12.65,12.68,11.95,12.05,15967600,0
20010927,12.01,12.25,11.91,12.20,7663600,0
20010928,12.38,12.45,12.16,12.32,9796800,0
20011001,12.48,12.48,11.90,12.00,69306600,0
20011002,12.13,12.24,11.96,12.12,15697200,0
20011003,12.18,12.59,12.08,12.43,9445200,0
20011004,12.32,12.50,12.28,12.30,8887800,0
20011005,12.28,12.38,12.18,12.38,5978000,0
20011008,12.31,12.43,12.06,12.21,78047200,0
20011009,12.23,12.37,12.11,12.37,5471000,0
