DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,60.75,62.00,58.94,59.25,29089,0
20010103,60.44,64.00,57.63,63.81,24762,0
20010104,69.50,70.13,67.81,70.00,58752,0
20010105,68.50,68.56,64.56,64.75,91942,0
20010108,63.75,65.94,63.38,64.25,18388,0
20010109,65.00,65.00,62.81,63.94,15316,0
20010110,63.25,66.50,62.88,66.25,14159,0
20010111,66.13,69.19,65.00,68.25,71656,0
20010112,68.19,69.19,66.94,68.56,31187,0
20010115,68.56,68.56,68.56,68.56,0,0
20010116,68.31,69.25,67.31,68.38,31012,0
20010117,68.38,68.81,67.50,67.81,12187,0
20010118,67.50,67.69,65.75,66.63,29855,0
20010119,66.38,66.38,64.38,66.00,65336,0
20010122,66.00,66.00,66.00,66.00,0,0
20010123,68.38,68.44,67.81,68.06,11219,0
20010124,68.00,69.75,67.06,69.19,24339,0
20010125,69.25,70.75,68.19,70.38,34220,0
20010126,70.06,70.75,68.00,70.00,10074,0
20010129,72.38,73.09,70.00,72.31,3669700,0
20010130,71.56,73.00,69.00,71.28,1364200,0
20010131,70.16,72.20,70.16,71.00,1664200,0
20010201,71.10,71.10,69.36,70.44,2957200,0
20010202,70.73,70.74,68.10,68.45,1394500,0
20010205,68.25,69.00,67.78,68.49,946500,0
20010206,68.92,69.99,68.31,68.63,1538700,0
20010207,68.01,69.99,67.12,68.26,2026000,0
20010208,69.00,69.00,66.85,66.99,0,0
20010209,67.00,67.82,65.40,65.75,10399100,0
20010212,66.25,69.50,65.78,69.50,1706700,0
20010213,69.50,70.73,68.76,70.11,1829700,0
20010214,70.11,70.11,69.06,69.59,22733200,0
20010215,68.54,69.95,68.51,68.89,3603200,0
20010216,68.90,70.46,68.70,69.61,1758000,0
20010219,69.61,69.61,69.61,69.61,0,0
20010220,70.00,72.24,70.00,71.82,2068600,0
20010221,71.01,71.20,68.75,69.25,4422800,0
20010222,67.40,68.99,66.01,67.65,2318600,0
20010223,67.00,68.55,65.30,68.50,2033400,0
20010226,68.50,70.50,68.40,69.70,9403300,0
20010227,69.70,70.30,67.45,68.01,5026300,0
20010228,67.00,67.80,64.81,65.91,2656000,0
20010301,65.66,65.66,62.00,62.00,3303900,0
20010302,61.50,63.50,60.50,62.30,2689900,0
20010305,63.00,63.50,61.26,63.50,2518900,0
20010306,63.75,66.20,63.75,65.97,2666600,0
20010307,65.97,66.60,65.47,66.55,1477400,0
20010308,66.50,67.00,65.56,66.02,1213500,0
20010309,65.30,65.60,64.10,64.74,1453300,0
20010312,64.70,64.70,62.25,62.26,1602600,0
20010313,62.97,62.97,60.23,61.64,1767600,0
20010314,61.86,64.00,61.01,63.13,2607800,0
20010315,64.00,64.80,63.26,63.98,1567900,0
20010316,63.50,64.00,61.80,62.00,16500000,0
20010319,62.25,62.55,61.00,62.00,1732900,0
20010320,62.10,64.00,62.05,62.12,1438900,0
20010321,62.00,62.45,60.51,61.39,1567700,0
20010322,61.38,61.38,54.61,57.20,4354200,0
20010323,57.85,59.38,55.95,59.15,2060400,0
20010326,60.30,60.64,58.54,60.24,1161200,0
20010327,60.60,61.94,59.20,61.75,6454200,0
20010328,61.00,62.50,59.85,62.00,1812300,0
20010329,60.76,62.18,60.13,61.05,7988400,0
20010330,61.85,62.16,59.46,61.69,1331900,0
20010402,60.90,62.19,60.63,61.63,1125400,0
20010403,61.68,61.68,55.00,55.50,6037600,0
20010404,55.50,57.45,55.10,55.61,4488500,0
20010405,57.49,58.77,56.76,58.77,1645400,0
20010406,57.50,58.70,56.55,57.89,2898300,0
20010409,57.25,57.70,54.83,55.19,6203900,0
20010410,56.00,56.44,54.51,54.91,2859600,0
20010411,56.45,56.50,52.80,52.80,4868100,0
20010412,50.00,53.80,48.70,53.80,11592100,0
20010416,52.75,54.40,51.76,53.95,2898700,0
20010417,53.70,55.51,53.00,55.35,2073200,0
20010418,56.20,61.55,55.76,60.76,4111800,0
20010419,60.00,60.70,59.25,60.03,2300600,0
20010420,60.00,60.03,58.65,59.97,1705100,0
20010423,59.50,60.85,58.69,58.70,1301600,0
20010424,57.61,57.61,55.55,56.36,2221300,0
20010425,56.70,59.00,56.42,58.65,10957100,0
20010426,58.30,60.65,58.19,59.65,7206300,0
20010427,59.90,62.90,59.90,62.00,13866500,0
20010430,62.10,62.50,61.15,61.15,1305400,0
20010501,62.10,64.01,61.25,63.90,2935000,0
20010502,63.30,63.90,62.00,62.35,3941000,0
20010503,60.70,61.79,59.57,60.20,93846900,0
20010504,58.95,59.96,58.62,59.45,2214400,0
20010507,59.70,59.75,57.60,57.90,2215400,0
20010508,58.85,59.25,57.26,58.05,2399300,0
20010509,57.26,57.65,56.12,57.28,2716300,0
20010510,61.75,63.26,61.20,61.66,4655300,0
20010511,62.00,63.00,61.11,61.57,1194900,0
20010514,61.57,63.40,61.48,63.35,1517600,0
20010515,63.50,63.96,61.80,62.11,1711500,0
20010516,62.25,63.32,61.30,63.11,1174300,0
20010517,63.60,65.00,63.20,64.45,1173500,0
20010518,64.45,64.50,63.01,64.20,1787700,0
20010521,64.45,67.46,64.25,66.99,1378200,0
20010522,66.75,67.95,66.52,67.14,1849800,0
20010523,67.16,67.40,64.93,64.97,2136000,0
20010524,65.20,65.35,64.10,64.81,1437700,0
20010525,64.80,64.95,64.28,64.50,604800,0
20010528,64.50,64.50,64.50,64.50,0,0
20010529,64.25,64.25,62.57,63.19,404900,0
20010530,62.51,63.36,62.20,62.85,2748900,0
20010531,62.00,62.41,60.11,61.55,2868300,0
20010601,61.50,61.50,60.65,60.96,12733400,0
20010604,61.15,61.15,59.85,60.17,13878500,0
20010605,60.16,60.33,59.56,60.19,17783400,0
20010606,60.60,60.91,60.01,60.59,1783300,0
20010607,60.60,63.42,60.00,61.83,11155100,0
20010608,61.75,61.78,61.46,61.56,664100,0
20010611,61.75,62.20,60.84,61.03,13322100,0
20010612,60.90,61.09,60.46,60.95,7783600,0
20010613,60.95,61.15,60.05,60.75,1427700,0
20010614,60.70,61.52,60.50,60.95,1295400,0
