DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,11.96,11.96,10.86,11.07,5536800,0
20030501,11.10,11.15,10.95,11.00,2220700,0
20030502,10.96,11.04,10.96,11.00,1517100,0
20030505,11.05,11.05,10.90,10.90,1591700,0
20030506,10.90,10.99,10.79,10.88,834500,0
20030507,10.88,10.97,10.80,10.83,814700,0
20030508,10.90,11.22,10.89,11.19,2121400,0
20030509,11.27,11.75,11.22,11.75,1757000,0
20030512,11.70,12.00,11.60,11.83,1511300,0
20030513,11.83,11.92,11.75,11.85,651600,0
20030514,11.90,12.07,11.74,12.06,921600,0
20030515,12.10,12.15,11.69,11.93,1068900,0
20030516,12.00,12.08,11.50,11.50,849600,0
20030519,11.65,11.85,11.58,11.63,919400,0
20030520,11.65,11.85,11.58,11.82,692500,0
20030521,11.86,11.86,11.51,11.58,478500,0
20030522,11.58,11.89,11.57,11.85,1045200,0
20030523,11.90,11.95,11.75,11.85,338700,0
20030527,11.75,11.88,11.65,11.87,365900,0
20030528,11.89,11.93,11.71,11.76,286700,0
20030529,11.80,11.99,11.70,11.85,238600,0
20030530,11.93,11.97,11.85,11.93,544600,0
20030602,12.00,12.50,11.95,12.49,1243500,0
20030603,12.50,12.50,12.15,12.37,281200,0
20030604,12.30,12.65,12.27,12.56,908500,0
20030605,12.46,12.60,12.12,12.43,466100,0
20030606,12.50,12.75,12.26,12.27,745900,0
20030609,12.25,12.65,12.13,12.19,413800,0
20030610,12.27,12.45,12.26,12.35,1885000,0
20030611,12.35,12.74,12.32,12.61,735600,0
20030612,12.65,12.77,12.50,12.76,274400,0
20030613,12.71,12.78,12.46,12.51,379900,0
20030616,12.51,12.65,12.39,12.48,436800,0
20030617,12.47,12.70,12.22,12.60,458100,0
20030618,12.50,12.65,12.35,12.44,385600,0
20030619,12.38,12.57,12.26,12.26,176000,0
20030620,12.33,12.44,12.23,12.31,283900,0
20030623,12.31,12.31,11.95,11.97,580500,0
20030624,11.87,11.94,11.63,11.85,406700,0
20030625,11.75,11.95,11.67,11.80,182300,0
20030626,11.80,12.20,11.72,12.20,638000,0
20030627,12.10,12.15,11.95,12.06,190300,0
20030630,12.05,12.15,11.96,12.03,522400,0
20030701,12.02,12.10,11.80,12.03,296800,0
20030702,12.04,12.04,11.90,11.90,384300,0
20030703,11.90,12.01,11.85,12.01,206100,0
20030707,12.09,12.38,11.91,12.31,835500,0
20030708,12.35,12.64,12.28,12.61,531000,0
20030709,12.55,12.70,12.25,12.55,554400,0
20030710,12.45,12.55,12.32,12.51,350200,0
20030711,12.51,12.97,12.45,12.93,642200,0
20030714,13.00,13.23,13.00,13.23,521000,0
20030715,13.33,13.35,13.16,13.30,730500,0
20030716,13.30,13.37,13.12,13.21,591000,0
20030717,13.13,13.16,12.90,12.93,296600,0
20030718,13.00,13.27,12.83,13.27,168700,0
20030721,13.17,13.17,12.75,12.76,513700,0
20030722,12.20,12.50,11.88,12.14,2311800,0
20030723,12.04,12.15,11.91,11.94,709600,0
20030724,11.92,12.30,11.92,12.10,597800,0
20030725,12.15,12.30,12.15,12.21,371000,0
20030728,12.17,12.45,12.17,12.45,386100,0
20030729,12.45,12.48,12.06,12.15,421100,0
20030730,12.15,12.44,11.97,12.37,1224200,0
20030731,12.37,12.45,12.07,12.15,549000,0
20030801,12.05,12.13,11.95,12.05,403600,0
20030804,12.00,12.16,11.66,12.02,666700,0
20030805,11.95,11.95,11.55,11.61,319500,0
20030806,11.61,11.67,11.47,11.56,258800,0
20030807,11.85,12.23,11.78,12.15,889600,0
20030808,12.16,12.16,11.80,11.82,387800,0
20030811,11.87,11.93,11.65,11.77,225200,0
20030812,11.85,11.97,11.79,11.90,374500,0
20030813,11.96,12.00,11.76,11.92,585700,0
20030814,12.15,13.05,12.12,12.95,1797200,0
20030815,12.90,12.95,12.75,12.85,160600,0
20030818,12.85,13.30,11.80,11.80,2313600,0
20030819,11.65,12.15,11.65,12.08,1470300,0
20030820,12.18,12.31,12.00,12.04,794700,0
20030821,12.02,12.32,12.02,12.20,476400,0
20030822,12.20,12.28,11.90,12.02,274900,0
20030825,11.98,12.04,11.86,11.91,225400,0
20030826,11.82,12.07,11.64,11.99,359400,0
20030827,12.00,12.14,11.84,12.01,237900,0
20030828,12.05,12.22,11.94,12.16,192400,0
20030829,12.10,12.20,12.02,12.15,140900,0
20030902,12.15,12.50,12.15,12.30,435000,0
20030903,12.30,12.45,12.25,12.26,417600,0
20030904,12.25,12.32,11.95,11.96,415700,0
20030905,11.96,12.05,11.81,12.01,244900,0
20030908,12.10,12.31,12.01,12.30,666600,0
20030909,12.25,12.26,12.10,12.16,756400,0
20030910,12.06,12.06,11.92,11.93,140700,0
20030911,12.00,12.17,11.94,12.02,72900,0
20030912,11.99,11.99,11.78,11.81,192300,0
20030915,11.77,11.80,11.40,11.40,356400,0
20030916,11.40,11.85,11.40,11.76,381000,0
20030917,11.86,11.90,11.59,11.60,250800,0
20030918,11.50,11.80,11.50,11.75,305000,0
20030919,11.65,11.85,11.43,11.43,358400,0
20030922,11.45,11.51,10.97,11.08,607200,0
20030923,11.02,11.49,11.01,11.48,1330900,0
20030924,11.45,11.49,11.15,11.25,205000,0
20030925,11.10,11.15,10.75,10.75,343700,0
20030926,10.81,10.98,10.70,10.75,399300,0
20030929,10.65,11.14,10.60,10.82,437500,0
20030930,10.80,11.07,10.75,11.07,463400,0
20031001,11.05,11.35,11.02,11.35,427000,0
20031002,11.30,11.45,10.95,11.00,828200,0
20031003,11.05,11.38,11.01,11.28,332500,0
20031006,11.35,11.49,11.22,11.45,254500,0
20031007,11.40,11.50,11.25,11.44,352200,0
20031008,11.45,11.55,11.34,11.52,313400,0
20031009,12.00,12.48,11.99,12.48,1797400,0
20031010,12.48,12.60,12.25,12.48,761500,0
20031013,12.50,13.00,12.50,12.82,628200,0
20031014,12.80,12.99,12.60,12.75,420400,0
20031015,12.76,12.79,12.60,12.76,244900,0
20031016,12.66,12.73,12.55,12.69,365000,0
20031017,12.79,12.85,12.68,12.75,232400,0
20031020,12.65,12.75,12.51,12.70,698900,0
20031021,13.10,13.14,12.85,13.03,828900,0
20031022,13.02,13.03,12.59,12.80,421600,0
20031023,12.78,13.00,12.76,12.80,470800,0
20031024,12.90,12.90,12.63,12.77,203900,0
20031027,12.87,13.02,12.80,12.93,161200,0
20031028,13.03,13.50,12.95,13.50,735200,0
20031029,13.30,13.62,13.22,13.62,442800,0
20031030,13.52,13.75,13.25,13.41,504900,0
20031031,13.42,13.50,13.04,13.23,591700,0
20031103,13.20,13.41,13.08,13.25,829585,0
20031104,13.15,13.33,13.15,13.33,535400,0
20031105,13.30,13.30,13.03,13.19,439300,0
20031106,13.19,13.76,13.13,13.76,402200,0
20031107,13.80,14.13,13.75,14.08,738700,0
20031110,14.09,14.09,13.56,13.61,290500,0
20031111,13.62,13.81,13.48,13.54,788400,0
20031112,13.53,13.59,13.23,13.40,671400,0
20031113,13.40,13.55,13.15,13.35,232300,0
20031114,13.25,13.50,13.11,13.21,288300,0
20031117,13.21,13.21,12.78,12.93,654100,0
20031118,12.83,13.00,12.81,12.85,322200,0
20031119,12.90,13.30,12.85,13.27,546000,0
20031120,13.17,13.25,13.13,13.24,554700,0
20031121,13.34,13.36,13.11,13.28,337300,0
20031124,13.38,13.38,13.09,13.20,350700,0
20031125,13.17,13.28,13.10,13.20,303600,0
20031126,13.20,13.26,13.00,13.23,575900,0
20031128,13.25,13.30,13.17,13.30,67300,0
20031201,13.35,13.69,13.30,13.53,367700,0
20031202,13.60,13.70,13.53,13.58,318500,0
20031203,13.65,13.65,13.44,13.58,726100,0
20031204,13.58,13.76,13.45,13.68,280800,0
20031205,13.60,14.18,13.60,14.09,909200,0
20031208,14.00,14.14,14.00,14.14,322300,0
20031209,14.10,14.29,14.02,14.20,432900,0
20031210,14.20,14.20,13.91,14.05,188400,0
20031211,14.00,14.35,14.00,14.32,679900,0
20031212,14.32,14.46,14.31,14.46,273500,0
20031215,14.50,14.70,14.20,14.20,253500,0
20031216,14.22,14.24,14.06,14.19,260100,0
20031217,14.20,14.65,14.14,14.62,253400,0
20031218,14.60,14.73,14.25,14.36,413300,0
20031219,14.35,14.35,14.07,14.17,422700,0
20031222,14.27,14.51,14.24,14.35,356600,0
20031223,14.45,14.57,14.20,14.50,369900,0
20031224,14.50,14.60,14.30,14.46,105700,0
20031226,14.40,14.70,14.38,14.56,60800,0
20031229,14.46,14.97,14.46,14.81,271400,0
20031230,14.75,14.92,14.69,14.75,130500,0
20031231,14.70,14.71,14.32,14.32,209400,0
20040102,14.42,14.78,14.42,14.62,202100,0
20040105,14.66,14.80,14.60,14.73,290500,0
20040106,14.48,14.48,13.90,14.10,867200,0
20040107,14.10,14.23,13.97,14.12,780800,0
20040108,14.22,14.45,14.13,14.38,874400,0
20040109,14.15,14.40,14.05,14.05,432100,0
20040112,14.15,14.48,14.10,14.43,302000,0
20040113,14.35,14.50,14.35,14.50,349200,0
20040114,14.50,14.57,14.31,14.50,251700,0
20040115,14.45,14.68,14.28,14.65,317600,0
20040116,14.70,14.75,14.54,14.54,307200,0
20040120,14.64,14.93,14.58,14.93,663600,0
20040121,14.93,15.32,14.80,15.27,471200,0
20040122,15.17,15.25,15.07,15.16,791500,0
20040123,15.24,15.35,15.06,15.10,472900,0
20040126,15.13,15.30,14.90,15.27,300600,0
20040127,15.26,15.26,14.80,14.82,269700,0
20040128,14.92,15.00,14.50,14.55,452200,0
20040129,14.56,15.10,14.56,14.81,376000,0
20040130,14.81,14.85,14.53,14.74,238100,0
20040202,14.74,14.78,14.27,14.49,312300,0
20040203,14.45,14.67,14.34,14.52,212100,0
20040204,14.42,14.45,14.20,14.25,302700,0
20040205,14.25,14.37,14.20,14.27,246200,0
20040206,14.37,14.70,14.25,14.64,275000,0
20040209,14.67,14.76,14.30,14.71,296000,0
20040210,14.74,15.07,14.74,15.00,379900,0
20040211,14.85,15.00,14.81,14.95,494800,0
20040212,15.05,15.05,14.75,14.75,260900,0
20040213,14.76,14.76,14.30,14.30,639400,0
20040217,14.40,14.50,14.27,14.35,436300,0
20040218,14.45,14.56,14.29,14.50,224900,0
20040219,14.50,14.60,14.34,14.39,270100,0
20040220,14.49,14.49,14.30,14.35,163300,0
