DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,17.06,17.15,16.61,16.82,29436,0
20010103,16.86,17.08,16.24,16.36,53886,0
20010104,16.11,16.24,15.59,15.92,46620,0
20010105,15.90,15.97,15.65,15.73,20766,0
20010108,15.96,16.44,15.94,16.38,0,0
20010109,16.19,16.19,15.89,15.98,0,0
20010110,15.81,16.18,15.81,16.06,14358,0
20010111,16.09,16.10,15.20,15.35,79302,0
20010112,15.27,15.55,15.13,15.42,27804,0
20010115,15.42,15.42,15.42,15.42,0,0
20010116,15.10,15.66,15.10,15.48,0,0
20010117,15.65,15.69,14.84,15.23,20670,0
20010118,15.24,15.29,14.97,15.11,10452,0
20010119,15.10,15.10,14.67,14.92,0,0
20010122,14.92,14.92,14.92,14.92,0,0
20010123,15.32,15.80,15.30,15.73,10788,0
20010124,15.74,15.88,15.56,15.67,0,0
20010125,15.88,16.17,15.83,16.15,313980,0
20010126,16.15,16.28,15.79,16.15,0,0
20010129,16.66,16.67,16.39,16.52,0,0
20010130,16.39,16.85,16.17,16.63,1864800,0
20010131,16.63,16.63,16.00,16.20,2212800,0
20010201,16.20,16.75,16.20,16.55,3304200,0
20010202,16.59,16.89,16.58,16.89,2432400,0
20010205,16.89,17.54,16.89,17.48,2283000,0
20010206,17.48,17.49,16.17,16.42,5398800,0
20010207,16.67,17.03,16.67,16.87,864600,0
20010208,16.90,17.42,16.80,17.00,2279400,0
20010209,16.86,17.25,16.86,17.24,1257600,0
20010212,17.28,17.35,17.08,17.31,1722000,0
20010213,17.00,17.16,16.75,17.06,1484400,0
20010214,17.25,17.29,16.93,17.11,2414400,0
20010215,16.91,17.21,16.85,16.92,1992000,0
20010216,17.03,17.57,16.95,16.98,3239400,0
20010219,16.98,16.98,16.98,16.98,0,0
20010220,17.00,17.49,17.00,17.01,15050400,0
20010221,16.98,17.00,16.74,16.83,2865600,0
20010222,16.79,17.05,16.70,16.83,2632200,0
20010223,16.75,16.83,16.39,16.42,2410200,0
20010226,16.63,17.11,16.49,17.07,4540200,0
20010227,17.00,17.82,16.93,17.73,3367800,0
20010228,18.05,18.22,17.92,18.11,4755000,0
20010301,18.07,18.38,17.87,17.89,2757000,0
20010302,18.02,18.63,17.97,18.18,3342600,0
20010305,18.50,18.62,18.35,18.42,3432600,0
20010306,18.49,18.61,18.32,18.59,1763400,0
20010307,18.59,18.82,18.52,18.80,4009800,0
20010308,18.80,19.13,18.76,19.07,3556800,0
20010309,19.13,19.52,19.05,19.46,2757000,0
20010312,19.46,19.46,19.00,19.01,8114400,0
20010313,19.01,19.02,18.82,18.98,2244000,0
20010314,18.76,18.82,18.15,18.37,2691000,0
20010315,18.58,18.73,18.46,18.61,2000400,0
20010316,18.28,18.78,18.14,18.31,3788400,0
20010319,18.35,18.43,18.13,18.43,3058800,0
20010320,18.43,18.49,17.98,18.02,7800,0
20010321,18.09,18.13,17.83,18.07,1925400,0
20010322,17.93,17.93,17.00,17.58,2327700,0
20010323,17.55,18.06,17.42,18.03,2233200,0
20010326,18.35,18.73,18.13,18.66,978300,0
20010327,18.73,18.91,18.63,18.91,14038200,0
20010328,18.91,18.91,18.69,18.87,1604100,0
20010329,18.87,19.10,18.85,19.05,1639500,0
20010330,19.57,19.98,19.36,19.80,2071200,0
20010402,19.95,20.09,19.67,19.96,6033600,0
20010403,20.00,20.00,19.04,19.22,2093700,0
20010404,19.05,19.05,18.84,19.03,2081700,0
20010405,19.25,19.40,19.10,19.38,2345400,0
20010406,19.38,19.57,19.27,19.32,1469400,0
20010409,19.23,19.81,19.20,19.70,18651300,0
20010410,19.92,20.22,19.81,19.99,1808400,0
20010411,20.50,20.50,19.73,19.91,4135200,0
20010412,19.77,19.98,19.35,19.49,1077300,0
20010416,19.42,19.95,19.34,19.63,1434600,0
20010417,19.57,20.01,19.55,19.99,1099800,0
20010418,20.02,20.08,19.80,20.03,1934400,0
20010419,19.92,20.15,19.83,19.93,1688400,0
20010420,19.85,20.03,19.78,19.84,1439100,0
20010423,19.58,20.17,19.58,20.06,1295100,0
20010424,20.15,20.80,20.11,20.73,3021000,0
20010425,20.97,21.83,20.76,21.61,3436500,0
20010426,21.83,22.70,21.83,22.33,2684400,0
20010427,22.33,22.83,21.93,22.53,7825200,0
20010430,22.53,22.72,22.33,22.47,1839900,0
20010501,22.50,22.50,21.53,21.96,2206500,0
20010502,22.24,22.31,21.77,21.82,2381100,0
20010503,21.87,22.00,21.83,21.92,2601900,0
20010504,21.83,24.13,21.83,23.87,6044400,0
20010507,23.67,23.83,23.24,23.42,3039000,0
20010508,23.08,23.42,22.97,23.32,1884600,0
20010509,23.38,23.43,23.32,23.33,2016300,0
20010510,23.48,23.50,23.19,23.33,1612200,0
20010511,23.42,23.44,23.23,23.32,1413000,0
20010514,23.33,23.40,23.25,23.39,33645300,0
20010515,23.60,24.03,23.27,23.83,2215500,0
20010516,23.73,23.98,23.60,23.87,2758200,0
20010517,23.98,24.03,23.50,23.69,1614000,0
20010518,23.70,23.93,23.70,23.78,3776400,0
20010521,24.00,24.17,23.65,23.73,1540800,0
20010522,23.78,23.78,23.44,23.45,1219800,0
20010523,23.32,23.45,23.00,23.11,1927500,0
20010524,23.03,23.41,23.02,23.33,4640100,0
20010525,23.17,23.23,22.99,23.17,709500,0
20010528,23.17,23.17,23.17,23.17,0,0
20010529,23.33,23.33,23.16,23.19,7461300,0
20010530,23.22,23.23,22.92,23.07,1226700,0
20010531,23.10,23.12,22.90,23.00,3915900,0
20010601,23.05,23.05,22.67,22.77,624000,0
20010604,22.95,23.42,22.57,22.72,10382400,0
20010605,22.80,22.99,22.77,22.93,672600,0
20010606,22.93,22.99,22.49,22.67,1508100,0
