DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.48,16.54,15.59,15.59,1428500,0
20010103,15.65,17.13,15.65,17.01,2001600,0
20010104,15.65,16.36,15.00,15.12,5724200,0
20010105,15.41,15.47,14.82,14.82,5437200,0
20010108,15.00,15.41,14.64,15.06,2621300,0
20010109,15.06,16.01,15.06,15.77,2887500,0
20010110,15.18,15.89,15.18,15.71,1788400,0
20010111,15.18,16.24,15.18,15.95,2073000,0
20010112,15.95,17.31,15.83,16.90,2989700,0
20010115,16.90,16.90,16.90,16.90,0,0
20010116,16.72,17.13,16.48,16.54,3009400,0
20010117,16.60,17.07,16.42,16.54,3493400,0
20010118,16.36,16.48,16.13,16.13,2997500,0
20010119,16.13,16.18,15.65,15.65,2738100,0
20010122,16.01,16.84,16.01,16.72,1689600,0
20010123,16.66,17.73,16.66,17.37,4082000,0
20010124,18.73,19.09,18.44,18.85,6296400,0
20010125,18.79,19.09,18.32,18.62,2474500,0
20010126,18.62,18.73,18.44,18.62,2299700,0
20010129,18.34,18.97,18.34,18.87,3092000,0
20010130,18.64,19.64,18.42,19.34,2057000,0
20010131,18.59,20.19,18.51,19.60,2420700,0
20010201,19.60,19.88,18.97,19.67,1338800,0
20010202,19.37,19.62,18.78,18.79,1735100,0
20010205,18.61,18.73,18.22,18.40,1883400,0
20010206,18.88,18.90,18.35,18.48,1584300,0
20010207,18.23,18.88,18.23,18.75,983600,0
20010208,18.88,18.96,17.64,17.68,2243500,0
20010209,17.68,17.91,17.15,17.19,1601900,0
20010212,17.29,17.50,17.03,17.21,2211500,0
20010213,17.29,17.70,17.29,17.37,3004600,0
20010214,17.53,17.69,17.33,17.41,2012300,0
20010215,17.45,17.75,17.26,17.42,2100100,0
20010216,17.50,17.88,17.31,17.53,1221100,0
20010219,17.53,17.53,17.53,17.53,0,0
20010220,17.89,18.31,17.56,18.12,2132300,0
20010221,17.98,18.03,17.18,17.41,3017700,0
20010222,17.60,17.74,17.13,17.24,1446000,0
20010223,16.98,17.39,16.69,16.87,1109700,0
20010226,17.48,17.74,17.31,17.63,1476800,0
20010227,17.40,17.53,16.94,17.01,2134200,0
20010228,17.07,17.07,16.37,16.74,2238700,0
20010301,17.26,17.48,15.99,16.33,3587700,0
20010302,15.84,16.16,15.67,15.68,2951200,0
20010305,16.22,16.22,15.75,15.99,1728200,0
20010306,16.07,16.08,15.71,15.89,3327300,0
20010307,15.94,16.11,15.85,16.06,2396900,0
20010308,16.20,16.56,16.07,16.38,1085000,0
20010309,16.20,16.46,15.89,16.30,1225400,0
20010312,16.11,16.58,15.96,16.06,1302800,0
20010313,16.02,16.10,15.52,15.72,1641600,0
20010314,15.64,15.85,15.10,15.34,1420400,0
20010315,15.82,15.85,15.10,15.29,1814300,0
20010316,15.15,15.24,14.63,14.76,2761100,0
20010319,14.77,15.11,14.76,14.98,1478300,0
20010320,15.08,15.51,14.91,14.91,1834300,0
20010321,14.92,15.15,14.67,14.77,1117000,0
20010322,14.72,15.00,14.05,14.43,2490900,0
20010323,14.34,14.67,14.06,14.56,2038200,0
20010326,14.72,14.82,14.57,14.80,1143000,0
20010327,14.72,14.99,14.36,14.93,842500,0
20010328,14.39,14.67,14.31,14.58,1123800,0
20010329,14.10,15.09,14.10,15.03,2580600,0
20010330,14.82,15.34,14.49,14.98,1817500,0
20010402,14.87,15.12,14.63,14.96,1064500,0
20010403,15.18,15.29,14.58,14.76,1694700,0
20010404,14.72,15.39,14.67,14.99,1046400,0
20010405,15.01,15.43,14.87,15.14,747000,0
20010406,15.25,15.42,14.65,15.27,1017900,0
20010409,15.51,15.61,15.01,15.22,854700,0
20010410,15.46,15.66,15.25,15.30,1356300,0
20010411,15.29,15.39,15.05,15.19,1128100,0
20010412,14.96,14.97,14.40,14.64,1600900,0
20010416,14.64,14.82,14.03,14.20,2466800,0
20010417,14.10,14.37,13.92,13.92,1088500,0
20010418,14.27,15.34,14.10,14.82,1996900,0
20010419,15.05,15.52,14.74,15.09,1720200,0
20010420,15.29,15.43,14.87,15.15,986800,0
20010423,14.97,15.91,14.96,15.25,1076300,0
20010424,15.48,15.57,14.78,15.23,1583800,0
20010425,15.25,15.44,15.09,15.25,1452100,0
20010426,15.43,16.15,15.20,15.91,1674000,0
20010427,16.01,16.38,16.01,16.26,1220700,0
20010430,16.29,16.30,15.84,16.12,1246500,0
20010501,16.11,16.36,16.02,16.20,1703100,0
20010502,16.10,16.44,16.03,16.44,1388000,0
20010503,16.25,16.28,16.00,16.23,1234800,0
20010504,16.23,16.23,15.77,16.20,1157300,0
20010507,16.20,16.20,16.02,16.18,893900,0
20010508,16.38,16.38,16.06,16.19,841000,0
20010509,16.20,16.25,15.90,16.01,3957900,0
20010510,16.33,16.67,16.07,16.10,3751900,0
20010511,16.29,16.29,15.52,15.58,2900100,0
20010514,15.71,15.81,15.34,15.47,2100200,0
20010515,15.62,15.62,15.10,15.33,2785700,0
20010516,15.40,15.62,15.25,15.49,2208300,0
20010517,15.53,16.11,15.10,16.01,2021900,0
20010518,16.02,16.44,15.97,16.29,2696800,0
20010521,15.82,16.29,15.48,16.29,3601200,0
20010522,16.20,16.67,15.86,16.11,3501500,0
20010523,16.10,16.39,15.91,16.26,2245900,0
20010524,16.10,16.24,15.96,16.06,1889700,0
20010525,16.06,16.15,15.86,15.95,821500,0
20010528,15.95,15.95,15.95,15.95,0,0
20010529,15.92,16.01,15.86,16.00,822300,0
20010530,15.98,16.00,15.48,15.58,1277100,0
20010531,15.63,15.77,15.51,15.53,1277200,0
20010601,15.53,15.89,15.45,15.69,1098000,0
20010604,15.63,15.64,15.51,15.58,994300,0
20010605,15.72,15.99,15.63,15.89,724300,0
20010606,15.82,16.17,15.74,15.79,1651300,0
20010607,15.70,15.70,15.35,15.48,1785000,0
20010608,15.46,15.65,15.12,15.31,2318200,0
20010611,15.31,15.32,14.99,15.05,1313400,0
20010612,15.03,15.36,14.84,15.35,1320100,0
20010613,15.27,15.41,15.12,15.31,1576500,0
20010614,15.31,15.31,14.84,14.92,1095400,0
20010615,14.81,14.91,14.69,14.69,1273600,0
20010618,14.84,14.93,14.38,14.45,2292000,0
20010619,14.64,14.82,14.36,14.40,2134500,0
20010620,14.40,14.44,14.30,14.40,1679600,0
20010621,14.50,14.85,14.41,14.81,2391300,0
20010622,14.88,14.89,14.43,14.85,2147800,0
20010625,14.64,14.84,14.51,14.66,1476300,0
20010626,14.55,14.88,14.54,14.77,1981300,0
20010627,14.74,14.95,14.69,14.84,1236800,0
20010628,14.84,15.31,14.84,15.31,1769400,0
20010629,15.31,15.81,15.04,15.81,1873900,0
20010702,15.57,15.57,15.26,15.30,1938600,0
20010703,15.36,15.49,15.13,15.35,963900,0
20010704,15.35,15.35,15.35,15.35,0,0
20010705,15.25,15.30,14.88,15.26,1691800,0
20010706,15.22,15.22,14.98,14.99,1462400,0
20010709,14.93,15.07,14.88,15.07,1498900,0
20010710,14.98,15.17,14.84,14.84,1671700,0
20010711,14.84,15.22,14.69,15.16,1052700,0
20010712,15.22,16.32,14.98,16.00,2641500,0
20010713,15.79,16.17,15.56,16.11,1389400,0
20010716,16.07,16.20,15.90,16.03,566500,0
20010717,15.97,16.53,15.80,16.36,1132300,0
20010718,16.27,16.50,16.13,16.22,1719600,0
20010719,16.25,16.50,16.18,16.18,1559500,0
20010720,15.99,16.48,15.99,16.18,1351700,0
20010723,15.96,16.41,15.96,16.30,722600,0
20010724,16.30,16.37,15.71,15.85,1070900,0
20010725,16.08,16.35,15.61,16.25,1208900,0
20010726,16.01,16.27,15.80,16.01,1071200,0
20010727,15.93,16.06,15.74,15.87,677800,0
20010730,15.70,16.08,15.47,15.99,1471600,0
20010731,15.68,16.41,15.68,16.24,1181800,0
20010801,16.41,16.41,16.03,16.06,928400,0
20010802,16.27,16.36,15.79,15.96,524000,0
20010803,15.73,16.20,15.66,16.07,665400,0
20010806,16.03,16.07,15.69,15.71,576500,0
20010807,15.71,16.04,15.51,16.02,628000,0
20010808,15.94,16.87,15.94,16.27,2198600,0
20010809,16.04,16.36,15.91,16.07,1776700,0
20010810,15.99,16.10,15.56,16.00,938600,0
20010813,15.89,15.94,15.60,15.67,665500,0
20010814,15.56,15.84,15.53,15.70,1273100,0
20010815,15.70,15.75,15.51,15.55,1188700,0
20010816,15.55,15.79,15.39,15.74,490600,0
20010817,15.60,15.65,15.27,15.33,760200,0
20010820,15.60,15.70,15.44,15.65,447700,0
20010821,15.65,15.65,14.58,14.74,1526600,0
20010822,14.74,14.82,14.50,14.55,1857000,0
20010823,13.50,14.15,12.73,13.33,6626100,0
20010824,13.06,13.64,12.98,13.64,1851700,0
