DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,18.50,18.63,17.69,17.69,0,0
20010103,17.94,18.88,17.56,18.75,164607,0
20010104,18.75,19.38,18.75,18.94,94364,0
20010105,19.00,19.13,18.50,18.75,3040,0
20010108,18.56,18.69,18.31,18.63,0,0
20010109,18.44,18.56,18.31,18.44,0,0
20010110,18.31,18.81,18.25,18.81,43231,0
20010111,18.63,18.94,18.50,18.63,0,0
20010112,18.63,20.06,18.63,19.75,28158,0
20010115,19.75,19.75,19.75,19.75,0,0
20010116,19.75,20.31,19.56,20.31,0,0
20010117,20.31,20.63,20.06,20.44,36675,0
20010118,20.31,20.44,20.06,20.13,90213,0
20010119,20.13,20.25,19.50,19.63,6168,0
20010122,19.63,19.63,19.63,19.63,0,0
20010123,19.56,20.06,19.50,19.81,0,0
20010124,19.88,19.88,19.75,19.88,3080,0
20010125,19.69,20.25,19.69,19.81,0,0
20010126,19.81,20.13,19.63,20.00,3461,0
20010129,20.69,21.56,20.66,21.16,279300,0
20010130,21.53,22.19,21.09,22.13,0,0
20010131,20.70,21.20,20.58,21.00,428100,0
20010201,21.19,21.25,20.55,20.75,6503600,0
20010202,20.90,21.00,20.80,20.82,0,0
20010205,21.00,21.00,20.80,20.88,270500,0
20010206,20.75,20.97,20.63,20.89,0,0
20010207,20.94,20.94,20.80,20.88,236400,0
20010208,20.98,20.98,20.72,20.72,0,0
20010209,20.79,20.79,19.75,20.43,0,0
20010212,20.60,20.69,20.44,20.68,0,0
20010213,20.68,20.96,20.60,20.90,396700,0
20010214,20.90,21.00,20.70,20.85,519600,0
20010215,20.89,20.95,20.82,20.85,496100,0
20010216,20.85,20.86,20.52,20.69,314000,0
20010219,20.69,20.69,20.69,20.69,0,0
20010220,20.50,20.69,20.22,20.35,1317300,0
20010221,20.30,20.35,19.81,19.95,155900,0
20010222,19.95,19.98,19.30,19.48,481600,0
20010223,19.40,19.41,18.56,19.02,1241500,0
20010226,19.02,19.90,19.02,19.84,2221700,0
20010227,19.80,19.85,19.50,19.58,8198600,0
20010228,19.46,19.65,19.11,19.34,293700,0
20010301,19.25,19.41,18.80,19.03,3161300,0
20010302,18.90,19.90,18.90,19.46,282000,0
20010305,19.40,19.98,19.39,19.67,221000,0
20010306,19.98,20.05,19.65,19.73,385500,0
20010307,19.96,19.99,19.63,19.83,366800,0
20010308,19.99,20.78,19.90,20.71,490900,0
20010309,20.50,20.98,20.36,20.69,405600,0
20010312,20.76,20.90,20.53,20.67,661300,0
20010313,20.75,20.75,19.65,19.90,2218600,0
20010314,19.91,19.94,19.02,19.12,4276900,0
20010315,19.10,19.70,19.05,19.60,3363600,0
20010316,19.26,19.63,19.26,19.44,663800,0
20010319,19.69,20.25,19.69,20.11,4290800,0
20010320,20.13,20.25,19.70,19.98,1238300,0
20010321,19.70,19.70,19.15,19.30,362900,0
20010322,19.07,19.40,18.31,19.03,354400,0
20010323,18.88,19.48,18.70,19.30,170500,0
20010326,19.40,19.60,19.15,19.59,8264600,0
20010327,19.40,19.57,19.15,19.28,269600,0
20010328,19.30,19.36,18.65,18.99,6428500,0
20010329,18.85,19.48,18.85,19.15,246100,0
20010330,19.25,19.30,18.95,19.23,290200,0
20010402,19.52,19.83,19.25,19.44,194300,0
20010403,19.50,19.50,18.80,18.81,153700,0
20010404,18.77,19.05,18.77,18.99,257800,0
20010405,19.10,19.18,18.87,19.09,3165800,0
20010406,19.10,19.10,18.30,18.48,713700,0
20010409,18.48,18.91,18.42,18.63,42000000,0
20010410,18.81,19.00,18.69,18.75,293800,0
20010411,18.25,18.40,17.98,18.07,3245600,0
20010412,18.07,18.25,17.88,18.12,207200,0
20010416,17.87,18.45,17.87,18.19,229500,0
20010417,17.75,18.06,17.70,17.98,446600,0
20010418,18.20,19.74,17.80,19.29,6569600,0
20010419,19.11,19.51,19.00,19.28,193400,0
