DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,18.63,18.63,17.34,17.50,4224,0
20010103,17.75,19.13,17.56,19.13,91962,0
20010104,19.28,20.00,19.28,19.63,28890,0
20010105,19.63,19.81,18.81,19.03,0,0
20010108,19.16,19.41,18.69,18.84,0,0
20010109,18.81,19.41,18.78,19.34,0,0
20010110,19.72,20.13,19.59,19.94,105530,0
20010111,19.97,20.03,19.59,19.72,0,0
20010112,19.75,19.97,18.88,19.53,0,0
20010115,19.53,19.53,19.53,19.53,0,0
20010116,19.75,19.84,19.38,19.38,18782,0
20010117,19.63,20.38,19.63,20.00,24302,0
20010118,20.25,20.38,19.94,20.28,28508,0
20010119,20.28,20.41,19.00,19.00,17048,0
20010122,19.00,19.00,19.00,19.00,0,0
20010123,17.94,18.69,17.66,18.38,18562,0
20010124,18.78,19.31,18.47,19.03,54122,0
20010125,19.03,19.50,18.81,18.88,0,0
20010126,18.63,18.75,18.31,18.63,0,0
20010129,19.41,19.55,18.19,18.44,4706320,0
20010130,18.56,19.55,17.50,19.55,0,0
20010131,18.50,19.00,17.75,18.25,0,0
20010201,18.20,18.66,17.56,18.05,2749400,0
20010202,18.00,18.40,17.80,17.83,1192400,0
20010205,17.98,18.19,17.92,18.06,1171800,0
20010206,18.10,19.03,18.05,18.44,1777000,0
20010207,18.50,18.88,18.25,18.38,969800,0
20010208,18.13,18.27,17.80,17.91,724600,0
20010209,17.85,17.86,17.41,17.70,682200,0
20010212,17.50,18.25,17.40,18.17,846400,0
20010213,18.17,18.75,18.17,18.42,750800,0
20010214,18.30,18.45,18.16,18.38,748400,0
20010215,18.31,18.92,18.31,18.75,132000000,0
20010216,18.50,18.75,18.30,18.40,574800,0
20010219,18.40,18.40,18.40,18.40,0,0
20010220,18.52,18.69,17.63,17.80,701200,0
20010221,17.95,18.19,17.58,17.60,913800,0
20010222,17.52,17.65,16.52,17.08,2129800,0
20010223,16.75,17.13,16.73,16.95,1585200,0
20010226,17.08,17.83,17.08,17.82,799800,0
20010227,17.77,17.95,17.32,17.60,713000,0
20010228,17.50,17.88,17.50,17.75,635200,0
20010301,18.13,18.13,17.13,17.42,913200,0
20010302,17.42,18.50,17.35,17.85,620800,0
20010305,18.00,18.25,17.90,18.10,1411400,0
20010306,18.10,18.54,18.10,18.34,969400,0
20010307,18.44,18.88,18.13,18.83,1348800,0
20010308,18.75,18.85,18.50,18.50,779400,0
20010309,18.63,18.65,18.02,18.02,642200,0
20010312,18.08,18.17,17.33,17.38,444800,0
20010313,17.55,17.63,17.26,17.58,613600,0
20010314,17.50,17.55,16.90,17.20,1052200,0
20010315,17.20,17.81,17.20,17.60,381000,0
20010316,18.13,18.13,17.16,17.16,976600,0
20010319,17.05,18.25,17.05,18.17,1417600,0
20010320,18.44,19.30,18.44,18.88,2970800,0
20010321,19.00,20.25,19.00,19.52,4811400,0
20010322,19.65,19.65,18.26,19.00,2689200,0
20010323,19.00,19.68,18.78,19.39,2114600,0
20010326,19.75,20.23,19.67,19.92,6136000,0
20010327,20.06,21.38,19.90,21.35,3264000,0
20010328,21.16,21.80,20.90,21.65,3059200,0
20010329,21.58,22.17,21.21,21.57,1316600,0
20010330,20.73,20.94,19.75,19.93,5763400,0
20010402,19.70,20.09,19.35,19.66,3229800,0
20010403,19.70,20.00,18.90,18.96,1659400,0
20010404,19.10,19.67,18.92,19.22,2424800,0
20010405,19.75,20.20,19.16,19.71,2096200,0
20010406,19.63,19.63,18.55,18.84,2058600,0
20010409,18.98,19.85,18.98,19.77,934600,0
20010410,19.95,21.00,19.95,20.70,2067800,0
20010411,21.17,21.17,20.00,20.50,7434800,0
20010412,20.48,20.70,20.23,20.33,862400,0
20010416,20.65,20.69,20.30,20.36,993600,0
20010417,20.35,20.65,19.85,19.85,1002800,0
20010418,20.13,20.95,19.42,20.75,2757800,0
20010419,20.75,22.35,20.57,22.00,2885200,0
20010420,21.93,22.00,21.20,21.61,1257000,0
20010423,21.61,21.61,20.95,21.04,760800,0
20010424,21.16,21.97,21.16,21.42,1845000,0
20010425,21.50,22.72,21.50,22.38,3121600,0
20010426,22.60,23.00,21.80,22.08,2620800,0
20010427,22.08,22.50,22.08,22.45,1842200,0
20010430,22.50,22.69,21.50,21.89,1649200,0
20010501,21.80,21.83,20.80,21.66,1519600,0
20010502,21.95,22.00,21.24,21.50,1235000,0
20010503,21.30,21.63,21.00,21.50,1310000,0
20010504,21.35,22.35,21.25,22.35,1249400,0
20010507,22.40,23.34,22.00,22.10,2049800,0
20010508,22.35,22.49,21.55,22.05,1304000,0
20010509,22.05,22.05,21.52,21.70,802000,0
20010510,21.91,22.58,21.77,22.41,610000,0
20010511,22.45,22.45,21.61,21.65,1087200,0
20010514,21.52,21.75,21.08,21.66,998800,0
20010515,21.70,21.70,21.20,21.36,26770000,0
20010516,20.88,21.55,20.80,21.45,1748800,0
20010517,21.25,21.98,21.20,21.42,1278000,0
20010518,21.70,21.80,21.08,21.55,908600,0
20010521,21.60,21.65,19.88,20.12,2396200,0
20010522,20.15,20.34,19.35,20.06,2192400,0
20010523,20.05,20.05,19.02,19.17,2299400,0
20010524,19.25,19.92,18.60,18.79,2300400,0
20010525,18.73,18.73,18.08,18.26,2358400,0
20010528,18.26,18.26,18.26,18.26,0,0
20010529,18.07,18.33,17.84,17.94,2434600,0
20010530,17.94,18.60,17.88,18.30,2432800,0
20010531,18.48,18.83,18.42,18.52,5534800,0
20010601,18.45,19.40,18.41,19.27,4240200,0
20010604,19.20,19.33,18.70,18.85,756200,0
20010605,19.20,19.55,19.15,19.43,1314200,0
20010606,19.38,19.65,19.25,19.45,12966800,0
20010607,19.33,19.33,19.05,19.25,1093200,0
20010608,19.13,19.47,19.08,19.30,253600,0
20010611,19.30,19.33,18.81,18.85,726600,0
20010612,18.84,18.84,18.03,18.20,22813600,0
20010613,18.20,18.85,18.08,18.08,753200,0
20010614,18.09,18.13,17.64,17.65,910600,0
20010615,17.60,17.98,17.51,17.67,776200,0
20010618,17.98,18.38,17.71,17.75,580800,0
20010619,18.10,18.38,17.85,18.08,319200,0
20010620,19.47,20.50,19.23,20.39,3448000,0
20010621,20.70,21.25,20.60,21.14,6934800,0
20010622,21.38,21.70,20.02,20.45,8299600,0
20010625,20.60,21.13,20.38,20.57,1231000,0
20010626,21.20,21.20,20.25,20.63,2521000,0
20010627,20.63,21.24,20.50,21.08,1002000,0
20010628,21.10,21.98,21.10,21.98,1615600,0
20010629,21.85,21.92,20.58,20.85,2036000,0
20010702,20.85,21.30,20.85,21.20,5143400,0
20010703,21.45,22.00,21.42,21.90,1098000,0
20010704,21.90,21.90,21.90,21.90,0,0
20010705,21.90,22.43,21.52,22.20,1717000,0
20010706,22.17,22.17,21.15,21.56,6859800,0
20010709,21.52,22.14,21.40,22.05,3354200,0
20010710,22.75,22.80,22.20,22.35,1988000,0
20010711,22.35,22.60,22.10,22.48,9452400,0
20010712,22.98,23.70,22.85,23.43,1951800,0
20010713,23.50,23.74,23.00,23.23,1742800,0
20010716,23.27,24.09,23.27,24.00,9839400,0
20010717,23.67,23.75,23.30,23.42,11589000,0
20010718,23.42,24.25,23.27,24.20,2217800,0
20010719,24.38,24.94,24.38,24.78,2055400,0
20010720,24.75,24.75,24.13,24.25,3024600,0
20010723,24.55,24.68,23.38,23.38,62883000,0
20010724,23.35,23.36,22.26,22.85,1441600,0
20010725,22.85,23.00,22.25,22.55,11142200,0
20010726,22.55,22.67,22.15,22.57,928600,0
20010727,22.75,22.80,21.88,22.20,19484600,0
20010730,22.23,22.42,22.20,22.25,645600,0
20010731,22.35,23.30,22.25,22.93,296800,0
20010801,22.99,23.44,22.77,22.99,677800,0
20010802,22.98,23.00,22.00,22.60,846800,0
20010803,22.58,22.58,22.02,22.15,824800,0
20010806,22.02,22.08,20.83,21.00,2076400,0
20010807,20.98,20.98,20.15,20.46,3742000,0
20010808,20.42,21.23,20.30,20.43,1410400,0
20010809,20.73,20.88,20.05,20.50,986000,0
20010810,20.50,20.73,20.25,20.31,1015200,0
20010813,20.02,20.07,19.33,20.07,10777800,0
20010814,20.00,20.15,19.47,19.58,2837400,0
20010815,19.58,19.63,19.10,19.25,48017600,0
20010816,19.45,20.45,19.32,20.33,2657800,0
20010817,20.25,20.25,19.57,19.80,2859600,0
20010820,20.02,20.15,19.70,19.88,1427400,0
20010821,19.95,20.33,19.61,19.65,31001800,0
