DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,43.73,43.75,37.00,37.00,64520,0
20010103,35.88,39.50,35.88,38.27,32760,0
20010104,37.75,37.81,32.38,34.63,36388,0
20010105,34.75,34.75,25.25,33.00,37040,0
20010108,33.00,34.84,33.00,34.00,13432,0
20010109,34.00,36.50,33.63,35.69,13188,0
20010110,35.50,37.19,35.50,36.75,12764,0
20010111,36.50,37.59,36.50,36.91,9500,0
20010112,36.94,36.94,32.00,33.73,23436,0
20010115,33.73,33.73,33.73,33.73,0,0
20010116,33.63,34.98,33.38,33.56,18664,0
20010117,33.75,35.19,31.88,32.48,217372,0
20010118,32.53,32.53,29.91,31.75,236288,0
20010119,31.94,32.06,29.89,30.31,27092,0
20010122,30.31,30.31,30.31,30.31,0,0
20010123,30.81,33.39,30.64,32.88,0,0
20010124,33.00,35.94,33.00,34.75,25868,0
20010125,34.52,34.94,33.78,34.25,0,0
20010126,34.50,36.00,34.41,35.59,4764,0
20010129,36.25,36.77,35.08,35.23,909200,0
20010130,34.98,36.55,34.98,35.80,774800,0
20010131,35.67,35.94,34.00,34.06,893600,0
20010201,34.63,34.75,33.63,33.92,910800,0
20010202,33.92,34.35,32.75,33.06,1494800,0
20010205,32.88,33.44,32.73,33.29,892800,0
20010206,33.25,34.88,33.25,33.80,864400,0
20010207,33.50,35.10,33.47,34.13,1066400,0
20010208,34.25,34.31,33.21,33.33,656000,0
20010209,33.13,33.88,32.80,33.63,1050800,0
20010212,33.63,35.22,33.25,34.85,0,0
20010213,34.92,35.11,34.50,34.99,758000,0
20010214,35.17,35.75,34.26,35.75,964000,0
20010215,35.88,36.13,35.06,35.22,2036800,0
20010216,35.50,36.49,35.19,36.31,1050800,0
20010219,36.31,36.31,36.31,36.31,0,0
20010220,36.44,36.86,36.25,36.62,1622000,0
20010221,36.63,37.30,36.56,36.88,4808800,0
20010222,36.79,36.98,36.45,36.81,1255600,0
20010223,36.69,37.00,35.50,36.75,1276800,0
20010226,36.75,39.63,36.63,38.58,5870000,0
20010227,39.00,40.50,38.97,39.92,2520800,0
20010228,39.99,40.19,38.98,40.13,1538800,0
20010301,40.00,40.44,37.86,38.49,1478400,0
20010302,38.00,39.88,38.00,39.43,992400,0
20010305,39.63,39.63,38.40,38.81,701200,0
20010306,38.81,39.24,37.90,38.00,1301200,0
20010307,37.75,38.00,35.63,36.33,1462400,0
20010308,36.50,36.50,34.13,35.52,3369600,0
20010309,35.58,36.19,35.38,35.60,728000,0
20010312,35.44,35.56,34.13,34.13,1691200,0
20010313,34.38,35.19,33.78,34.25,958000,0
20010314,33.72,34.85,33.39,33.67,1469600,0
20010315,33.92,34.13,31.38,31.80,6201600,0
20010316,31.25,31.25,30.25,31.12,2510400,0
20010319,31.01,31.85,30.98,31.75,116000000,0
20010320,31.81,31.98,30.75,31.02,1212000,0
20010321,31.13,31.13,28.13,28.17,2072800,0
20010322,28.00,28.17,24.88,27.95,4183600,0
20010323,28.63,30.14,28.38,29.75,2210000,0
20010326,29.13,29.75,28.38,29.05,1624000,0
20010327,28.95,29.88,27.38,29.42,2011200,0
20010328,29.17,29.17,28.13,28.75,2313600,0
20010329,28.75,29.99,28.75,29.65,1140400,0
20010330,29.88,30.25,29.31,30.00,1216000,0
20010402,29.75,30.16,29.38,30.16,516000,0
