DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.50,39.47,37.28,37.69,0,0
20010103,37.50,38.00,36.97,37.63,29250,0
20010104,37.41,37.44,36.14,36.25,6246,0
20010105,36.28,36.28,34.72,35.13,0,0
20010108,34.25,34.47,32.38,32.50,14118,0
20010109,32.63,36.16,32.59,36.06,17172,0
20010110,35.81,37.22,34.81,36.00,72522,0
20010111,36.13,37.44,36.00,37.00,10542,0
20010112,37.38,38.00,36.50,36.97,6286,0
20010115,36.97,36.97,36.97,36.97,0,0
20010116,36.69,36.69,35.81,36.19,720000,0
20010117,36.69,37.00,36.13,36.22,0,0
20010118,36.34,36.75,36.16,36.53,0,0
20010119,36.75,37.28,36.38,36.53,0,0
20010122,36.53,36.53,36.53,36.53,0,0
20010123,36.28,38.13,36.28,38.06,4594,0
20010124,37.94,38.75,37.63,38.19,5818,0
20010125,38.06,38.47,37.66,38.19,0,0
20010126,38.06,38.84,37.28,38.28,0,0
20010129,40.05,41.05,39.00,40.02,0,0
20010130,41.28,41.28,39.50,39.52,637600,0
20010131,39.63,40.40,39.63,40.10,20676200,0
20010201,40.10,40.63,39.88,40.41,0,0
20010202,40.90,41.25,40.33,40.51,645000,0
20010205,39.75,39.85,38.95,39.83,0,0
20010206,39.99,40.06,39.38,39.50,345800,0
20010207,39.56,39.58,38.96,39.43,259200,0
20010208,39.67,40.88,39.67,40.63,14616600,0
20010209,40.92,42.25,40.92,41.81,1252600,0
20010212,41.78,42.47,40.45,41.96,953800,0
20010213,41.93,43.20,41.93,42.85,1177200,0
20010214,42.84,42.84,41.80,42.24,12318800,0
20010215,42.90,44.15,42.63,44.13,1198200,0
20010216,43.99,43.99,42.40,42.55,872400,0
20010219,42.55,42.55,42.55,42.55,0,0
20010220,42.67,43.05,41.86,42.60,1020000,0
20010221,42.62,44.08,42.50,44.08,3177400,0
20010222,44.08,44.08,42.62,43.05,1144200,0
20010223,42.92,42.97,41.56,42.67,785800,0
20010226,43.60,43.60,42.50,43.01,6362800,0
20010227,42.97,42.97,41.25,41.34,705200,0
20010228,41.15,42.00,40.85,40.97,1177000,0
20010301,40.99,41.70,39.95,41.69,729400,0
20010302,40.92,41.92,40.46,40.88,472200,0
20010305,40.88,41.74,40.60,41.35,744800,0
20010306,41.50,43.44,41.50,43.40,961800,0
20010307,45.25,45.26,44.50,44.80,2908600,0
20010308,44.80,44.85,43.94,44.55,980400,0
20010309,44.56,45.15,44.45,45.00,766600,0
20010312,45.00,45.00,43.42,43.42,670800,0
20010313,43.50,44.00,42.68,43.37,705200,0
20010314,43.37,43.37,41.53,41.90,1490600,0
20010315,42.24,42.65,40.80,41.08,1092000,0
20010316,40.53,40.63,38.98,39.06,1040800,0
20010319,39.07,41.03,39.07,40.95,1255400,0
20010320,41.17,41.55,39.60,39.68,699200,0
20010321,39.72,40.92,38.65,39.08,987000,0
20010322,39.25,39.65,36.99,38.60,1573400,0
20010323,39.25,39.83,37.15,37.50,2436000,0
20010326,37.85,38.72,37.25,37.74,460000,0
20010327,37.22,39.38,36.96,38.74,1521200,0
20010328,38.74,39.77,38.15,38.23,782600,0
20010329,38.31,39.25,38.20,38.75,6858200,0
20010330,38.63,39.53,38.42,39.47,807800,0
20010402,39.44,40.04,39.40,39.63,691000,0
20010403,39.63,40.25,39.63,40.00,1189200,0
20010404,39.80,40.10,39.49,39.56,1687000,0
20010405,39.67,41.71,39.67,41.51,887000,0
20010406,41.50,41.50,40.88,41.33,566600,0
20010409,41.63,42.35,41.63,42.28,2580400,0
20010410,42.50,43.70,42.50,43.33,3072400,0
20010411,43.33,43.56,40.46,41.45,1719800,0
20010412,41.25,43.50,40.95,43.50,3080800,0
20010416,43.50,43.50,41.33,41.60,1001200,0
20010417,41.60,43.50,41.60,43.50,1590000,0
20010418,44.33,45.50,42.50,42.60,2330600,0
20010419,42.65,44.13,42.25,43.43,4659200,0
20010420,43.40,43.40,41.58,41.95,931600,0
20010423,41.88,41.88,39.65,40.06,1240600,0
20010424,39.94,40.50,39.00,40.10,1104200,0
20010425,39.85,40.33,39.30,40.17,1763800,0
20010426,40.50,40.80,40.00,40.06,8027400,0
20010427,40.25,40.25,38.83,39.50,31266200,0
20010430,39.25,39.70,38.50,38.63,1863600,0
20010501,38.50,39.55,37.95,39.35,2551600,0
20010502,40.30,40.83,39.33,39.73,1424200,0
20010503,39.73,39.73,38.83,38.90,825400,0
20010504,38.67,39.05,38.43,38.48,2410200,0
20010507,38.00,38.35,37.35,38.04,1438200,0
20010508,39.02,39.66,37.90,39.65,2814600,0
20010509,39.60,40.95,39.38,40.85,1596800,0
20010510,42.00,42.00,40.81,41.03,946200,0
20010511,40.90,41.60,40.63,41.51,1185000,0
20010514,41.42,41.42,40.56,41.25,827800,0
20010515,41.45,41.85,41.45,41.85,477000,0
20010516,41.65,42.97,41.50,42.69,888400,0
20010517,42.70,44.30,42.50,43.68,849200,0
20010518,43.63,43.92,43.08,43.39,389600,0
20010521,43.30,44.55,43.30,44.45,581800,0
20010522,44.35,44.60,43.88,44.06,4431400,0
20010523,43.95,43.95,42.05,42.61,859200,0
20010524,42.50,42.50,41.17,41.50,1588800,0
20010525,41.60,42.13,41.30,42.13,6467800,0
20010528,42.13,42.13,42.13,42.13,0,0
20010529,42.17,42.40,41.03,42.30,323600,0
20010530,42.00,42.00,41.08,41.51,4323800,0
20010531,41.52,44.25,41.52,44.25,754800,0
20010601,43.71,43.85,42.60,43.35,12638000,0
20010604,43.31,43.40,42.75,43.35,235000,0
20010605,43.20,44.47,43.20,44.31,4419200,0
20010606,44.31,44.31,43.26,43.92,587600,0
20010607,43.88,44.22,43.00,44.10,430800,0
20010608,44.15,44.15,42.88,42.91,221400,0
20010611,43.00,43.40,42.86,43.15,307600,0
20010612,43.05,43.50,42.40,43.13,299800,0
20010613,43.38,43.38,42.38,42.46,311000,0
20010614,42.49,42.49,41.28,41.42,292800,0
20010615,41.42,41.42,40.75,41.13,331200,0
20010618,41.13,41.17,40.78,41.03,189800,0
20010619,41.35,41.47,40.10,40.37,401400,0
20010620,40.25,40.90,40.13,40.39,279800,0
20010621,40.38,40.94,39.79,40.03,762400,0
20010622,40.03,40.65,39.42,39.95,2394800,0
20010625,40.13,40.45,38.90,39.58,4573800,0
20010626,39.58,40.25,39.58,39.90,599800,0
20010627,39.85,40.20,39.28,39.51,561600,0
20010628,39.63,40.30,39.38,39.52,351600,0
20010629,39.64,39.94,37.95,38.15,1491200,0
20010702,38.40,38.70,38.22,38.52,1039400,0
20010703,38.63,38.85,38.42,38.83,439200,0
20010704,38.83,38.83,38.83,38.83,0,0
20010705,38.58,38.72,38.10,38.63,12471000,0
20010706,38.65,38.80,37.85,38.01,306200,0
20010709,37.92,38.25,37.58,37.65,361200,0
20010710,37.45,37.55,34.85,35.00,1445200,0
20010711,34.90,34.97,32.75,34.00,4576200,0
20010712,35.13,36.50,35.13,36.24,11007400,0
20010713,36.35,38.00,35.97,37.85,5330400,0
20010716,37.80,38.75,36.92,38.31,1302400,0
20010717,38.63,38.67,38.25,38.50,15240200,0
20010718,38.25,39.50,37.85,39.42,2891400,0
20010719,39.75,40.00,38.88,38.89,913600,0
20010720,38.90,39.10,38.06,38.83,371600,0
20010723,39.25,39.29,38.38,38.50,343600,0
20010724,38.48,38.99,36.75,37.67,967800,0
20010725,37.67,37.67,35.75,36.40,1244400,0
20010726,36.40,37.08,35.60,37.04,6574600,0
20010727,37.38,37.90,37.20,37.49,265800,0
20010730,37.78,38.56,37.00,38.24,2537000,0
20010731,38.47,38.47,37.17,37.30,118400,0
20010801,37.30,37.30,36.73,36.96,2408400,0
20010802,37.00,37.20,36.28,36.56,345200,0
20010803,36.50,36.95,36.05,36.95,2436600,0
20010806,36.95,37.17,36.40,36.49,460400,0
20010807,36.49,36.88,36.00,36.10,552600,0
20010808,36.10,36.15,35.40,35.63,600800,0
20010809,35.62,35.67,34.50,35.31,961000,0
20010810,35.40,36.04,34.88,35.85,441000,0
