DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.83,35.96,33.38,34.33,0,0
20010103,34.25,36.63,33.75,36.58,7925,0
20010104,36.67,37.42,35.92,36.08,9380,0
20010105,36.08,36.08,35.17,35.71,0,0
20010108,35.17,35.42,34.75,35.42,2174,0
20010109,35.29,35.63,34.33,34.42,0,0
20010110,34.42,35.58,34.04,35.42,47099,0
20010111,35.42,36.13,35.29,35.67,0,0
20010112,35.79,36.08,35.46,35.96,0,0
20010115,35.96,35.96,35.96,35.96,0,0
20010116,36.13,36.96,35.75,36.00,0,0
20010117,36.13,37.00,35.71,36.13,0,0
20010118,35.63,36.63,35.42,36.63,0,0
20010119,36.71,36.88,35.96,35.96,0,0
20010122,35.96,35.96,35.96,35.96,0,0
20010123,35.46,36.54,35.46,36.42,0,0
20010124,36.46,36.92,35.75,36.00,1580,0
20010125,36.08,36.13,34.83,35.33,0,0
20010126,35.42,35.79,34.96,35.29,2954,0
20010129,36.67,37.04,36.10,36.88,299250,0
20010130,37.02,38.73,35.33,38.38,684150,0
20010131,37.50,37.53,36.70,36.85,405600,0
20010201,36.67,37.83,36.67,37.43,0,0
20010202,37.37,37.97,37.14,37.21,730950,0
20010205,37.17,37.53,36.13,36.95,0,0
20010206,37.15,37.26,35.91,36.15,535950,0
20010207,36.27,36.47,35.62,36.00,389850,0
20010208,36.00,36.91,35.35,35.61,0,0
20010209,35.37,35.84,34.90,35.41,375450,0
20010212,35.61,36.35,35.10,36.29,224250,0
20010213,36.29,36.90,35.67,35.67,327300,0
20010214,35.73,35.90,35.41,35.57,0,0
20010215,35.51,36.50,35.43,35.93,297600,0
20010216,35.63,35.84,35.20,35.59,251700,0
20010219,35.59,35.59,35.59,35.59,0,0
20010220,35.67,35.88,34.41,34.63,442050,0
20010221,34.63,34.90,32.93,33.43,8159250,0
20010222,33.43,33.57,32.37,33.17,562950,0
20010223,33.32,33.33,31.33,32.67,448650,0
20010226,33.33,33.73,32.21,33.43,187950,0
20010227,33.47,33.53,32.50,32.81,747450,0
20010228,32.83,32.90,31.57,31.79,456900,0
20010301,31.37,31.43,30.17,31.43,657150,0
20010302,31.43,32.57,31.07,32.47,336900,0
20010305,32.57,32.83,31.79,31.93,576450,0
20010306,32.13,33.41,32.13,32.76,141300,0
20010307,32.77,33.87,32.51,33.13,764700,0
20010308,33.23,34.07,32.23,32.44,2512350,0
20010309,32.44,32.44,30.83,31.00,432900,0
20010312,30.77,30.84,29.26,29.45,309000,0
20010313,29.55,30.78,29.55,30.20,364200,0
20010314,29.53,30.27,28.37,28.67,873600,0
20010315,29.08,30.57,29.08,30.47,465900,0
20010316,31.33,31.58,30.00,30.21,739500,0
20010319,30.53,31.25,29.73,31.21,279900,0
20010320,31.87,32.93,30.87,30.93,850950,0
20010321,30.81,30.82,28.81,29.00,254250,0
20010322,28.93,28.93,26.77,28.25,557100,0
20010323,28.67,29.71,28.25,29.57,411900,0
20010326,30.00,30.44,29.29,29.36,1687350,0
20010327,29.27,30.67,28.95,30.17,894600,0
20010328,29.90,29.90,28.95,29.01,293250,0
20010329,29.10,29.45,28.31,28.55,1837200,0
20010330,28.55,28.99,28.07,28.07,456600,0
20010402,27.94,29.40,27.94,28.31,405000,0
20010403,28.47,28.47,26.64,26.69,458700,0
20010404,26.70,26.93,25.40,25.87,538800,0
20010405,26.60,28.72,26.60,28.23,643350,0
20010406,27.80,27.99,26.83,27.12,403650,0
20010409,27.13,28.03,27.00,27.70,577800,0
20010410,28.00,29.47,28.00,29.19,685350,0
20010411,30.83,30.83,29.20,29.23,321300,0
20010412,29.43,30.48,28.83,30.47,484050,0
20010416,30.37,30.43,29.60,29.83,316800,0
20010417,29.71,30.40,29.33,30.03,448050,0
20010418,30.60,33.01,30.41,32.19,704250,0
20010419,31.90,32.19,31.36,31.57,7712100,0
20010420,31.57,31.67,31.08,31.37,448800,0
20010423,31.37,31.37,30.54,30.65,116100,0
20010424,30.82,31.40,30.79,30.95,402150,0
20010425,30.95,31.03,29.87,30.76,282600,0
20010426,31.00,32.20,30.97,32.05,1775850,0
20010427,32.67,33.07,32.13,32.57,348900,0
20010430,32.63,32.70,31.87,31.93,573600,0
20010501,31.83,32.43,31.55,32.33,468600,0
20010502,32.67,33.67,32.67,33.44,237450,0
