DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,32.16,32.42,31.30,31.96,2001800,0
20030501,31.96,32.35,31.28,32.10,1188800,0
20030502,32.10,33.05,32.01,33.05,1278300,0
20030505,33.25,33.49,32.75,33.07,1146200,0
20030506,32.90,33.30,32.60,33.02,972100,0
20030507,32.90,32.91,32.37,32.63,1122900,0
20030508,32.40,32.40,31.66,31.75,1219000,0
20030509,32.00,32.38,31.75,32.21,550200,0
20030512,32.21,33.32,31.82,33.28,945800,0
20030513,33.05,33.20,32.73,32.96,848400,0
20030514,33.20,33.29,32.70,33.08,676600,0
20030515,33.08,33.11,32.50,32.95,764200,0
20030516,32.95,33.17,32.29,32.70,1112800,0
20030519,32.55,32.70,31.77,31.78,986800,0
20030520,31.78,31.79,31.07,31.52,1178400,0
20030521,31.20,31.39,30.70,31.25,1049300,0
20030522,31.25,31.41,30.92,31.32,1541900,0
20030523,31.40,31.70,30.90,31.65,1773800,0
20030527,32.25,33.02,32.02,32.95,1355900,0
20030528,33.00,33.78,33.00,33.37,1134200,0
20030529,33.32,33.64,32.97,33.34,1124000,0
20030530,34.05,34.93,33.50,34.80,1349100,0
20030602,35.45,36.30,35.42,35.60,1583100,0
20030603,35.67,35.70,34.63,35.10,953700,0
20030604,35.00,35.54,34.91,35.44,598200,0
20030605,35.33,35.72,35.25,35.48,1082400,0
20030606,36.00,36.93,35.94,36.33,1505300,0
20030609,36.18,36.28,35.67,36.01,994100,0
20030610,36.01,36.25,35.50,35.66,951200,0
20030611,35.80,36.29,35.65,36.29,926300,0
20030612,36.70,36.97,36.40,36.81,866300,0
20030613,36.82,37.13,36.30,36.60,788400,0
20030616,35.85,37.15,35.70,37.15,938400,0
20030617,37.30,37.50,36.83,36.98,762800,0
20030618,36.98,36.98,36.35,36.67,641800,0
20030619,36.67,36.68,35.19,35.22,1281500,0
20030620,35.22,35.35,34.91,35.08,1286300,0
20030623,35.10,35.19,34.38,34.81,564800,0
20030624,34.65,35.44,34.60,35.30,645100,0
20030625,35.30,35.70,34.64,34.64,608700,0
20030626,34.50,35.32,34.48,35.26,714200,0
20030627,35.26,36.08,35.11,35.49,741000,0
20030630,35.65,36.04,35.51,35.63,938400,0
20030701,35.63,35.76,34.79,35.72,1381800,0
20030702,35.72,36.51,35.72,36.40,1560100,0
20030703,36.30,36.80,36.09,36.31,398500,0
20030707,36.65,38.00,36.54,37.98,1189200,0
20030708,37.64,38.40,37.50,38.30,978200,0
20030709,38.30,38.30,37.86,38.05,1503800,0
20030710,37.70,37.72,36.74,36.96,885000,0
20030711,36.96,37.16,36.75,37.10,800900,0
20030714,37.53,38.05,37.41,37.71,769400,0
20030715,38.00,38.08,36.97,37.20,1096000,0
20030716,37.45,37.70,37.06,37.37,700400,0
20030717,37.25,37.36,36.60,36.70,646300,0
20030718,36.70,37.25,36.26,37.21,789800,0
20030721,37.21,37.21,36.55,36.67,991500,0
20030722,36.80,37.40,36.61,37.00,652500,0
20030723,37.00,37.20,36.57,36.87,682500,0
20030724,36.87,37.90,36.87,37.10,616300,0
20030725,37.33,38.51,37.22,38.46,764300,0
20030728,38.22,38.64,37.94,38.22,599400,0
20030729,38.17,38.22,37.10,37.36,1171900,0
20030730,37.37,37.50,36.82,37.32,837300,0
20030731,37.50,37.85,37.08,37.34,842400,0
20030801,37.35,37.35,35.85,36.28,828800,0
20030804,36.35,36.35,35.03,35.74,1548600,0
20030805,35.60,35.95,34.95,34.98,1493700,0
20030806,34.98,35.45,34.80,35.20,911200,0
20030807,35.00,35.20,34.63,35.00,1364700,0
20030808,35.01,35.80,34.94,35.37,1384800,0
20030811,35.37,35.99,35.27,35.58,1022300,0
20030812,35.80,35.97,35.56,35.90,1011400,0
20030813,36.00,36.00,35.44,35.55,560600,0
20030814,35.45,36.29,35.27,36.27,872000,0
20030815,36.26,36.27,35.90,36.15,253400,0
20030818,36.26,36.34,35.96,36.10,425900,0
20030819,36.25,36.25,35.65,36.04,758000,0
20030820,35.95,36.45,35.66,36.38,524100,0
20030821,36.45,36.68,35.93,36.15,486500,0
20030822,36.40,36.50,35.35,35.45,412400,0
20030825,35.45,35.45,34.90,35.35,468400,0
20030826,35.30,35.64,34.80,35.55,513400,0
20030827,35.45,35.47,35.07,35.19,416700,0
20030828,35.30,35.40,34.85,35.16,609100,0
20030829,35.11,35.42,35.00,35.42,630100,0
20030902,35.60,36.74,35.52,36.71,1034500,0
20030903,36.80,37.41,36.74,37.16,834600,0
20030904,37.08,37.21,36.70,37.07,710800,0
20030905,37.00,37.00,36.73,36.86,709900,0
20030908,36.96,37.13,36.69,36.86,455600,0
20030909,36.76,36.79,36.39,36.55,394100,0
20030910,36.40,36.56,35.96,36.00,362400,0
20030911,36.20,36.35,35.83,35.96,206900,0
20030912,35.85,36.19,35.78,36.12,482900,0
20030915,35.98,36.04,35.49,35.78,568400,0
20030916,36.00,36.43,35.96,36.41,565200,0
20030917,36.31,36.51,36.10,36.40,527600,0
20030918,36.50,38.55,36.50,37.84,1500300,0
20030919,37.84,37.84,35.08,36.72,1511700,0
20030922,36.73,36.73,35.79,36.07,723500,0
20030923,36.25,36.56,36.04,36.47,514700,0
20030924,36.51,36.80,36.23,36.26,947600,0
20030925,36.26,36.61,36.01,36.04,822300,0
20030926,36.05,36.13,35.58,36.05,1043800,0
20030929,36.06,36.30,35.36,35.86,828700,0
20030930,35.86,35.86,34.98,35.38,666600,0
20031001,35.50,36.34,35.41,36.31,946100,0
20031002,36.31,36.63,35.97,36.20,484500,0
20031003,37.00,37.70,36.92,37.19,845500,0
20031006,37.19,37.73,37.05,37.64,508300,0
20031007,37.64,37.90,37.15,37.70,638300,0
20031008,37.43,37.70,37.07,37.66,732600,0
20031009,37.86,38.13,37.56,37.68,553300,0
20031010,37.68,37.72,37.35,37.39,500800,0
20031013,37.75,38.24,37.50,37.91,414800,0
20031014,37.98,38.22,37.55,38.20,393300,0
20031015,38.50,38.50,37.94,38.22,471200,0
20031016,38.22,39.00,38.21,38.86,711000,0
20031017,38.75,39.05,38.65,38.76,981700,0
20031020,39.00,39.19,38.80,39.17,874900,0
20031021,39.16,39.16,38.56,38.94,576500,0
20031022,38.94,38.94,37.86,37.93,1079200,0
20031023,37.93,38.18,37.55,37.99,1095100,0
20031024,37.99,37.99,36.93,37.64,1029000,0
20031027,37.84,37.93,37.43,37.49,1053000,0
20031028,37.60,38.21,37.42,38.20,790200,0
20031029,38.10,38.63,37.79,38.27,846800,0
20031030,40.00,40.77,38.01,38.22,3950900,0
20031031,38.60,40.18,38.56,39.93,1591400,0
20031103,39.98,40.29,39.82,40.08,912955,0
20031104,40.08,40.08,39.40,39.45,1068906,0
20031105,39.45,39.45,37.97,38.38,1447900,0
20031106,38.25,38.77,37.89,38.63,918500,0
20031107,39.00,39.04,38.12,38.23,698500,0
20031110,38.30,38.51,37.99,38.04,411800,0
20031111,38.08,38.50,37.92,38.34,697100,0
20031112,38.45,38.56,38.17,38.47,814400,0
20031113,38.47,38.65,38.28,38.50,776600,0
20031114,38.40,38.59,37.90,38.14,764100,0
20031117,37.99,37.99,37.47,37.80,600600,0
20031118,38.00,38.25,37.35,37.35,696000,0
20031119,37.36,37.73,37.35,37.59,556800,0
20031120,37.60,38.39,37.46,37.92,854600,0
20031121,38.25,38.50,37.91,38.10,793500,0
20031124,38.30,38.72,38.25,38.66,512000,0
20031125,38.74,39.14,38.67,39.05,791500,0
20031126,39.00,39.23,38.80,39.18,561900,0
20031128,39.10,39.35,39.05,39.21,177400,0
20031201,39.40,40.20,39.07,40.19,961200,0
20031202,40.24,40.73,39.97,40.63,1344300,0
20031203,40.58,41.07,40.47,40.93,1066100,0
20031204,40.80,41.32,40.68,41.32,949000,0
20031205,40.85,40.86,40.23,40.50,969600,0
20031208,40.35,40.94,40.29,40.91,762400,0
20031209,41.00,41.01,40.75,40.89,711500,0
20031210,40.80,41.00,39.43,39.82,1435400,0
20031211,39.95,40.55,39.75,40.30,845100,0
20031212,40.25,40.33,39.92,40.25,661600,0
20031215,40.65,40.66,39.21,39.24,851100,0
20031216,39.20,39.66,38.82,39.63,1228600,0
20031217,39.60,39.68,39.24,39.68,394700,0
20031218,39.64,40.26,39.44,40.24,468700,0
20031219,40.40,40.40,39.48,39.70,1187000,0
20031222,39.70,39.70,39.11,39.13,1283200,0
20031223,39.10,39.45,38.90,39.05,1243900,0
20031224,39.01,39.18,38.71,38.88,453100,0
20031226,39.25,39.34,39.16,39.20,170300,0
20031229,39.21,39.96,39.15,39.90,511100,0
20031230,39.90,40.37,39.80,40.16,669900,0
20031231,40.21,40.46,40.16,40.37,461000,0
20040102,40.34,40.96,39.98,40.17,731700,0
20040105,40.60,40.94,40.34,40.75,556900,0
20040106,40.76,41.10,40.53,40.93,662600,0
20040107,41.58,42.25,41.58,42.17,1444000,0
20040108,42.12,42.12,41.57,41.75,839200,0
20040109,41.76,42.10,41.47,41.50,598100,0
20040112,41.60,41.95,41.00,41.33,625800,0
20040113,41.43,41.45,40.77,40.92,728300,0
20040114,41.25,41.93,41.21,41.82,704500,0
20040115,41.99,41.99,41.22,41.64,547600,0
20040116,42.10,42.63,41.73,41.82,763300,0
20040120,41.83,42.05,41.51,41.66,784600,0
20040121,41.91,44.20,41.89,44.20,1966300,0
20040122,43.90,44.08,43.50,43.90,848300,0
