DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,14.9375,15.3125,14.1875,14.3750,2753400,0
20010103,14.3125,17.2500,14.3125,17.2500,7591300,0
20010104,16.9375,19.3125,16.9375,18.1875,8615300,0
20010105,18.1875,19.3750,17.8750,18.3125,9192400,0
20010108,18.3125,19.3750,17.6875,19.2500,4456900,0
20010109,19.5625,19.6250,18.3750,18.9375,4883100,0
20010110,17.7500,20.3750,17.7500,19.9375,6162900,0
20010111,19.6875,22.6250,19.5625,21.9375,8324500,0
20010112,21.9375,22.6875,20.6250,20.6875,6639800,0
20010115,20.6875,20.6875,20.6875,20.6875,0,0
20010116,20.5625,21.0625,19.6250,20.1875,3647200,0
20010117,22.5625,24.0000,22.1875,22.5625,13113800,0
20010118,22.6250,23.8125,21.8125,23.0625,5321700,0
20010119,23.6250,23.8125,22.2500,22.7500,4424900,0
20010122,22.4375,22.4375,21.5000,21.7500,2328000,0
20010123,21.3125,22.2500,20.8750,22.1250,4101900,0
20010124,23.8750,24.8125,23.6875,24.8125,12382900,0
20010125,24.3750,25.2500,23.2500,23.6875,6751000,0
20010126,22.6250,24.0625,22.6250,23.2500,4485400,0
20010129,23.1875,24.6875,22.8125,24.6250,2569800,0
20010130,24.3125,26.3750,24.3125,25.5625,4155300,0
20010131,25.5000,27.0000,25.3125,26.4375,5613700,0
20010201,26.0000,26.9375,25.7500,26.5625,3145200,0
20010202,26.5000,26.8125,24.7500,24.8750,2967200,0
20010205,24.1250,24.2500,22.8750,23.3125,3192600,0
20010206,23.3750,24.3750,22.7500,23.0625,3675300,0
20010207,22.6875,22.9375,21.3125,22.3125,3445100,0
20010208,22.4375,23.1250,21.8750,22.1875,2950900,0
20010209,22.0000,22.8125,21.6875,21.9375,2442800,0
20010212,22.1250,23.1875,21.9375,22.7500,2540400,0
20010213,22.8750,23.1875,21.6250,21.7500,2203500,0
20010214,22.8750,25.1250,22.7500,24.3750,6705900,0
20010215,25.0000,26.7500,24.9375,26.1250,4865100,0
20010216,24.9375,25.5625,23.8750,25.3125,4165800,0
20010219,25.3125,25.3125,25.3125,25.3125,0,0
20010220,25.3125,25.9375,23.7500,24.3125,36300000,0
20010221,23.2500,25.4687,22.9375,23.6250,4849500,0
20010222,23.5625,25.2500,22.8125,24.5000,4991700,0
20010223,24.3125,24.6875,22.2500,24.6250,3806100,0
20010226,24.6875,24.6875,23.5000,24.0000,3144100,0
20010227,23.4375,24.2500,22.7500,23.0000,3349600,0
20010228,23.0313,23.1250,20.8750,21.5000,5450600,0
20010301,19.8125,22.6250,19.1875,22.5000,7355300,0
20010302,21.5625,24.1250,21.4375,22.7500,5146000,0
20010305,23.1250,24.7500,23.0625,24.6875,4993400,0
20010306,25.0000,27.4375,25.0000,26.5000,7885200,0
20010307,26.5000,26.9063,25.3750,26.8125,5326900,0
20010308,26.7500,27.3125,25.8125,26.9375,4089500,0
20010309,26.0000,26.7500,24.5000,24.6875,3414900,0
20010312,23.7813,25.5000,23.6875,24.1250,4369800,0
20010313,24.4062,26.0000,24.2500,25.5938,6243100,0
20010314,24.6875,27.1250,24.6250,25.8125,4689300,0
20010315,26.8750,27.0000,24.1250,24.4375,3034000,0
20010316,23.8750,24.2500,22.5000,22.9375,4263500,0
20010319,23.0000,24.3125,22.3125,24.2500,3020400,0
20010320,24.1250,25.3750,22.0313,23.7500,4500200,0
20010321,23.8125,26.0625,23.8125,24.5000,6363700,0
20010322,25.2500,28.0000,25.2500,27.9063,7977400,0
20010323,29.6250,30.0625,28.1250,29.5000,11610600,0
20010326,29.5000,29.9375,27.6250,27.9375,5280100,0
20010327,27.4400,29.6300,27.4400,28.1300,4501300,0
20010328,27.6300,28.8100,26.3800,26.6300,4527400,0
20010329,26.3100,27.6900,25.1300,25.7500,5005800,0
20010330,25.2500,25.2500,22.8800,23.7500,9155400,0
20010402,24.1900,24.1900,21.3100,21.6900,5017100,0
20010403,21.5000,22.1300,20.5000,21.1300,6669000,0
20010404,21.1900,21.2500,19.3800,19.6300,5408000,0
20010405,20.8800,23.6300,20.8800,23.3800,5800300,0
20010406,22.7500,23.1300,21.5000,22.0600,4534500,0
20010409,22.0500,22.3800,20.1300,21.0600,4540300,0
20010410,21.2100,23.3200,20.6500,23.0000,4883600,0
20010411,25.7500,26.9500,23.5000,24.5700,14630600,0
20010412,23.8700,28.0000,23.8700,28.0000,10645300,0
20010416,26.9900,28.3500,25.7700,27.4400,5242400,0
20010417,26.6600,28.1000,25.8000,27.4500,5791300,0
20010418,28.9200,31.2000,28.9200,29.7700,9982600,0
20010419,30.0200,31.6500,29.4700,31.3900,4199400,0
20010420,31.2400,31.7300,28.8300,29.7000,6260800,0
20010423,28.3800,28.6000,27.5000,27.5000,3237300,0
20010424,27.8800,30.0000,27.4800,28.2300,6689200,0
20010425,28.0700,29.2200,27.5000,28.5300,5185300,0
20010426,29.2400,29.4500,27.5600,28.0000,4050400,0
20010427,28.9000,29.5900,28.5000,29.0300,1988300,0
20010430,29.2700,30.9000,28.9500,29.6000,3102800,0
20010501,29.6000,29.8000,27.9500,29.6600,2839500,0
20010502,29.8100,30.4000,29.1400,29.4900,3628100,0
20010503,28.1300,28.1400,26.9200,27.2500,4276100,0
20010504,26.0800,27.5100,26.0500,27.4800,2834100,0
20010507,27.3900,27.9600,26.5500,26.8900,2310500,0
20010508,27.5600,28.7300,27.2000,28.6800,2941500,0
20010509,27.9500,28.7800,27.3500,28.0100,3649200,0
20010510,31.1500,31.2000,29.8000,29.9400,8538100,0
20010511,30.0000,30.4600,29.4500,29.9400,3168200,0
20010514,29.7900,29.9300,28.2600,28.9500,3342500,0
20010515,28.9200,30.4500,28.6000,29.4000,3384900,0
20010516,28.8500,32.1000,28.8100,31.6500,4230300,0
20010517,30.4400,31.6000,30.3900,31.2400,6714900,0
20010518,31.0300,31.6800,30.1000,31.1000,2766500,0
20010521,31.1500,33.5000,31.0500,33.5000,4156000,0
20010522,33.4900,33.7500,32.6300,32.7000,2919300,0
20010523,32.0200,32.8500,30.5000,30.6500,2960800,0
20010524,30.6400,30.8000,29.5300,30.7000,2390700,0
20010525,31.1400,31.5100,30.2500,30.4000,1563100,0
20010528,30.4000,30.4000,30.4000,30.4000,0,0
20010529,30.0900,30.0900,28.0000,28.5100,2880200,0
20010530,28.0200,28.0500,26.3500,26.4500,3393400,0
20010531,26.3700,28.1500,25.0000,27.6200,3016900,0
20010601,28.0200,28.7400,27.2500,28.4500,2204000,0
20010604,28.5200,28.5900,27.6900,27.9600,988400,0
20010605,28.0400,30.2200,28.0400,29.5400,2147500,0
20010606,29.5700,31.7500,28.6500,30.0600,2488900,0
20010607,29.9000,32.0900,29.8600,32.0000,3513200,0
20010608,31.7800,32.2000,31.1900,32.0700,2230900,0
20010611,31.8000,31.8000,30.3800,30.4000,1840900,0
20010612,29.4700,30.7500,28.9000,30.3900,2614100,0
20010613,30.4500,31.1000,29.4700,29.5000,2082000,0
20010614,29.0000,29.3900,27.8600,28.2800,2455600,0
20010615,27.4200,28.7500,27.4000,28.4400,1889000,0
20010618,29.7200,30.0000,28.8000,29.1000,3561000,0
20010619,30.0000,30.6300,28.9500,29.4100,4471600,0
20010620,28.4200,28.4900,25.7900,27.1000,7806600,0
20010621,27.0000,29.1000,26.5000,28.3000,3889300,0
20010622,28.0500,29.5000,27.4000,28.5000,2704800,0
20010625,28.5500,29.0000,27.8200,28.5200,1387900,0
20010626,27.6500,28.9500,27.3900,27.9900,2693700,0
20010627,27.9000,28.0500,27.0500,27.8500,2547100,0
20010628,28.0400,29.4100,27.2000,28.7800,1565600,0
20010629,29.1600,30.3500,29.0400,29.9000,1913100,0
20010702,29.8600,29.9000,29.2500,29.3400,1777000,0
20010703,29.2000,29.6500,29.0000,29.5300,871700,0
20010704,29.5300,29.5300,29.5300,29.5300,0,0
20010705,28.9500,28.9500,28.1500,28.6900,1872700,0
20010706,27.8000,27.8000,25.9500,25.9900,2920600,0
20010709,25.8400,26.7100,25.0000,26.0500,4749300,0
20010710,26.2500,26.5400,24.3000,24.5000,2875400,0
20010711,24.2000,25.3200,23.9200,25.0800,2228100,0
20010712,25.8000,27.7000,25.8000,27.3800,2719000,0
20010713,27.3500,27.9300,26.3100,27.0500,1315400,0
20010716,26.6000,26.9800,24.3900,24.7700,3043100,0
20010717,23.4000,25.8500,23.3600,25.7200,4236700,0
20010718,25.1400,25.9500,24.8000,25.2100,2119300,0
20010719,25.4200,27.1200,25.4100,26.5900,2205700,0
20010720,26.0100,26.3400,25.5400,26.1600,1226100,0
20010723,26.3000,26.4600,25.5800,26.0300,2096500,0
20010724,26.0200,26.3000,24.1700,24.3600,3679800,0
20010725,24.0000,25.7900,23.7800,25.7400,4103500,0
20010726,25.7400,28.8200,25.4500,26.9000,2606000,0
20010727,27.0000,28.9000,27.0000,28.0800,1819700,0
20010730,28.2500,28.7500,27.8500,28.2600,1731400,0
20010731,28.1800,29.9700,27.7500,27.9500,2081000,0
20010801,29.3000,30.5000,29.0500,29.9400,3833400,0
20010802,30.0900,30.8000,29.8300,30.4600,2537700,0
20010803,30.1900,30.8000,30.1600,30.6000,2098300,0
20010806,30.0000,30.4000,29.4000,29.4700,1897700,0
20010807,28.8500,29.1200,27.9500,28.3100,2776600,0
20010808,28.2800,28.9700,26.7500,27.0100,2305900,0
20010809,27.1300,27.6000,26.9000,27.2500,1728300,0
20010810,27.1000,28.0200,26.7700,27.6100,1273600,0
20010813,28.0700,28.5100,27.9800,28.2600,3148000,0
20010814,28.5800,28.7200,28.1000,28.2700,1234300,0
20010815,28.4600,28.8300,27.5300,27.5500,1014700,0
20010816,27.4800,28.4000,26.7600,28.3900,2177300,0
20010817,27.7000,27.9500,26.8500,27.0000,1388500,0
20010820,27.0200,27.6310,26.6900,27.3800,1333000,0
20010821,27.4000,27.6200,26.0500,26.0500,1080600,0
20010822,26.4400,27.4800,25.8600,27.2800,2089300,0
20010823,27.2000,27.9500,27.2000,27.5000,1164200,0
20010824,27.6900,29.1000,27.6700,28.5500,1104600,0
20010827,28.5000,29.3800,28.4000,28.9800,1012500,0
20010828,29.0100,29.1500,28.1000,28.4200,1080900,0
20010829,28.6900,28.9400,27.5000,28.1900,1983100,0
20010830,27.7000,28.2500,27.6600,27.8000,1904800,0
20010831,27.0700,28.6700,26.9000,28.3000,3244100,0
20010903,28.3000,28.3000,28.3000,28.3000,0,0
20010904,27.8000,28.4800,26.9000,26.9600,2413300,0
20010905,26.9100,27.5600,24.0800,25.0800,5888200,0
20010906,24.6900,25.9000,24.0100,24.1800,2228400,0
20010907,24.1500,25.3300,23.7000,23.8000,2079500,0
20010910,23.7200,24.0400,22.7000,22.8500,3681500,0
20010911,22.8500,22.8500,22.8500,22.8500,0,0
20010917,21.6200,21.7500,20.1600,20.3700,3657600,0
20010918,20.5100,20.6000,18.6700,18.7500,2956700,0
20010919,18.7800,19.4800,14.7300,17.0500,13594600,0
20010920,16.6600,17.6400,16.6600,16.9700,7544100,0
