DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,11.83,11.83,11.42,11.52,0,0
20010103,11.60,11.85,11.38,11.81,5688,0
20010104,11.81,11.81,11.33,11.69,0,0
20010105,11.69,11.69,11.46,11.58,0,0
20010108,11.52,11.79,11.52,11.65,2112,0
20010109,11.56,11.67,11.35,11.40,0,0
20010110,11.44,11.48,11.10,11.38,5781,0
20010111,11.42,11.52,11.06,11.08,0,0
20010112,11.06,11.06,10.75,10.90,2439,0
20010115,10.90,10.90,10.90,10.90,0,0
20010116,10.94,11.25,10.85,11.19,0,0
20010117,11.25,11.31,11.02,11.02,0,0
20010118,11.06,11.17,10.83,11.17,1782,0
20010119,11.17,11.17,10.88,10.92,0,0
20010122,10.92,10.92,10.92,10.92,0,0
20010123,11.40,11.52,11.06,11.48,1542,0
20010124,11.48,11.63,11.19,11.21,0,0
20010125,11.25,11.48,11.21,11.31,0,0
20010126,11.35,11.35,11.13,11.35,0,0
20010129,11.90,11.99,11.33,11.83,0,0
20010130,11.94,11.94,11.48,11.83,0,0
20010131,11.22,11.22,10.97,11.12,0,0
20010201,11.17,11.17,10.92,11.12,0,0
20010202,11.10,11.17,11.00,11.07,0,0
20010205,11.07,11.17,10.98,11.16,0,0
20010206,11.17,11.32,11.11,11.13,275400,0
20010207,11.12,11.27,11.07,11.24,139800,0
20010208,11.24,11.24,10.95,11.02,0,0
20010209,11.05,11.10,10.87,11.09,0,0
20010212,11.07,11.27,11.00,11.22,134400,0
20010213,11.22,11.23,11.13,11.16,72600,0
20010214,11.16,11.18,11.04,11.07,0,0
20010215,11.04,11.05,10.93,10.99,201300,0
20010216,10.97,11.01,10.96,10.97,112500,0
20010219,10.97,10.97,10.97,10.97,0,0
20010220,10.97,10.97,10.72,10.76,84300,0
20010221,10.85,10.85,10.50,10.57,193200,0
20010222,10.60,10.60,10.41,10.53,329100,0
20010223,10.51,10.54,10.22,10.52,135000,0
20010226,10.50,10.66,10.50,10.65,100800,0
20010227,10.60,11.42,10.59,11.42,394200,0
20010228,11.44,11.81,11.32,11.37,345900,0
20010301,11.48,11.67,11.48,11.57,312300,0
20010302,11.57,11.90,11.57,11.80,251700,0
20010305,11.80,11.80,11.50,11.63,124200,0
20010306,11.67,11.75,11.51,11.53,88800,0
20010307,11.58,11.88,11.57,11.70,123900,0
20010308,11.73,11.76,11.53,11.54,138300,0
20010309,11.54,11.60,11.33,11.38,125700,0
20010312,11.25,11.43,11.06,11.06,123300,0
20010313,11.00,11.17,10.85,11.13,113700,0
20010314,11.05,11.07,10.67,10.89,129000,0
20010315,10.89,10.96,10.82,10.96,128100,0
20010316,10.95,11.03,10.80,10.85,240600,0
20010319,10.87,10.91,10.75,10.91,131700,0
20010320,10.91,10.94,10.70,10.70,153900,0
20010321,10.70,10.72,10.53,10.54,65400,0
20010322,10.54,10.54,10.17,10.42,200400,0
20010323,10.53,10.77,10.52,10.58,171300,0
20010326,10.67,10.96,10.65,10.85,78000,0
20010327,10.85,10.89,10.63,10.85,173700,0
20010328,10.77,10.83,10.55,10.66,138000,0
20010329,10.68,10.83,10.57,10.60,160200,0
20010330,10.82,11.23,10.75,10.75,183600,0
20010402,10.88,11.30,10.71,10.76,255000,0
20010403,10.83,10.83,10.50,10.57,95700,0
20010404,10.56,10.56,10.25,10.32,184500,0
20010405,10.44,10.60,10.30,10.32,330300,0
20010406,10.33,10.48,10.19,10.28,158100,0
20010409,10.25,10.45,10.23,10.30,95400,0
20010410,10.30,10.64,10.30,10.60,99300,0
20010411,10.53,10.59,10.31,10.36,110400,0
20010412,10.33,10.39,10.30,10.36,87000,0
20010416,10.40,10.60,10.31,10.59,119700,0
20010417,10.51,10.52,10.37,10.44,64200,0
20010418,10.47,10.87,10.47,10.67,249900,0
20010419,10.73,10.86,10.73,10.78,152100,0
20010420,10.73,10.74,10.33,10.47,153600,0
20010423,10.47,10.54,10.47,10.48,93300,0
20010424,10.55,10.65,10.47,10.54,219900,0
20010425,10.48,10.80,10.48,10.74,183900,0
20010426,10.74,11.10,10.74,11.09,218700,0
20010427,11.12,11.12,10.92,11.07,120300,0
20010430,11.13,11.27,10.66,10.68,342600,0
20010501,10.90,11.13,10.87,11.05,116400,0
20010502,11.07,11.20,10.94,11.00,116700,0
20010503,11.02,11.17,10.96,11.10,119100,0
20010504,11.13,11.35,11.04,11.34,172200,0
20010507,11.32,11.37,11.23,11.23,141300,0
20010508,11.27,11.35,11.25,11.32,140400,0
20010509,11.25,11.40,11.24,11.28,102900,0
20010510,11.35,11.57,11.34,11.48,100200,0
20010511,11.43,11.60,11.43,11.53,148500,0
20010514,11.52,11.52,11.22,11.23,126000,0
20010515,11.28,11.30,11.16,11.22,142200,0
20010516,11.22,11.23,11.19,11.22,258900,0
20010517,10.87,11.26,10.87,11.26,234900,0
20010518,11.20,11.33,11.18,11.32,72900,0
20010521,11.37,11.43,11.29,11.43,169200,0
20010522,11.47,11.63,11.43,11.57,131100,0
20010523,11.62,11.62,11.30,11.30,221100,0
20010524,11.35,11.43,11.21,11.33,169500,0
20010525,11.33,11.37,11.13,11.27,115800,0
20010528,11.27,11.27,11.27,11.27,0,0
20010529,11.17,11.22,11.10,11.10,187200,0
