DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,17.50,17.50,17.13,17.19,23388,0
20010103,17.09,18.84,16.75,18.84,62890,0
20010104,18.81,21.00,18.59,20.00,145378,0
20010105,20.00,20.00,18.72,19.00,42368,0
20010108,19.22,19.75,19.09,19.25,29668,0
20010109,19.31,19.66,18.81,18.84,20126,0
20010110,18.50,19.38,18.50,19.34,17418,0
20010111,19.50,19.59,19.06,19.47,219788,0
20010112,19.44,20.34,19.44,19.81,52706,0
20010115,19.81,19.81,19.81,19.81,0,0
20010116,19.94,20.06,19.69,19.88,176670,0
20010117,20.00,20.50,19.81,19.84,40816,0
20010118,19.84,19.84,19.00,19.00,22896,0
20010119,19.00,19.06,18.50,19.00,35900,0
20010122,19.00,19.00,19.00,19.00,0,0
20010123,20.22,20.59,20.13,20.38,37844,0
20010124,19.94,20.91,19.78,20.84,21474,0
20010125,20.75,21.50,20.03,21.28,192946,0
20010126,21.00,21.22,20.63,20.94,19136,0
20010129,22.25,22.28,21.36,21.83,0,0
20010130,21.83,22.55,21.00,21.83,14449800,0
20010131,21.61,23.03,21.50,22.28,29192800,0
20010201,22.30,22.83,21.88,22.75,0,0
20010202,22.75,22.75,22.26,22.38,3481800,0
20010205,22.38,22.50,22.02,22.13,3226000,0
20010206,22.01,22.73,22.01,22.48,1956000,0
20010207,22.48,22.98,22.35,22.97,2804600,0
20010208,23.00,23.22,21.44,21.49,4975400,0
20010209,21.50,22.50,20.38,20.58,5329200,0
20010212,21.02,22.05,20.91,21.75,3279000,0
20010213,21.88,22.23,21.50,22.11,2486400,0
20010214,22.11,22.50,21.60,22.41,14231000,0
20010215,21.81,22.60,21.76,22.56,2573800,0
20010216,21.80,23.48,21.80,22.88,4247000,0
20010219,22.88,22.88,22.88,22.88,0,0
20010220,22.92,23.53,22.75,22.88,4753800,0
20010221,22.58,22.66,21.52,21.73,2784400,0
20010222,21.83,22.15,20.65,22.15,3785800,0
20010223,21.60,22.30,21.48,22.08,6489400,0
20010226,22.20,22.63,22.06,22.61,2887200,0
20010227,22.85,23.68,22.85,23.68,4983400,0
20010228,24.25,24.50,23.50,24.17,6400400,0
20010301,23.75,23.77,23.00,23.70,4227400,0
20010302,23.35,23.85,23.10,23.75,4985800,0
20010305,23.75,23.75,23.19,23.31,4999600,0
20010306,23.55,23.92,23.25,23.83,2752400,0
20010307,23.98,24.95,23.98,24.63,6739600,0
20010308,24.25,24.35,23.60,23.75,6138800,0
20010309,23.75,24.00,23.50,23.92,2684600,0
20010312,23.55,23.98,23.35,23.48,31400000,0
20010313,23.45,23.45,22.65,22.88,3114200,0
20010314,22.50,23.06,22.25,22.91,3633200,0
20010315,22.92,23.10,22.63,22.86,2062800,0
20010316,22.86,23.23,22.20,22.20,2928200,0
20010319,22.25,22.50,22.05,22.48,2302200,0
20010320,22.50,23.37,22.45,22.45,3432400,0
20010321,22.52,22.75,21.71,21.77,26451400,0
20010322,22.25,22.25,20.17,21.42,6399600,0
20010323,21.48,21.92,20.85,21.57,4579400,0
20010326,21.07,21.07,20.58,20.60,5266800,0
20010327,20.77,21.01,20.19,20.94,6182200,0
20010328,20.69,20.90,20.27,20.72,5282000,0
20010329,20.72,20.72,20.43,20.52,2541600,0
20010330,20.52,21.00,20.31,20.77,5369400,0
20010402,20.38,20.67,20.33,20.56,4043200,0
20010403,20.60,20.75,19.56,19.75,3903400,0
20010404,19.66,20.50,19.60,20.27,5051800,0
20010405,20.50,21.15,20.45,21.00,5953600,0
20010406,20.88,20.90,20.08,20.58,5255800,0
20010409,20.50,21.00,20.41,20.52,3837800,0
20010410,20.75,21.38,20.65,20.90,2878000,0
20010411,20.86,20.90,19.90,20.83,6098400,0
20010412,19.25,20.76,19.25,20.70,8435200,0
20010416,20.40,20.75,20.15,20.50,2441200,0
20010417,20.25,20.92,20.10,20.88,2941200,0
20010418,20.95,22.75,20.95,22.40,3869800,0
20010419,21.90,22.00,21.65,21.86,2772200,0
20010420,21.80,21.95,21.60,21.67,1979800,0
20010423,21.66,22.42,21.50,21.52,1904800,0
20010424,20.88,20.88,20.25,20.43,3382400,0
20010425,20.40,21.00,20.39,20.92,1934200,0
20010426,20.92,22.00,20.75,21.76,2446600,0
20010427,21.92,22.25,21.77,21.95,2854000,0
20010430,21.95,22.05,21.34,21.49,2391200,0
20010501,21.50,21.63,21.25,21.33,2878800,0
20010502,21.38,21.63,21.25,21.55,7434200,0
20010503,21.55,21.75,21.48,21.56,3131200,0
20010504,21.17,21.68,21.16,21.65,15201000,0
20010507,21.48,21.62,21.15,21.25,9335400,0
20010508,21.15,21.22,20.92,21.01,1258200,0
