DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,19.06,19.19,18.94,19.00,0,0
20010103,18.75,19.63,18.63,19.31,612,0
20010104,19.38,19.50,19.19,19.50,765,0
20010105,19.50,19.63,19.31,19.38,0,0
20010108,19.25,19.63,19.25,19.63,0,0
20010109,19.63,19.75,19.50,19.56,383,0
20010110,19.75,20.50,19.63,20.25,12109,0
20010111,20.25,20.63,20.25,20.56,4012,0
20010112,20.56,20.81,20.50,20.56,5370,0
20010115,20.56,20.56,20.56,20.56,0,0
20010116,20.13,20.75,20.13,20.69,0,0
20010117,20.63,20.81,20.56,20.75,1141,0
20010118,20.56,20.69,20.56,20.69,0,0
20010119,20.56,20.94,20.56,20.75,0,0
20010122,20.75,20.75,20.75,20.75,0,0
20010123,20.88,20.94,20.69,20.81,616,0
20010124,20.88,21.00,20.38,20.63,8886,0
20010125,20.50,20.75,20.50,20.56,0,0
20010126,20.19,20.75,20.19,20.69,0,0
20010129,20.54,22.03,20.54,22.03,25500,0
20010130,21.94,22.81,21.94,22.63,0,0
20010131,20.85,20.99,20.80,20.84,0,0
20010201,20.80,20.98,20.80,20.98,0,0
20010202,20.83,21.00,20.83,20.85,0,0
20010205,20.90,21.10,20.87,21.07,63000,0
20010206,21.00,21.25,21.00,21.13,52200,0
20010207,21.05,21.06,20.71,20.77,146700,0
20010208,20.85,21.10,20.80,20.86,39500,0
20010209,20.90,21.00,20.67,20.67,138900,0
20010212,20.73,20.90,20.71,20.81,65600,0
20010213,20.76,20.80,20.51,20.51,151300,0
20010214,20.51,20.72,20.38,20.72,292300,0
20010215,20.85,21.04,20.82,21.01,93500,0
20010216,21.01,21.15,20.98,21.10,147900,0
20010219,21.10,21.10,21.10,21.10,0,0
20010220,21.00,21.00,20.75,20.76,186400,0
20010221,20.76,20.77,20.39,20.45,96000,0
20010222,20.50,20.60,20.37,20.50,3116300,0
20010223,20.45,20.72,20.40,20.45,82000,0
20010226,20.50,20.80,20.50,20.80,188500,0
20010227,20.80,20.90,20.80,20.81,92900,0
20010228,20.81,20.81,20.70,20.80,137900,0
20010301,20.85,20.90,20.72,20.75,43700,0
20010302,20.75,21.00,20.75,20.85,61400,0
20010305,20.86,21.08,20.85,20.85,61600,0
20010306,21.00,21.09,20.90,20.91,111600,0
20010307,21.00,21.12,20.91,20.91,1108400,0
20010308,20.85,21.05,20.85,21.00,70200,0
20010309,20.95,20.99,20.79,20.85,76000,0
20010312,20.90,21.06,20.50,20.65,130800,0
20010313,20.70,20.80,20.70,20.80,29800,0
20010314,20.62,20.85,20.60,20.65,4000000,0
20010315,20.65,20.70,20.51,20.70,50700,0
20010316,20.80,20.84,20.70,20.80,75200,0
20010319,20.83,20.97,20.75,20.90,72600,0
20010320,20.91,21.08,20.90,21.00,55200,0
20010321,21.00,21.08,21.00,21.02,109900,0
20010322,21.15,21.15,20.83,21.15,538500,0
20010323,21.12,21.32,21.12,21.27,102400,0
20010326,21.40,21.53,21.11,21.51,52100,0
20010327,21.56,21.56,21.43,21.55,51700,0
20010328,20.95,21.38,20.95,21.37,64800,0
20010329,21.42,21.85,21.36,21.40,61500,0
20010330,21.45,21.95,21.45,21.90,43800,0
20010402,21.90,22.00,21.77,22.00,25300,0
20010403,21.85,21.85,21.28,21.35,85200,0
20010404,21.20,21.40,21.20,21.31,84000,0
20010405,21.35,21.65,21.35,21.65,72400,0
20010406,21.60,21.60,21.28,21.40,12071300,0
20010409,21.35,21.54,21.35,21.50,260800,0
20010410,21.45,21.85,21.45,21.70,100700,0
20010411,21.70,21.72,21.42,21.43,297300,0
20010412,21.50,21.86,21.45,21.70,132100,0
20010416,21.85,22.18,21.74,22.05,137400,0
20010417,22.05,22.32,22.05,22.17,106300,0
20010418,21.95,22.85,21.85,22.35,132300,0
20010419,22.30,22.30,22.02,22.20,309600,0
20010420,22.21,22.35,22.05,22.30,114400,0
20010423,22.15,22.34,22.15,22.31,75100,0
20010424,22.20,22.40,22.20,22.20,68100,0
20010425,22.31,22.45,22.20,22.30,94400,0
20010426,22.25,22.60,22.25,22.42,37900,0
20010427,22.40,22.77,22.38,22.77,21000,0
20010430,22.80,23.05,22.70,22.78,79500,0
20010501,22.51,22.80,22.51,22.80,1077500,0
20010502,22.60,22.74,22.50,22.54,68400,0
20010503,22.48,22.74,22.48,22.68,1051500,0
20010504,22.60,23.01,22.60,22.96,2067600,0
20010507,22.91,22.91,22.68,22.80,39800,0
20010508,22.78,22.85,22.63,22.83,58200,0
20010509,22.84,22.84,22.66,22.66,31600,0
20010510,22.65,22.74,22.40,22.45,62100,0
20010511,22.65,22.70,22.32,22.50,1053300,0
20010514,22.50,22.72,22.41,22.65,53600,0
20010515,22.75,23.00,22.60,22.90,122500,0
20010516,22.35,23.10,22.35,23.10,1112700,0
20010517,23.10,23.20,23.01,23.02,101200,0
20010518,23.02,23.30,23.02,23.15,6106200,0
20010521,23.05,23.24,22.96,23.16,58100,0
20010522,23.16,23.44,23.07,23.31,298200,0
20010523,23.35,23.50,23.30,23.42,1170000,0
20010524,23.25,23.60,22.75,23.55,130700,0
20010525,23.45,23.63,23.10,23.35,83500,0
20010528,23.35,23.35,23.35,23.35,0,0
20010529,23.45,23.45,23.19,23.26,71400,0
20010530,23.40,23.40,23.00,23.05,36300,0
20010531,23.22,23.61,23.05,23.41,2063900,0
20010601,23.38,23.42,23.25,23.36,27600,0
20010604,23.30,23.60,23.24,23.50,60900,0
20010605,23.60,23.66,23.36,23.40,42800,0
20010606,23.40,23.40,23.25,23.30,1211100,0
20010607,23.40,23.48,23.25,23.44,3095500,0
20010608,23.49,23.78,23.49,23.50,120200,0
20010611,23.55,24.00,23.50,23.85,108000,0
20010612,23.85,23.89,23.70,23.85,45600,0
20010613,23.85,24.00,23.80,24.00,1157100,0
20010614,24.00,24.00,23.60,23.79,65300,0
20010615,23.79,24.05,23.79,23.85,3166000,0
20010618,23.75,24.06,23.51,23.67,145200,0
20010619,23.30,23.75,23.25,23.26,309400,0
20010620,23.40,23.95,23.40,23.82,221800,0
20010621,23.82,23.90,23.65,23.85,94100,0
20010622,23.80,23.92,23.57,23.80,60600,0
20010625,23.65,24.00,23.65,23.95,58700,0
20010626,23.95,24.41,23.95,24.35,44400,0
20010627,24.30,24.34,24.00,24.16,68100,0
20010628,24.05,24.36,24.05,24.23,43800,0
20010629,24.30,24.88,24.30,24.80,1201800,0
20010702,24.75,24.75,24.36,24.62,37500,0
20010703,24.61,25.06,24.49,25.01,69400,0
20010704,25.01,25.01,25.01,25.01,0,0
20010705,24.80,25.08,24.65,24.65,45900,0
20010706,24.75,24.90,24.66,24.69,35700,0
20010709,24.80,24.80,24.50,24.55,69800,0
20010710,24.56,24.68,24.40,24.45,2038200,0
20010711,24.35,24.46,24.28,24.30,1039400,0
20010712,24.25,24.50,24.25,24.50,41600,0
20010713,24.50,24.64,24.45,24.58,58000,0
