DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.63,22.63,21.26,21.59,108157,0
20010103,21.09,22.31,20.77,21.92,219051,0
20010104,21.97,23.68,21.92,23.12,44717,0
20010105,23.12,23.19,22.19,22.80,0,0
20010108,22.41,22.68,19.72,19.99,478264,0
20010109,20.49,21.09,20.33,20.55,23945,0
20010110,20.27,20.38,19.67,19.99,13537,0
20010111,19.99,20.55,19.89,20.21,168801,0
20010112,19.94,20.82,19.89,20.49,14784,0
20010115,20.49,20.49,20.49,20.49,0,0
20010116,20.49,20.87,20.11,20.55,8880,0
20010117,20.55,21.37,20.55,20.87,16160,0
20010118,20.87,20.93,19.83,19.99,9255,0
20010119,19.78,20.05,19.28,19.67,137519,0
20010122,19.67,19.67,19.67,19.67,0,0
20010123,19.39,20.93,19.39,20.49,12980,0
20010124,20.49,20.99,20.33,20.87,8687,0
20010125,20.87,21.09,20.33,20.71,1371910,0
20010126,20.87,20.87,20.21,20.49,4311,0
20010129,20.24,22.05,20.21,21.29,36551500,0
20010130,21.26,22.00,20.21,21.59,1659900,0
20010131,20.74,21.26,20.70,21.08,1245000,0
20010201,21.09,21.52,21.04,21.37,1128500,0
20010202,21.52,21.53,20.95,21.23,1544300,0
20010205,21.45,21.49,21.01,21.31,598600,0
20010206,21.31,21.31,20.21,20.26,2669000,0
20010207,20.48,20.86,20.26,20.64,1148200,0
20010208,20.64,20.83,20.21,20.48,783200,0
20010209,20.57,20.57,20.24,20.51,831500,0
20010212,20.44,20.64,20.33,20.51,0,0
20010213,20.57,21.09,20.49,20.89,1008600,0
20010214,21.07,21.08,20.21,20.37,0,0
20010215,20.72,21.15,20.70,20.96,1324900,0
20010216,20.22,20.87,20.22,20.27,1930700,0
20010219,20.27,20.27,20.27,20.27,0,0
20010220,20.27,20.61,20.01,20.04,1432400,0
20010221,20.05,20.17,19.60,19.60,1077900,0
20010222,19.82,21.75,19.07,19.56,1314400,0
20010223,19.56,19.56,18.83,19.12,1416200,0
20010226,19.42,20.19,19.34,20.12,2428100,0
20010227,20.20,20.48,19.92,20.42,1740600,0
20010228,20.64,20.74,20.30,20.54,1526100,0
20010301,20.74,20.87,20.23,20.82,1334200,0
20010302,20.87,21.51,20.79,21.05,1341300,0
20010305,21.05,21.43,20.88,21.17,44660800,0
20010306,21.29,21.29,20.65,20.87,14563900,0
20010307,21.14,21.31,20.79,21.03,2289500,0
20010308,21.24,21.98,20.88,21.98,2358100,0
20010309,21.75,21.75,21.27,21.49,532900,0
20010312,21.49,21.53,21.05,21.08,941200,0
20010313,21.08,21.15,20.65,21.15,3813200,0
20010314,20.62,20.82,20.33,20.74,719800,0
20010315,20.48,20.61,20.17,20.43,2872200,0
20010316,19.82,20.39,19.82,19.92,1670300,0
20010319,20.21,20.21,19.91,20.11,4701000,0
20010320,20.21,20.39,19.51,19.51,1605800,0
20010321,19.56,20.01,19.38,19.65,1803700,0
20010322,19.99,19.99,18.90,19.16,1922900,0
20010323,19.25,19.91,19.18,19.72,22607300,0
20010326,19.91,20.19,19.79,20.12,6450600,0
20010327,20.00,20.21,19.80,19.97,3710400,0
20010328,20.17,20.39,19.53,19.97,18289200,0
20010329,19.97,20.38,19.82,20.30,39079800,0
20010330,20.30,21.18,20.21,21.18,21556400,0
20010402,21.21,21.75,21.01,21.27,2358800,0
20010403,21.09,21.21,20.15,20.38,1792900,0
20010404,20.17,20.94,20.09,20.65,1711200,0
20010405,20.74,21.14,20.43,21.08,1503700,0
20010406,21.09,21.18,20.65,21.08,2569200,0
20010409,21.08,21.17,20.95,21.14,28028700,0
20010410,21.01,21.37,20.79,21.10,1691500,0
20010411,21.27,21.27,20.72,20.87,3499300,0
20010412,20.87,21.08,20.58,21.02,607700,0
20010416,21.07,21.09,20.86,21.09,2446300,0
20010417,20.87,21.09,20.87,21.09,592800,0
20010418,21.09,22.06,20.92,21.95,4380800,0
20010419,21.97,22.06,21.36,21.44,3808300,0
20010420,21.53,21.62,20.92,21.26,3089500,0
20010423,21.46,21.49,20.83,21.05,986000,0
20010424,21.05,21.14,20.65,20.92,1445900,0
20010425,21.09,21.23,20.65,21.15,581100,0
20010426,21.01,21.27,20.83,20.96,1363600,0
20010427,21.05,21.09,20.84,20.88,13169600,0
20010430,20.96,21.08,20.13,20.21,1424200,0
20010501,20.55,20.56,20.10,20.49,10828700,0
20010502,20.53,20.96,20.32,20.70,1144800,0
20010503,20.70,20.70,19.99,20.00,519600,0
20010504,19.85,20.31,19.69,20.21,12545600,0
20010507,20.04,20.65,20.04,20.27,1060800,0
20010508,20.13,20.29,19.79,20.13,749900,0
20010509,20.30,20.30,19.83,19.97,854600,0
20010510,19.97,20.38,19.91,20.35,13903700,0
20010511,20.48,20.48,19.61,19.86,26231600,0
20010514,19.82,19.85,19.42,19.78,1127100,0
20010515,19.78,19.78,19.38,19.60,1953000,0
20010516,19.44,20.87,19.34,20.75,2277800,0
20010517,20.83,21.13,20.65,21.04,1755400,0
20010518,21.09,21.14,20.79,21.13,40822700,0
20010521,21.13,21.14,20.70,21.03,1521400,0
20010522,21.03,21.23,20.86,20.93,1279600,0
20010523,21.05,21.05,20.45,20.57,3619600,0
20010524,20.57,20.64,20.05,20.28,1671500,0
20010525,20.26,20.61,20.21,20.28,4770300,0
20010528,20.28,20.28,20.28,20.28,0,0
20010529,20.28,20.55,20.21,20.43,2602400,0
20010530,20.43,20.52,20.24,20.32,785500,0
20010531,20.32,20.65,20.30,20.52,1272500,0
20010601,20.52,20.52,19.78,20.13,2275400,0
20010604,20.30,21.01,20.13,20.65,13381700,0
20010605,21.09,21.22,20.90,21.14,2705100,0
20010606,21.15,21.31,20.79,21.23,49979100,0
20010607,21.09,21.44,21.09,21.31,26633200,0
20010608,21.40,21.90,21.27,21.69,2719700,0
20010611,21.68,21.97,21.59,21.71,8765400,0
20010612,21.88,22.02,21.34,21.96,2135700,0
20010613,21.66,21.95,21.62,21.72,22868300,0
20010614,21.88,21.93,21.44,21.66,6720600,0
20010615,21.27,21.60,20.87,21.09,3017400,0
20010618,21.09,21.80,21.01,21.44,12669000,0
20010619,21.49,21.62,21.15,21.62,14632800,0
20010620,21.62,22.23,21.62,22.07,2967600,0
20010621,21.97,22.15,21.54,21.88,2488200,0
20010622,21.88,22.37,21.44,22.22,1817200,0
20010625,22.22,22.80,21.97,22.31,5579500,0
20010626,22.22,22.45,21.92,22.32,2015500,0
20010627,22.06,22.32,21.98,22.23,1474300,0
20010628,22.28,22.37,21.83,21.96,26795200,0
20010629,22.14,22.14,21.75,21.94,11271400,0
20010702,22.18,22.41,21.88,22.41,2090200,0
20010703,22.41,22.46,22.10,22.41,866400,0
20010704,22.41,22.41,22.41,22.41,0,0
20010705,22.45,22.45,22.15,22.19,4226400,0
20010706,22.28,22.36,21.75,21.84,2276500,0
20010709,22.02,22.02,21.66,21.92,7537500,0
20010710,21.97,22.18,21.71,21.82,944600,0
20010711,21.95,22.02,21.55,21.78,17995300,0
20010712,21.88,22.58,21.73,22.42,3215100,0
20010713,21.80,22.13,21.63,21.91,4433700,0
20010716,22.23,22.31,21.88,22.14,16377000,0
20010717,22.28,22.53,22.04,22.46,12252900,0
20010718,22.41,22.80,22.33,22.80,3222300,0
20010719,22.85,23.19,22.81,23.14,3354600,0
20010720,23.11,23.27,22.66,22.78,1303800,0
20010723,22.63,22.75,22.24,22.32,719500,0
20010724,22.24,22.37,21.46,21.61,27121300,0
20010725,21.93,22.06,21.66,21.95,7694000,0
20010726,21.80,22.04,21.59,22.02,2599100,0
20010727,22.02,22.06,21.91,21.96,795400,0
20010730,21.88,22.02,21.80,22.02,10347800,0
20010731,22.06,22.18,21.87,22.15,1596700,0
20010801,22.32,22.37,21.97,22.28,1447900,0
20010802,22.53,22.72,22.29,22.72,2324800,0
20010803,22.85,23.31,22.50,23.28,77114700,0
20010806,23.07,23.25,22.64,22.66,1137900,0
20010807,22.67,23.07,22.55,23.07,26316300,0
20010808,23.07,23.07,22.47,22.59,10040600,0
20010809,22.56,22.76,22.39,22.61,15628100,0
20010810,22.62,22.63,22.08,22.54,834100,0
20010813,22.54,22.60,22.07,22.42,3774300,0
20010814,22.43,22.49,22.24,22.46,10473000,0
20010815,22.46,22.97,22.23,22.79,2251100,0
20010816,22.88,23.51,22.46,22.82,926000,0
20010817,22.76,22.81,22.10,22.64,9204200,0
20010820,22.78,22.78,22.32,22.46,551600,0
20010821,22.46,22.63,22.25,22.41,1922400,0
20010822,22.37,22.64,22.28,22.50,2224000,0
20010823,22.59,22.68,22.41,22.50,1576300,0
20010824,22.50,22.98,22.32,22.97,1976400,0
20010827,22.97,23.13,22.75,22.84,101000000,0
20010828,22.84,23.06,21.44,22.41,1394500,0
20010829,22.72,22.72,22.24,22.34,1922800,0
20010830,22.51,22.65,22.19,22.44,1274300,0
20010831,22.66,22.75,22.34,22.69,1090400,0
20010903,22.69,22.69,22.69,22.69,0,0
20010904,22.68,22.89,22.51,22.68,2240800,0
20010905,22.50,22.81,22.25,22.37,6524100,0
20010906,22.24,22.46,22.02,22.10,1203500,0
20010907,22.06,22.06,20.89,21.01,7121600,0
20010910,20.93,20.93,19.88,20.04,3182200,0
20010911,20.04,20.04,20.04,20.04,0,0
20010917,18.46,18.90,17.97,17.98,4015100,0
20010918,17.98,18.18,17.81,17.83,1371300,0
20010919,18.06,18.23,16.92,17.19,1997400,0
20010920,17.05,17.05,16.48,16.71,2426100,0
20010921,16.26,16.26,15.61,15.82,2827700,0
20010924,16.48,17.56,16.35,17.40,2101200,0
20010925,17.84,17.84,16.98,17.36,2428100,0
20010926,17.65,17.65,17.15,17.31,1020100,0
20010927,17.49,17.49,16.74,17.17,987800,0
20010928,17.36,17.96,16.87,17.96,1671300,0
20011001,17.75,17.75,17.14,17.43,1037300,0
20011002,17.45,18.24,17.17,18.19,1556600,0
20011003,18.09,18.81,17.91,18.80,1758200,0
20011004,18.77,18.98,18.51,18.86,1863400,0
20011005,18.86,19.15,18.54,19.15,1006200,0
20011008,18.98,18.98,18.37,18.53,1509100,0
20011009,17.80,18.68,17.80,18.52,903300,0
20011010,18.46,19.48,18.44,19.45,1354300,0
20011011,19.34,20.06,19.34,19.96,1964600,0
20011012,19.64,19.99,19.42,19.95,707600,0
20011015,19.64,19.79,19.47,19.70,646100,0
20011016,19.91,19.93,19.32,19.78,1338400,0
20011017,19.60,19.91,18.59,19.01,1580700,0
20011018,18.98,19.16,18.40,18.66,1006900,0
20011019,18.98,19.02,18.37,18.74,1400200,0
20011022,18.46,19.12,18.38,19.10,1743300,0
20011023,18.97,18.97,18.54,18.70,989200,0
