DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,14.2000,14.4500,13.5200,13.7500,1409200,0
20010103,13.6100,14.5000,13.6000,14.4400,2676200,0
20010104,14.0100,15.7400,14.0100,15.5000,5982800,0
20010105,15.7400,16.0200,15.2500,15.5000,40500000,0
20010108,15.5000,15.7400,15.3200,15.6900,1765900,0
20010109,15.6000,15.6900,15.2100,15.2200,1824000,0
20010110,15.0000,15.2500,15.0000,15.2500,10174400,0
20010111,15.2500,15.2500,15.2500,15.2500,0,0
20010112,15.0000,15.4900,14.8900,15.0100,2772200,0
20010115,15.0100,15.0100,15.0100,15.0100,0,0
20010116,14.9500,15.1500,14.7100,15.0000,1769100,0
20010117,15.0000,15.4000,15.0000,15.1400,1440800,0
20010118,15.1200,15.7400,15.1000,15.4100,1978500,0
20010119,15.3000,15.5000,14.9200,15.3300,3640400,0
20010122,15.3300,15.3300,15.3300,15.3300,0,0
20010123,14.8300,15.0000,14.7000,14.9500,1576800,0
20010124,14.8500,14.9500,14.2500,14.8400,1799200,0
20010125,14.8000,14.9000,14.6200,14.6200,931300,0
20010126,14.7000,14.7900,14.5200,14.6900,2555800,0
20010129,15.1563,17.1250,15.0313,16.5000,4212400,0
20010130,16.5000,17.0938,15.0000,16.3750,2153900,0
20010131,14.7900,14.9400,14.5400,14.8600,18944300,0
20010201,15.4000,15.6500,14.8700,15.5700,10457100,0
20010202,15.9500,16.3000,15.8500,16.1500,31400800,0
20010205,16.1500,16.4800,16.0200,16.4800,12425700,0
20010206,16.4800,16.4800,16.4800,16.4800,0,0
20010207,16.4500,16.8400,16.4300,16.7000,2705600,0
20010208,16.6000,16.9000,16.5000,16.7500,1855300,0
20010209,16.7000,16.7000,15.8900,16.2500,1833900,0
20010212,16.2000,16.4500,16.1200,16.3600,1843100,0
20010213,16.3600,16.9500,16.2500,16.9000,3510700,0
20010214,16.8900,17.0400,16.7500,17.0000,8338500,0
20010215,17.2000,17.4500,17.0300,17.2200,4390500,0
20010216,16.9000,17.1000,16.6700,16.9000,3544300,0
20010219,16.9000,16.9000,16.9000,16.9000,0,0
20010220,16.9000,17.5000,16.8500,17.1500,37900000,0
20010221,17.3900,17.3900,16.8600,16.9900,3231800,0
20010222,16.7000,17.0000,16.7000,16.8800,2235300,0
20010223,16.7000,16.9000,16.4200,16.8100,3035700,0
20010226,16.8100,16.9000,16.6000,16.7200,2498700,0
20010227,16.4500,17.0900,16.0000,16.9700,3379800,0
20010228,17.0000,17.2000,16.5100,16.9600,2568700,0
20010301,17.0000,17.2700,16.7600,16.9000,3050300,0
20010302,16.8000,17.0200,16.0400,17.0000,2234100,0
20010305,16.8500,17.0800,16.5300,16.7800,3273900,0
20010306,16.9900,17.3300,16.9800,17.0700,19804200,0
20010307,17.0500,17.4400,17.0300,17.4100,26365000,0
20010308,17.4900,18.2800,17.4900,17.8600,7953500,0
20010309,18.0000,18.8400,17.8800,18.4700,9070500,0
20010312,18.4000,18.5900,18.0200,18.4100,3934400,0
20010313,18.3000,18.3000,17.8000,18.1500,2994600,0
20010314,17.7500,18.2500,17.4000,18.1000,2461000,0
20010315,18.0000,18.5500,17.8000,18.5500,3231600,0
20010316,18.4000,18.5000,17.5100,17.7000,3814500,0
20010319,17.7500,18.3900,17.7500,18.2900,3081900,0
20010320,17.9000,19.0500,17.8600,18.6500,8679800,0
20010321,18.5000,19.0000,18.3200,18.8000,3862200,0
20010322,18.5500,18.6000,17.5500,18.0200,2450200,0
20010323,17.8000,17.9100,17.0000,17.8200,2635100,0
20010326,17.8100,18.1500,17.7800,18.0500,1274000,0
20010327,18.0000,18.1000,17.6500,17.7600,5773800,0
20010328,17.5000,17.7800,17.2600,17.7400,11233500,0
20010329,17.4300,17.7500,17.2900,17.5800,18621500,0
20010330,17.7400,17.7400,17.3200,17.7400,1094100,0
20010402,17.7200,17.9900,17.3500,17.9000,2265700,0
20010403,18.0000,18.0000,17.0000,17.6500,3019900,0
20010404,17.1000,17.6900,17.0000,17.2500,1891800,0
20010405,17.1600,17.7900,17.1500,17.7500,2303100,0
20010406,17.5000,17.5000,17.0000,17.2300,13990900,0
20010409,17.2200,17.6000,17.1600,17.4600,1551900,0
20010410,17.4500,17.9200,17.2700,17.6900,2057500,0
20010411,17.8000,17.8000,16.6500,16.9100,2207200,0
20010412,16.7500,17.0900,16.5100,16.8700,14411100,0
20010416,16.9000,17.1400,15.9600,16.0000,2733200,0
20010417,16.0000,16.3600,15.8400,16.3600,3149800,0
20010418,16.3800,17.4800,16.2600,16.9300,1609700,0
20010419,16.5300,17.4900,15.3900,15.4400,5111400,0
20010420,16.1000,16.1700,15.2000,16.1700,6646600,0
20010423,15.5000,15.9300,15.2500,15.6300,2137900,0
20010424,15.6500,16.0200,15.0000,16.0000,2254600,0
20010425,15.7500,16.4000,15.7500,16.3500,8892900,0
20010426,15.9200,16.4000,15.7200,16.2000,1882800,0
20010427,16.2100,16.4000,16.1500,16.4000,1695000,0
20010430,16.4500,16.5000,15.8700,16.1500,8231300,0
20010501,16.1500,16.3700,16.0300,16.2300,1609000,0
20010502,16.3000,16.5000,16.0000,16.2300,1508000,0
20010503,16.0000,16.4900,15.8500,16.0000,2963300,0
20010504,15.9500,16.0500,15.7500,15.9800,1535200,0
20010507,15.8800,16.0500,15.7800,15.8800,1840700,0
20010508,15.9000,16.8800,15.9000,16.4000,2228600,0
20010509,16.1500,16.1800,15.9000,15.9500,1287300,0
20010510,15.8000,16.1400,15.6500,15.7000,2203500,0
20010511,15.9500,16.0000,15.3900,15.5000,6222600,0
20010514,15.6000,16.3200,15.5200,16.2700,3921900,0
20010515,16.0200,16.2500,15.7200,15.7200,1773700,0
20010516,15.9300,16.0400,15.5000,15.7000,2054900,0
20010517,16.0000,16.6000,16.0000,16.3800,5670400,0
20010518,16.5000,16.6100,16.3900,16.5300,8381300,0
20010521,16.4500,16.5300,16.4000,16.4100,24338000,0
20010522,16.4100,16.9300,16.4000,16.8400,2257100,0
20010523,17.0000,17.4900,16.9200,17.2000,3762500,0
20010524,17.1500,18.1800,17.1200,18.1000,5394500,0
20010525,18.1500,18.4300,17.8600,18.0600,14413400,0
20010528,18.0600,18.0600,18.0600,18.0600,0,0
20010529,17.9000,18.1900,17.5400,17.9500,16927400,0
20010530,17.5300,17.9600,17.5300,17.7900,3424800,0
20010531,17.7900,17.9200,17.5000,17.8000,1254500,0
20010601,17.7500,18.1500,17.7400,17.9100,1071600,0
20010604,18.3500,18.4700,17.7100,18.0900,8273800,0
20010605,18.2400,18.3200,17.7800,18.1900,1434200,0
20010606,18.1000,18.2900,17.8100,18.2100,2038500,0
20010607,18.2100,18.4900,18.2100,18.4900,1137700,0
20010608,18.4100,18.6800,17.9600,18.2800,2223300,0
20010611,18.4000,18.4000,17.9800,18.2700,1617400,0
20010612,18.1000,18.3500,17.7500,18.2900,5101600,0
20010613,18.2900,18.2900,17.7200,17.8600,6149400,0
20010614,17.7700,17.9800,17.6000,17.7100,1630800,0
20010615,17.3700,17.8300,17.3500,17.5900,1669400,0
20010618,17.3100,18.0600,17.3100,17.9600,1801000,0
20010619,17.9300,18.1200,17.8000,17.9800,1998100,0
20010620,17.6000,17.9900,17.4400,17.7800,1664100,0
20010621,17.5500,18.1000,17.5000,17.8800,2178300,0
20010622,17.8200,17.9400,17.6300,17.6300,5441700,0
20010625,17.5000,17.8600,17.4300,17.6400,877400,0
20010626,17.0000,17.7600,17.0000,17.5000,2084800,0
20010627,17.6000,18.7500,17.6000,18.3900,2684500,0
20010628,18.5900,18.7900,18.1700,18.3500,792800,0
20010629,18.5400,18.9700,18.2400,18.9200,2077000,0
20010702,18.8000,18.9700,18.4000,18.7000,932600,0
20010703,18.5300,18.9300,18.4100,18.9300,691900,0
20010704,18.9300,18.9300,18.9300,18.9300,0,0
20010705,18.9000,18.9000,18.5300,18.7100,549800,0
20010706,18.6200,18.6800,17.9200,18.1900,2046600,0
20010709,18.0200,18.3500,17.9000,18.1100,640100,0
20010710,18.3600,18.6800,18.1900,18.2900,22738800,0
20010711,18.2800,18.4900,18.0300,18.1700,1291300,0
20010712,18.0500,18.4200,17.9000,18.3100,2756300,0
20010713,18.3100,18.6300,17.6000,18.6300,2975600,0
20010716,18.4200,19.0400,18.3100,18.6500,6125700,0
20010717,18.5000,19.0700,18.3500,18.9700,1606800,0
20010718,18.6500,18.7900,18.3600,18.7900,1208500,0
20010719,18.8000,19.6000,18.5200,18.7000,4301600,0
20010720,18.6000,18.7800,18.3500,18.4900,15806300,0
20010723,18.3500,18.7400,18.2100,18.3300,2364300,0
20010724,18.2800,18.3400,17.7700,17.9300,7537500,0
20010725,17.9500,18.1900,17.8800,17.8900,7659200,0
20010726,17.9800,18.3800,17.9800,18.2900,23508800,0
20010727,18.3000,18.3900,18.0700,18.1900,1392500,0
20010730,18.1800,18.2100,17.6000,17.9000,1461200,0
20010731,17.8300,18.1400,17.8300,17.9000,1601700,0
20010801,18.0000,18.0300,17.8500,17.9000,1436700,0
20010802,17.9300,17.9900,17.7500,17.7900,1027500,0
