DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.3333,16.0000,15.3333,15.6667,1230,0
20010103,14.6667,14.6667,14.6667,14.6667,0,0
20010104,18.0000,18.0000,18.0000,18.0000,0,0
20010105,18.4667,18.4667,18.0000,18.0000,0,0
20010108,16.6667,17.3333,16.6667,17.3333,375,0
20010109,16.8667,16.8667,16.8667,16.8667,0,0
20010110,16.3333,16.6667,16.3333,16.6667,75,0
20010111,17.0000,18.0000,17.0000,18.0000,1320,0
20010112,18.4000,18.4000,18.4000,18.4000,38,0
20010115,18.0000,18.0000,18.0000,18.0000,0,0
20010116,18.0000,18.0000,18.0000,18.0000,105,0
20010117,18.0000,19.6667,18.0000,19.6667,167,0
20010118,19.3333,20.3333,19.3333,20.3333,638,0
20010119,20.6667,20.6667,20.6667,20.6667,8,0
20010122,19.3333,19.3333,19.0000,19.0000,1560,0
20010123,18.5333,18.6667,18.5333,18.6667,75,0
20010124,18.9333,19.0000,18.6667,19.0000,1956,0
20010125,18.6667,18.6667,18.6667,18.6667,0,0
20010126,18.0000,19.6667,18.0000,19.6667,0,0
20010129,20.0000,20.6667,20.0000,20.6667,450,0
20010130,20.8000,20.8000,20.8000,20.8000,180,0
20010131,21.3333,21.6667,21.3333,21.3333,479,0
20010201,21.0000,21.0000,20.6667,20.6667,180,0
20010202,21.3333,21.3333,21.0000,21.0000,527,0
20010205,20.0000,20.0000,18.3333,18.3333,0,0
20010206,18.6667,18.6667,18.6667,18.6667,0,0
20010207,19.1333,19.1333,19.1333,19.1333,0,0
20010208,19.0000,19.0000,19.0000,19.0000,0,0
20010209,19.6667,19.6667,19.6667,19.6667,0,0
20010212,19.0000,19.6667,19.0000,19.6667,128,0
20010213,19.6667,21.0000,19.6667,21.0000,128,0
20010214,19.0000,21.0000,19.0000,20.0000,413,0
20010215,20.6667,21.3333,20.6667,21.3333,450,0
20010216,22.4000,22.4000,22.4000,22.4000,75,0
20010219,21.6667,21.6667,21.6667,21.6667,8,0
20010220,20.6667,20.6667,20.6667,20.6667,0,0
20010221,20.3333,20.3333,20.3333,20.3333,0,0
20010222,19.6667,20.3333,19.6667,20.3333,255,0
20010223,20.0000,20.0000,20.0000,20.0000,0,0
20010226,20.3333,20.3333,20.0000,20.0000,105,0
20010227,19.3333,19.3333,19.3333,19.3333,330,0
20010228,17.8667,17.8667,16.6667,16.6667,960,0
20010301,16.8667,16.8667,16.8667,16.8667,0,0
20010302,16.3333,17.6667,16.3333,17.6667,81,0
20010305,16.8000,16.8000,16.8000,16.8000,0,0
20010306,18.3333,19.3333,18.3333,19.3333,0,0
20010307,19.0000,19.0000,19.0000,19.0000,0,0
20010308,19.6667,19.6667,19.6667,19.6667,0,0
20010309,19.0000,19.0000,19.0000,19.0000,0,0
20010312,18.3333,18.3333,18.3333,18.3333,113,0
20010313,17.6667,17.6667,17.6667,17.6667,0,0
20010314,18.0000,18.0000,18.0000,18.0000,0,0
20010315,18.2000,18.2000,18.2000,18.2000,0,0
20010316,18.6667,18.6667,18.6667,18.6667,450,0
20010319,18.2667,18.6667,18.2667,18.6667,779,0
20010320,19.0667,19.0667,19.0667,19.0667,113,0
20010321,18.3333,19.3333,18.3333,19.3333,0,0
20010322,19.3333,19.3333,19.3333,19.3333,0,0
20010323,21.3333,22.0000,20.6667,21.6667,2213,0
20010326,20.6667,21.0000,20.6667,21.0000,570,0
20010327,20.6667,20.6667,20.6667,20.6667,213,0
20010328,20.6667,20.6667,20.6667,20.6667,0,0
20010329,19.6667,19.6667,19.6667,19.6667,0,0
20010330,19.4667,19.4667,19.3333,19.3333,60,0
20010402,18.9333,18.9333,18.5333,18.5333,45,0
20010403,17.6667,17.6667,17.6667,17.6667,147,0
20010404,17.0000,17.0000,16.3333,16.3333,600,0
20010405,16.3333,17.6667,16.3333,17.6667,0,0
20010406,18.0000,18.0000,18.0000,18.0000,0,0
20010409,17.2000,17.2000,17.2000,17.2000,0,0
20010410,16.6667,19.0000,16.6667,19.0000,0,0
20010411,19.0000,20.6667,19.0000,20.6667,0,0
20010412,20.3333,20.3333,20.3333,20.3333,390,0
20010416,20.3333,20.3333,20.3333,20.3333,0,0
20010417,20.0000,20.6667,20.0000,20.6667,593,0
20010418,20.6667,22.3333,20.6667,22.3333,338,0
