DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.89,35.91,35.14,35.14,817200,0
20010103,35.09,35.35,34.44,34.50,655700,0
20010104,34.50,34.50,30.90,31.76,1938400,0
20010105,31.40,31.90,30.31,30.50,842800,0
20010108,30.60,31.33,30.50,31.00,0,0
20010109,31.00,31.70,31.00,31.53,529400,0
20010110,31.30,33.08,31.20,32.75,1069500,0
20010111,32.75,32.75,31.24,31.30,1549800,0
20010112,31.54,31.75,31.10,31.43,2974300,0
20010115,31.43,31.43,31.43,31.43,0,0
20010116,31.10,31.59,30.00,31.49,0,0
20010117,31.25,31.75,30.49,30.89,638500,0
20010118,30.70,31.11,28.70,29.43,12797500,0
20010119,29.40,29.45,27.62,27.70,2647000,0
20010122,27.70,27.70,27.70,27.70,0,0
20010123,28.81,32.50,28.65,31.80,3988500,0
20010124,31.70,31.74,30.88,31.30,3115800,0
20010125,31.40,32.08,30.85,31.82,1472000,0
20010126,31.83,32.25,31.15,31.99,6379000,0
20010129,32.69,34.09,32.00,32.84,3601100,0
20010130,32.16,34.97,32.16,33.75,1644900,0
20010131,32.52,32.75,32.35,32.67,0,0
20010201,33.25,33.34,32.73,33.02,0,0
20010202,33.10,33.75,33.10,33.25,13860500,0
20010205,33.71,33.95,33.42,33.51,1518900,0
20010206,33.30,34.20,33.30,33.70,1226100,0
20010207,33.90,33.97,33.49,33.67,637100,0
20010208,34.00,34.25,33.30,34.08,2704000,0
20010209,34.15,34.59,33.97,34.00,50265900,0
20010212,34.00,34.45,33.93,34.00,778300,0
20010213,34.00,34.21,33.59,33.85,1148500,0
20010214,33.85,33.85,33.05,33.30,0,0
20010215,33.20,33.22,32.84,33.00,0,0
20010216,32.75,33.24,32.70,33.04,654000,0
20010219,33.04,33.04,33.04,33.04,0,0
20010220,33.05,33.55,32.21,32.75,974800,0
20010221,33.00,34.00,32.95,33.68,856800,0
20010222,33.69,33.70,32.28,32.53,1367400,0
20010223,32.50,32.51,30.90,31.38,3892600,0
20010226,31.46,32.56,31.46,32.55,1171300,0
20010227,32.50,32.65,30.71,30.71,1503900,0
20010228,30.50,30.51,28.75,29.04,3226100,0
20010301,29.15,29.99,29.00,29.85,944200,0
20010302,30.75,31.35,30.21,30.25,1293200,0
20010305,29.90,30.43,29.19,29.99,630200,0
20010306,29.85,30.19,28.86,29.15,568200,0
