DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.78,13.22,12.78,13.22,0,0
20010103,12.94,14.28,12.94,14.28,227374,0
20010104,14.22,14.47,13.94,14.00,0,0
20010105,14.00,14.03,13.53,13.75,0,0
20010108,13.63,13.66,13.44,13.56,103398,0
20010109,13.59,13.81,13.53,13.56,9942,0
20010110,13.56,13.81,13.53,13.72,13318,0
20010111,13.84,14.00,13.78,13.91,5348,0
20010112,13.88,13.88,13.75,13.88,0,0
20010115,13.88,13.88,13.88,13.88,0,0
20010116,13.81,14.00,13.81,14.00,3526,0
20010117,13.88,14.13,13.88,14.09,0,0
20010118,14.00,14.06,13.69,13.75,11458,0
20010119,13.38,13.56,12.94,13.13,9166,0
20010122,13.13,13.13,13.13,13.13,0,0
20010123,13.84,14.06,13.75,13.81,24732,0
20010124,13.81,13.91,13.78,13.78,0,0
20010125,13.78,13.91,13.75,13.84,0,0
20010126,13.91,13.97,13.75,13.94,0,0
20010129,14.23,14.23,14.00,14.02,0,0
20010130,14.23,15.53,14.17,14.73,0,0
20010131,14.13,14.31,14.00,14.00,0,0
20010201,14.05,14.16,13.91,13.98,0,0
20010202,13.90,13.95,13.61,13.62,0,0
20010205,13.68,13.71,13.60,13.68,811600,0
20010206,13.67,14.07,13.67,13.92,480800,0
20010207,13.75,13.90,13.75,13.77,794000,0
20010208,13.82,13.95,13.76,13.79,0,0
20010209,13.80,14.13,13.78,14.02,2133600,0
20010212,14.04,14.07,13.91,13.97,306800,0
20010213,13.97,14.35,13.97,14.18,591800,0
20010214,14.15,14.20,14.00,14.00,0,0
20010215,14.09,14.10,13.95,14.00,628800,0
20010216,14.00,14.05,13.93,14.00,892600,0
20010219,14.00,14.00,14.00,14.00,0,0
20010220,14.00,14.07,13.95,14.02,128353400,0
20010221,14.03,14.03,13.82,13.91,430800,0
20010222,13.84,14.10,13.82,14.06,8624800,0
20010223,14.00,14.02,13.43,13.53,677600,0
20010226,13.53,13.63,13.43,13.55,358000,0
20010227,13.60,13.81,13.52,13.75,507400,0
20010228,13.75,13.75,13.40,13.48,595400,0
20010301,13.60,13.65,13.30,13.64,1391200,0
20010302,13.64,13.65,13.45,13.49,60716000,0
20010305,13.49,13.49,13.29,13.36,725600,0
20010306,13.35,13.43,13.25,13.38,2295000,0
20010307,13.40,13.40,13.25,13.40,17288800,0
20010308,13.48,13.64,13.48,13.58,220600,0
20010309,13.58,13.58,13.43,13.50,281200,0
20010312,13.52,13.63,13.35,13.40,401400,0
20010313,13.52,13.90,13.50,13.56,420800,0
20010314,13.50,13.55,13.38,13.49,923200,0
20010315,13.45,13.88,13.40,13.55,316400,0
20010316,13.50,13.65,13.49,13.50,909200,0
20010319,13.38,13.50,13.35,13.48,616200,0
20010320,13.50,13.78,13.45,13.52,459600,0
20010321,13.45,13.52,13.31,13.34,2365000,0
20010322,13.28,13.35,13.06,13.22,559600,0
20010323,13.10,13.35,13.06,13.32,526800,0
20010326,13.45,13.52,13.43,13.48,412400,0
20010327,13.55,13.63,13.45,13.60,4403800,0
20010328,13.57,13.61,13.51,13.53,2241000,0
20010329,13.41,13.59,13.35,13.50,4671800,0
20010330,13.50,13.82,13.48,13.75,8391400,0
20010402,14.02,14.07,13.49,13.61,505800,0
20010403,13.50,13.60,13.25,13.26,1840400,0
20010404,13.18,13.32,13.18,13.25,553600,0
20010405,13.20,13.48,13.14,13.48,6527600,0
20010406,13.60,13.60,13.35,13.47,613200,0
20010409,13.70,14.10,13.69,14.09,550800,0
20010410,14.02,14.55,13.99,14.52,2476000,0
20010411,15.00,15.05,14.20,14.30,2936200,0
20010412,14.15,14.45,14.15,14.27,460600,0
20010416,14.45,14.57,14.38,14.52,842800,0
20010417,14.50,14.91,14.45,14.91,663000,0
20010418,15.00,15.50,14.98,15.31,1319800,0
20010419,15.32,16.30,15.30,15.65,1105800,0
20010420,15.40,15.57,15.40,15.46,1235800,0
20010423,15.43,15.48,15.10,15.17,10475800,0
20010424,15.25,15.47,15.07,15.18,2335400,0
20010425,15.18,15.57,15.16,15.57,4307800,0
20010426,15.50,15.55,15.20,15.20,411600,0
20010427,15.30,15.80,15.27,15.69,352200,0
20010430,15.70,15.75,15.63,15.68,441000,0
20010501,15.69,15.74,15.57,15.73,418600,0
20010502,15.73,15.75,15.57,15.70,285600,0
20010503,15.65,15.73,15.38,15.58,300000,0
20010504,15.67,15.67,15.43,15.50,1030200,0
20010507,15.50,15.62,15.10,15.57,425000,0
20010508,15.50,15.57,15.20,15.48,357400,0
20010509,15.43,15.61,15.38,15.60,524600,0
20010510,15.70,15.70,15.43,15.52,388800,0
20010511,15.50,15.55,15.44,15.50,551000,0
20010514,15.50,15.50,15.38,15.46,281000,0
20010515,15.50,16.22,15.50,15.89,4545400,0
20010516,15.86,16.05,15.86,15.97,6868600,0
20010517,16.00,16.25,16.00,16.16,358400,0
20010518,16.45,16.50,16.33,16.33,6276800,0
20010521,16.35,16.59,16.35,16.53,409600,0
20010522,16.50,16.53,16.33,16.33,378600,0
20010523,16.33,16.50,16.22,16.40,301800,0
20010524,16.33,16.40,16.27,16.32,253600,0
20010525,16.34,16.50,16.20,16.24,154000,0
20010528,16.24,16.24,16.24,16.24,0,0
20010529,16.28,16.42,16.25,16.38,2361400,0
20010530,16.38,16.38,15.75,16.00,2310000,0
20010531,16.00,16.23,15.95,16.02,4283400,0
20010601,16.00,16.33,16.00,16.15,195800,0
20010604,16.15,16.57,16.15,16.25,388000,0
20010605,16.25,16.88,16.25,16.70,354200,0
20010606,16.73,16.98,16.65,16.80,402000,0
20010607,16.66,17.13,16.66,16.87,459600,0
20010608,16.88,16.92,16.58,16.69,254800,0
20010611,16.74,17.11,16.55,16.56,427000,0
20010612,16.63,16.63,16.00,16.19,14679800,0
20010613,16.30,16.42,16.20,16.38,471800,0
20010614,16.38,16.50,16.00,16.14,4382400,0
20010615,16.14,16.45,16.14,16.33,964200,0
20010618,16.35,16.58,16.26,16.34,4763800,0
20010619,16.55,17.25,16.46,17.25,790600,0
20010620,17.06,17.40,16.91,17.11,1017200,0
20010621,17.14,17.30,17.08,17.13,817000,0
20010622,17.13,17.38,17.05,17.15,4544200,0
20010625,17.15,17.17,17.08,17.13,592800,0
20010626,17.08,17.15,16.84,16.95,2453800,0
20010627,16.98,17.15,16.85,17.05,938600,0
20010628,17.07,17.27,17.00,17.10,551600,0
20010629,17.00,17.20,16.20,16.75,3091800,0
20010702,16.92,17.02,16.90,16.98,829000,0
20010703,17.00,17.10,16.90,16.98,333600,0
20010704,16.98,16.98,16.98,16.98,0,0
20010705,16.99,16.99,16.59,16.84,4474800,0
20010706,16.72,16.92,16.48,16.49,10382600,0
20010709,16.61,16.75,16.34,16.57,721200,0
20010710,16.58,16.76,16.31,16.38,2280200,0
20010711,16.38,16.48,16.09,16.28,412000,0
20010712,16.03,16.49,16.03,16.33,1187600,0
