DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.44,27.94,26.69,27.19,0,0
20010103,27.25,29.63,27.25,28.50,3587,0
20010104,28.44,30.00,28.44,29.56,2323,0
20010105,29.56,30.38,29.50,29.56,2818,0
20010108,29.50,30.81,29.50,30.75,53063,0
20010109,30.00,30.50,29.94,30.50,0,0
20010110,30.50,30.50,29.75,30.00,2034,0
20010111,30.00,30.38,29.94,30.00,1033,0
20010112,29.63,31.00,29.63,30.88,0,0
20010115,30.88,30.88,30.88,30.88,0,0
20010116,30.88,31.88,30.88,31.56,4110,0
20010117,31.44,31.88,30.94,31.00,0,0
20010118,31.25,31.25,29.81,31.00,2848,0
20010119,31.00,31.00,29.94,30.00,2489,0
20010122,30.00,30.00,30.00,30.00,0,0
20010123,30.00,31.50,30.00,31.13,1358,0
20010124,31.00,31.00,30.13,30.19,0,0
20010125,30.13,31.06,30.13,30.88,0,0
20010126,30.69,30.69,29.75,30.19,0,0
20010129,31.78,33.00,31.00,32.66,0,0
20010130,32.66,32.66,30.63,32.09,0,0
20010131,30.67,31.99,30.67,31.50,284900,0
20010201,31.65,32.60,31.65,32.20,0,0
20010202,32.15,32.29,31.94,31.94,0,0
20010205,31.95,32.29,31.82,31.89,69100,0
20010206,31.85,32.00,31.70,31.97,0,0
20010207,31.90,31.91,31.47,31.47,248100,0
20010208,31.48,31.48,30.22,30.75,298000,0
20010209,27.20,29.61,27.05,29.41,1162200,0
20010212,28.80,29.70,28.80,29.65,551900,0
20010213,29.65,29.89,29.45,29.84,125200,0
20010214,29.84,30.59,29.81,30.01,0,0
20010215,30.60,30.70,30.52,30.69,374400,0
20010216,30.68,30.80,30.68,30.77,248500,0
20010219,30.77,30.77,30.77,30.77,0,0
20010220,30.78,31.65,30.78,31.51,1199700,0
20010221,31.71,32.10,31.20,31.98,20385900,0
20010222,32.00,32.10,31.40,31.47,302200,0
20010223,31.45,31.46,30.26,30.90,144000,0
20010226,30.88,31.33,30.88,31.05,101100,0
20010227,31.06,31.19,30.50,30.60,150600,0
20010228,30.45,30.45,29.75,29.95,328200,0
20010301,29.95,29.99,29.30,29.74,209300,0
20010302,29.74,30.55,29.65,30.21,2141900,0
20010305,30.27,31.20,30.27,30.99,208900,0
20010306,31.00,31.04,28.80,30.20,224000,0
20010307,30.05,30.65,30.05,30.56,222900,0
20010308,30.45,31.02,30.45,30.92,179100,0
20010309,30.98,31.04,30.71,30.93,79700,0
20010312,30.90,31.00,30.82,30.83,87000,0
20010313,30.75,30.75,29.75,30.02,5240000,0
20010314,29.77,29.87,29.02,29.02,115500,0
20010315,29.01,30.00,28.98,29.59,1105800,0
20010316,29.50,29.60,28.78,28.90,249500,0
20010319,28.85,28.98,27.34,28.96,349300,0
20010320,28.96,29.45,28.12,29.19,2196800,0
20010321,29.19,29.19,27.45,27.45,520900,0
20010322,27.45,27.80,25.50,27.66,356800,0
20010323,27.61,28.00,27.35,27.39,101700,0
20010326,27.39,28.80,27.39,28.77,75700,0
20010327,28.85,28.85,27.79,28.85,91000,0
20010328,28.60,28.60,27.68,28.10,162600,0
20010329,28.15,28.87,28.13,28.51,113800,0
20010330,28.71,28.96,28.00,28.12,2306700,0
20010402,28.45,29.36,28.21,28.51,210700,0
20010403,28.55,28.96,28.05,28.06,184500,0
20010404,28.00,28.60,27.95,28.59,30300,0
20010405,28.70,29.75,28.70,29.72,1066100,0
20010406,29.73,29.82,29.26,29.27,1086500,0
20010409,29.35,30.33,29.30,30.07,165500,0
20010410,30.06,30.29,30.03,30.11,75300,0
20010411,30.11,30.18,27.91,28.14,220600,0
20010412,28.39,29.86,28.08,29.86,169100,0
20010416,29.80,29.80,28.54,28.89,111600,0
20010417,28.50,29.88,28.50,29.40,264000,0
20010418,29.40,30.25,29.11,30.24,193700,0
20010419,30.24,30.75,30.02,30.50,173200,0
20010420,30.49,31.07,30.18,31.00,237100,0
20010423,31.05,31.19,31.01,31.06,1121400,0
20010424,31.00,31.86,30.95,31.50,276500,0
20010425,31.50,32.45,31.50,32.29,4204700,0
20010426,32.21,33.35,32.21,33.20,580400,0
20010427,33.60,33.70,33.26,33.57,353500,0
20010430,33.50,33.75,32.65,32.68,282300,0
20010501,32.66,32.66,32.12,32.59,369700,0
20010502,33.40,33.40,32.22,32.26,201800,0
20010503,32.25,32.25,31.45,31.62,231500,0
20010504,31.42,31.89,31.39,31.89,1182700,0
20010507,31.89,31.89,31.57,31.57,117800,0
20010508,31.57,31.59,30.91,30.92,137900,0
20010509,30.92,30.92,30.00,30.11,480400,0
20010510,30.20,30.66,30.15,30.62,6366500,0
20010511,30.62,31.13,29.92,30.00,661900,0
20010514,30.00,30.05,29.80,29.93,138700,0
20010515,29.94,30.03,29.90,30.00,642300,0
20010516,30.00,30.00,29.66,30.00,26353900,0
20010517,30.00,31.25,29.99,31.25,392600,0
20010518,30.91,31.00,30.60,30.60,5106100,0
20010521,30.60,30.60,30.12,30.52,184400,0
20010522,30.53,30.75,30.31,30.39,168100,0
20010523,30.67,30.67,30.00,30.05,252500,0
20010524,30.05,30.95,30.00,30.80,159200,0
20010525,30.86,31.11,30.81,30.96,125200,0
20010528,30.96,30.96,30.96,30.96,0,0
20010529,30.66,31.65,30.66,31.61,108800,0
20010530,31.41,31.55,31.20,31.20,134700,0
20010531,31.30,32.10,31.30,32.05,177500,0
20010601,32.04,32.50,31.68,32.06,168100,0
20010604,32.06,32.06,31.81,31.90,45900,0
20010605,31.90,32.25,31.87,32.23,60300,0
20010606,32.30,32.85,32.30,32.70,149700,0
20010607,32.90,33.35,32.68,32.68,128900,0
20010608,32.69,32.95,32.60,32.78,44100,0
20010611,32.80,33.17,32.65,33.15,103700,0
20010612,33.10,33.54,33.10,33.36,156600,0
20010613,33.38,35.06,33.38,33.98,594700,0
20010614,33.97,34.45,33.30,33.66,175000,0
20010615,33.50,33.67,33.34,33.40,3236100,0
20010618,33.41,33.41,32.85,32.87,5132300,0
20010619,32.90,33.20,32.75,32.87,160900,0
20010620,32.87,33.10,32.75,33.10,1141200,0
20010621,33.10,35.13,33.10,35.09,1171800,0
20010622,35.05,35.08,34.17,34.53,226300,0
20010625,34.30,34.95,34.25,34.26,1191900,0
20010626,34.20,34.93,33.85,34.80,165800,0
20010627,34.80,35.20,34.30,35.00,376200,0
20010628,35.00,35.50,35.00,35.50,133600,0
20010629,35.48,35.80,35.14,35.20,698000,0
20010702,35.21,35.30,35.07,35.10,154300,0
20010703,35.35,35.35,34.64,35.00,166900,0
20010704,35.00,35.00,35.00,35.00,0,0
20010705,34.90,35.25,34.58,34.84,116400,0
20010706,34.80,34.81,34.05,34.13,83600,0
20010709,34.03,34.50,33.72,33.74,118300,0
20010710,33.84,34.50,33.84,34.01,418300,0
20010711,34.01,34.01,33.85,34.00,1125100,0
20010712,34.05,35.00,34.00,34.98,5293900,0
20010713,35.00,35.50,34.90,35.50,1288200,0
20010716,35.50,35.85,35.01,35.83,464300,0
20010717,39.00,42.00,38.81,40.77,2364000,0
20010718,40.82,42.00,40.50,41.14,417000,0
20010719,41.20,42.50,41.20,42.45,475200,0
20010720,42.30,42.40,41.72,41.80,192700,0
20010723,42.05,42.94,41.80,42.14,2213900,0
20010724,42.25,42.75,41.92,41.95,241700,0
20010725,42.00,42.15,41.47,41.84,168900,0
20010726,41.84,43.00,41.84,42.93,253100,0
20010727,42.90,43.78,42.81,43.78,135500,0
20010730,43.97,44.75,43.71,44.58,282500,0
20010731,44.94,45.43,43.95,43.99,223300,0
20010801,44.00,44.47,43.80,43.87,159000,0
20010802,44.10,44.20,42.50,42.85,161300,0
20010803,43.00,43.20,42.65,43.18,174300,0
20010806,43.15,43.81,43.13,43.64,2230600,0
20010807,43.70,43.98,43.28,43.91,175700,0
20010808,43.92,44.80,43.92,44.20,1127200,0
20010809,44.20,44.20,42.23,43.21,4339600,0
20010810,43.26,43.55,42.75,43.21,4173400,0
20010813,43.51,44.31,43.45,44.05,288900,0
20010814,44.05,44.15,43.92,44.00,160200,0
20010815,44.05,44.25,43.12,43.23,215300,0
20010816,43.63,44.15,43.35,44.00,214500,0
20010817,44.01,44.10,43.00,43.10,3090100,0
20010820,43.50,43.50,42.95,43.10,130000,0
20010821,43.10,43.10,41.65,41.68,1315800,0
20010822,41.68,42.00,41.29,41.59,159400,0
20010823,41.60,41.68,40.75,41.55,156300,0
20010824,41.66,42.43,41.51,42.41,66300,0
20010827,42.41,43.25,42.41,43.03,156800,0
20010828,42.93,42.93,42.13,42.60,1127200,0
20010829,42.59,43.85,42.57,43.48,228200,0
20010830,43.45,43.45,42.82,42.95,118500,0
20010831,42.96,44.70,42.96,44.60,184100,0
20010903,44.60,44.60,44.60,44.60,0,0
20010904,44.57,47.13,44.57,46.22,270600,0
20010905,46.10,46.10,42.61,42.90,3316500,0
20010906,42.91,43.75,41.18,42.95,347600,0
20010907,42.70,42.90,41.70,41.70,231500,0
20010910,41.05,41.40,40.22,40.47,356400,0
20010911,40.47,40.47,40.47,40.47,0,0
20010917,38.95,38.95,35.90,35.96,256800,0
20010918,36.16,36.17,35.25,35.59,810300,0
20010919,35.55,35.89,32.25,33.16,589900,0
20010920,33.06,33.80,31.90,32.55,352000,0
20010921,30.00,31.65,29.85,29.90,507400,0
20010924,30.50,32.30,30.50,32.05,441600,0
20010925,32.21,35.70,32.21,35.27,546000,0
20010926,35.47,36.74,35.14,35.14,569500,0
20010927,34.70,36.20,34.24,35.80,298700,0
20010928,35.81,37.10,35.30,36.75,330200,0
20011001,36.65,36.70,35.90,36.32,221100,0
20011002,36.43,38.40,36.43,37.83,218500,0
20011003,37.50,39.83,37.30,39.51,2203000,0
20011004,39.57,41.15,39.55,39.61,277600,0
20011005,39.65,39.74,37.86,38.59,313100,0
20011008,38.59,38.59,37.19,38.05,266400,0
20011009,38.06,38.65,37.28,38.17,162000,0
20011010,38.21,41.05,38.11,41.05,267600,0
20011011,41.05,42.50,41.00,41.49,222600,0
20011012,41.41,42.10,41.05,41.59,187100,0
20011015,41.59,42.09,40.39,40.39,153000,0
20011016,44.20,44.20,41.88,42.08,958000,0
20011017,42.14,43.70,42.14,42.82,1315000,0
20011018,42.94,43.35,42.37,43.07,454700,0
20011019,43.07,44.04,43.07,44.04,350100,0
20011022,45.20,45.89,44.70,45.75,235600,0
20011023,45.95,46.25,45.00,45.23,265700,0
20011024,45.20,45.25,44.05,44.73,215000,0
20011025,44.74,45.05,44.04,44.93,379600,0
20011026,44.85,45.20,44.54,45.01,549900,0
20011029,45.21,45.60,44.70,45.56,285600,0
20011030,45.36,45.36,43.82,43.94,247500,0
20011031,43.94,43.94,42.14,43.20,534800,0
20011101,43.21,44.67,42.65,44.09,183400,0
20011102,44.10,45.39,44.10,44.99,1156200,0
20011105,45.03,47.64,45.03,47.41,490900,0
20011106,47.40,47.85,46.85,47.64,360600,0
20011107,47.54,47.84,47.32,47.80,341600,0
20011108,47.80,48.50,47.75,47.75,296100,0
20011109,47.60,48.50,47.10,47.46,173100,0
20011112,48.15,49.89,47.79,49.01,339200,0
20011113,49.85,51.20,49.75,51.15,638900,0
20011114,51.90,52.75,51.60,51.90,530800,0
20011115,51.27,51.80,51.06,51.25,354500,0
20011116,51.40,51.58,50.52,51.02,174800,0
20011119,51.02,51.99,50.60,51.38,156400,0
20011120,48.25,48.75,44.52,47.28,3696600,0
20011121,47.28,47.28,45.02,46.70,3806500,0
20011122,46.70,46.70,46.70,46.70,0,0
20011123,46.95,47.75,46.95,47.65,290900,0
20011126,47.80,48.18,45.77,46.22,358800,0
20011127,45.55,45.90,44.01,44.77,594000,0
20011128,44.70,44.74,43.80,44.04,518000,0
20011129,44.20,46.49,43.84,46.45,768900,0
20011130,46.45,46.70,45.50,45.86,32079600,0
20011203,45.78,45.78,44.95,44.99,290300,0
20011204,45.40,45.72,45.05,45.36,215300,0
20011205,45.66,48.00,45.48,47.80,450100,0
20011206,47.60,50.27,46.78,49.88,545300,0
20011207,49.55,50.75,49.10,50.27,495700,0
20011210,53.25,54.00,52.25,53.40,2799500,0
20011211,53.41,54.32,51.70,51.96,1045700,0
20011212,51.96,52.86,51.30,52.63,3424300,0
20011213,52.63,52.63,51.84,51.84,1237800,0
20011214,52.04,52.34,50.86,51.48,255100,0
20011217,51.55,53.04,51.55,52.52,392300,0
20011218,53.15,53.98,52.50,52.91,516700,0
20011219,52.91,53.49,52.66,52.93,210100,0
20011220,53.00,53.48,52.38,53.01,385200,0
20011221,53.10,53.40,52.54,53.17,466700,0
20011224,53.47,54.80,53.47,54.00,250700,0
20011226,54.20,55.30,54.10,54.70,247000,0
20011227,54.70,55.55,54.58,54.99,467500,0
20011228,55.25,55.36,54.50,55.01,594600,0
20011231,55.05,55.49,54.69,54.91,1385600,0
20020102,55.39,55.39,54.00,54.69,395100,0
20020103,54.69,55.90,54.69,55.27,370200,0
20020104,55.87,56.20,55.50,56.02,2228400,0
20020107,56.43,56.48,55.60,55.60,200800,0
20020108,55.61,55.61,54.92,55.42,443900,0
20020109,55.77,56.35,55.40,55.90,298500,0
20020110,56.07,56.09,54.93,55.11,309400,0
20020111,55.15,55.15,53.44,54.26,446200,0
20020114,54.19,54.19,53.02,53.02,308200,0
20020115,52.78,53.35,52.76,53.07,339300,0
20020116,53.07,53.35,52.70,52.77,138100,0
