DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,18.19,18.72,18.19,18.44,2744,0
20010103,18.38,18.47,17.84,17.84,2212,0
20010104,17.78,17.78,17.03,17.13,0,0
20010105,17.00,17.50,17.00,17.28,0,0
20010108,17.19,18.00,17.16,18.00,1662,0
20010109,17.97,18.00,17.75,18.00,3582,0
20010110,18.00,18.50,17.94,18.28,0,0
20010111,18.34,18.34,17.50,17.97,2598,0
20010112,17.84,18.13,17.63,17.81,0,0
20010115,17.81,17.81,17.81,17.81,0,0
20010116,17.84,18.59,17.84,18.59,3322,0
20010117,18.50,18.69,18.44,18.63,0,0
20010118,18.63,18.63,17.75,18.03,7788,0
20010119,18.00,18.00,17.44,17.75,2886,0
20010122,17.75,17.75,17.75,17.75,0,0
20010123,17.25,17.84,17.19,17.84,0,0
20010124,17.78,17.78,17.69,17.72,1916,0
20010125,17.78,18.13,17.78,18.03,0,0
20010126,18.03,18.44,18.03,18.41,0,0
20010129,18.64,19.33,18.55,19.02,0,0
20010130,19.02,19.02,18.16,18.59,0,0
20010131,18.25,18.25,18.03,18.17,0,0
20010201,18.23,18.30,18.08,18.30,0,0
20010202,18.30,18.48,18.30,18.44,0,0
20010205,18.47,18.50,18.37,18.49,0,0
20010206,18.49,18.82,18.46,18.72,0,0
20010207,18.72,18.83,18.60,18.67,111600,0
20010208,18.70,18.92,18.50,18.66,304000,0
20010209,18.66,19.08,18.59,18.97,625800,0
20010212,19.08,20.10,19.05,19.95,716200,0
20010213,19.94,19.94,19.40,19.63,304000,0
20010214,19.64,19.64,19.33,19.45,0,0
20010215,19.38,19.50,19.27,19.32,230800,0
20010216,19.33,19.65,19.33,19.62,189200,0
20010219,19.62,19.62,19.62,19.62,0,0
20010220,19.60,20.05,19.50,19.71,672800,0
20010221,19.83,19.92,19.83,19.83,374800,0
20010222,19.75,19.75,19.45,19.56,258600,0
20010223,19.56,19.74,19.50,19.60,157800,0
20010226,19.63,19.84,19.51,19.68,193600,0
20010227,19.66,19.70,19.55,19.60,149800,0
20010228,19.56,19.67,19.25,19.63,379600,0
20010301,19.63,19.77,19.48,19.70,189800,0
20010302,19.70,20.10,19.70,20.00,4228000,0
20010305,19.92,20.00,19.83,19.90,410600,0
20010306,19.88,19.88,19.27,19.67,361400,0
20010307,19.70,19.95,19.65,19.90,102600,0
20010308,19.88,20.67,19.88,20.55,592800,0
20010309,20.56,20.79,20.39,20.68,155600,0
20010312,20.73,20.75,20.17,20.17,258800,0
20010313,20.17,20.20,20.00,20.20,2202600,0
20010314,20.19,20.30,20.00,20.03,268200,0
20010315,20.05,20.05,19.91,19.99,192400,0
20010316,19.93,20.00,19.90,20.00,279000,0
20010319,20.00,20.57,20.00,20.30,866600,0
20010320,20.25,20.25,19.96,20.17,439600,0
20010321,20.20,20.25,19.94,20.01,538800,0
20010322,20.00,20.00,19.37,19.92,498400,0
20010323,19.92,19.92,19.76,19.83,496400,0
20010326,19.76,20.15,19.76,20.10,428800,0
20010327,20.30,20.77,20.25,20.67,22476600,0
20010328,20.67,20.67,20.38,20.53,254000,0
20010329,20.48,20.75,20.33,20.72,4189000,0
20010330,21.00,21.10,20.95,21.00,20412800,0
20010402,20.87,21.13,20.87,21.01,356600,0
20010403,20.83,20.92,20.73,20.83,271200,0
20010404,20.88,21.10,20.84,21.03,283800,0
20010405,21.18,21.25,21.07,21.24,320800,0
20010406,21.18,21.30,20.95,21.07,171400,0
20010409,21.30,21.47,21.00,21.00,2309400,0
20010410,21.13,21.25,21.00,21.18,237600,0
20010411,21.08,21.08,20.48,21.05,192600,0
20010412,20.95,20.98,20.67,20.85,196200,0
20010416,20.80,20.99,20.60,20.98,202400,0
20010417,20.99,21.05,20.52,20.70,483200,0
20010418,20.73,21.00,20.35,20.39,358800,0
20010419,20.39,20.93,20.03,20.84,334000,0
20010420,20.84,20.84,20.25,20.60,184400,0
20010423,20.60,20.60,20.25,20.32,186800,0
20010424,20.10,20.44,20.00,20.19,453000,0
20010425,20.25,20.45,20.13,20.28,236400,0
20010426,20.33,20.82,20.30,20.44,240200,0
20010427,20.48,20.70,20.40,20.52,174800,0
20010430,20.40,20.41,19.65,19.65,450200,0
20010501,19.65,19.65,18.92,18.98,1046800,0
20010502,18.98,19.10,18.27,18.76,914400,0
20010503,18.67,19.17,18.35,19.01,614400,0
20010504,18.92,19.10,18.65,19.03,299200,0
20010507,19.03,19.24,18.96,19.11,319200,0
20010508,19.10,19.50,18.92,19.50,6204200,0
20010509,19.42,19.48,19.33,19.43,4216200,0
20010510,19.43,19.43,19.19,19.25,363600,0
20010511,19.25,19.29,19.00,19.06,171200,0
20010514,19.07,19.16,18.90,18.93,198000,0
20010515,19.00,19.02,18.89,18.97,4130200,0
20010516,18.97,19.59,18.97,19.56,328600,0
20010517,19.60,19.75,19.33,19.75,304200,0
20010518,19.67,19.83,19.48,19.65,240800,0
20010521,19.60,20.10,19.58,20.06,196600,0
20010522,20.00,20.42,19.89,20.13,295800,0
20010523,20.13,20.45,20.13,20.42,239800,0
20010524,20.35,20.52,20.13,20.32,873600,0
20010525,20.38,20.42,20.29,20.40,98400,0
20010528,20.40,20.40,20.40,20.40,0,0
20010529,20.39,20.40,20.15,20.26,148200,0
20010530,20.33,20.55,20.08,20.16,479400,0
20010531,20.25,20.50,20.14,20.24,146200,0
20010601,20.18,20.25,20.05,20.25,12248000,0
20010604,20.27,20.63,20.27,20.60,177800,0
20010605,20.60,20.65,20.42,20.60,2161400,0
20010606,20.60,20.60,20.42,20.48,193800,0
20010607,20.45,20.63,20.45,20.63,167800,0
20010608,20.52,20.72,20.45,20.50,209200,0
20010611,20.55,20.62,20.50,20.53,288600,0
20010612,20.50,20.77,20.42,20.75,315800,0
20010613,20.75,20.88,20.56,20.57,6253800,0
20010614,20.52,20.65,20.42,20.52,273400,0
20010615,20.42,20.61,20.42,20.48,151600,0
20010618,20.73,20.73,20.10,20.50,150400,0
20010619,20.49,20.49,19.50,19.64,263400,0
20010620,20.00,20.51,20.00,20.48,376200,0
20010621,20.53,21.13,20.51,21.08,20449600,0
