DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,42.30,42.34,40.40,40.80,99500,0
20010103,40.70,43.34,40.70,43.22,89800,0
20010104,43.22,43.58,42.85,43.29,0,0
20010105,44.75,44.75,42.90,43.30,0,0
20010108,43.05,44.46,42.25,42.47,161500,0
20010109,42.50,42.70,42.30,42.38,0,0
20010110,38.50,40.90,38.50,40.75,584900,0
20010111,40.60,40.90,40.00,40.51,200300,0
20010112,40.51,40.85,39.99,40.75,0,0
20010115,40.75,40.75,40.75,40.75,0,0
20010116,40.50,42.14,40.50,41.42,122400,0
20010117,41.17,41.85,41.00,41.41,0,0
20010118,41.66,41.85,40.45,40.46,0,0
20010119,40.71,40.87,39.30,39.45,152900,0
20010122,39.45,39.45,39.45,39.45,0,0
20010123,38.80,39.00,38.45,39.00,134000,0
20010124,39.00,40.32,39.00,40.00,56400,0
20010125,40.02,41.60,40.02,41.05,0,0
20010126,41.06,41.30,40.83,41.02,0,0
20010129,41.94,42.88,41.34,41.47,0,0
20010130,41.00,43.66,41.00,42.00,0,0
20010131,42.01,42.80,42.01,42.37,0,0
20010201,42.40,42.55,42.01,42.15,0,0
20010202,42.05,42.35,42.01,42.05,0,0
20010205,42.27,43.30,42.27,43.03,73100,0
20010206,43.60,43.80,43.20,43.61,0,0
20010207,43.71,43.95,43.50,43.74,0,0
20010208,43.74,43.77,43.20,43.39,130100,0
20010209,43.39,43.95,43.20,43.45,73000,0
20010212,43.50,43.95,43.37,43.88,4001800,0
20010213,44.00,45.10,43.90,44.55,182300,0
20010214,44.80,45.00,43.00,44.20,0,0
20010215,45.00,45.00,44.30,44.95,86700,0
20010216,44.95,45.30,44.80,45.20,0,0
20010219,45.20,45.20,45.20,45.20,0,0
20010220,45.50,45.98,45.49,45.75,79600,0
20010221,45.60,45.70,44.70,44.87,61600,0
20010222,45.07,45.46,44.15,44.70,115100,0
20010223,44.55,44.89,44.07,44.81,66000,0
20010226,44.81,47.40,44.81,47.00,388400,0
20010227,46.61,46.90,46.49,46.62,123500,0
20010228,46.87,46.98,45.44,45.95,2116100,0
20010301,45.90,46.00,45.18,45.60,95200,0
20010302,45.75,46.92,45.75,46.90,143500,0
20010305,47.00,47.00,46.56,46.90,138700,0
20010306,46.91,47.45,46.78,47.32,3123000,0
20010307,47.25,47.26,46.45,46.99,163700,0
20010308,47.00,47.30,46.71,47.10,111800,0
20010309,47.10,47.30,46.69,46.70,57900,0
20010312,46.45,47.00,46.00,46.60,112800,0
20010313,46.60,46.61,45.45,45.89,106400,0
20010314,45.00,45.40,44.50,44.65,120800,0
20010315,44.50,45.00,44.24,45.00,61700,0
20010316,44.75,44.76,43.30,43.37,130300,0
20010319,43.53,44.70,43.52,44.66,124900,0
20010320,44.65,45.50,44.25,45.00,180400,0
20010321,44.75,44.75,43.28,43.52,113500,0
20010322,43.50,43.80,41.00,41.63,175300,0
20010323,41.70,42.15,41.37,41.88,211100,0
20010326,42.19,43.00,42.19,42.90,77700,0
20010327,42.65,42.65,41.80,42.00,132000,0
20010328,42.00,42.15,41.54,41.88,104700,0
20010329,41.88,42.45,41.40,41.65,102200,0
20010330,41.90,43.40,41.70,42.70,134300,0
20010402,43.04,43.67,42.35,42.35,1102600,0
20010403,41.80,42.05,41.50,41.58,158400,0
20010404,41.40,42.76,41.40,42.66,53200,0
20010405,42.66,43.63,42.50,42.95,117300,0
20010406,42.95,42.95,41.95,42.02,63900,0
20010409,42.27,43.65,42.21,43.10,69700,0
20010410,43.10,45.73,43.10,45.35,392000,0
20010411,45.35,45.50,43.80,43.95,246900,0
20010412,43.75,44.24,43.30,43.71,62600,0
20010416,43.71,43.71,43.04,43.45,5099700,0
20010417,43.30,44.00,42.30,43.25,486500,0
20010418,43.10,44.43,42.75,44.30,194400,0
20010419,44.30,44.90,44.01,44.40,67600,0
20010420,44.15,44.20,43.53,43.94,60300,0
20010423,43.44,43.45,43.00,43.36,45700,0
20010424,43.36,44.35,43.30,44.27,175500,0
20010425,44.10,45.75,44.00,44.84,135600,0
20010426,44.50,46.88,44.50,46.35,2160400,0
20010427,46.25,46.76,45.50,46.10,129900,0
20010430,45.85,46.30,45.85,45.97,2215200,0
20010501,45.97,46.05,45.35,45.35,76200,0
20010502,45.35,46.10,45.35,45.96,237700,0
20010503,45.75,46.35,45.25,46.19,267500,0
20010504,45.94,46.60,45.90,46.40,6200900,0
20010507,48.25,49.68,47.76,47.81,452400,0
20010508,48.00,48.14,47.80,48.00,619500,0
20010509,47.90,48.25,47.88,48.01,5144300,0
20010510,48.10,49.91,48.10,49.21,560800,0
