DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,58.38,58.41,54.88,56.72,25928,0
20010103,55.63,59.00,55.03,58.50,42994,0
20010104,58.63,59.03,56.06,56.13,29366,0
20010105,56.06,56.47,53.03,53.50,28794,0
20010108,53.50,54.00,52.53,53.28,17240,0
20010109,52.75,53.50,51.56,52.84,21052,0
20010110,52.00,53.38,51.97,52.25,22058,0
20010111,52.47,53.25,50.09,51.28,27866,0
20010112,50.56,51.81,49.84,50.13,512042,0
20010115,50.13,50.13,50.13,50.13,0,0
20010116,50.13,52.69,50.13,51.28,39576,0
20010117,51.50,51.88,50.78,50.97,89856,0
20010118,51.00,51.16,50.31,50.38,30642,0
20010119,50.75,50.81,48.50,49.66,41524,0
20010122,49.66,49.66,49.66,49.66,0,0
20010123,49.69,52.41,49.50,52.06,79564,0
20010124,52.19,54.47,51.59,54.00,40886,0
20010125,54.06,54.38,53.28,54.09,100208,0
20010126,54.00,54.00,52.81,53.16,11504,0
20010129,53.63,54.09,53.16,53.70,2041400,0
20010130,53.70,55.55,53.00,55.42,2179600,0
20010131,54.22,54.65,53.76,54.08,2093800,0
20010201,53.95,54.99,53.81,54.97,1225800,0
20010202,55.38,55.83,54.66,54.94,1246600,0
20010205,55.05,56.00,55.00,55.83,0,0
20010206,55.83,56.17,55.26,55.51,1414400,0
20010207,55.52,65.04,55.52,56.17,1729400,0
20010208,56.45,56.45,55.38,56.28,1539200,0
20010209,56.28,58.80,56.00,57.56,3115600,0
20010212,57.97,58.40,57.09,57.50,1520600,0
20010213,57.50,57.55,56.75,57.04,1116600,0
20010214,57.04,57.10,55.92,55.97,5053400,0
20010215,55.40,56.10,55.08,55.67,1945000,0
20010216,55.67,56.60,55.38,56.00,3143600,0
20010219,56.00,56.00,56.00,56.00,0,0
20010220,56.13,56.15,54.40,54.46,3330000,0
20010221,54.46,54.75,54.11,54.25,6523800,0
20010222,54.15,54.28,52.00,53.05,2772000,0
20010223,53.00,53.00,51.30,52.67,23225200,0
20010226,53.20,57.64,52.21,53.05,1447800,0
20010227,53.03,55.15,53.03,54.45,2943400,0
20010228,54.20,54.60,53.45,53.49,2161600,0
20010301,53.60,53.65,51.67,52.72,2803000,0
20010302,52.50,52.70,51.65,52.13,2321400,0
20010305,51.51,52.00,49.84,50.78,4494600,0
20010306,50.35,51.13,49.90,50.47,3204400,0
20010307,50.47,51.50,50.47,51.10,5675600,0
20010308,51.50,51.58,50.40,50.83,1919000,0
20010309,50.99,50.99,49.92,49.92,1932600,0
20010312,49.92,49.93,47.13,47.13,3584800,0
20010313,47.40,47.70,46.25,47.63,3050000,0
20010314,46.50,46.80,45.40,45.95,3998800,0
20010315,46.75,48.22,46.72,48.00,8216400,0
20010316,47.75,48.15,47.51,47.67,3371600,0
20010319,47.08,48.17,46.05,47.75,13402800,0
20010320,47.75,48.33,46.14,46.24,2389400,0
20010321,46.24,46.24,44.58,44.70,3159000,0
20010322,44.40,44.42,42.75,43.97,3495000,0
20010323,44.10,45.72,44.05,45.17,2607200,0
20010326,45.85,46.47,45.38,45.74,4864000,0
20010327,45.94,46.78,45.33,46.46,2369000,0
20010328,46.26,46.26,45.40,45.72,1909000,0
20010329,45.83,46.99,45.31,46.60,1737000,0
20010330,46.70,47.80,46.65,47.51,1673600,0
20010402,47.81,48.78,47.05,47.50,2158800,0
20010403,47.00,47.00,45.02,45.49,3119400,0
20010404,45.31,45.81,44.70,44.94,3037600,0
20010405,45.35,46.63,45.35,46.20,2239000,0
20010406,44.00,44.75,42.62,42.95,5811400,0
20010409,42.75,42.88,40.15,41.00,6951400,0
20010410,41.75,44.50,41.63,44.22,8512000,0
20010411,45.50,45.79,44.78,45.42,4233400,0
20010412,46.00,46.00,44.90,45.40,2656000,0
20010416,45.25,45.60,45.05,45.38,1525800,0
20010417,45.25,46.35,45.17,46.35,1895600,0
20010418,47.05,48.20,46.63,47.73,3887200,0
20010419,47.75,48.90,47.75,48.28,2367000,0
20010420,48.20,48.22,47.15,47.17,11542200,0
20010423,46.90,46.90,46.13,46.13,1050200,0
20010424,45.93,46.85,45.20,45.28,1656000,0
20010425,45.38,45.97,44.95,45.85,1697600,0
20010426,46.25,48.40,46.20,48.13,2123200,0
20010427,48.79,49.70,48.47,49.17,1839600,0
20010430,49.19,49.69,48.08,48.22,1477200,0
20010501,48.22,49.35,48.13,49.26,1570400,0
20010502,50.00,50.45,49.03,49.53,2121000,0
20010503,49.58,49.58,48.35,48.80,1596400,0
20010504,48.63,49.92,48.45,49.71,963000,0
20010507,49.97,49.97,49.15,49.83,1186600,0
20010508,49.95,50.44,49.70,50.25,1739600,0
20010509,49.90,50.71,49.80,50.05,2734600,0
20010510,50.13,50.60,50.03,50.19,1151600,0
20010511,50.63,50.97,50.20,50.64,20853800,0
20010514,50.64,50.90,50.29,50.30,846200,0
20010515,50.42,51.35,50.42,51.08,964800,0
20010516,51.00,52.65,50.83,52.47,1419000,0
20010517,52.58,52.76,52.00,52.37,1310600,0
20010518,52.37,52.85,52.03,52.25,502800,0
20010521,52.55,53.80,52.08,53.80,1089600,0
20010522,53.90,55.30,53.90,54.83,3748000,0
20010523,55.00,55.19,54.50,54.60,2865400,0
20010524,54.60,55.75,54.50,55.75,2969200,0
20010525,55.75,55.90,53.95,54.13,1618800,0
20010528,54.13,54.13,54.13,54.13,0,0
20010529,54.13,54.50,53.92,54.05,1372800,0
20010530,54.45,54.87,53.65,53.79,1435000,0
20010531,53.79,54.03,52.00,52.38,3147000,0
20010601,52.60,52.69,52.00,52.51,15141200,0
20010604,52.55,52.90,52.25,52.65,1081200,0
20010605,52.90,53.35,52.88,52.99,743000,0
20010606,52.97,52.99,52.38,52.65,979000,0
20010607,52.60,52.79,51.85,52.55,872200,0
20010608,52.45,52.79,52.33,52.65,836800,0
20010611,52.63,52.75,52.00,52.54,835600,0
20010612,52.53,52.81,51.78,52.66,1322600,0
20010613,52.75,53.17,52.26,52.34,1226200,0
20010614,52.20,52.20,51.49,51.54,915200,0
20010615,51.03,51.72,50.76,51.39,1663600,0
20010618,51.38,51.72,51.11,51.25,883400,0
20010619,51.25,52.50,51.25,52.03,8782600,0
20010620,52.01,53.25,52.01,52.66,965200,0
20010621,52.55,54.42,52.33,54.00,1947000,0
20010622,54.13,54.55,53.62,54.10,1284600,0
20010625,53.75,54.00,52.90,52.92,1174400,0
20010626,52.22,52.50,51.80,52.10,7076600,0
20010627,52.15,52.70,51.54,51.85,1964800,0
20010628,51.88,52.45,51.76,51.85,8240600,0
20010629,51.72,51.72,50.14,50.50,7544200,0
20010702,49.50,51.33,49.50,51.33,2477800,0
20010703,50.95,51.40,50.53,51.22,1114200,0
20010704,51.22,51.22,51.22,51.22,0,0
20010705,50.85,51.15,50.40,50.65,1490000,0
20010706,50.88,50.88,49.53,49.58,21187000,0
20010709,49.58,49.92,49.01,49.88,3355800,0
20010710,49.88,49.88,48.75,48.83,1364600,0
20010711,48.88,49.35,48.50,48.83,1643600,0
20010712,49.58,50.47,49.17,50.21,3532200,0
20010713,50.21,50.75,50.13,50.41,4722600,0
20010716,50.43,50.95,49.75,49.75,7220200,0
20010717,49.85,50.64,49.78,50.47,1015200,0
20010718,49.80,50.28,49.30,49.50,1312800,0
20010719,49.60,49.74,49.01,49.30,2186000,0
20010720,49.30,49.42,48.90,49.19,5309000,0
20010723,49.22,49.35,47.75,47.90,15324800,0
20010724,48.00,48.97,47.63,48.35,25262200,0
20010725,48.28,49.00,48.25,48.90,1533600,0
20010726,48.90,49.00,48.01,48.97,1244600,0
20010727,48.88,49.20,48.51,49.03,1735600,0
20010730,48.83,49.49,48.76,49.26,784600,0
20010731,49.88,50.93,49.42,50.20,2832800,0
20010801,50.00,50.55,49.76,50.15,1295200,0
20010802,50.45,50.54,49.95,49.99,1376200,0
20010803,49.70,50.29,49.55,50.19,1425200,0
20010806,50.24,50.61,49.57,49.83,774400,0
20010807,49.95,51.50,49.76,50.57,1396400,0
20010808,50.38,50.85,50.01,50.10,1047800,0
20010809,50.06,50.50,49.51,50.33,3068400,0
20010810,50.36,51.03,50.01,50.74,1249600,0
20010813,50.70,51.06,50.40,50.81,490600,0
20010814,50.69,50.85,50.22,50.26,12867200,0
20010815,50.38,50.85,49.45,49.49,1305000,0
20010816,48.75,49.45,48.75,49.32,15225200,0
20010817,49.47,49.50,47.60,47.60,4351400,0
20010820,47.90,49.22,47.83,49.13,11044200,0
20010821,49.22,49.90,47.75,47.95,11210800,0
20010822,47.95,48.85,47.89,48.69,1339200,0
20010823,48.70,48.90,48.33,48.33,1042000,0
20010824,48.45,49.95,48.06,49.67,3491200,0
20010827,49.50,49.55,48.00,48.12,1492600,0
20010828,48.15,48.15,46.88,47.15,2425400,0
20010829,47.22,47.60,46.56,46.56,1179000,0
20010830,46.58,47.36,45.47,45.85,1963200,0
20010831,45.97,47.25,45.92,46.45,1495400,0
20010903,46.45,46.45,46.45,46.45,0,0
20010904,46.49,47.35,45.85,46.10,1294600,0
20010905,46.10,46.35,45.35,45.94,2221400,0
20010906,45.40,46.09,44.50,44.83,2632200,0
20010907,43.53,44.28,43.25,43.56,2164200,0
20010910,42.71,43.85,42.38,43.50,2492800,0
20010911,43.50,43.50,43.50,43.50,0,0
20010917,42.75,43.50,41.94,42.25,4006800,0
20010918,42.35,42.49,41.81,41.94,2886400,0
20010919,42.00,43.05,41.08,41.22,2889400,0
20010920,40.75,41.25,40.17,40.25,2959400,0
20010921,40.00,41.75,39.71,41.01,4245200,0
20010924,41.01,44.40,41.01,43.15,4206600,0
20010925,43.38,44.38,42.98,44.33,6810800,0
20010926,44.73,46.42,44.65,46.42,3870200,0
20010927,46.40,47.30,46.00,46.85,2638600,0
20010928,47.65,48.49,47.35,48.35,3235200,0
