DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20130618,44.50,45.00,43.50,44.00,1082571,0
20130619,44.00,44.05,43.00,43.10,540735,0
20130620,43.00,43.50,42.00,42.94,1013513,0
20130621,43.29,43.50,42.04,43.50,913646,0
20130624,44.00,44.00,42.96,43.50,272078,0
20130625,43.50,44.38,42.71,44.00,224280,0
20130626,43.50,45.47,43.31,44.10,1422798,0
20130627,44.85,45.50,44.22,44.95,612619,0
20130628,45.49,46.65,44.10,45.43,7775614,0
20130701,45.94,46.43,43.75,44.00,5786938,0
20130702,43.66,45.26,41.85,42.26,6730353,0
20130703,42.00,43.10,41.20,43.10,5069286,0
20130705,42.26,44.32,42.26,44.23,1754457,0
20130708,43.25,44.27,41.50,43.01,4796328,0
20130709,42.50,43.51,42.10,43.27,4196206,0
20130710,42.81,42.83,41.18,42.12,5929033,0
20130711,42.15,42.57,42.04,42.40,2292238,0
20130712,42.00,42.44,41.66,41.96,1226898,0
20130715,41.82,42.03,41.31,41.87,1182189,0
20130716,41.87,41.87,41.00,41.51,1452655,0
20130717,41.50,42.05,41.35,41.93,686927,0
20130718,41.93,43.48,41.53,43.09,1417262,0
20130719,43.39,44.32,42.85,43.48,1329881,0
20130722,43.20,43.74,43.01,43.53,1226356,0
20130723,43.30,44.50,43.23,44.00,734901,0
20130724,43.97,44.40,43.50,43.98,889070,0
20130725,43.67,44.65,43.67,44.38,861935,0
20130726,44.16,45.56,43.78,45.05,740176,0
20130729,45.35,46.66,45.00,46.20,1976008,0
20130730,46.07,47.23,45.73,47.16,1033590,0
20130731,47.25,47.68,45.63,45.89,1145395,0
20130801,46.26,48.26,46.08,46.22,974390,0
20130802,46.47,46.56,44.92,45.83,539595,0
20130805,45.51,46.00,45.00,45.14,388622,0
20130806,45.10,45.20,43.83,44.36,821257,0
20130807,44.04,44.86,44.02,44.78,373819,0
20130808,44.85,46.05,44.83,45.92,946972,0
20130809,45.00,45.77,44.51,45.36,914800,0
20130812,44.55,45.57,44.32,45.32,538253,0
20130813,45.13,45.28,44.21,44.66,1236471,0
20130814,44.51,44.60,44.00,44.11,547501,0
20130815,43.85,44.52,42.79,42.89,734554,0
20130816,42.75,42.83,42.16,42.69,486548,0
20130819,42.58,43.55,42.50,42.82,343473,0
20130820,42.98,43.25,42.70,43.00,313609,0
20130821,42.74,43.25,42.02,42.50,335554,0
20130822,42.35,42.57,42.02,42.50,457365,0
