DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,0.0801,0.0801,0.0794,0.0794,172800,0
20010103,0.0781,0.0859,0.0781,0.0846,1454400,0
20010104,0.0846,0.0872,0.0846,0.0846,513600,0
20010105,0.0846,0.0846,0.0846,0.0846,14400,0
20010108,0.0846,0.0853,0.0833,0.0833,192000,0
20010109,0.0833,0.0872,0.0833,0.0833,120000,0
20010110,0.0820,0.0859,0.0820,0.0859,374400,0
20010111,0.0859,0.0885,0.0833,0.0833,321600,0
20010112,0.0885,0.0885,0.0859,0.0885,624000,0
20010115,0.0885,0.0885,0.0885,0.0885,0,0
20010116,0.0872,0.0885,0.0859,0.0872,801600,0
20010117,0.0879,0.0898,0.0879,0.0885,561600,0
20010118,0.0898,0.0898,0.0898,0.0898,43200,0
20010119,0.0859,0.0859,0.0859,0.0859,124800,0
20010122,0.0859,0.0859,0.0820,0.0859,120000,0
20010123,0.0846,0.0859,0.0833,0.0833,1113600,0
20010124,0.0846,0.0885,0.0846,0.0859,499200,0
20010125,0.0872,0.0872,0.0833,0.0859,633600,0
20010126,0.0833,0.0859,0.0833,0.0833,86400,0
20010129,0.0833,0.0846,0.0833,0.0833,1660800,0
20010130,0.0807,0.0846,0.0807,0.0833,724800,0
20010131,0.0833,0.0846,0.0833,0.0846,43200,0
20010201,0.0840,0.0846,0.0820,0.0820,100800,0
20010202,0.0820,0.0820,0.0781,0.0807,1732800,0
20010205,0.0833,0.0833,0.0794,0.0807,422400,0
20010206,0.0801,0.0807,0.0781,0.0794,91200,0
20010207,0.0781,0.0807,0.0781,0.0781,177600,0
20010208,0.0781,0.0807,0.0781,0.0794,182400,0
20010209,0.0781,0.0807,0.0781,0.0807,307200,0
20010212,0.0807,0.0807,0.0781,0.0807,225600,0
20010213,0.0781,0.0781,0.0781,0.0781,432000,0
20010214,0.0781,0.0794,0.0781,0.0781,1670400,0
20010215,0.0788,0.0807,0.0788,0.0794,336000,0
20010216,0.0794,0.0814,0.0794,0.0807,7833600,0
20010219,0.0807,0.0807,0.0807,0.0807,0,0
20010220,0.0814,0.0859,0.0807,0.0859,681600,0
20010221,0.0859,0.0911,0.0833,0.0833,931200,0
20010222,0.0833,0.0846,0.0820,0.0820,662400,0
20010223,0.0807,0.0820,0.0807,0.0820,72000,0
20010226,0.0807,0.0827,0.0781,0.0781,1579200,0
20010227,0.0768,0.0788,0.0768,0.0781,19862400,0
20010228,0.0781,0.0807,0.0729,0.0742,12086400,0
20010301,0.0742,0.0781,0.0742,0.0781,456000,0
20010302,0.0742,0.0781,0.0742,0.0755,244800,0
20010305,0.0768,0.0794,0.0755,0.0768,700800,0
20010306,0.0794,0.0794,0.0755,0.0755,748800,0
20010307,0.0755,0.0768,0.0742,0.0768,3340800,0
20010308,0.0755,0.0755,0.0755,0.0755,57600,0
20010309,0.0755,0.0768,0.0755,0.0755,216000,0
20010312,0.0749,0.0755,0.0749,0.0755,206400,0
20010313,0.0755,0.0781,0.0755,0.0755,441600,0
20010314,0.0755,0.0768,0.0755,0.0755,211200,0
20010315,0.0755,0.0768,0.0755,0.0755,1195200,0
20010316,0.0755,0.0768,0.0755,0.0755,1416000,0
20010319,0.0755,0.0781,0.0755,0.0755,4257600,0
20010320,0.0755,0.0794,0.0729,0.0729,1449600,0
20010321,0.0788,0.0788,0.0703,0.0703,1464000,0
20010322,0.0729,0.0749,0.0703,0.0703,940800,0
20010323,0.0729,0.0755,0.0729,0.0729,441600,0
20010326,0.0729,0.0729,0.0625,0.0677,715200,0
20010327,0.0683,0.0683,0.0652,0.0677,307200,0
20010328,0.0677,0.0690,0.0677,0.0677,1176000,0
20010329,0.0677,0.0742,0.0677,0.0717,480000,0
20010330,0.0717,0.0717,0.0704,0.0704,230400,0
20010402,0.0704,0.0704,0.0704,0.0704,0,0
20010403,0.0690,0.0696,0.0683,0.0683,91200,0
20010404,0.0683,0.0717,0.0677,0.0677,609600,0
20010405,0.0677,0.0677,0.0677,0.0677,0,0
20010406,0.0677,0.0690,0.0677,0.0690,76800,0
20010409,0.0677,0.0729,0.0677,0.0723,105600,0
