DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20110627,18.35,18.98,18.30,18.83,895100,0
20110628,19.17,20.00,18.85,19.35,4151702,0
20110629,19.50,20.49,19.35,20.04,3695160,0
20110630,20.34,21.00,20.09,20.70,3025792,0
20110701,20.70,20.70,20.70,20.70,0,0
20110705,21.11,21.50,20.83,21.11,11822948,0
20110706,20.80,21.13,20.51,20.95,10982848,0
20110707,21.10,21.63,20.86,20.89,16707598,0
20110708,20.40,21.30,20.26,20.71,16416652,0
20110711,20.40,20.40,19.76,20.05,9495018,0
20110712,19.93,20.50,19.72,20.24,8011122,0
20110713,20.26,20.62,19.62,19.98,11642740,0
20110714,19.99,20.01,19.11,19.32,11532684,0
20110715,19.50,19.74,19.05,19.58,9938772,0
20110718,19.36,19.80,18.88,19.56,8311406,0
20110719,19.63,19.97,19.57,19.87,6422988,0
20110720,19.90,19.97,19.70,19.77,5448966,0
20110721,19.77,20.12,19.56,20.05,7248804,0
20110722,20.14,20.41,19.95,20.29,6645548,0
20110725,20.63,21.06,20.33,20.69,8899060,0
20110726,20.70,21.86,20.64,21.53,11324110,0
20110727,21.51,21.65,20.99,21.03,6998306,0
20110728,21.22,21.47,21.10,21.39,6654416,0
20110729,21.18,22.31,20.99,21.90,10709548,0
20110801,22.52,22.69,22.00,22.49,11521572,0
20110802,22.27,22.45,21.13,21.17,10995420,0
20110803,21.64,22.70,19.51,20.72,13413710,0
20110804,20.36,20.36,18.61,19.21,15377930,0
20110805,19.45,19.61,16.72,18.66,12348478,0
20110808,17.62,18.00,14.74,16.17,16542858,0
20110809,16.54,18.20,16.21,18.05,12054012,0
20110810,17.77,18.42,17.06,17.57,9682474,0
20110811,17.95,19.30,17.72,18.67,8756314,0
20110812,18.80,19.56,18.45,18.70,5906768,0
20110815,18.95,19.83,18.95,19.55,5365382,0
20110816,19.18,19.72,19.06,19.43,6532386,0
20110817,19.82,19.98,19.41,19.55,5627486,0
20110818,19.06,19.26,17.70,18.31,7501524,0
20110819,17.89,18.34,17.32,17.50,9878424,0
20110822,17.91,18.00,16.18,16.29,10774064,0
20110823,16.32,17.35,16.02,17.13,10359812,0
20110824,17.20,18.02,16.86,17.92,6723308,0
20110825,18.10,18.45,16.96,17.19,6375852,0
20110826,17.20,18.38,17.04,17.43,5880400,0
20110829,17.64,18.18,17.52,18.00,4174906,0
20110830,17.95,18.19,17.38,18.02,4385148,0
20110831,18.26,18.73,18.26,18.53,5730894,0
20110901,18.72,19.11,18.45,18.51,4515342,0
20110902,17.92,18.50,17.56,17.71,3594036,0
20110906,17.11,17.70,16.65,17.50,5723798,0
20110907,17.79,18.47,17.63,18.15,5212430,0
20110908,18.08,19.08,17.79,18.86,4086528,0
20110909,18.31,18.89,17.97,18.18,5888904,0
20110912,17.67,18.44,17.45,18.33,3919196,0
20110913,18.20,18.32,17.22,17.67,7146900,0
20110914,17.62,17.66,17.23,17.52,7640694,0
20110915,17.94,18.48,17.61,17.71,6081222,0
20110916,17.77,17.84,17.43,17.55,7195320,0
20110919,17.09,17.28,16.55,16.77,5096530,0
20110920,16.79,17.11,16.75,16.85,3859134,0
20110921,16.68,17.23,16.17,16.20,4013026,0
20110922,15.58,15.70,14.42,14.74,11073584,0
20110923,14.59,15.16,14.53,14.77,6767804,0
20110926,14.95,15.18,14.75,15.05,7970858,0
20110927,15.42,15.91,14.85,14.92,9412360,0
20110928,14.99,15.32,14.46,14.49,8844310,0
20110929,14.84,14.93,13.18,13.92,10516798,0
20110930,13.69,13.97,13.42,13.53,9626644,0
20111003,13.46,13.90,13.31,13.58,8648054,0
20111004,13.40,14.41,13.34,14.38,10289392,0
20111005,14.54,15.89,14.27,15.74,10463722,0
20111006,15.76,16.68,15.55,16.65,7978256,0
20111007,16.86,16.99,15.63,15.80,8532646,0
20111010,16.14,16.74,16.04,16.49,5005154,0
20111011,16.34,16.81,16.22,16.58,6614850,0
20111012,16.71,17.07,16.64,16.79,7544192,0
20111013,16.67,16.95,16.42,16.89,6341138,0
20111014,17.22,18.10,17.18,18.07,6739428,0
20111017,18.02,18.24,17.43,17.47,4717522,0
20111018,17.38,18.27,17.09,18.10,4533540,0
20111019,18.10,18.53,17.73,17.80,6033676,0
20111020,17.80,18.33,17.65,18.25,4675274,0
20111021,18.45,18.84,18.25,18.68,6436096,0
20111024,18.77,19.24,17.77,17.93,6574156,0
20111025,17.33,17.33,15.71,16.49,18550456,0
20111026,16.91,17.48,16.60,17.36,7476944,0
20111027,17.64,18.86,17.64,18.67,7726000,0
20111028,18.59,18.81,18.13,18.66,7259866,0
20111031,18.51,18.51,17.71,17.95,6581156,0
20111101,17.75,19.06,17.15,18.00,13191230,0
20111102,18.45,19.22,18.38,19.17,9171328,0
20111103,19.50,19.77,19.05,19.34,7803070,0
20111104,19.10,19.36,18.75,19.31,5657508,0
20111107,19.07,19.52,19.07,19.46,4110894,0
20111108,19.52,19.72,18.86,19.06,5019030,0
20111109,18.51,19.50,18.27,18.51,6973898,0
20111110,18.85,18.95,18.00,18.85,6920674,0
20111111,19.14,19.59,18.82,18.89,8037156,0
20111114,18.72,18.82,17.68,18.36,8146394,0
20111115,18.26,18.66,18.12,18.49,5613616,0
20111116,17.37,17.53,16.10,16.32,24772674,0
20111117,16.36,16.67,15.62,15.81,15641930,0
20111118,15.93,16.48,15.81,16.41,6335628,0
20111121,16.17,16.66,15.65,16.42,6564458,0
20111122,16.55,16.77,16.11,16.76,6095486,0
20111123,16.49,16.72,16.25,16.42,8240044,0
20111125,16.32,16.36,16.10,16.14,2732078,0
20111128,16.81,17.10,16.34,16.64,7630844,0
20111129,16.76,16.81,16.39,16.59,7636034,0
20111130,17.06,17.27,16.23,16.70,12317310,0
20111201,16.96,17.17,16.68,16.98,5997194,0
20111202,17.21,17.39,16.57,16.66,7471192,0
20111205,17.02,17.73,16.93,17.20,9112118,0
20111206,17.29,17.39,17.00,17.32,5932116,0
20111207,17.23,17.30,16.91,17.25,8031386,0
20111208,17.17,17.29,16.75,17.01,9874768,0
