DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,11.33,11.45,11.26,11.38,3710800,0
20030501,11.41,11.46,11.26,11.41,2325800,0
20030502,11.43,11.64,11.41,11.59,2617600,0
20030505,11.56,11.68,11.50,11.60,1444000,0
20030506,11.68,11.80,11.63,11.71,2184600,0
20030507,11.72,12.02,11.72,11.93,4179600,0
20030508,11.78,12.01,11.77,11.81,2277400,0
20030509,11.95,11.95,11.70,11.75,2090400,0
20030512,11.75,11.87,11.68,11.79,2368000,0
20030513,11.79,12.10,11.76,12.01,1663600,0
20030514,12.05,12.28,12.05,12.15,3102600,0
20030515,12.25,12.34,12.22,12.29,1819800,0
20030516,12.29,12.41,12.18,12.34,1597800,0
20030519,12.18,12.18,11.95,11.96,1490000,0
20030520,12.01,12.08,11.90,11.97,2060600,0
20030521,11.97,12.22,11.86,12.18,2614000,0
20030522,12.18,12.27,12.11,12.25,2568600,0
20030523,12.25,12.57,12.19,12.52,3196200,0
20030527,12.51,12.85,12.50,12.81,2785000,0
20030528,12.82,12.84,12.68,12.69,2485800,0
20030529,12.99,12.99,12.66,12.68,5028600,0
20030530,12.90,12.93,12.73,12.86,3207400,0
20030602,12.88,13.01,12.77,12.93,2994400,0
20030603,12.97,13.06,12.78,13.06,3530000,0
20030604,13.05,13.24,13.01,13.14,2646200,0
20030605,12.88,13.23,12.85,13.23,3643600,0
20030606,13.38,13.45,13.17,13.24,3044400,0
20030609,13.15,13.27,13.07,13.12,1735000,0
20030610,13.20,13.26,13.08,13.18,1544600,0
20030611,13.22,13.50,13.22,13.50,1944200,0
20030612,13.47,13.60,13.28,13.32,2175400,0
20030613,13.24,13.32,13.14,13.29,1629600,0
20030616,13.41,13.50,13.23,13.50,1849400,0
20030617,13.49,13.51,13.25,13.34,1639600,0
20030618,13.37,13.46,13.20,13.29,1559000,0
20030619,13.29,13.35,13.03,13.23,2658200,0
20030620,13.35,13.53,13.30,13.41,3363000,0
20030623,13.42,13.43,13.17,13.24,2187600,0
20030624,13.24,13.24,13.04,13.06,2628200,0
20030625,13.15,13.31,13.05,13.09,1787000,0
20030626,13.02,13.25,12.97,13.07,2376400,0
20030627,13.07,13.25,12.91,13.11,2142400,0
20030630,13.17,13.30,13.09,13.17,2423800,0
20030701,13.17,13.27,12.88,13.26,1944600,0
20030702,13.26,13.32,13.01,13.30,2264200,0
20030703,13.30,13.30,13.13,13.26,1370400,0
20030707,13.26,13.35,13.18,13.22,2408200,0
20030708,13.25,13.36,13.14,13.35,3292600,0
20030709,13.37,13.44,13.26,13.35,1505000,0
20030710,13.35,13.35,13.03,13.07,1927200,0
20030711,13.08,13.20,13.05,13.13,1265600,0
20030714,13.23,13.25,13.03,13.07,1547600,0
20030715,13.07,13.07,12.84,12.85,2583400,0
20030716,12.88,12.95,12.69,12.84,2731800,0
20030717,12.84,13.05,12.70,12.99,1996000,0
20030718,13.12,13.32,13.05,13.27,2112200,0
20030721,13.27,13.35,13.02,13.03,1898200,0
20030722,13.03,13.12,12.94,13.06,1897800,0
20030723,13.10,13.11,12.93,13.01,1867000,0
20030724,12.97,13.22,12.97,13.05,2599800,0
20030725,13.05,13.17,12.90,13.15,2002400,0
20030728,13.03,13.15,12.90,13.01,3554600,0
20030729,13.05,13.06,12.75,12.84,2747200,0
20030730,12.95,12.97,12.78,12.86,1653600,0
20030731,12.95,13.13,12.84,12.87,1695000,0
20030801,12.84,12.85,12.64,12.72,2090000,0
20030804,12.74,12.74,12.55,12.62,1685600,0
20030805,12.52,12.66,12.50,12.51,2780400,0
20030806,12.50,12.74,12.46,12.69,2252200,0
20030807,12.66,12.79,12.55,12.74,3111200,0
20030808,12.90,13.00,12.85,12.97,2608000,0
20030811,12.97,13.32,12.94,13.32,3355800,0
20030812,13.32,13.38,13.20,13.38,2574200,0
20030813,13.55,13.63,13.50,13.63,4234600,0
20030814,13.63,13.72,13.61,13.71,4699400,0
20030815,13.76,13.76,13.60,13.68,4173600,0
20030818,13.55,13.60,13.48,13.53,2449000,0
20030819,13.42,13.52,13.38,13.50,1685400,0
20030820,13.38,13.49,13.35,13.45,1641800,0
20030821,13.47,13.60,13.45,13.60,2227200,0
20030822,13.56,13.63,13.36,13.41,1789000,0
20030825,13.52,13.60,13.49,13.56,1890800,0
20030826,13.52,13.53,13.38,13.47,2168000,0
20030827,13.50,13.72,13.48,13.71,1988800,0
20030828,13.75,13.84,13.55,13.84,3900000,0
20030829,13.84,13.94,13.72,13.94,1914600,0
20030902,13.96,14.18,13.85,14.17,3755200,0
20030903,14.22,14.34,14.10,14.32,3227400,0
20030904,14.32,14.47,14.31,14.40,3645000,0
20030905,14.36,14.47,14.34,14.37,2893800,0
20030908,14.60,14.73,14.57,14.71,4778800,0
20030909,14.66,14.66,14.42,14.46,3407600,0
20030910,14.55,14.55,14.25,14.32,3013400,0
20030911,14.36,14.38,14.13,14.22,2154400,0
20030912,14.30,14.34,14.15,14.32,2030400,0
20030915,14.25,14.32,14.10,14.32,1404000,0
20030916,14.22,14.30,14.15,14.20,1465400,0
20030917,14.27,14.27,14.01,14.05,2526400,0
20030918,14.05,14.11,13.95,14.11,2526000,0
20030919,14.11,14.19,14.05,14.17,1662000,0
20030922,14.15,14.15,14.01,14.10,1579400,0
20030923,14.20,14.23,14.03,14.10,1412400,0
20030924,14.20,14.28,14.11,14.17,3277400,0
20030925,14.20,14.23,13.97,14.02,2522600,0
20030926,14.00,14.17,13.88,14.09,2949800,0
20030929,14.15,14.16,13.97,14.09,1244400,0
20030930,14.09,14.30,13.89,14.25,1887200,0
20031001,14.25,14.57,14.25,14.56,2808600,0
20031002,14.49,14.51,14.38,14.45,1704600,0
20031003,14.49,14.60,14.43,14.48,2150800,0
20031006,14.48,14.52,14.39,14.51,1596000,0
20031007,14.45,14.75,14.43,14.72,2257600,0
20031008,14.75,14.75,14.59,14.75,1974600,0
20031009,14.80,14.80,14.67,14.79,1863400,0
20031010,14.83,15.13,14.78,15.10,3669800,0
20031013,15.10,15.24,15.08,15.17,1624800,0
20031014,15.17,15.17,15.00,15.13,2002400,0
20031015,15.16,15.17,14.93,15.06,1959000,0
20031016,15.04,15.13,15.00,15.10,1778800,0
20031017,15.27,15.27,14.93,15.04,1818600,0
20031020,15.00,15.02,14.84,14.98,1496200,0
20031021,14.98,14.99,14.84,14.94,2217000,0
20031022,14.90,14.96,14.77,14.81,1445000,0
20031023,14.81,14.90,14.55,14.77,2506400,0
20031024,14.77,14.77,14.55,14.63,1346400,0
20031027,14.73,14.84,14.63,14.76,2309200,0
20031028,14.80,14.80,14.65,14.66,2540800,0
20031029,14.66,14.69,14.49,14.59,3015600,0
20031030,14.63,14.64,14.44,14.58,2377600,0
20031031,14.63,14.80,14.51,14.78,2473800,0
20031103,14.85,14.90,14.73,14.84,1971602,0
20031104,14.77,14.81,14.63,14.67,1519330,0
20031105,14.67,14.71,14.44,14.69,2399800,0
20031106,14.69,14.74,14.55,14.71,1738000,0
20031107,14.75,14.89,14.65,14.88,1788800,0
20031110,14.87,14.90,14.62,14.64,1527600,0
20031111,14.59,14.60,14.45,14.55,1144600,0
20031112,14.55,14.61,14.45,14.60,1855000,0
20031113,14.60,14.80,14.56,14.80,1610000,0
20031114,14.83,15.05,14.77,14.92,2364600,0
20031117,14.75,14.75,14.41,14.67,2007600,0
20031118,14.65,14.70,14.45,14.47,2306200,0
20031119,14.52,14.65,14.46,14.59,2552600,0
20031120,14.57,14.65,14.47,14.55,1732600,0
20031121,14.67,14.67,14.55,14.62,2357200,0
20031124,14.62,14.69,14.50,14.64,1638000,0
20031125,14.67,14.84,14.60,14.83,2009400,0
20031126,14.83,14.88,14.75,14.84,1615200,0
20031128,14.73,14.85,14.68,14.80,504000,0
20031201,14.82,15.06,14.80,15.02,1705400,0
20031202,15.03,15.24,14.98,15.09,1827000,0
20031203,15.10,15.22,14.89,14.90,3244800,0
20031204,14.91,15.09,14.91,15.08,2757000,0
