DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,143.06,145.69,141.75,142.19,1113643,0
20010103,142.19,170.63,141.75,169.75,3626557,0
20010104,160.56,166.69,158.38,161.44,3344414,0
20010105,160.13,160.13,147.88,148.31,2494057,0
20010108,147.88,153.56,143.94,152.25,1308729,0
20010109,147.00,150.06,143.06,144.81,2405514,0
20010110,141.75,149.63,138.69,148.31,2721400,0
20010111,147.00,158.38,142.63,154.88,3792357,0
20010112,151.81,156.63,150.50,154.88,1828129,0
20010115,154.88,154.88,154.88,154.88,0,0
20010116,155.31,156.19,147.00,148.75,1301329,0
20010117,154.00,161.44,152.25,156.63,2106843,0
20010118,157.06,168.00,154.88,167.56,2186071,0
20010119,175.00,182.44,169.75,172.81,3789043,0
20010122,172.81,172.81,172.81,172.81,0,0
20010123,165.38,165.81,160.13,164.50,1313086,0
20010124,167.56,168.88,162.31,164.06,1175100,0
20010125,161.44,161.88,157.50,157.50,1215414,0
20010126,157.50,160.13,153.56,157.94,1020400,0
20010129,168.66,175.66,154.00,163.19,1555214,0
20010130,167.56,175.66,161.00,161.22,1265443,0
20010131,159.67,165.48,158.55,159.88,1734929,0
20010201,156.45,161.14,150.85,154.42,1541729,0
20010202,156.17,156.17,149.10,149.24,996657,0
20010205,147.21,147.63,140.28,143.29,1650571,0
20010206,140.42,149.03,140.42,145.95,1523671,0
20010207,142.31,143.43,139.30,139.65,1977129,0
20010208,139.30,142.80,137.55,138.74,1215700,0
20010209,137.41,137.76,132.30,132.30,1565357,0
20010212,132.30,138.74,132.30,135.59,1407786,0
20010213,139.51,141.96,135.45,138.25,1652657,0
20010214,137.90,137.90,132.65,133.84,1349400,0
20010215,136.36,136.78,133.77,133.91,1921386,0
20010216,130.34,130.83,129.08,130.27,1592129,0
20010219,130.27,130.27,130.27,130.27,0,0
20010220,133.00,133.00,124.60,128.10,1517229,0
20010221,124.81,128.03,119.35,121.31,1745671,0
20010222,119.21,125.86,118.44,121.03,1985600,0
20010223,114.03,117.88,112.07,113.75,4413257,0
20010226,115.78,116.06,108.50,111.23,2943829,0
20010227,109.48,110.18,106.96,107.03,2248800,0
20010228,107.80,108.36,105.00,106.19,2195686,0
20010301,105.14,111.65,104.23,111.51,2494743,0
20010302,107.45,119.00,107.31,117.53,2834971,0
20010305,117.46,119.77,117.25,117.25,1368486,0
20010306,121.10,128.31,121.10,123.97,1953986,0
20010307,121.24,124.25,117.25,122.57,1512314,0
20010308,122.50,124.25,113.40,113.75,1840514,0
20010309,110.25,116.76,108.50,108.85,2154300,0
20010312,105.21,110.25,103.95,105.00,2974300,0
20010313,105.00,107.80,103.74,106.40,2190386,0
20010314,104.16,107.45,99.75,101.43,2127086,0
