DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,66.40,66.95,64.35,64.84,0,0
20010103,64.00,65.95,63.50,65.50,1413700,0
20010104,64.00,66.91,64.00,65.10,484900,0
20010105,64.85,64.85,62.95,63.20,4261800,0
20010108,63.45,66.00,62.25,65.60,1252600,0
20010109,65.60,65.92,63.96,64.30,140100,0
20010110,64.05,65.30,64.05,64.95,174700,0
20010111,64.95,66.00,63.60,65.90,0,0
20010112,65.95,66.05,65.15,65.55,317700,0
20010115,65.55,65.55,65.55,65.55,0,0
20010116,65.75,67.15,65.11,65.80,312800,0
20010117,65.80,66.00,64.41,65.09,329500,0
20010118,65.25,65.25,64.29,65.25,0,0
20010119,65.24,65.24,64.20,64.60,23000000,0
20010122,64.60,64.60,64.60,64.60,0,0
20010123,64.67,64.78,64.00,64.57,213500,0
20010124,64.85,66.40,64.20,64.89,244700,0
20010125,65.05,65.28,64.73,65.22,0,0
20010126,65.00,67.27,64.83,67.26,0,0
20010129,67.97,70.09,67.28,68.00,0,0
20010130,69.34,70.09,67.16,68.34,0,0
20010131,68.11,68.60,67.88,68.30,0,0
20010201,68.30,68.30,67.00,67.89,0,0
20010202,67.88,67.96,66.90,67.02,0,0
20010205,68.00,68.80,67.62,68.80,0,0
20010206,69.50,69.53,68.00,68.30,249300,0
20010207,68.30,69.44,68.30,69.31,212300,0
20010208,69.31,69.40,68.65,69.21,102600,0
20010209,69.21,69.50,68.90,69.35,0,0
20010212,69.60,69.75,67.95,68.95,417100,0
20010213,69.25,69.85,69.20,69.40,191800,0
20010214,69.20,69.75,69.07,69.11,0,0
20010215,69.29,69.50,68.50,69.50,0,0
20010216,69.25,69.98,67.95,69.15,0,0
20010219,69.15,69.15,69.15,69.15,0,0
20010220,68.90,68.90,67.53,68.31,142900,0
20010221,69.00,69.00,68.06,68.07,145900,0
20010222,68.00,68.25,66.10,67.82,180700,0
20010223,67.30,67.37,66.37,67.33,2104400,0
20010226,67.20,68.90,67.20,68.90,65200,0
20010227,68.65,68.96,67.70,68.35,1209200,0
20010228,68.20,68.50,66.94,68.50,219100,0
20010301,68.25,68.25,66.50,67.49,1139600,0
20010302,67.25,68.50,67.25,68.22,326300,0
20010305,68.25,68.31,67.60,67.98,106800,0
20010306,68.00,68.92,68.00,68.56,146400,0
20010307,68.90,69.77,68.35,69.76,149900,0
20010308,69.51,69.99,68.90,69.43,97600,0
20010309,69.43,69.43,67.70,68.45,141100,0
20010312,68.20,68.20,66.90,66.90,221700,0
20010313,66.91,67.94,66.58,67.78,169500,0
20010314,66.36,66.50,65.16,66.29,6297500,0
20010315,66.85,68.10,66.45,67.90,132900,0
20010316,68.00,68.10,66.36,66.36,429000,0
20010319,66.45,66.75,64.87,66.65,6163300,0
20010320,66.65,67.11,66.07,66.20,296300,0
20010321,66.00,66.16,63.70,63.70,1183300,0
20010322,63.50,63.50,59.80,61.07,299000,0
20010323,61.20,64.30,60.50,63.47,1174400,0
20010326,63.65,65.46,63.65,64.46,1147700,0
20010327,64.71,68.43,64.25,67.85,2259300,0
20010328,67.70,67.70,66.74,67.50,177200,0
20010329,67.50,68.27,67.16,67.73,171500,0
20010330,67.95,69.20,67.80,68.89,221200,0
20010402,69.10,70.62,68.88,69.55,349800,0
20010403,69.40,69.40,68.40,68.60,122800,0
20010404,68.50,68.75,66.55,66.90,155800,0
20010405,67.50,69.37,67.50,69.00,167600,0
20010406,69.00,69.00,67.32,67.95,188900,0
20010409,68.20,68.95,67.71,68.20,101900,0
20010410,68.45,69.45,68.40,69.21,93600,0
20010411,69.50,70.46,69.08,69.75,118300,0
20010412,69.50,70.25,69.41,70.25,137900,0
20010416,70.10,70.50,69.27,70.11,196200,0
20010417,69.30,70.20,68.70,70.20,344200,0
20010418,70.60,71.75,70.43,71.38,165000,0
20010419,71.30,71.69,71.01,71.69,103400,0
20010420,71.65,71.65,70.00,70.60,186100,0
20010423,70.00,70.63,69.90,70.63,91400,0
20010424,70.63,71.19,70.63,71.10,66200,0
20010425,71.00,71.01,70.12,71.00,72200,0
20010426,71.00,71.35,70.52,71.11,104000,0
20010427,71.25,71.60,71.04,71.60,93800,0
20010430,71.95,71.97,71.13,71.55,274800,0
20010501,71.55,71.81,71.15,71.72,203400,0
20010502,71.85,72.23,71.60,72.10,14005800,0
20010503,71.85,71.85,71.25,71.74,109600,0
20010504,71.67,72.07,71.56,72.07,124100,0
20010507,72.15,72.25,71.76,72.00,125300,0
20010508,71.75,72.08,71.70,71.79,84900,0
20010509,71.70,71.92,71.41,71.55,83800,0
20010510,71.80,72.03,71.66,71.70,50100,0
20010511,71.75,71.80,71.13,71.25,73400,0
20010514,71.00,71.60,71.00,71.55,69200,0
20010515,71.75,71.85,71.35,71.70,131900,0
20010516,71.69,72.51,71.55,72.51,249500,0
20010517,72.50,72.80,71.92,72.28,161200,0
20010518,72.05,72.26,71.80,72.00,122100,0
20010521,72.00,73.25,72.00,73.25,151300,0
20010522,73.10,74.73,72.35,74.40,221500,0
20010523,74.65,74.65,74.00,74.31,185400,0
20010524,74.75,75.15,74.23,74.53,128900,0
20010525,74.75,75.20,74.71,74.92,165000,0
20010528,74.92,74.92,74.92,74.92,0,0
20010529,75.00,75.20,74.65,75.01,1157000,0
20010530,75.00,76.10,75.00,75.50,278900,0
20010531,75.90,76.29,75.50,75.55,164100,0
20010601,75.55,76.20,74.80,76.20,135000,0
20010604,76.20,77.30,76.20,76.99,150300,0
