DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,36.7500,36.9375,34.5000,35.3750,55221,0
20010103,35.1250,42.3125,34.2500,42.0000,128891,0
20010104,42.0000,42.0000,39.0000,39.3750,106372,0
20010105,38.8750,39.4375,36.3750,36.7500,77679,0
20010108,36.7500,37.8750,34.9375,36.8750,64516,0
20010109,38.3750,39.0000,36.7500,36.7500,69197,0
20010110,37.1875,39.5000,35.8750,38.0000,82519,0
20010111,37.7500,41.2500,36.8750,41.0625,138204,0
20010112,40.7500,41.7500,39.8125,41.4375,88357,0
20010115,41.4375,41.4375,41.4375,41.4375,0,0
20010116,41.4375,41.4375,37.7500,38.9375,73374,0
20010117,40.2500,41.9375,38.8125,39.2500,88224,0
20010118,40.0000,45.5000,38.5000,44.4375,171046,0
20010119,46.5000,47.5000,44.8125,46.4375,167253,0
20010122,46.4375,46.4375,46.4375,46.4375,0,0
20010123,44.7500,45.0000,42.0625,43.2500,85301,0
20010124,43.0625,45.7500,42.3125,44.8750,113899,0
20010125,45.3750,45.3750,42.8750,43.7500,61362,0
20010126,42.8125,43.9375,42.1250,43.9375,52719,0
20010129,45.5000,48.1875,44.0000,45.9375,5106200,0
20010130,46.5937,49.7813,45.0937,48.6562,7474800,0
20010131,46.8500,48.6600,45.7000,45.7700,9480800,0
20010201,45.5600,45.6000,41.2200,42.3300,13178000,0
20010202,42.7500,43.5000,40.2500,41.2000,8102600,0
20010205,40.1000,40.2500,38.0000,38.2800,10559300,0
20010206,37.9800,40.7200,37.9800,39.7200,10748400,0
20010207,39.1000,41.7000,37.3700,38.8200,95500000,0
20010208,39.6000,40.9800,39.3000,39.9700,8741300,0
20010209,39.3000,41.6500,38.3700,38.7600,6582600,0
20010212,39.1000,40.8500,38.0000,39.4200,5810100,0
20010213,40.7500,42.4300,40.1500,41.5000,10363700,0
20010214,42.3500,46.7400,41.7900,46.5000,13886700,0
20010215,46.2500,46.2600,43.9000,44.6000,10222100,0
20010216,40.0500,42.6500,40.0500,42.5500,8932000,0
20010219,42.5500,42.5500,42.5500,42.5500,0,0
20010220,42.9500,43.0000,38.6000,38.6000,8675400,0
20010221,37.5000,40.7500,36.9900,38.4000,17501900,0
20010222,38.2800,39.2000,36.7000,38.0000,8373900,0
20010223,36.1000,37.4000,34.8800,37.2500,10010500,0
20010226,36.1000,36.1100,34.7500,35.0000,8269900,0
20010227,34.9900,37.3700,34.7700,35.1000,6963500,0
20010228,35.5000,36.9900,33.7500,34.2200,6829300,0
20010301,34.1400,35.9800,32.7800,35.9000,8637500,0
20010302,35.0800,39.4000,34.7400,36.0900,93600000,0
20010305,38.5000,40.0000,38.2100,39.0000,7302900,0
20010306,42.8000,44.6000,41.5700,43.8600,12743800,0
20010307,44.0000,44.0200,40.6000,41.0000,11635900,0
20010308,41.0000,43.6300,41.0000,42.6600,8519900,0
20010309,41.0000,41.9800,39.9300,40.7500,11136300,0
20010312,40.7500,43.3000,40.0000,40.7600,10832100,0
20010313,41.9600,44.3300,41.9600,44.0500,10317000,0
20010314,42.8500,44.7500,41.7500,43.5200,11144900,0
20010315,45.0000,45.5300,41.1700,41.3000,9798900,0
20010316,41.0600,42.0000,38.2500,40.0000,11635800,0
20010319,40.1000,43.9600,40.0000,43.0600,6900200,0
20010320,44.0000,44.2200,40.2000,40.6000,8637000,0
20010321,40.9000,43.7300,40.8000,42.0100,12630400,0
20010322,44.2900,47.0300,43.7000,46.7000,20473500,0
20010323,47.2800,49.6100,46.4000,48.8300,17516800,0
20010326,48.8400,48.8400,45.5000,46.2200,7690500,0
20010327,46.1200,48.5400,46.0000,48.0000,10114200,0
20010328,46.1000,47.8000,43.3700,44.2500,9911400,0
20010329,44.5000,46.0900,42.8100,45.2500,10567800,0
20010330,43.5000,43.5000,39.3500,41.5300,14548900,0
20010402,39.5600,40.0000,34.5100,36.2500,15516800,0
20010403,35.5000,37.5000,35.1500,36.2600,11768400,0
20010404,36.2500,37.8500,33.7300,34.6000,10061600,0
20010405,36.5000,39.7000,36.2300,38.4000,10579600,0
20010406,37.2600,38.6000,36.0500,36.9400,7647200,0
20010409,37.5000,37.7000,34.2600,35.7600,8112200,0
20010410,36.1000,39.5000,35.9000,38.1500,7841800,0
20010411,43.9000,44.0500,41.2700,41.6000,14553200,0
20010412,41.7000,47.0000,41.4100,46.4100,17615300,0
20010416,44.7000,44.7000,42.5000,44.5000,11655600,0
20010417,43.9000,45.2000,41.9400,42.9400,10550800,0
20010418,46.5000,49.4000,44.6200,47.3000,18451400,0
20010419,45.0000,48.2500,45.0000,47.9500,11964500,0
20010420,47.9400,47.9400,45.2500,46.5400,9522500,0
20010423,45.1000,45.1000,42.7500,43.3500,6984200,0
20010424,43.3600,44.5900,40.0000,40.3100,8755200,0
20010425,41.3000,43.5500,40.7600,42.6800,11250100,0
20010426,43.5000,44.2500,42.0400,42.4800,9312400,0
20010427,43.3000,44.7000,42.8500,44.0700,6269100,0
20010430,44.0100,45.6500,43.3000,45.3800,8518000,0
20010501,45.0100,45.0100,43.0000,43.7800,8739500,0
20010502,43.7000,44.8000,42.3000,43.1000,9874000,0
20010503,42.2000,42.6700,41.0200,41.4800,7296700,0
20010504,40.0500,45.0000,39.5000,41.8000,12902500,0
20010507,41.9000,43.2600,40.8900,42.8300,6469000,0
20010508,43.2500,43.6800,41.7000,41.8900,6119100,0
20010509,41.2600,42.4500,40.5900,41.5000,6571000,0
20010510,42.9900,43.2500,40.0000,40.0500,8679700,0
20010511,40.9900,40.9900,39.9500,40.3200,4836900,0
20010514,40.5000,40.7600,39.7100,40.7000,6079300,0
20010515,39.9000,40.7500,39.1000,39.1000,11971000,0
20010516,39.0100,39.7100,37.7800,39.2000,13706300,0
20010517,39.6500,41.5500,39.6000,41.0400,6894000,0
20010518,41.0000,41.0000,39.7300,40.0900,6930900,0
20010521,39.5000,43.0000,39.3500,42.6200,7901800,0
20010522,42.6200,42.9800,40.6500,40.8200,69300000,0
20010523,41.6300,41.6300,40.2500,40.2500,85000000,0
20010524,40.3000,40.4900,38.9500,40.2300,6449100,0
