DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,17.69,18.04,17.60,17.97,1817200,0
20030501,18.16,18.68,18.07,18.53,1293000,0
20030502,18.67,19.20,18.65,19.07,1273800,0
20030505,19.18,19.28,18.75,18.86,810600,0
20030506,18.77,18.81,18.70,18.75,1950600,0
20030507,18.71,18.88,18.70,18.86,1266200,0
20030508,18.86,18.98,18.73,18.90,681800,0
20030509,18.90,19.46,18.79,19.46,1107400,0
20030512,19.37,19.68,19.35,19.68,1419000,0
20030513,19.68,20.24,19.68,20.11,1515800,0
20030514,20.21,20.50,20.20,20.45,1239600,0
20030515,20.45,20.71,20.41,20.61,1313600,0
20030516,20.74,20.84,20.52,20.70,962000,0
20030519,20.56,20.79,20.36,20.37,680200,0
20030520,20.50,20.86,20.41,20.72,1331000,0
20030521,20.72,21.22,20.69,21.21,1330800,0
20030522,21.27,21.38,21.20,21.37,806800,0
20030523,21.37,21.43,21.18,21.40,533400,0
20030527,21.40,21.90,21.35,21.88,932200,0
20030528,21.88,21.89,21.55,21.57,881600,0
20030529,21.44,21.51,20.77,20.82,1060400,0
20030530,21.06,21.33,20.92,21.33,1021200,0
20030602,21.23,21.63,21.20,21.49,708200,0
20030603,21.49,21.63,21.43,21.62,444200,0
20030604,21.70,22.13,21.69,22.09,969000,0
20030605,22.01,22.39,21.83,22.30,1121800,0
20030606,22.41,22.48,22.01,22.01,488600,0
20030609,22.01,22.33,21.98,22.03,685000,0
20030610,22.13,22.61,22.09,22.61,1041800,0
20030611,22.65,23.03,22.55,22.98,1141000,0
20030612,23.10,23.23,22.76,23.02,861800,0
20030613,23.02,23.21,22.64,22.84,835800,0
20030616,23.00,23.03,22.71,22.95,944800,0
20030617,22.95,23.14,22.78,22.93,726000,0
20030618,22.89,22.95,22.58,22.63,886200,0
20030619,22.63,22.88,22.57,22.74,431600,0
20030620,22.77,22.83,22.55,22.70,398600,0
20030623,22.70,22.71,22.46,22.66,359800,0
20030624,22.63,22.71,22.43,22.58,384800,0
20030625,22.52,22.71,22.50,22.57,661600,0
20030626,22.46,22.61,22.31,22.40,768400,0
20030627,22.40,22.48,22.28,22.42,960400,0
20030630,22.50,23.10,22.41,22.70,1506400,0
20030701,22.70,22.81,22.28,22.51,689400,0
20030702,22.51,22.52,21.96,22.22,2095400,0
20030703,22.22,22.22,22.06,22.15,646200,0
20030707,22.35,22.35,21.95,21.96,1271200,0
20030708,21.90,22.17,21.81,22.02,1452200,0
20030709,21.88,22.26,21.88,22.01,880400,0
20030710,22.01,22.01,21.66,21.90,679200,0
20030711,21.85,22.17,21.84,22.01,591600,0
20030714,22.09,22.13,21.76,21.77,601600,0
20030715,21.90,21.90,21.42,21.43,1024200,0
20030716,21.55,21.59,21.35,21.38,560400,0
20030717,21.38,21.90,21.36,21.64,1011400,0
20030718,21.76,21.84,21.56,21.76,928600,0
20030721,21.74,21.83,21.58,21.63,541000,0
20030722,21.63,21.76,21.56,21.57,612800,0
20030723,21.69,21.79,21.24,21.48,834200,0
20030724,21.58,21.69,21.26,21.26,391400,0
20030725,21.26,21.26,20.97,21.14,911400,0
20030728,21.19,21.21,20.71,20.71,534600,0
20030729,20.79,21.21,20.79,21.19,669200,0
20030730,21.27,21.63,21.09,21.63,1020000,0
20030731,21.70,21.72,21.26,21.31,708600,0
20030801,21.20,21.20,20.87,20.94,587800,0
20030804,20.96,21.02,20.61,20.68,809000,0
20030805,20.70,20.70,20.28,20.36,898000,0
20030806,20.28,20.57,20.20,20.53,991200,0
20030807,20.55,21.33,20.44,21.33,865400,0
20030808,21.33,21.47,21.06,21.30,598600,0
20030811,21.40,22.06,21.40,22.06,1038800,0
20030812,22.06,22.10,21.83,22.10,728400,0
20030813,22.09,22.34,21.94,22.34,665200,0
20030814,22.45,22.65,22.35,22.57,1167200,0
20030815,22.70,23.02,22.70,22.84,436000,0
20030818,22.84,22.92,22.37,22.51,761400,0
20030819,22.51,22.69,22.33,22.45,368000,0
20030820,22.44,22.70,22.35,22.61,476200,0
20030821,22.67,22.89,22.55,22.84,521400,0
20030822,23.08,23.38,22.74,23.21,1510400,0
20030825,23.33,23.44,23.12,23.22,935800,0
20030826,23.30,23.33,22.94,23.07,729800,0
20030827,23.13,23.17,23.02,23.14,431800,0
20030828,23.84,25.16,23.58,25.09,3137200,0
20030829,25.09,25.09,24.50,24.91,1566200,0
20030902,25.02,25.09,24.51,24.58,1161400,0
20030903,24.64,24.97,24.57,24.78,702400,0
20030904,24.81,24.82,24.40,24.64,858000,0
20030905,24.64,24.92,24.49,24.78,520800,0
20030908,24.85,24.97,24.82,24.89,463200,0
20030909,24.83,24.83,24.53,24.72,509400,0
20030910,24.72,24.72,24.35,24.37,522800,0
20030911,24.59,24.88,24.55,24.78,583400,0
20030912,24.84,24.88,24.62,24.78,784000,0
20030915,24.79,24.86,24.42,24.49,615800,0
20030916,24.51,24.84,24.46,24.84,392400,0
20030917,24.95,24.95,24.45,24.47,469000,0
20030918,24.57,24.59,24.12,24.21,976800,0
20030919,24.28,24.55,24.25,24.41,1215000,0
20030922,24.31,24.84,24.28,24.68,811000,0
20030923,24.59,24.88,24.59,24.80,561000,0
20030924,25.11,26.10,25.11,25.81,1893600,0
20030925,26.08,26.22,25.41,25.46,1107200,0
20030926,25.54,25.55,25.03,25.08,745000,0
20030929,25.04,25.09,24.90,25.09,543000,0
20030930,25.09,25.43,24.91,25.35,1075400,0
20031001,25.41,25.86,25.33,25.85,798200,0
20031002,25.73,25.88,25.57,25.77,601800,0
20031003,25.95,26.30,25.85,26.20,1243600,0
20031006,26.31,26.32,26.11,26.23,646200,0
20031007,26.15,26.76,26.11,26.73,783800,0
20031008,26.71,26.95,26.54,26.56,516200,0
20031009,25.98,26.06,25.72,25.87,1288600,0
20031010,25.98,26.23,25.98,26.17,384200,0
20031013,26.24,26.29,26.00,26.21,301800,0
20031014,26.08,26.16,25.85,26.13,635000,0
20031015,26.15,26.20,25.70,25.81,581200,0
20031016,25.86,26.16,25.84,26.14,376800,0
20031017,26.16,26.18,25.57,25.82,584400,0
20031020,25.85,25.88,25.63,25.74,332000,0
20031021,25.76,25.98,25.72,25.95,572000,0
20031022,25.95,25.95,25.72,25.84,510800,0
20031023,25.73,26.18,25.73,26.10,864600,0
20031024,26.10,26.18,25.94,26.10,403600,0
20031027,26.12,26.12,25.98,26.04,248200,0
20031028,25.98,26.13,25.85,26.04,273600,0
20031029,26.25,26.31,25.86,26.09,455800,0
20031030,26.06,26.06,24.93,25.46,1493800,0
20031031,25.46,25.54,25.23,25.45,648000,0
20031103,25.59,25.62,25.11,25.28,569368,0
20031104,25.04,25.09,24.82,24.90,794148,0
20031105,24.90,24.95,24.64,24.82,563200,0
20031106,24.82,25.14,24.78,25.13,822600,0
20031107,25.26,25.35,24.97,25.23,459200,0
20031110,25.30,25.35,25.14,25.14,526600,0
20031111,25.11,25.12,24.81,24.90,337200,0
20031112,24.90,25.35,24.90,25.32,434400,0
20031113,25.32,26.12,25.32,26.04,1193200,0
20031114,26.04,26.26,26.02,26.17,1076000,0
20031117,26.17,26.17,25.62,25.75,468800,0
20031118,25.79,25.82,25.54,25.54,393200,0
20031119,25.55,25.78,25.47,25.73,275400,0
20031120,25.65,25.75,25.46,25.46,467200,0
20031121,25.67,25.73,25.47,25.47,301000,0
20031124,25.52,25.60,25.38,25.41,438000,0
20031125,25.37,25.45,25.28,25.40,569800,0
20031126,25.45,25.65,25.41,25.59,314800,0
20031128,25.64,25.86,25.62,25.86,185400,0
20031201,25.89,26.14,25.86,26.08,408000,0
20031202,26.12,26.14,25.91,25.96,380600,0
20031203,25.87,25.91,25.83,25.88,678800,0
20031204,25.85,26.16,25.75,26.06,1341000,0
20031205,26.10,26.42,26.06,26.22,1277600,0
20031208,26.22,26.22,25.85,26.18,1157600,0
20031209,26.25,26.42,26.08,26.27,616200,0
