DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20081229,9.3700,9.5100,9.0700,9.5100,3349284,0
20081230,9.6100,9.7400,9.3900,9.6800,2816331,0
20081231,9.6500,10.0000,9.4900,9.8900,5128628,0
20090102,9.9300,10.0200,9.7800,10.0200,2706093,0
20090105,10.0000,10.1000,9.6500,9.8600,7010168,0
20090106,9.9000,10.5600,9.9000,10.3300,8154882,0
20090107,10.2200,10.7000,10.1201,10.1900,6516100,0
20090108,10.4100,10.6000,10.2500,10.5000,6575722,0
20090109,10.5000,10.8200,10.2500,10.6800,7924196,0
20090112,10.7500,11.0600,10.4300,11.0400,13262843,0
20090113,10.9300,11.2800,10.8500,11.0500,7768970,0
20090114,10.9500,11.1000,10.4700,10.6300,6782714,0
20090115,10.6800,10.8400,10.2200,10.6500,5545174,0
20090116,10.8500,11.0100,10.6900,11.0000,6946985,0
20090120,10.9800,11.2300,10.3100,10.3600,5299536,0
20090121,10.5500,10.8000,10.2901,10.8000,6305416,0
20090122,10.7100,11.3400,10.6600,11.1400,6928711,0
20090123,10.9300,11.1080,10.6200,10.9300,5995622,0
20090126,10.9700,11.4200,10.7800,11.3300,8032944,0
20090127,11.4400,11.5100,11.2800,11.5100,7961682,0
20090128,11.5800,11.7900,11.3300,11.6500,5683725,0
20090129,11.5500,11.7700,11.3500,11.4300,6759221,0
20090130,11.3800,11.6700,11.1200,11.3300,6807660,0
20090202,11.1900,11.5800,11.0600,11.4100,4916213,0
20090203,11.5300,11.7400,11.3200,11.5500,6426354,0
20090204,11.6300,11.8500,11.5800,11.6400,6273452,0
20090205,11.5700,11.7900,11.3800,11.6300,5759599,0
20090206,11.6300,11.9700,11.6000,11.8100,7062874,0
20090209,11.7500,12.0000,11.6200,11.8900,5212952,0
20090210,11.8800,12.0000,11.3000,11.3600,6343814,0
20090211,11.4300,11.8825,11.3800,11.8200,5465555,0
20090212,11.6000,11.9300,11.5701,11.9300,5835104,0
20090213,11.9100,11.9800,11.6500,11.8000,6005342,0
20090217,11.4300,11.6000,11.2600,11.4300,7255040,0
20090218,11.4300,11.7000,11.2500,11.4700,8515414,0
20090219,11.7000,12.0300,11.4100,11.5700,14679246,0
20090220,11.9500,12.8101,11.8400,12.6100,23595674,0
20090223,12.9700,13.3700,12.6800,12.8700,20441180,0
20090224,13.1000,13.1500,12.5300,12.9500,16615005,0
20090225,13.3200,13.3200,12.8500,13.0900,14399600,0
20090226,13.2500,13.4200,12.4300,12.6000,16526456,0
20090227,12.7900,12.8200,12.1000,12.4300,16441673,0
20090302,12.1600,12.2400,11.5300,11.6200,12211150,0
20090303,11.7000,12.0400,11.1400,11.4500,13485287,0
20090304,11.9100,12.1850,11.5700,12.0100,9081279,0
20090305,11.9800,12.1700,11.6600,12.1500,11266847,0
20090306,12.6000,12.6800,11.7200,11.9700,9227400,0
20090309,11.8500,12.2900,11.8160,12.0000,6590173,0
20090310,12.1500,12.5500,11.7600,12.3300,8834721,0
20090311,12.4500,12.6100,12.2082,12.3600,7068807,0
20090312,12.4000,13.0000,12.3600,12.9600,9227137,0
20090313,13.1100,13.4000,12.9100,13.2700,7159584,0
20090316,13.3000,13.4700,12.9800,13.0500,5545340,0
20090317,13.0500,13.5300,12.9800,13.5300,5333335,0
20090318,13.3700,13.8500,13.2100,13.5700,7472292,0
20090319,13.5800,13.6500,12.9700,13.2100,6040195,0
20090320,13.2700,13.3900,12.7900,12.8800,6980803,0
20090323,13.2100,13.4500,12.9900,13.4500,7929646,0
20090324,13.3100,13.6700,13.1900,13.5500,5181100,0
20090325,13.6900,13.6900,13.1100,13.3800,6351390,0
20090326,13.5200,13.7900,13.4700,13.6900,8101956,0
20090327,13.5900,13.7700,13.0900,13.2500,6553839,0
20090330,13.0200,13.1699,12.8100,13.0500,5433629,0
20090331,13.1200,13.5600,13.0800,13.4100,7260940,0
20090401,13.2000,13.4100,12.9700,13.4000,5636341,0
20090402,13.5500,14.0400,13.4950,13.8400,9189341,0
20090403,13.9000,14.1700,13.7100,14.0400,5297521,0
20090406,13.9600,14.6700,13.9600,14.3700,8971593,0
20090407,14.2500,14.3600,14.0000,14.0200,3233009,0
20090408,13.9700,14.5000,13.9700,14.3900,5572797,0
20090409,14.4500,14.9400,14.1100,14.2100,6360634,0
20090413,14.1000,14.3500,13.9000,13.9400,4460651,0
20090414,13.9200,14.1900,13.6500,13.7600,4681161,0
20090415,13.8300,14.3300,13.4700,13.9600,5175782,0
20090416,14.2500,14.5100,13.8500,14.4200,5783372,0
20090417,14.7100,14.7900,14.3100,14.6000,5716357,0
20090420,14.5000,14.5900,14.0400,14.1300,5457898,0
20090421,14.4000,14.4000,13.7700,13.9900,5381242,0
20090422,14.5300,14.5300,13.8900,14.1000,8200939,0
20090423,14.4900,14.4900,13.8400,14.3500,5637919,0
20090424,14.4500,14.5400,14.1200,14.2800,5647382,0
20090427,14.2700,14.5600,14.1600,14.4200,5351796,0
20090428,14.4400,14.7800,14.3000,14.5100,7769614,0
20090429,14.8500,14.9100,14.4200,14.5400,6272422,0
20090430,14.1600,14.5900,12.8000,13.2500,26319020,0
20090501,13.3700,13.4100,12.8100,13.0000,11803785,0
20090504,13.0700,13.3200,12.7900,13.3100,10195638,0
20090505,13.1200,13.4700,13.0000,13.4000,8316857,0
20090506,13.4300,13.5500,13.1700,13.2700,10292408,0
20090507,13.3600,13.8400,13.3000,13.4300,13199579,0
20090508,13.5700,13.7500,13.4500,13.7200,8266799,0
20090511,13.7000,14.0600,13.5300,13.8400,5699455,0
20090512,13.8600,14.0500,13.5300,13.6400,6114541,0
20090513,13.5300,13.7000,13.2800,13.4100,4908993,0
20090514,13.0000,13.1900,12.5100,12.6700,17994388,0
20090515,12.6700,13.0600,12.5600,12.7600,11807257,0
20090518,12.8700,13.2400,12.7650,13.1300,10184019,0
20090519,13.0600,13.1900,12.7800,12.8400,8680475,0
20090520,12.7600,12.9600,12.7500,12.8300,7537053,0
20090521,12.7500,13.0000,12.5000,12.6200,6612600,0
20090522,12.6800,12.7800,12.5000,12.5800,4159918,0
20090526,12.5800,13.2050,12.5000,13.1300,7220399,0
20090527,13.1500,13.2300,12.9300,12.9400,5214082,0
20090528,12.7200,12.9300,12.6500,12.7700,5225184,0
20090529,13.0000,13.2100,12.7600,13.2100,8130835,0
20090601,13.3700,13.7200,13.2700,13.6200,7799984,0
20090602,13.5300,13.7200,13.4100,13.5200,6203794,0
20090603,13.5600,13.5600,13.1800,13.2700,4561274,0
20090604,13.4700,13.6300,13.1850,13.5800,5042825,0
20090605,13.5900,13.7650,13.3700,13.7000,5222416,0
20090608,13.8500,13.8500,13.3200,13.5800,6336466,0
20090609,13.7500,13.7500,13.3800,13.5500,3683770,0
20090610,13.4600,13.5500,13.1250,13.2800,6578993,0
20090611,13.5000,14.0100,13.5000,13.7900,8789190,0
20090612,13.7200,13.8100,13.5600,13.6600,5821641,0
20090615,13.4900,13.6350,13.0100,13.0800,5397208,0
20090616,13.0000,13.1300,12.8600,12.9300,7283582,0
20090617,13.2000,13.2600,12.7800,13.0000,8523311,0
20090618,13.0900,13.2500,13.0000,13.1300,4258126,0
20090619,13.2100,13.2200,12.8900,13.0600,5127775,0
20090622,12.8200,12.9700,12.6200,12.6300,4506340,0
20090623,12.6000,12.7100,12.5100,12.6000,6891648,0
20090624,12.6100,12.9900,12.6100,12.9000,7085944,0
20090625,12.8300,13.3500,12.7500,13.2600,8504793,0
20090626,13.1900,13.4900,13.0800,13.4200,9402522,0
20090629,13.5000,13.5000,13.1450,13.2500,6579893,0
20090630,13.1700,13.3000,12.9400,13.0500,7202492,0
20090701,13.1300,13.1300,12.7600,12.8000,9730744,0
20090702,12.7100,12.8500,12.3000,12.4200,7908709,0
20090706,12.3500,12.3600,12.1100,12.2600,6519378,0
20090707,12.2600,12.3700,12.0700,12.2100,6018739,0
20090708,12.5000,12.5500,12.1399,12.2300,4816478,0
20090709,12.1300,12.4600,12.0800,12.4100,6247595,0
20090710,12.3100,12.4600,12.0900,12.1700,3740824,0
20090713,12.2500,12.2600,12.0100,12.2300,5116862,0
20090714,12.3400,12.4100,12.2000,12.3500,5008823,0
20090715,12.3900,12.5000,12.3100,12.3600,4405851,0
20090716,12.4800,12.6100,12.3100,12.5200,4087152,0
20090717,12.6100,12.6300,12.3400,12.4400,4011535,0
20090720,12.4000,12.9100,12.4000,12.8900,7620359,0
20090721,13.0600,13.1200,12.9000,13.1200,7364285,0
20090722,12.9700,13.1640,12.8800,12.9400,5574255,0
20090723,13.0600,13.5000,12.9600,13.4100,7342423,0
